,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2001-06,93.76M,93.76M,77.81M,15.95M,10.64M,32.18M,3.937M,0.052M,,,,46.75M,-30.80M,,,0.052M,,-142.08M,3.549M,-34.30M,,-34.30M,-34.33M,-15.00M,15.80M,2001-06,-1.64,0.00,,-1.640,2001-06,-1.64,0.00,,-1.640,2001-06,86.62M,86.62M,2001-06,,
2001-03,54.00M,54.00M,33.70M,20.29M,9.318M,9.783M,,,,,,19.10M,1.192M,,,,,3.834M,0.449M,3.385M,,3.385M,3.385M,5.71M,4.518M,2001-03,0.08,0.00,,0.08,2001-03,0.08,0.00,,0.08,2001-03,43.47M,44.73M,2001-03,,
2000-12,78.68M,78.68M,42.33M,36.36M,11.40M,9.534M,,,,,,20.94M,15.42M,,,,,17.55M,5.966M,11.58M,,11.58M,11.58M,19.75M,4.333M,2000-12,0.27,0.00,,0.27,2000-12,0.26,0.00,,0.26,2000-12,43.15M,44.78M,2000-12,,
2000-09,73.20M,73.20M,39.45M,33.75M,10.84M,8.814M,,,,,,19.65M,14.09M,,,,,16.01M,5.443M,10.57M,,10.57M,10.57M,17.68M,3.589M,2000-09,0.25,0.00,,0.25,2000-09,0.24,0.00,,0.24,2000-09,42.87M,44.74M,2000-09,,
2000-06,65.69M,65.69M,36.15M,29.54M,11.69M,7.895M,,,,,,19.58M,9.955M,,,,,11.88M,4.039M,7.841M,,7.841M,7.841M,13.52M,3.57M,2000-06,0.18,0.00,,0.18,2000-06,0.18,0.00,,0.18,2000-06,42.66M,44.79M,2000-06,,
2000-03,57.78M,57.78M,32.94M,24.85M,12.44M,7.651M,,,,,,20.10M,4.754M,,,,,6.803M,1.904M,4.899M,,4.899M,4.899M,7.745M,2.991M,2000-03,0.055,0.00,,0.055,2000-03,0.055,0.00,,0.055,2000-03,85.22M,89.66M,2000-03,,
1999-12,48.04M,48.04M,27.09M,20.96M,7.792M,6.49M,,,,,,14.28M,6.673M,,,,,8.517M,3.066M,5.451M,,5.451M,5.451M,9.296M,2.623M,1999-12,0.065,0.00,,0.065,1999-12,0.06,0.00,,0.06,1999-12,83.97M,88.07M,1999-12,,
1999-09,41.92M,41.92M,23.89M,18.04M,7.163M,5.78M,,,,,,12.94M,5.092M,,,,,6.741M,2.428M,4.313M,,4.313M,4.313M,7.69M,2.598M,1999-09,0.05,0.00,,0.05,1999-09,0.05,0.00,,0.05,1999-09,83.02M,87.92M,1999-09,,
1999-06,38.65M,38.65M,21.66M,17.00M,6.708M,5.415M,,,,,,12.12M,4.874M,,,,,5.186M,1.867M,3.319M,,3.319M,3.319M,7.357M,2.483M,1999-06,0.045,0.00,,0.045,1999-06,0.045,0.00,,0.045,1999-06,73.06M,76.94M,1999-06,,
1999-03,34.27M,34.27M,19.08M,15.18M,6.039M,3.576M,,,,,,9.615M,5.569M,,,,,5.823M,-2.705M,8.528M,,8.528M,8.528M,7.646M,2.077M,1999-03,0.2667,,,0.2667,1999-03,0.2667,,,0.2667,1999-03,31.98M,31.98M,1999-03,,
1998-12,32.49M,32.49M,18.15M,14.34M,5.809M,3.397M,,,,,,9.206M,5.132M,,,,,5.302M,0.53M,4.772M,,4.772M,4.772M,7.145M,2.013M,1998-12,0.05,0.00,,0.05,1998-12,0.05,0.00,,0.05,1998-12,94.96M,98.37M,1998-12,,
1998-09,29.63M,29.63M,16.76M,12.86M,5.422M,2.891M,,,,,,8.313M,4.55M,,,,,4.684M,0.468M,4.216M,,4.216M,4.216M,6.517M,1.967M,1998-09,0.0467,0.00,,0.0467,1998-09,0.0433,0.00,,0.0433,1998-09,94.58M,96.74M,1998-09,,
1998-06,29.96M,29.96M,17.13M,12.82M,5.497M,3.022M,,,,,,8.519M,4.304M,,,,,4.416M,0.442M,3.974M,,3.974M,3.974M,6.188M,1.884M,1998-06,0.0433,0.00,,0.0433,1998-06,0.04,0.00,,0.04,1998-06,94.20M,96.54M,1998-06,,
