,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2005-12,4.287M,,,4.414M,9.144M,0.935M,10.08M,10.08M,0.827M,,,,,,0.649M,-0.878M,,0.02M,-0.925M,3.527M,,22.00M,,2005-12,-13.63M,,-13.63M,,,-1.645M,-15.28M,,2005-12,,,,0.248M,,0.248M,,,,0.248M,,2005-12,116.52M,123.49M,,2005-12,0.248M,,,,,,2005-12,,
2005-09,3.061M,,,8.498M,9.328M,0.935M,10.26M,10.26M,1.006M,,,,,0.001M,-14.58M,3.788M,,10.15M,-3.243M,-8.529M,,10.42M,,2005-09,-10.50M,,-10.50M,,,-0.799M,-11.30M,,2005-09,,,,0.454M,,0.454M,,,,0.454M,,2005-09,116.94M,116.52M,,2005-09,0.454M,,,,,,2005-09,,
2005-06,7.389M,,,5.611M,9.04M,0.935M,9.975M,9.975M,-0.339M,,,,,-0.001M,5.02M,-0.593M,,-4.418M,-0.463M,-12.59M,15.87M,25.46M,,2005-06,-10.62M,,-10.62M,,,-4.769M,-15.39M,,2005-06,,,0.782M,0.496M,,0.496M,,,,1.278M,,2005-06,105.58M,116.94M,,2005-06,0.496M,,,,,,2005-06,,
2005-03,1.244M,,,7.139M,9.467M,0.944M,10.41M,10.41M,0.634M,,,,,,3.834M,-1.321M,,-7.97M,-0.728M,13.81M,-15.87M,11.18M,,2005-03,-6.98M,,-6.98M,,,-20.16M,-27.14M,,2005-03,,,-0.782M,0.238M,,0.238M,,,,-0.544M,,2005-03,122.08M,105.58M,,2005-03,0.238M,,,,,,2005-03,,
2004-12,13.92M,,,5.448M,9.442M,1.136M,10.58M,10.58M,1.952M,,,,,,-13.09M,0.298M,,1.105M,0.728M,-13.81M,,7.127M,,2004-12,-10.04M,,-10.04M,,,-2.565M,-12.60M,,2004-12,,,,4.056M,,4.056M,,,,4.056M,,2004-12,123.50M,122.08M,,2004-12,4.056M,,,,,,2004-12,,
2004-09,14.63M,,,4.109M,9.793M,1.289M,11.08M,11.08M,,,,,,,-1.619M,7.393M,,-15.12M,0.681M,4.191M,,28.41M,,2004-09,-16.64M,,-16.64M,,,-0.134M,-16.77M,,2004-09,,,0.00,0.582M,,0.582M,,,,0.582M,,2004-09,111.29M,123.50M,,2004-09,0.582M,,,,,,2004-09,,
2004-06,13.03M,,,0.943M,8.992M,1.286M,10.28M,10.28M,,,,,,,-13.82M,-14.63M,,18.49M,-2.079M,6.193M,,18.40M,,2004-06,-18.65M,,-18.65M,,,2.60M,-16.05M,,2004-06,,,4.946M,0.419M,,0.419M,,,,4.664M,,2004-06,104.27M,111.29M,,2004-06,0.419M,,,,,,2004-06,,
2004-03,-9.421M,,,14.62M,8.419M,1.322M,9.741M,9.741M,,,,,,,8.134M,-10.49M,,5.639M,5.391M,-4.629M,,18.98M,,2004-03,-10.86M,,-10.86M,,,-87.51M,-98.36M,,2004-03,,,6.049M,1.353M,,1.353M,,,,7.402M,,2004-03,176.25M,104.27M,,2004-03,1.353M,,,,,,2004-03,,
2003-12,4.172M,,,0.781M,8.625M,1.322M,9.947M,9.947M,,,,,,,-6.575M,-3.676M,,14.02M,-0.199M,7.651M,,26.12M,,2003-12,-13.85M,,-13.85M,,,3.998M,-9.862M,,2003-12,,,-2.676M,1.158M,,1.158M,,,,-1.518M,,2003-12,161.51M,176.25M,,2003-12,1.158M,,,,,,2003-12,,
2003-09,-42.93M,,,34.35M,9.333M,1.82M,11.15M,11.15M,-0.289M,,,,,,-9.482M,4.381M,,-26.10M,1.691M,-1.597M,,-28.82M,,2003-09,-7.39M,-1.931M,-9.321M,,,,-13.31M,,2003-09,,,41.62M,103.03M,,103.03M,,,,138.41M,,2003-09,65.22M,161.51M,,2003-09,103.03M,,,,,,2003-09,,
2003-06,-403.32M,,,398.81M,9.247M,1.635M,10.88M,10.88M,-0.002M,,,,,,-13.81M,-5.728M,,7.141M,4.676M,-13.42M,,-14.78M,,2003-06,-6.326M,1.931M,-4.395M,,,,-4.395M,,2003-06,,,9.415M,0.206M,,0.206M,,,,0.07M,,2003-06,84.33M,65.22M,,2003-06,0.206M,,,,,,2003-06,,
2003-03,-5.955M,,,1.166M,9.253M,1.656M,10.91M,10.91M,0.341M,,,,,,-12.22M,-8.558M,,23.60M,-7.276M,0.59M,,2.602M,,2003-03,-12.65M,,-12.65M,,,,-12.65M,,2003-03,,,-9.485M,0.184M,,0.184M,,,,0.108M,,2003-03,94.26M,84.33M,,2003-03,0.184M,,,,,,2003-03,,
2002-12,0.791M,,,1.523M,9.108M,1.398M,10.51M,10.51M,0.301M,,,,,,-15.48M,7.38M,,0.377M,7.278M,-43.73M,,-31.05M,,2002-12,-13.93M,,-13.93M,,,,-13.93M,,2002-12,,,94.97M,0.333M,,0.333M,,,,85.89M,,2002-12,53.36M,94.26M,,2002-12,0.333M,,,,,,2002-12,,
2002-03,-8.499M,,,6.195M,,,5.472M,5.472M,-13.99M,,,,,,2.627M,-1.995M,7.482M,2.16M,,-0.067M,,-0.613M,,2002-03,-8.215M,0.028M,-8.187M,,,31.90M,16.67M,,2002-03,,,-0.033M,0.498M,,0.498M,,,,0.465M,,2002-03,45.89M,62.41M,,2002-03,0.498M,,,,,,2002-03,,
2001-12,-3.28M,,,-4.865M,,,5.267M,5.267M,0.00,,,,,,-2.391M,0.761M,2.559M,-3.397M,,0.678M,,-4.668M,,2001-12,-11.76M,0.062M,-11.70M,,,8.734M,-2.968M,,2001-12,,,0.00,0.352M,,0.352M,,,,0.352M,,2001-12,53.17M,45.89M,,2001-12,0.352M,,,,,,2001-12,,
2001-09,27.79M,,,0.646M,-11.86M,-3.937M,-5.535M,-5.535M,-0.001M,,,,,,15.07M,10.32M,-9.454M,-3.706M,-0.106M,-9.877M,,25.16M,,2001-09,-19.44M,0.081M,-19.36M,,,-7.374M,-26.74M,,2001-09,,,-0.096M,3.939M,,3.939M,,,,-16.80M,,2001-09,4.747M,53.17M,,2001-09,3.939M,,,,,,2001-09,,
2001-06,-34.30M,,,0.06M,11.86M,3.937M,15.80M,15.80M,,,,,,,-2.811M,-5.647M,,-1.532M,0.106M,12.00M,,-16.32M,,2001-06,-1.571M,,-1.571M,,,,-1.571M,,2001-06,,,,,,,,,,20.64M,,2001-06,1.998M,4.747M,,2001-06,,,,,,,2001-06,,
2001-03,3.385M,,,-0.507M,,,4.518M,4.518M,,,,,,,15.58M,0.831M,5.384M,2.526M,,-3.127M,,26.69M,,2001-03,-16.61M,0.092M,-16.52M,,,29.64M,13.13M,,2001-03,,,-0.032M,0.607M,,0.607M,,,,0.575M,,2001-03,30.00M,68.80M,,2001-03,0.607M,,,,,,2001-03,,
2000-12,11.58M,,,0.475M,,,4.333M,4.333M,,,,,,,-2.386M,-0.456M,-2.974M,-1.848M,,7.943M,,16.67M,,2000-12,-10.52M,0.028M,-10.49M,,,-2.84M,-13.33M,,2000-12,,,-0.001M,3.687M,,3.687M,,,,3.686M,,2000-12,22.98M,30.00M,,2000-12,3.687M,,,,,,2000-12,,
2000-09,10.57M,,,0.863M,,,3.589M,3.589M,,,,,,,-5.738M,-1.827M,1.86M,1.425M,,3.441M,,14.18M,,2000-09,-17.94M,,-17.94M,,,-1.705M,-19.65M,,2000-09,,,0.00,0.70M,,0.70M,,,,0.70M,,2000-09,27.75M,22.98M,,2000-09,0.70M,,,,,,2000-09,,
2000-06,7.841M,,,-0.256M,,,3.57M,3.57M,,,,,,,-10.60M,-2.293M,-4.40M,-1.82M,,8.006M,,0.053M,,2000-06,-9.681M,,-9.681M,,,14.91M,5.227M,,2000-06,,,-2.959M,2.207M,,2.207M,,,,-0.752M,,2000-06,23.22M,27.75M,,2000-06,2.207M,,,,,,2000-06,,
2000-03,4.899M,,,0.515M,2.981M,0.01M,2.991M,2.991M,-1.88M,,,,,,-5.752M,-2.207M,-1.10M,6.149M,,7.412M,,11.03M,,2000-03,-12.70M,0.00,-12.70M,,,-10.01M,-22.71M,,2000-03,,,-0.061M,1.447M,,1.447M,,,,1.386M,,2000-03,31.92M,21.62M,,2000-03,1.447M,,,,,,2000-03,,
1999-12,5.451M,,,0.29M,2.623M,0.00,2.623M,2.623M,-0.438M,,,,,,0.138M,-0.514M,-0.072M,3.297M,,4.286M,,15.06M,,1999-12,-11.48M,0.00,-11.48M,,,-0.053M,-11.54M,,1999-12,,,1.377M,4.996M,,4.996M,,,,6.373M,,1999-12,22.02M,31.92M,,1999-12,4.996M,,,,,,1999-12,,
1999-09,4.313M,,,0.313M,2.597M,0.001M,2.598M,2.598M,0.816M,,,,,,-3.454M,0.804M,-0.531M,1.13M,,-0.468M,,5.521M,,1999-09,-8.703M,0.00,-8.703M,,,-53.05M,-61.76M,,1999-09,,,1.198M,3.427M,,3.427M,,,,4.625M,,1999-09,73.53M,22.02M,,1999-09,3.427M,,,,,,1999-09,,
1999-06,3.319M,,,0.514M,2.48M,0.003M,2.483M,2.483M,2.16M,,,,,,-1.723M,-1.20M,-1.15M,-1.255M,,-1.328M,,1.82M,,1999-06,-6.776M,0.06M,-6.716M,,,-45.60M,-52.32M,,1999-06,,,-0.755M,109.72M,,109.72M,,,,108.96M,,1999-06,15.06M,73.53M,,1999-06,109.72M,,,,,,1999-06,,
1999-03,8.528M,,,-0.098M,2.045M,0.032M,2.077M,2.077M,,,,,,,-3.654M,0.11M,1.382M,3.472M,,-2.474M,,6.716M,,1999-03,-6.613M,,-6.579M,,,2.591M,-3.988M,,1999-03,,,-0.465M,1.333M,,1.333M,,,,0.868M,,1999-03,10.43M,14.03M,,1999-03,1.333M,,,,,,1999-03,,
1998-12,4.772M,,,-0.292M,2.00M,0.013M,2.013M,2.013M,,,,,,,0.856M,0.711M,-1.295M,1.085M,0.716M,1.925M,,10.49M,,1998-12,-5.986M,,-5.986M,,,-1.083M,-7.069M,,1998-12,,,-0.452M,0.315M,,0.315M,,,,-0.137M,,1998-12,7.148M,10.43M,,1998-12,0.315M,,,,,,1998-12,,
1998-09,4.216M,,,0.19M,1.93M,0.037M,1.967M,1.967M,,,,,,,-3.104M,0.194M,,-0.883M,-0.596M,0.028M,,2.012M,,1998-09,-2.014M,,-2.014M,,,-5.518M,-7.532M,,1998-09,,,-0.48M,0.225M,,0.225M,,,,-0.255M,,1998-09,12.92M,7.148M,,1998-09,0.225M,,,,,,1998-09,,
1998-06,3.974M,,,0.143M,1.876M,0.008M,1.884M,1.884M,,,,,,,1.43M,-1.847M,,1.301M,-0.12M,-0.458M,,6.307M,,1998-06,-3.117M,,-3.117M,,,-4.228M,-7.345M,,1998-06,,,-0.471M,0.076M,,0.076M,,,,-0.395M,,1998-06,14.36M,12.92M,,1998-06,0.076M,,,,,,1998-06,,
1998-03,3.692M,,,1.206M,-5.057M,-0.03M,1.686M,1.686M,,,,,,,-0.793M,1.053M,,0.70M,-0.096M,-0.289M,,7.157M,,1998-03,-3.51M,,-3.401M,,,-1.493M,-4.894M,,1998-03,,,-0.53M,0.996M,,0.728M,,,,0.198M,,1998-03,11.90M,14.36M,,1998-03,0.996M,,,,,,1998-03,,
1997-12,3.156M,,,0.843M,1.748M,0.01M,1.758M,1.758M,,,,,,,1.229M,0.155M,,-1.067M,0.92M,-0.196M,,6.798M,,1997-12,-2.946M,,-2.946M,,,1.234M,-1.712M,,1997-12,,,-0.48M,0.16M,,0.16M,,,,-0.32M,,1997-12,7.129M,11.90M,,1997-12,0.16M,,,,,,1997-12,,
