,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData
2004-06,373.90M,,,,1.40M,79.80M,79.80M,14.60M,,,-44.30M,-42.10M,-30.80M,,,-79.80M,-197.00M,272.70M,-74.30M,,-74.30M,-714.80M,,43.10M,-746.00M,,865.70M,35.90M,-137.90M,-102.00M,,-139.20M,,,624.50M,271.50M,151.20M,-5.40M,417.30M,35.90M,,,-137.90M,
2004-03,338.50M,,,,-6.20M,79.90M,79.90M,8.00M,,,12.00M,-73.80M,-26.60M,,,39.50M,-48.90M,371.30M,-43.30M,,-43.30M,,,9.30M,-34.00M,,2.50M,21.30M,-220.30M,-199.00M,,-129.40M,,,-325.90M,265.30M,11.40M,-5.20M,271.50M,21.30M,,,-220.30M,
2003-12,372.10M,,,,-74.40M,84.90M,84.90M,-66.20M,,,-4.00M,71.20M,113.10M,,,-8.70M,171.60M,488.00M,-115.00M,,12.60M,,-9.40M,15.80M,19.00M,,-160.80M,7.80M,-206.20M,-198.40M,,-140.40M,,,-499.60M,256.10M,7.40M,1.80M,265.30M,7.80M,,,-206.20M,
2003-09,365.40M,,,,0.00,77.00M,77.00M,18.40M,,,-1.10M,-1.20M,67.40M,,-31.20M,54.70M,88.60M,549.40M,-65.90M,,-65.90M,,4.50M,0.60M,-60.80M,,-217.50M,7.80M,-112.90M,-105.10M,,-129.40M,,,-452.00M,219.20M,36.60M,0.30M,256.10M,7.80M,,,-112.90M,
2003-06,359.80M,,,,-63.10M,77.90M,77.90M,-1.00M,,,0.90M,-12.70M,45.90M,,-39.00M,-5.50M,-10.40M,363.20M,-73.00M,,-73.00M,,46.80M,13.10M,-13.10M,,-168.60M,63.70M,-148.50M,-84.80M,,-139.60M,,55.40M,-337.60M,205.80M,12.50M,0.90M,219.20M,63.70M,,,-148.50M,
2003-03,324.00M,,,,,75.70M,75.70M,,,,-10.20M,-60.40M,-37.70M,,70.20M,5.50M,-32.60M,367.10M,-48.20M,,-48.20M,,,-14.50M,-62.70M,,-27.90M,,-87.30M,-87.30M,,-97.40M,,-55.40M,-268.00M,167.90M,36.40M,1.50M,205.80M,,,,-87.30M,
2002-12,340.90M,,,,-115.20M,77.80M,77.80M,-10.80M,,,-0.20M,32.00M,-11.10M,,30.60M,13.70M,65.00M,357.70M,-129.70M,,-129.70M,,1.50M,48.00M,-80.20M,,-32.60M,,-179.00M,-179.00M,,-107.60M,,8.20M,-311.00M,200.70M,-33.50M,0.70M,167.90M,,,,-179.00M,
2002-09,330.70M,,,,,73.50M,73.50M,37.60M,,,-12.80M,7.20M,101.50M,,-3.10M,19.80M,112.60M,554.40M,-92.40M,,-92.40M,,58.80M,-50.00M,-83.60M,,-156.90M,,-272.40M,-272.40M,,-98.00M,,10.30M,-517.00M,247.40M,-46.20M,-0.50M,200.70M,,,,-272.40M,
2002-06,327.00M,,,,1.60M,73.50M,73.50M,-21.50M,,-29.70M,6.90M,-2.70M,61.90M,,-27.50M,-14.50M,24.10M,375.00M,-71.30M,,-71.30M,,-57.80M,37.30M,-91.80M,,198.60M,,-336.00M,-336.00M,,-108.10M,,22.60M,-222.90M,184.80M,60.30M,2.30M,247.40M,,,,-336.00M,
2002-03,289.70M,,,,-1.60M,71.70M,71.70M,,,29.70M,-11.90M,-38.90M,-14.60M,,,,-65.40M,324.10M,-50.30M,,-50.30M,,-1.00M,-50.30M,-101.60M,,191.90M,,-295.50M,-295.50M,,-99.70M,,-5.80M,-209.10M,172.70M,13.40M,-1.30M,184.80M,,,,-295.50M,
2001-12,295.30M,,,,-102.70M,86.00M,86.00M,25.50M,,,-8.40M,45.50M,31.90M,,,33.00M,102.00M,406.10M,-140.70M,,-128.20M,0.00,2.60M,55.60M,-70.00M,,-274.30M,,-171.00M,-171.00M,,-109.00M,,103.20M,-451.10M,289.60M,-115.00M,-1.90M,172.70M,,,,-171.00M,
2001-09,296.20M,,,,-3.80M,83.00M,83.00M,108.40M,,,27.00M,-15.60M,41.70M,,-28.90M,-32.10M,-7.90M,475.90M,-77.20M,,-77.20M,0.00,50.60M,-59.20M,-85.80M,,96.90M,,-353.20M,-353.20M,,-100.60M,,3.60M,-353.30M,251.10M,36.80M,1.70M,289.60M,,,,-353.20M,
2001-06,287.20M,,,,0.80M,83.70M,83.70M,12.50M,,-82.80M,-36.40M,-16.20M,-32.10M,,28.90M,32.10M,-23.70M,277.70M,-75.30M,,-75.30M,-10.20M,-48.60M,11.30M,-122.80M,,302.00M,,-349.80M,-349.80M,,-97.30M,,14.30M,-130.80M,227.90M,24.10M,-0.90M,251.10M,,,,-349.80M,
2001-03,267.90M,,,,-0.80M,83.50M,83.50M,,,82.80M,37.20M,-32.40M,-94.00M,,,,-89.20M,344.20M,-47.00M,,-47.00M,,4.70M,-2.60M,-44.90M,,167.40M,,-356.20M,-356.20M,,-89.80M,,3.10M,-275.50M,206.60M,23.80M,-2.50M,227.90M,,,,-356.20M,
2000-12,286.70M,,,,-239.70M,85.50M,85.50M,197.10M,,,6.90M,53.90M,65.80M,,,-1.80M,124.80M,454.40M,-129.90M,,-27.40M,-15.40M,8.10M,-9.80M,-44.50M,,14.00M,,-336.60M,-336.60M,,-99.10M,,5.90M,-415.80M,210.90M,-5.90M,1.60M,206.60M,,,,-336.60M,
2000-09,275.30M,,,,114.10M,252.30M,252.30M,,,,-98.80M,5.10M,32.00M,,,-155.40M,-217.10M,424.60M,-79.50M,,-79.50M,-19.50M,6.70M,30.20M,-62.10M,,49.10M,,-238.60M,-238.60M,,-91.40M,,-91.30M,-372.20M,224.20M,-9.70M,-3.60M,210.90M,,,,-238.60M,
2000-06,261.90M,,,,4.70M,-84.50M,-84.50M,-73.60M,,,7.90M,3.10M,48.70M,,,155.40M,215.10M,323.60M,-90.00M,,-90.00M,-30.00M,43.50M,-33.70M,-110.20M,,128.50M,,-225.50M,-225.50M,,-100.10M,,2.50M,-194.60M,206.40M,18.80M,-1.00M,224.20M,,,,-225.50M,
2000-03,239.90M,,,,-4.70M,84.50M,84.50M,73.60M,,,-7.90M,-3.10M,-48.70M,,,,-59.70M,333.60M,-67.20M,,-67.20M,,79.10M,-3.70M,8.20M,,-5.60M,,-239.90M,-239.90M,,-91.80M,,3.90M,-333.40M,199.60M,8.40M,-1.60M,206.40M,,,,-239.90M,
1999-12,260.60M,,,,45.30M,91.60M,91.60M,,,,-5.60M,2.20M,-65.50M,,,,-68.90M,328.60M,-191.80M,-1.60M,-193.40M,44.10M,5.50M,-3.70M,-147.50M,,26.30M,,-157.60M,-157.60M,,-101.50M,,-9.80M,-242.60M,262.50M,-61.50M,-1.40M,199.60M,,,,-157.60M,
1999-09,239.70M,,,,41.40M,248.60M,248.60M,,,-114.50M,-75.70M,-85.00M,158.10M,,,,-2.60M,412.60M,-59.60M,91.50M,31.90M,-44.10M,56.70M,-106.50M,-62.00M,,-37.10M,,-164.80M,-164.80M,,-93.00M,,7.70M,-287.20M,0.00,63.40M,1.00M,262.50M,,,,-164.80M,
1999-06,228.10M,,,,,,,,,1.40M,,,,,,,,229.50M,-103.00M,,-103.00M,,-36.80M,90.90M,-48.90M,,15.70M,,-109.90M,-109.90M,,-90.70M,,14.40M,-170.50M,0.00,10.10M,-1.00M,0.00,,,,-109.90M,
1999-03,208.90M,,,,,,,,,113.10M,,,,,,,,322.00M,-62.50M,,-62.50M,,-2.70M,-7.90M,-73.10M,,59.60M,,-192.10M,-192.10M,,-80.80M,,-26.50M,-239.80M,181.70M,9.10M,-1.80M,0.00,,,,-192.10M,
1998-12,234.20M,,,,,,,,,-221.10M,,,,,,,,343.30M,-174.30M,-58.90M,-233.20M,,13.30M,56.10M,-163.80M,,5.10M,,-119.30M,-119.30M,,-89.10M,,-4.50M,-207.80M,0.00,-28.30M,0.00,181.70M,,,,-119.30M,
1998-09,214.90M,,,,,,,,,139.70M,,,,,,,,354.60M,-79.70M,58.90M,-20.80M,,11.80M,-10.60M,-19.60M,,49.10M,,-249.50M,-249.50M,,-81.90M,,-20.70M,-303.00M,0.00,32.00M,1.90M,0.00,,,,-249.50M,
1998-06,203.50M,,,,,,,,,74.50M,,,,,,,,278.00M,-80.60M,,-80.60M,,17.00M,-3.00M,-66.60M,,-35.90M,,-90.00M,-90.00M,,-90.80M,,5.10M,-211.60M,0.00,-0.20M,0.10M,0.00,,,,-90.00M,
