,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,NotesReceivable,TotalReceivables,RestrictedCash,TotalCurrentAssets,OtherProperties,GrossPP&E,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,UnrealizedGainorLoss-Total,AccruedComprehensiveInc,ShareholdersEquity
2002-03,,171.20M,,171.20M,222.35M,,313.96M,554.47M,249.96M,975.62M,,,,,,1.026B,,282.76M,7.955B,8.931B,178.67M,,,9.664M,188.34M,188.34M,,188.34M,3.970B,,3.970B,,11.76M,11.76M,,2.085B,51.84M,6.119B,6.307B,312.92M,-120.37M,2.421B,308.68M,,-0.055M,2.623B
2001-12,,265.58M,,265.58M,250.16M,,258.56M,526.91M,204.46M,996.96M,,,,,,1.397B,,199.43M,5.780B,6.777B,179.60M,,,6.708M,186.30M,186.30M,,186.30M,2.477B,,2.477B,,,11.94M,,1.480B,51.90M,4.021B,4.207B,472.94M,-95.65M,2.163B,468.98M,,-2.98M,2.570B
2001-09,,187.88M,,187.88M,197.34M,,216.50M,432.92M,200.65M,821.45M,,,,,,1.401B,,272.89M,5.708B,6.530B,146.83M,,,42.88M,189.71M,189.71M,,189.71M,2.686B,,2.686B,,7.467M,7.467M,,1.468B,1.493M,4.164B,4.353B,482.91M,-62.37M,1.775B,479.35M,,-13.96M,2.177B
2001-06,,119.92M,,119.92M,178.91M,,213.43M,411.87M,186.51M,718.30M,,,,,,1.398B,,251.89M,5.784B,6.503B,142.78M,,,39.64M,182.42M,182.42M,,182.42M,2.734B,,2.734B,,7.595M,7.595M,,1.465B,1.725M,4.208B,4.390B,485.88M,-77.60M,1.716B,482.40M,,-7.266M,2.112B
2001-03,,111.98M,,111.98M,171.56M,,197.79M,388.77M,185.26M,686.01M,,,,,,1.427B,,255.72M,5.789B,6.475B,134.83M,,,35.38M,170.21M,170.21M,,170.21M,2.745B,,2.745B,,7.724M,7.724M,,1.463B,1.855M,4.217B,4.388B,485.63M,-88.72M,1.711B,482.16M,,-15.80M,2.087B
2000-12,,136.99M,,136.99M,,,,,,136.99M,,,3.961B,,,,,,3.961B,6.403B,,,,,,,,,,,,,,,1.458B,,,,2.867B,484.93M,-90.37M,1.709B,481.46M,,-25.13M,2.079B
2000-09,,164.28M,,164.28M,154.14M,,187.84M,361.48M,213.95M,739.72M,,,,,,1.580B,,168.30M,5.445B,6.184B,104.18M,,,37.80M,141.98M,141.98M,,141.98M,2.504B,,2.504B,,7.976M,7.976M,,1.447B,2.683M,3.961B,4.103B,484.21M,-86.91M,1.710B,480.74M,,-16.70M,2.081B
2000-06,,99.14M,,99.14M,129.06M,,57.38M,205.84M,34.22M,339.19M,,,,,,1.533B,,149.85M,5.339B,5.678B,98.97M,,,36.01M,134.98M,134.98M,,134.98M,2.039B,,2.039B,,8.10M,8.10M,,1.419B,2.628M,3.469B,3.604B,483.48M,-104.23M,1.703B,480.02M,,-3.704M,2.074B
2000-03,,104.71M,,104.71M,119.65M,,55.75M,193.70M,31.63M,330.03M,,,,,,1.528B,,150.24M,5.300B,5.630B,114.13M,,,36.15M,150.29M,150.29M,,150.29M,2.111B,,2.111B,,8.225M,8.225M,,1.237B,2.573M,3.359B,3.509B,482.77M,-110.53M,1.703B,479.30M,,50.75M,2.121B
1999-12,,112.60M,,112.60M,,,,131.90M,,244.50M,,,3.613B,,,,,,3.813B,5.479B,,,,,142.00M,142.00M,,142.00M,2.049B,,2.049B,,,,1.222B,,,2.049B,2.202B,482.10M,-117.00M,1.697B,478.60M,,-6.20M,2.055B
1999-09,,140.75M,,140.75M,115.01M,,50.06M,183.14M,18.41M,342.31M,,,,,,1.272B,,114.12M,4.966B,5.308B,101.06M,,,33.34M,134.40M,134.40M,,134.40M,2.073B,,2.073B,,8.468M,8.468M,,1.061B,3.882M,3.147B,3.281B,481.47M,-112.99M,1.684B,478.03M,,-20.23M,2.027B
1999-06,,61.51M,,61.51M,97.82M,,57.28M,172.90M,19.65M,254.06M,,,,,,1.244B,,113.88M,4.612B,4.866B,92.15M,,,36.40M,128.55M,128.55M,,128.55M,1.965B,,1.965B,,8.594M,8.594M,,739.85M,3.855M,2.717B,2.845B,480.91M,-120.41M,1.683B,477.48M,,-17.60M,2.021B
1999-03,,80.14M,,80.14M,92.67M,,71.25M,181.40M,18.54M,280.08M,,,,,,1.220B,,101.62M,4.568B,4.848B,87.48M,,,35.41M,122.89M,122.89M,,122.89M,2.107B,,2.107B,,8.725M,8.725M,,734.32M,3.84M,2.854B,2.977B,369.18M,-126.67M,1.654B,365.78M,,-19.98M,1.871B
1998-12,,167.80M,,167.80M,,,,95.90M,,263.70M,,,3.089B,,,,,,3.257B,4.426B,,,,,145.60M,145.60M,,145.60M,2.051B,,2.051B,,,,433.30M,,,2.051B,2.210B,286.20M,-132.80M,1.653B,282.80M,,-23.90M,1.783B
1998-09,,140.85M,,140.85M,74.63M,10.62M,,100.67M,37.41M,278.94M,,,,,,932.67M,,92.32M,3.849B,4.128B,76.21M,,,34.66M,110.88M,110.88M,,110.88M,1.918B,,1.918B,,9.868M,9.868M,,302.55M,2.735M,2.233B,2.344B,285.41M,-107.38M,1.624B,282.04M,-2.429M,-2.429M,1.784B
1998-06,,257.58M,,257.58M,57.99M,33.88M,,106.94M,26.49M,391.01M,,,,,,736.95M,,73.33M,3.593B,3.984B,76.70M,,,20.00M,96.70M,96.70M,,96.70M,1.809B,,1.809B,,9.906M,9.906M,,305.15M,3.319M,2.127B,2.224B,284.65M,-114.07M,1.591B,281.32M,2.464M,2.464M,1.759B
