,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-06,196.00M,,,,-2.00M,22.00M,22.00M,,,,,,139.00M,,,,,,-109.00M,,246.00M,,-41.00M,-41.00M,1.00M,-235.00M,-791.00M,-1.066B,,1.656B,-32.00M,1.624B,,,-189.00M,,,,,,-101.00M,-13.00M,858.00M,,1.334B,38.00M,1.372B,,,1.924B,-268.00M,,,,,,
2007-03,190.00M,,,,-1.00M,22.00M,22.00M,,,,,,-107.00M,,,,,,138.00M,,242.00M,,-46.00M,-46.00M,2.00M,878.00M,-577.00M,257.00M,,1.20B,-306.00M,894.00M,,,-148.00M,,,,,,-93.00M,5.00M,-599.00M,,1.434B,-100.00M,1.334B,,,1.661B,-461.00M,,,,,,
2006-12,299.00M,,-1.00M,,-1.00M,22.00M,22.00M,,,,,,-71.00M,,,,,,-118.00M,,131.00M,,-57.00M,-57.00M,-43.00M,1.254B,-733.00M,421.00M,,-803.00M,410.00M,-393.00M,,,-76.00M,,,,,,-95.00M,-7.00M,-574.00M,,1.456B,-22.00M,1.434B,,,396.00M,-1.199B,,,,,,
2006-09,200.00M,,1.00M,,13.00M,18.00M,18.00M,,,,,,-95.00M,,,,,,217.00M,,353.00M,,-37.00M,-37.00M,43.00M,-1.338B,-123.00M,-1.455B,,610.00M,-217.00M,393.00M,,,-198.00M,,,,,,-96.00M,-9.00M,894.00M,,1.664B,-208.00M,1.456B,,,614.00M,-4.00M,,,,,,
2006-06,200.00M,,-2.00M,,-2.00M,23.00M,23.00M,,,,,,27.00M,,,,,,-56.00M,,192.00M,,-40.00M,-40.00M,,957.00M,-1.69B,-773.00M,,2.062B,-1.459B,603.00M,,,7.00M,,,,,,-96.00M,18.00M,562.00M,,1.685B,-21.00M,1.664B,,,2.063B,-1.00M,,,,,,
2006-03,194.00M,,2.00M,,2.00M,19.00M,19.00M,,,,,,127.00M,,,,,,-43.00M,,299.00M,,-29.00M,-29.00M,,-1.945B,-1.511B,-3.485B,,154.00M,1.599B,1.753B,,,-72.00M,,,,,,-90.00M,4.00M,3.26B,,1.609B,76.00M,1.685B,,,253.00M,-99.00M,,,,,,
2005-12,207.00M,,,,0.00,-14.00M,-14.00M,,,,,,6.00M,,,,,,1.00M,,200.00M,,-43.00M,-43.00M,,2.267B,-1.021B,1.203B,,-88.00M,61.00M,-27.00M,,,-140.00M,,,,,,-92.00M,20.00M,-1.589B,,1.795B,-186.00M,1.609B,,,11.00M,-99.00M,,,,,,
2005-09,238.00M,,,,-1.00M,31.00M,31.00M,,,,,,-115.00M,,,,,,35.00M,,188.00M,,9.00M,9.00M,,-322.00M,784.00M,471.00M,,-229.00M,133.00M,-96.00M,,,-124.00M,,,,,,-92.00M,4.00M,-551.00M,,1.687B,108.00M,1.795B,,,216.00M,-445.00M,,,,,,
2005-06,217.00M,,,,,34.00M,34.00M,,,,,,-47.00M,,,,,,28.00M,,232.00M,,-75.00M,-75.00M,,163.00M,-1.33B,-1.242B,,18.00M,-300.00M,-282.00M,,,-105.00M,,,,,,-93.00M,-5.00M,862.00M,,1.835B,-148.00M,1.687B,,,50.00M,-32.00M,,,,,,
2005-03,199.00M,,,,,29.00M,29.00M,,,,,,52.00M,,,,,,-54.00M,,226.00M,,-23.00M,-23.00M,,-338.00M,-949.00M,-1.31B,,6.00M,215.00M,221.00M,,,-105.00M,,,,,,-89.00M,-17.00M,1.78B,,1.139B,696.00M,1.835B,,,6.00M,,,,,,,
2004-12,207.00M,,,,0.00,32.00M,32.00M,,,,,,12.00M,,,,,,91.00M,,342.00M,,-14.00M,-14.00M,,1.942B,-1.18B,748.00M,,-93.00M,-32.00M,-125.00M,,,-14.00M,,,,,,-89.00M,16.00M,-1.511B,,1.56B,-421.00M,1.139B,,,5.00M,-98.00M,,,,,,
2004-09,196.00M,,6.00M,,6.00M,26.00M,26.00M,,,,,,-57.00M,,,,,,172.00M,,343.00M,,-38.00M,-38.00M,,1.119B,343.00M,1.424B,,-265.00M,15.00M,-250.00M,,,-70.00M,,,,,,-90.00M,14.00M,-2.072B,,1.865B,-305.00M,1.56B,,,-13.00M,-252.00M,,,,,,
2004-06,192.00M,,-1.00M,,-8.00M,41.00M,41.00M,,,,,,-16.00M,,,,,,-83.00M,,126.00M,,-22.00M,-22.00M,,-17.00M,-158.00M,-197.00M,,119.00M,-41.00M,78.00M,,,-101.00M,,,,,,-90.00M,,275.00M,,1.661B,204.00M,1.865B,,,269.00M,-150.00M,,,,,,
2004-03,162.00M,,-5.00M,,-5.00M,30.00M,30.00M,,,,,,20.00M,,,,,,10.00M,,217.00M,,-21.00M,-21.00M,,-1.865B,200.00M,-1.686B,,-245.00M,-11.00M,-256.00M,,,-113.00M,,,,,,-88.00M,,1.603B,,1.527B,134.00M,1.661B,,,103.00M,-348.00M,,,,,,
2003-12,158.00M,,-3.00M,,-3.00M,46.00M,46.00M,,,,,,47.00M,,,,,,86.00M,,334.00M,,-20.00M,-20.00M,,2.464B,-859.00M,1.585B,,25.00M,-34.00M,-9.00M,,,-22.00M,,,,,,-88.00M,5.00M,-2.347B,,1.955B,-428.00M,1.527B,,,200.00M,-175.00M,,,,,,
2003-09,157.00M,,-13.00M,,-13.00M,18.00M,18.00M,,,,,,6.00M,,,,,,125.00M,,293.00M,,-11.00M,-11.00M,,-1.673B,2.857B,1.173B,,-546.00M,-66.00M,-612.00M,,,2.00M,,,,,,-88.00M,-7.00M,-4.067B,,4.556B,-2.601B,1.955B,,,3.00M,-549.00M,,,,,,
2003-06,170.00M,,-21.00M,,-21.00M,20.00M,20.00M,,,,,,270.00M,,,,,,-3.00M,,436.00M,,-16.00M,-16.00M,,-845.00M,-8.00M,-869.00M,,303.00M,-183.00M,120.00M,,,4.00M,,,,,,-87.00M,1.00M,2.725B,,2.264B,2.292B,4.556B,,,304.00M,-1.00M,,,,,,
2003-03,176.00M,,-12.00M,,-12.00M,15.00M,15.00M,,,,,,96.00M,,,,,,-17.00M,,258.00M,,-12.00M,-12.00M,,-1.865B,-395.00M,-2.272B,,-146.00M,5.00M,-141.00M,,,5.00M,,,,,,-84.00M,-5.00M,2.376B,,1.902B,362.00M,2.264B,,,4.00M,-150.00M,,,,,,
2002-12,206.00M,,-57.00M,,-57.00M,5.00M,5.00M,,,,,,10.00M,,,,,,92.00M,,256.00M,,-29.00M,-29.00M,,-356.00M,-764.00M,-1.149B,,-268.00M,-146.00M,-414.00M,,,2.00M,,,,,,-84.00M,-8.00M,624.00M,,2.171B,-269.00M,1.902B,,,5.00M,-273.00M,,,,,,
2002-09,-3.00M,,6.00M,,-6.00M,25.00M,25.00M,,,,,,655.00M,,,,,,-94.00M,,577.00M,,-21.00M,-21.00M,,-1.075B,-809.00M,-1.905B,,-552.00M,-65.00M,-617.00M,,,-19.00M,,,,,,-84.00M,6.00M,1.751B,,1.748B,423.00M,2.171B,,,130.00M,-682.00M,,,,,,
2002-06,184.00M,,9.00M,,9.00M,16.00M,16.00M,,,,,,-239.00M,,,,,,37.00M,,7.00M,,-16.00M,-16.00M,,234.00M,-529.00M,-311.00M,,-299.00M,-31.00M,-330.00M,,,-77.00M,,,,,,-85.00M,8.00M,246.00M,,1.806B,-58.00M,1.748B,,,105.00M,-404.00M,,,,,,
2002-03,214.00M,,1.00M,,1.00M,15.00M,15.00M,,,,,,167.00M,,,,,,-9.00M,,388.00M,,-14.00M,-14.00M,,-119.00M,417.00M,284.00M,,670.00M,-1.20B,-530.00M,,,-66.00M,,,,,,-78.00M,-6.00M,-791.00M,,1.925B,-119.00M,1.806B,,,866.00M,-196.00M,,,,,,
2001-12,199.00M,,,,,44.00M,44.00M,,,,,,197.00M,,,,,,-108.00M,,281.00M,,-35.00M,-35.00M,,-708.00M,-728.00M,-1.471B,,2.00M,639.00M,641.00M,,,-53.00M,,,,,,-78.00M,2.00M,955.00M,,2.16B,-234.00M,1.925B,,,949.00M,-947.00M,,,,,,
2001-09,209.00M,,,,,24.00M,24.00M,,,,,,-133.00M,,,,,,186.00M,,286.00M,,-8.00M,-8.00M,,-187.00M,495.00M,300.00M,,142.00M,-80.00M,62.00M,,,2.00M,,,,,,-86.00M,-249.00M,-191.00M,,1.764B,396.00M,2.16B,,,906.00M,-764.00M,,,,,,
2001-06,208.41M,,,,,32.76M,32.76M,,,,,,43.92M,,,,,,-63.23M,,221.85M,,-11.86M,-11.86M,,824.69M,-224.21M,588.62M,,-1.945B,747.58M,-1.198B,,,-35.65M,,,,,,-82.81M,-1.249M,-1.055B,,2.009B,-245.12M,1.764B,,,101.00M,-2.046B,,,,,,
2001-03,93.59M,,,,,17.24M,17.24M,,,,,,13.08M,,,,,,27.23M,,151.15M,,-13.14M,-13.14M,,350.31M,-828.79M,-491.62M,,-1.050B,-1.414B,-2.463B,,,30.65M,,,,,,-67.19M,0.249M,418.60M,,1.931B,78.12M,2.009B,,,125.00M,-1.175B,,,,,,
2000-12,172.60M,,,,,-8.024M,-8.024M,,,,,,90.11M,,,,,,44.27M,,298.96M,,45.07M,45.07M,,-230.97M,-1.090B,-1.276B,,449.41M,-1.245B,-795.64M,,,20.58M,,,,,,-66.86M,-17.14M,949.09M,,1.959B,-28.35M,1.931B,,,1.315B,-865.19M,,,,,,
2000-09,215.06M,,,,,26.79M,26.79M,,,,,,101.25M,,,,,,-2.195M,,340.90M,,-17.53M,-17.53M,,-182.42M,-235.37M,-435.32M,,-564.26M,-27.06M,-591.32M,,,-31.04M,,,,,,-66.89M,,-188.48M,,2.242B,-282.90M,1.959B,,,1.198B,-1.762B,,,,,,
2000-06,206.05M,,,,,41.50M,41.50M,,,,,,-119.55M,,,,,,20.04M,,148.03M,,-18.25M,-18.25M,-445.27M,143.27M,-772.60M,-1.093B,,294.09M,-1.074B,-779.51M,,,1.668M,,,,,,-66.78M,26.63M,1.332B,,1.855B,386.82M,2.242B,,,2.120B,-1.826B,,,,,,
2000-03,197.03M,,,,,10.72M,10.72M,,,,,,-23.06M,,,,,,-32.77M,,151.93M,,-9.282M,-9.282M,445.27M,196.14M,-1.375B,-743.14M,,-680.00M,1.514B,834.38M,,,-10.38M,,,,,,-60.56M,-26.63M,936.55M,,1.510B,345.35M,1.855B,,,1.471B,-2.151B,,,,,,
1999-12,262.52M,,-1.90M,,-1.90M,40.69M,40.69M,,,,,,55.04M,,,,,,64.04M,,420.38M,,26.30M,26.30M,,-878.70M,-1.549B,-2.401B,,318.19M,638.54M,956.73M,,,-3.871M,,,,,,-60.65M,31.48M,1.650B,,1.486B,-331.26M,1.510B,,,973.36M,-655.17M,,,,,,
1999-09,170.40M,,1.90M,,1.90M,22.70M,22.70M,,,,,,108.70M,,,,,,37.50M,,341.20M,,-5.30M,-5.30M,,84.00M,-559.40M,-480.70M,,1.122B,-1.52B,-398.40M,,,1.60M,,,,,,-60.50M,0.10M,89.60M,,1.536B,-50.00M,1.486B,,,1.872B,-750.50M,,,,,,
1999-06,167.39M,,,,,22.63M,22.63M,,,,,,6.90M,,,,,,-63.58M,,133.34M,,-11.98M,-11.98M,,120.66M,-621.51M,-512.83M,,502.41M,212.75M,715.16M,,,3.108M,,,,,,-60.38M,-0.10M,425.98M,,1.489B,46.50M,1.536B,,,1.278B,-775.49M,,,,,,
1999-03,159.11M,,,,,22.67M,22.67M,,,,,,18.10M,,,,,,58.18M,,258.06M,,-9.022M,-9.022M,,232.64M,-396.19M,-172.57M,,1.449B,-47.35M,1.402B,,,10.39M,,,,,,-54.12M,,-369.38M,,1.773B,-283.90M,1.489B,,,2.25B,-800.51M,,,,,,
1998-12,157.80M,,2.80M,,2.80M,23.10M,23.10M,,,,,,-141.10M,,,,,,192.20M,,234.80M,,-6.10M,-6.10M,,388.00M,-2.148B,-1.766B,,-350.40M,251.00M,-99.40M,,,14.10M,,,,,,-53.90M,-0.70M,1.940B,,1.364B,409.00M,1.773B,,,700.00M,-1.050B,,,,,,
1998-09,154.50M,,-4.00M,,-4.00M,36.60M,36.60M,,,,,,-99.30M,,,,,,28.00M,,115.80M,,-12.70M,-12.70M,,377.70M,-591.00M,-226.00M,,-45.80M,-262.30M,-308.10M,,,4.80M,,,,,,-54.20M,-5.40M,-748.10M,,2.222B,-858.40M,1.364B,,,992.10M,-1.038B,,,,,,
1998-06,150.40M,,-1.00M,,-1.00M,7.50M,7.50M,,,,,,423.80M,,,,,,-178.60M,,402.10M,,-12.30M,-12.30M,,219.50M,1.214B,1.422B,,-1.067B,296.60M,-770.10M,,,-85.30M,,,,,,-54.60M,0.10M,-1.485B,,1.883B,339.40M,2.222B,,,707.90M,-1.775B,,,,,,
1998-03,144.40M,,5.00M,,5.00M,20.80M,20.80M,,,,,,-213.90M,,,,,,-19.10M,,-62.80M,,-4.50M,-4.50M,,305.10M,-360.30M,-59.70M,,-549.60M,102.00M,-447.60M,,,-31.40M,,,,,,-49.30M,-0.10M,78.60M,,1.927B,-44.00M,1.883B,,,800.00M,-1.350B,,,,,,
1997-12,140.00M,,-3.10M,,-3.40M,21.40M,21.40M,,,,,,-200.20M,,,,,,87.40M,,45.20M,,-10.10M,-10.10M,,598.60M,-817.80M,-229.30M,,670.90M,-898.10M,-227.20M,,,-63.90M,,,,,,-4.30M,-7.80M,224.80M,,0.00,40.80M,1.927B,,,1.075B,-404.10M,,,,,,
1997-09,137.00M,,0.10M,,0.40M,21.60M,21.60M,,,,,,129.80M,,,,,,-10.10M,,278.70M,,-9.90M,-9.90M,,204.20M,-386.90M,-192.60M,,544.90M,56.40M,601.30M,,,-33.20M,,,,,,-95.00M,-4.40M,-149.60M,,0.00,-63.60M,0.00,,,1.295B,-750.10M,,,,,,
1997-06,129.70M,,0.20M,,0.20M,21.40M,21.40M,,,,,,-74.50M,,,,,,-51.40M,,25.40M,,-5.30M,-5.30M,,-47.20M,-633.20M,-685.70M,,578.50M,-129.40M,449.10M,,,-17.50M,,,,,,-50.00M,-4.10M,906.30M,,0.00,246.00M,0.00,,,1.78B,-1.202B,,,,,,
1997-03,123.80M,,-0.30M,,-0.30M,22.50M,22.50M,,,,,,92.00M,,,,,,4.70M,,242.70M,,-5.70M,-5.70M,,-102.70M,-900.80M,-1.009B,,1.250B,-325.20M,925.10M,,,-92.60M,,,,,,-46.10M,1.60M,568.60M,,1.902B,-197.90M,0.00,,,1.45B,-199.70M,,,,,,
1996-12,60.90M,,-1.80M,,-1.80M,24.50M,24.50M,,,,,,84.50M,,,,,,17.60M,,185.70M,,1.20M,1.20M,,1.044B,-844.40M,201.30M,,-250.30M,-472.60M,-722.90M,,,-17.60M,,,-0.10M,,,-46.90M,-26.90M,-310.30M,,0.00,76.70M,1.902B,,,400.00M,-650.30M,,,,,,
1996-09,121.50M,,0.90M,,0.90M,23.50M,23.50M,,,,,,168.50M,,,,,,-66.60M,,247.80M,,-15.70M,-15.70M,,-178.90M,235.20M,40.60M,,-453.00M,880.80M,427.80M,,,-380.80M,,,-0.10M,,,-45.10M,-43.60M,-140.90M,,0.00,147.70M,0.00,,,750.00M,-1.203B,,,,,,
1996-06,118.20M,,4.00M,,4.00M,24.60M,24.60M,,,,,,-77.10M,,,,,,-18.60M,,51.10M,,-18.80M,-18.80M,,714.60M,-727.10M,-31.30M,,299.20M,-26.70M,272.50M,,,-118.30M,,,246.90M,,,-41.30M,29.80M,427.40M,,0.00,447.10M,0.00,,,900.00M,-600.80M,,,,,,
1996-03,116.60M,,1.60M,,1.60M,25.00M,25.00M,,,,,,663.90M,,,,,,28.80M,,835.90M,,-12.70M,-12.70M,,523.20M,-409.40M,101.10M,,101.40M,-510.60M,-409.20M,,,-70.30M,,,,,,-40.10M,53.20M,-1.735B,,2.028B,-798.10M,0.00,,,201.00M,-99.60M,,,,,,
1995-12,106.50M,,-5.80M,,-5.80M,24.10M,24.10M,,,,,,-574.20M,,,,,,-10.80M,,-460.20M,,-13.10M,-13.10M,,1.130B,-4.00M,1.113B,,-304.20M,-755.20M,-1.059B,,,-4.70M,,,,,,-39.90M,-13.80M,-147.60M,,0.00,504.90M,0.00,,,500.00M,-804.20M,,,,,,
1995-09,105.30M,,4.50M,,4.50M,23.60M,23.60M,,,,,,26.30M,,,,,,98.00M,,257.70M,,-12.30M,-12.30M,,279.60M,-367.70M,-100.40M,,537.30M,-917.30M,-380.00M,,,-3.40M,,,,,,-41.20M,-6.00M,-308.60M,,0.00,-151.20M,0.00,,,1.10B,-562.70M,,,,,,
1995-06,101.60M,,-7.00M,,-7.00M,22.10M,22.10M,,,,,,-175.30M,,,,,,0.10M,,-58.50M,,-16.00M,-16.00M,,-213.30M,-906.20M,-1.136B,,533.50M,898.60M,1.432B,,,-124.00M,,,,,,-37.20M,-3.30M,1.240B,,0.00,46.40M,0.00,,,1.26B,-726.50M,,,,,,
1995-03,100.00M,,2.00M,,2.00M,23.20M,23.20M,,,,,,4.60M,,,,,,-17.40M,,112.40M,,-20.90M,-20.90M,,340.00M,-646.40M,-327.30M,,-224.80M,1.243B,1.018B,,,-34.90M,,,,,,-37.40M,10.00M,20.90M,,1.822B,-194.00M,0.00,,,100.00M,-324.80M,,,,,,
1994-12,96.60M,,4.20M,,4.20M,23.90M,23.90M,,,,,,65.00M,,,,,,-28.90M,,160.80M,,-13.00M,-13.00M,,118.00M,-1.404B,-1.299B,,495.60M,-978.50M,-482.90M,,,-31.90M,,,,,,-37.90M,-5.00M,1.55B,,0.00,411.40M,0.00,,,800.00M,-304.40M,,,,,,
1994-09,100.60M,,0.80M,,0.80M,22.10M,22.10M,,,,,,17.80M,,,,,,4.10M,,145.40M,,-27.30M,-27.30M,,459.40M,-391.60M,40.50M,,897.10M,-327.40M,569.70M,,,-10.10M,,,,,,-38.00M,-1.00M,-202.70M,,0.00,-16.70M,0.00,,,1.15B,-252.90M,,,,,,
1994-06,99.10M,,-3.50M,,-3.50M,22.70M,22.70M,,,,,,64.60M,,,,,,-98.80M,,84.10M,,-22.00M,-22.00M,,576.70M,-260.80M,293.90M,,819.70M,-349.00M,470.70M,,,-3.60M,,,,,,-31.90M,4.40M,-537.30M,,0.00,-159.40M,0.00,,,1.10B,-280.30M,,,,,,
1994-03,90.90M,,-2.20M,,-2.20M,20.80M,20.80M,,,,,,155.90M,,,,,,48.30M,,313.70M,,-16.20M,-16.20M,,-810.30M,-361.10M,-1.188B,,425.00M,598.40M,1.023B,,,-25.30M,,,,,,-32.20M,-3.00M,860.20M,,1.601B,-13.70M,0.00,,,500.00M,-75.00M,,,,,,
1993-12,90.10M,,105.80M,,105.80M,13.50M,13.50M,,,,,,-107.20M,,,,,,-104.10M,,-1.90M,,-27.90M,-27.90M,,-1.09B,-364.30M,-1.482B,,193.30M,878.40M,1.072B,,,-113.00M,,,0.00,,,-33.20M,-3.80M,1.677B,,0.00,193.20M,0.00,,,300.00M,-106.70M,,,,,,
1993-09,83.60M,,-98.60M,,-98.60M,13.60M,13.60M,,,,,,-100.60M,,,,,,118.60M,,16.60M,,-16.10M,-16.10M,,-149.80M,-853.10M,-1.019B,,169.10M,1.383B,1.552B,,,-3.50M,,,0.00,,,-30.40M,-10.80M,971.00M,,0.00,-31.40M,0.00,,,255.00M,-85.90M,,,,,,
1993-06,86.20M,,-7.90M,,-7.90M,14.30M,14.30M,,,,,,-56.10M,,,,,,-44.60M,,-8.10M,,-24.60M,-24.60M,,-212.30M,-363.20M,-600.10M,,196.40M,154.40M,350.80M,,,-8.80M,,,0.00,,,-29.60M,14.20M,157.70M,,0.00,-450.50M,0.00,,,275.00M,-78.60M,,,,,,
1993-03,80.70M,,106.50M,,106.50M,13.10M,13.10M,,,,,,147.80M,,,,,,43.20M,,391.30M,,-10.70M,-10.70M,,-261.90M,616.30M,343.70M,,165.70M,-237.20M,-71.50M,,,5.90M,,,-41.80M,,,-31.10M,12.80M,-425.20M,,1.496B,309.70M,0.00,,,175.00M,-9.30M,,,,,,
1992-12,84.00M,,-36.40M,,-36.40M,13.10M,13.10M,,,,,,-133.00M,,,,,,53.50M,,-18.80M,,-21.10M,-21.10M,,981.20M,-206.80M,753.30M,,241.20M,-836.50M,-595.30M,,,15.80M,,,,,,0.90M,-5.10M,-861.90M,,0.00,-127.60M,0.00,,,-214.30M,455.50M,,,,,,
1992-09,83.00M,,-59.30M,,-59.30M,12.80M,12.80M,,,,,,-16.30M,,,,,,88.50M,,108.70M,,-18.20M,-18.20M,,136.60M,73.70M,192.10M,,198.30M,436.80M,635.10M,,,1.50M,,,,,,-27.70M,-6.20M,-141.80M,,0.00,159.20M,0.00,,,200.00M,-1.70M,,,,,,
1992-06,15.70M,,0.60M,,0.60M,17.40M,17.40M,-14.40M,,,,,286.20M,,,,,,-94.80M,,210.70M,,22.80M,22.80M,,1.363B,-580.30M,805.10M,,-3.70M,-1.436B,-1.440B,,,8.00M,,,,,,-38.80M,8.40M,-974.70M,,0.00,41.00M,0.00,,,,-3.70M,,,,,,
1992-03,43.30M,,,,,8.00M,8.00M,14.40M,,,,,-44.80M,,,,,,11.50M,,32.40M,,-22.80M,-22.80M,,125.00M,163.10M,265.30M,,-0.10M,-182.80M,-182.90M,,,2.70M,,,,,,-14.70M,-0.10M,-334.30M,,780.80M,-36.60M,0.00,,,,-0.10M,,,,,,
1991-12,41.90M,,,,,3.60M,3.60M,7.30M,,,,,-41.60M,,,,,,-65.70M,,-43.00M,,-11.90M,-11.90M,,-164.40M,77.90M,-98.40M,,-17.40M,63.40M,46.00M,,,0.00,,,,,,-16.40M,0.00,102.90M,,0.00,-38.40M,0.00,,,,-17.40M,,,,,,
1991-09,38.30M,,,,,24.90M,24.90M,-25.30M,,,,,50.70M,,,,,,-30.30M,,58.30M,,-7.70M,-7.70M,,98.50M,-453.10M,-362.30M,,-0.10M,385.00M,384.90M,,,-0.20M,,,,,,-14.60M,1.70M,374.40M,,0.00,70.40M,0.00,,,,-0.10M,,,,,,
1991-06,37.80M,,,,,-8.70M,-8.70M,12.40M,,,,,15.00M,,,,,,32.20M,,88.70M,,-10.30M,-10.30M,,125.10M,-212.40M,-97.60M,,-0.80M,-144.70M,-145.50M,,,105.00M,,,,,,-14.40M,6.50M,146.10M,,0.00,137.20M,0.00,,,,-0.80M,,,,,,
1991-03,35.40M,,,,,7.80M,7.80M,2.50M,,,,,-21.50M,,,,,,9.30M,,33.50M,,-12.70M,-12.70M,,0.20M,164.80M,152.30M,,-0.10M,-63.20M,-63.30M,,,2.60M,,,,,,-12.60M,-0.20M,-263.80M,,689.70M,-78.00M,0.00,,,,-0.10M,,,,,,
1990-12,31.40M,,,,,9.90M,9.90M,-2.90M,,,,,23.30M,,,,,,-41.90M,,19.80M,,-13.20M,-13.20M,,-302.30M,259.40M,-56.10M,,-6.10M,26.90M,20.80M,,,-0.40M,,,,,,-11.60M,-0.20M,-17.40M,,0.00,-53.70M,0.00,,,,-6.10M,,,,,,
1990-09,33.40M,,,,,7.90M,7.90M,11.30M,,,,,-14.60M,,,,,,30.40M,,68.40M,,-11.10M,-11.10M,,-25.00M,-68.50M,-104.60M,,-0.20M,171.10M,170.90M,,,0.20M,,,,,,-11.70M,0.00,57.60M,,0.00,21.40M,0.00,,,,-0.20M,,,,,,
1990-06,32.20M,,,,,5.80M,5.80M,5.40M,,,,,-1.10M,,,,,,-2.00M,,40.30M,,-9.70M,-9.70M,,125.90M,-271.60M,-155.40M,,-0.40M,67.80M,67.40M,,,0.00,,,,,,-12.50M,0.10M,216.90M,,0.00,101.80M,0.00,,,,-0.40M,,,,,,
1990-03,31.50M,,,,,6.10M,6.10M,11.90M,,,,,6.50M,,,,,,21.00M,,77.00M,,-9.10M,-9.10M,,-171.70M,237.20M,56.40M,,-0.10M,-86.90M,-87.00M,,,0.40M,,,,,,-9.90M,,-232.70M,,684.30M,-99.30M,0.00,,,,-0.10M,,,,,,
