,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
1997-03,481.20M,481.20M,,132.90M,132.90M,,132.90M,0.10M,351.80M,191.50M,67.70M,123.80M,,4.30M,123.80M,123.80M,22.50M,467.00M,,0.75,0.00,0.75,0.75,,0.74,0.00,0.74,0.74,,159.33M,161.49M,0.2867,,,
1996-12,485.80M,485.80M,,136.80M,136.80M,,136.80M,10.20M,353.30M,97.50M,36.60M,60.90M,,,60.90M,60.90M,24.50M,377.00M,,0.36,0.00,0.36,0.36,,0.35,0.00,0.35,0.35,,156.10M,159.50M,0.26,,,
1996-09,469.60M,469.60M,,135.10M,135.10M,,135.10M,-0.30M,353.30M,187.40M,65.90M,121.50M,,,121.50M,121.50M,23.50M,467.60M,,0.71,0.00,0.71,0.71,,0.70,0.00,0.70,0.70,,171.13M,173.57M,0.26,,,
1996-06,477.30M,477.30M,,143.00M,143.00M,,143.00M,3.30M,356.50M,182.10M,63.90M,118.20M,,,118.20M,118.20M,24.60M,467.80M,,0.68,0.00,0.68,0.68,,0.67,0.00,0.67,0.67,,173.82M,176.42M,0.26,,,
1996-03,486.70M,486.70M,,145.90M,145.90M,,145.90M,0.40M,349.30M,179.20M,62.60M,116.60M,,,116.60M,116.60M,25.00M,484.40M,,0.65,0.00,0.65,0.65,,0.65,0.00,0.65,0.65,,179.38M,179.38M,0.2333,,,
1995-12,470.10M,470.10M,,141.80M,141.80M,,141.80M,10.90M,341.00M,160.10M,53.60M,106.50M,,,106.50M,106.50M,24.10M,489.70M,,0.63,0.00,0.63,0.63,,0.63,0.00,0.63,0.63,,168.68M,168.68M,0.2333,,,
1995-09,451.40M,451.40M,,142.50M,142.50M,,142.50M,0.50M,323.30M,160.50M,55.20M,105.30M,,,105.30M,105.30M,23.60M,498.90M,,0.61,0.00,0.61,0.61,,0.61,0.00,0.61,0.61,,172.62M,172.62M,0.2333,,,
1995-06,445.00M,445.00M,,140.80M,140.80M,,140.80M,0.10M,323.10M,153.40M,51.90M,101.50M,,,101.50M,101.50M,22.10M,490.30M,,0.57,0.00,0.57,0.57,,0.57,0.00,0.57,0.57,,178.07M,178.07M,0.2333,,,
1995-03,432.00M,432.00M,,137.10M,137.10M,,137.10M,0.20M,312.50M,151.60M,51.60M,100.00M,,,100.00M,100.00M,23.20M,460.70M,,0.57,0.00,0.57,0.57,,0.57,0.00,0.57,0.57,,175.44M,175.44M,0.2133,,,
1994-12,434.90M,434.90M,,142.20M,142.20M,,142.20M,1.10M,312.30M,144.00M,47.40M,96.60M,,,96.60M,96.60M,23.90M,413.20M,,0.5467,0.00,0.5467,0.5467,,0.5467,0.00,0.5467,0.5467,,177.37M,177.37M,0.2133,,,
1994-09,429.60M,429.60M,,138.50M,138.50M,,138.50M,1.50M,313.00M,152.50M,51.90M,100.60M,,,100.60M,100.60M,22.10M,380.40M,,0.56,0.00,0.56,0.56,,0.56,0.00,0.56,0.56,,179.64M,179.64M,0.2134,,,
1994-06,430.00M,430.00M,,136.20M,136.20M,,136.20M,0.40M,314.60M,150.10M,50.90M,99.20M,,,99.20M,99.20M,22.70M,349.60M,,0.55,0.00,0.55,0.55,,0.55,0.00,0.55,0.55,,180.36M,180.36M,0.2134,,,
1994-03,402.20M,402.20M,,131.70M,131.70M,,131.70M,0.40M,290.30M,135.60M,44.70M,90.90M,,,90.90M,90.90M,20.80M,300.70M,,0.53,0.00,0.53,0.53,,0.53,0.00,0.53,0.53,,171.51M,171.51M,0.1868,,,
1993-12,419.40M,419.40M,,125.50M,125.50M,,125.50M,0.40M,288.10M,128.50M,38.40M,90.10M,,,90.10M,90.10M,13.50M,292.00M,,0.53,0.00,0.53,0.53,,0.51,0.00,0.51,0.51,,168.94M,176.41M,0.1868,,,
1993-09,389.90M,389.90M,,133.10M,133.10M,,133.10M,0.50M,279.90M,121.10M,37.40M,83.70M,,,83.70M,83.70M,13.60M,279.30M,,0.47,0.00,0.47,0.47,,0.47,0.00,0.47,0.47,,178.09M,178.09M,0.1868,,,
1993-06,395.10M,395.10M,,135.40M,135.40M,,135.40M,0.40M,283.60M,121.80M,38.10M,83.70M,,,83.70M,83.70M,14.30M,284.20M,,0.47,0.00,0.47,0.47,,0.47,0.00,0.47,0.47,,178.09M,178.09M,0.1701,,,
1993-03,382.90M,382.90M,,131.20M,131.20M,,131.20M,0.60M,275.10M,113.90M,33.20M,80.70M,,,80.70M,80.70M,13.10M,275.00M,,0.46,0.00,0.46,0.46,,0.45,0.00,0.45,0.45,,175.43M,179.33M,0.1701,,,
1992-12,374.80M,374.80M,,127.30M,127.30M,,127.30M,2.90M,274.20M,112.30M,28.30M,84.00M,,,84.00M,84.00M,13.10M,281.20M,,-0.17,0.00,-0.17,-0.17,,-0.17,0.00,-0.17,-0.17,,175.31M,177.50M,0.1701,,,
1992-09,372.90M,372.90M,,126.10M,126.10M,,126.10M,0.40M,271.50M,117.00M,33.90M,83.10M,,,83.10M,83.10M,12.80M,300.50M,,0.47,0.00,0.47,0.47,,0.47,0.00,0.47,0.47,,176.81M,176.81M,0.1567,,,
1992-06,369.50M,369.50M,,123.20M,123.20M,,123.20M,0.20M,271.20M,-21.70M,-6.30M,-15.40M,,,-15.40M,-15.40M,17.40M,183.60M,,-0.09,0.00,-0.09,-0.09,,-0.09,0.00,-0.09,-0.09,,171.11M,171.11M,0.1567,,,
1992-03,209.20M,209.20M,,69.50M,69.50M,,69.50M,0.10M,160.60M,62.80M,19.50M,43.30M,,,43.30M,43.30M,8.00M,183.30M,,0.45,0.00,0.45,0.45,,0.45,0.00,0.45,0.45,,96.22M,96.22M,0.1567,,,
1991-12,206.70M,206.70M,,128.70M,128.70M,,128.70M,0.00,155.80M,59.20M,17.30M,41.90M,,,41.90M,41.90M,3.60M,202.70M,,0.44,0.00,0.44,0.44,,0.44,0.00,0.44,0.44,,95.48M,95.48M,0.1567,,,
1991-09,195.90M,195.90M,,67.70M,67.70M,,67.70M,0.50M,150.80M,54.10M,15.80M,38.30M,,,38.30M,38.30M,24.90M,208.10M,,0.40,0.00,0.40,0.40,,0.40,0.00,0.40,0.40,,95.75M,95.75M,0.1567,,,
1991-06,190.10M,190.10M,,64.90M,64.90M,,64.90M,,145.70M,53.80M,16.00M,37.80M,,,37.80M,37.80M,-8.70M,209.90M,,0.43,0.00,0.43,0.43,,0.43,0.00,0.43,0.43,,87.91M,87.91M,0.1566,,,
1991-03,184.50M,184.50M,,63.70M,63.70M,,63.70M,0.40M,142.50M,50.20M,14.80M,35.40M,,,35.40M,35.40M,7.80M,220.90M,,0.41,0.00,0.41,0.41,,0.41,0.00,0.41,0.41,,86.34M,86.34M,0.1445,,,
1990-12,172.90M,172.90M,,61.00M,61.00M,,61.00M,0.20M,130.60M,41.70M,10.30M,31.40M,,,31.40M,31.40M,9.90M,217.40M,,0.41,0.00,0.41,0.41,,0.40,0.00,0.40,0.40,,76.58M,78.48M,0.1445,,,
1990-09,163.80M,163.80M,,58.90M,58.90M,,58.90M,0.30M,123.30M,44.80M,11.50M,33.30M,,,33.30M,33.30M,7.90M,210.60M,,0.44,0.00,0.44,0.44,,0.43,0.00,0.43,0.43,,75.68M,77.44M,0.1445,,,
1990-06,159.60M,159.60M,,56.80M,56.80M,,56.80M,,121.40M,42.50M,10.30M,32.20M,,,32.20M,32.20M,5.80M,208.40M,,0.43,0.00,0.43,0.43,,0.41,0.00,0.41,0.41,,74.88M,78.54M,0.1445,,,
1990-03,154.30M,154.30M,,55.70M,55.70M,,55.70M,,116.80M,42.40M,10.90M,31.50M,,,31.50M,31.50M,6.10M,208.70M,,0.41,0.00,0.41,0.41,,0.41,0.00,0.41,0.41,,76.83M,76.83M,0.1445,,,
1989-12,,,,,,,,,,,,29.00M,,,29.00M,,,,,,,,,,,,,,,,,0.1334,,,
1989-09,,,,,,,,,,,,-9.10M,,,-9.10M,,,-9.10M,,-0.14,0.00,-0.14,-0.14,,-0.14,0.00,-0.14,-0.14,,,,0.1334,,,
1989-06,,,,,,,,,,,,30.30M,,,30.30M,,,,,0.41,0.00,0.41,0.41,,0.41,0.00,0.41,0.41,,,,,,,
1989-03,,,,,,,,,,,,27.40M,,,27.40M,,,,,0.37,0.00,0.37,0.37,,0.36,0.00,0.36,0.36,,,,0.1223,,,
1988-12,,,,,,,,,,,,28.50M,,,28.50M,,,,,,,,,,,,,,,,,0.1112,,,
1988-09,,,,,,,,,,,,28.90M,,,28.90M,,,,,0.39,0.00,0.39,0.39,,0.38,0.00,0.38,0.38,,,,0.1112,,,
1988-06,,,,,,,,,,,,27.80M,,,27.80M,,,,,0.38,0.00,0.38,0.38,,0.37,0.00,0.37,0.37,,,,,,,
1988-03,,,,,,,,,,,,26.90M,,,26.90M,,,,,0.37,0.00,0.37,0.37,,0.35,0.00,0.35,0.35,,,,0.1000,,,
1987-12,,,,,,,,,,,,24.30M,,,24.30M,,,,,,,,,,,,,,,,,0.0889,,,
1987-09,,,,,,,,,,,,24.90M,,,24.90M,,,,,0.33,0.00,0.33,0.33,,0.31,0.00,0.31,0.31,,,,0.0889,,,
1987-06,,,,,,,,,,,,2.20M,,,2.20M,,,,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,,,,,,
1987-03,,,,,,,,,,,,20.00M,,,20.00M,,,,,0.27,0.00,0.27,0.27,,0.26,0.00,0.26,0.26,,,,0.0815,,,
1986-12,,,,,,,,,,,,19.00M,,,19.00M,,,,,,,,,,,,,,,,,0.0815,,,
1986-09,,,,,,,,,,,,16.10M,,,16.10M,,,,,0.21,0.00,0.21,0.21,,0.21,0.00,0.21,0.21,,,,0.0815,,,
1986-06,,,,,,,,,,,,13.70M,,,13.70M,,,,,0.18,0.00,0.18,0.18,,0.17,0.00,0.17,0.17,,,,,,,
1986-03,,,,,,,,,,,,13.00M,,,13.00M,,,,,0.17,0.00,0.17,0.17,,0.16,0.00,0.16,0.16,,,,0.0815,,,
1985-12,,,,,,,,,,,,11.00M,,,11.00M,,,,,,,,,,,,,,,,,0.0815,,,
1985-09,,,,,,,,,,,,8.70M,,,8.70M,,,,,0.11,0.00,0.11,0.11,,0.11,0.00,0.11,0.11,,,,0.0778,,,
1985-06,,,,,,,,,,,,17.30M,,,17.30M,,,,,0.23,0.00,0.23,0.23,,0.21,0.00,0.21,0.21,,,,,,,
1985-03,,,,,,,,,,,,15.70M,,,15.70M,,,,,0.21,0.00,0.21,0.21,,0.19,0.00,0.19,0.19,,,,0.0778,,,
1984-12,,,,,,,,,,,,15.20M,,,15.20M,,,,,,,,,,,,,,,,,0.0778,,,
1984-09,,,,,,,,,,,,14.50M,,,14.50M,,,,,0.18,0.00,0.18,0.18,,0.17,0.00,0.17,0.17,,,,,,,
1984-06,,,,,,,,,,,,14.90M,,,14.90M,,,,,0.19,0.00,0.19,0.19,,0.18,0.00,0.18,0.18,,,,,,,
1984-03,,,,,,,,,,,,12.40M,,,12.40M,,,,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,,,,,,
