,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-03,121.00M,,,6.00M,,,,135.00M,1.00M,,,,,,20.00M,60.00M,-168.00M,,,182.00M,94.00M,,357.00M,-210.00M,,-210.00M,,,,8.00M,-202.00M,,,-100.00M,30.00M,,30.00M,,,,-124.00M,,,-194.00M,69.00M,-39.00M,30.00M,30.00M,,,,4.00M,41.00M
2004-12,83.00M,,,-20.00M,,,,174.00M,296.00M,,,,,,-39.00M,7.00M,221.00M,,,-329.00M,-140.00M,,393.00M,-259.00M,,-259.00M,,8.00M,,-38.00M,-289.00M,,,-574.00M,23.00M,0.00,23.00M,,,,-123.00M,,-8.00M,-682.00M,647.00M,-578.00M,69.00M,23.00M,,,0.00,28.00M,337.00M
2004-09,232.00M,,,-52.00M,,,,147.00M,54.00M,,,,,,44.00M,-61.00M,-30.00M,,,-34.00M,-81.00M,,300.00M,-168.00M,,-168.00M,,-451.00M,,9.00M,-610.00M,,,38.00M,483.00M,22.00M,505.00M,,,,-124.00M,,27.00M,446.00M,511.00M,136.00M,647.00M,483.00M,,,22.00M,-71.00M,-145.00M
2004-06,118.00M,,,28.00M,,,,139.00M,13.00M,,,,,,-60.00M,-46.00M,19.00M,,,-19.00M,-106.00M,,192.00M,-214.00M,,-214.00M,,,,8.00M,-206.00M,,,44.00M,32.00M,-1.00M,31.00M,,,,-116.00M,,-67.00M,-108.00M,633.00M,-122.00M,511.00M,32.00M,,,-1.00M,37.00M,100.00M
2004-03,97.00M,,,36.00M,,,,141.00M,-24.00M,,,,,,37.00M,75.00M,-181.00M,,,63.00M,-6.00M,,244.00M,-165.00M,,-165.00M,,,,4.00M,-161.00M,,,-326.00M,903.00M,-22.00M,881.00M,,,,-116.00M,,,439.00M,111.00M,522.00M,633.00M,903.00M,,,-22.00M,34.00M,45.00M
2003-12,38.00M,,,-12.00M,,,,141.00M,-18.00M,,,,,,-11.00M,22.00M,155.00M,-7.00M,-10.00M,-128.00M,21.00M,,170.00M,-225.00M,,-225.00M,,10.00M,,-28.00M,-243.00M,,,183.00M,25.00M,-30.00M,-5.00M,,,,-102.00M,,8.00M,84.00M,100.00M,11.00M,111.00M,25.00M,,,-30.00M,110.00M,97.00M
2003-09,275.00M,,,-45.00M,,,,144.00M,39.00M,,,,,,11.00M,-55.00M,-22.00M,-25.00M,32.00M,68.00M,9.00M,,422.00M,-125.00M,,-125.00M,,0.00,,3.00M,-122.00M,,,-223.00M,28.00M,-1.00M,27.00M,,,,-103.00M,,-2.00M,-301.00M,101.00M,-1.00M,100.00M,28.00M,,,-1.00M,56.00M,56.00M
2003-06,110.00M,,,-23.00M,,,,153.00M,-12.00M,,,,,,-7.00M,-58.00M,37.00M,17.00M,-44.00M,31.00M,-24.00M,,204.00M,-188.00M,,-188.00M,,-1.00M,,2.00M,-187.00M,,,-129.00M,23.00M,,23.00M,,,,-103.00M,,-1.00M,-210.00M,294.00M,-193.00M,101.00M,23.00M,,,,89.00M,88.00M
2003-03,101.00M,,,-12.00M,,,,124.00M,3.00M,,,,,,13.00M,44.00M,-186.00M,,71.00M,68.00M,10.00M,,226.00M,-144.00M,,-144.00M,,-488.00M,,3.00M,-629.00M,,,-104.00M,285.00M,,285.00M,,,,-102.00M,,-10.00M,69.00M,628.00M,-334.00M,294.00M,285.00M,,,,11.00M,45.00M
2002-12,-32.00M,,,88.00M,,,,117.00M,63.00M,,,,,,23.00M,-19.00M,137.00M,16.00M,-116.00M,-177.00M,-136.00M,,100.00M,-225.00M,,-225.00M,,,,4.00M,-221.00M,,,145.00M,23.00M,-1.00M,22.00M,,,,-97.00M,,50.00M,120.00M,629.00M,-1.00M,628.00M,23.00M,,,-1.00M,29.00M,79.00M
2002-09,240.00M,,,1.00M,,,,119.00M,17.00M,,,,,,25.00M,-17.00M,-78.00M,-4.00M,17.00M,67.00M,10.00M,,387.00M,-173.00M,,-173.00M,,,,2.00M,-171.00M,,,47.00M,366.00M,-41.00M,325.00M,,,,-97.00M,,-12.00M,263.00M,150.00M,479.00M,629.00M,366.00M,,,-41.00M,34.00M,43.00M
2002-06,115.00M,,,-3.00M,,,,122.00M,-3.00M,,,,,,-100.00M,-5.00M,79.00M,-12.00M,,43.00M,5.00M,,236.00M,-253.00M,,-253.00M,,,,2.00M,-251.00M,,,176.00M,23.00M,,23.00M,,,,-91.00M,,-3.00M,105.00M,60.00M,90.00M,150.00M,23.00M,,,,73.00M,72.00M
2002-03,59.00M,,,-6.00M,,,,111.00M,-3.00M,,,,,,26.00M,37.00M,-218.00M,,,104.00M,-51.00M,,110.00M,-164.00M,,-164.00M,,,,4.00M,-160.00M,,,-92.00M,246.00M,,246.00M,,,,-91.00M,,-20.00M,43.00M,67.00M,-7.00M,60.00M,246.00M,,,,4.00M,27.00M
2001-12,49.00M,,,2.00M,,,,94.00M,14.00M,,,,,,99.00M,-18.00M,105.00M,-5.00M,33.00M,-357.00M,-143.00M,,15.00M,-300.00M,,-300.00M,,,,8.00M,-292.00M,,,298.00M,21.00M,,21.00M,,,,-88.00M,,,232.00M,112.00M,-45.00M,67.00M,21.00M,,,,188.00M,64.00M
2001-09,266.88M,,,-19.21M,,,,122.59M,1.172M,,,,,,-20.57M,-8.792M,-27.68M,5.00M,-33.00M,224.66M,139.62M,,511.05M,-287.85M,,-287.85M,,,,18.87M,-268.98M,,,-127.90M,12.00M,,12.00M,,,,-86.74M,,,-202.63M,72.53M,39.44M,112.00M,12.00M,,,,11.47M,27.73M
2001-06,94.63M,,,-3.453M,,,,101.18M,19.62M,,,,,,-93.02M,-63.90M,63.27M,,,-92.93M,-186.58M,,25.40M,-327.69M,,-327.69M,,,,-8.307M,-336.00M,,,378.79M,,,,,,,-87.13M,,,291.66M,91.47M,-18.94M,72.53M,,,,,65.57M,63.70M
2001-03,58.49M,,,0.661M,,,,104.23M,-6.794M,,,,,,85.59M,22.69M,-211.59M,,,133.27M,29.96M,,186.54M,-211.46M,,-211.46M,,,,3.437M,-208.02M,,,74.11M,,,,,,,-87.13M,,,-13.02M,125.97M,-34.50M,91.47M,,,,,0.962M,31.57M
2000-12,25.98M,,,31.30M,,,,68.24M,-10.28M,,,,,,-51.59M,22.28M,207.94M,,23.48M,-223.69M,-21.58M,,93.66M,-280.94M,,-280.94M,,,,3.51M,-277.43M,,,159.33M,,,,,,,-87.13M,,,72.20M,237.54M,-111.57M,125.97M,,,,,154.45M,50.54M
2000-09,256.14M,,,-5.546M,,,,102.82M,-7.52M,,,,,,-22.28M,-12.60M,10.31M,,24.75M,161.58M,161.78M,,507.67M,-204.15M,,-204.15M,,,,30.99M,-173.16M,,,-58.74M,,,,,,,-87.13M,,,-145.87M,48.90M,188.64M,237.54M,,,,,61.95M,31.68M
2000-06,113.58M,,,-5.813M,,,,99.38M,26.66M,,,,,,-128.30M,-12.73M,64.78M,,-62.24M,-49.08M,-187.58M,,46.24M,-235.56M,,-235.56M,,,,30.60M,-204.96M,,,17.47M,,,,,,,-87.13M,,237.60M,167.94M,39.69M,9.21M,48.90M,,,,,90.92M,52.23M
2000-03,61.39M,,,-3.149M,,,,99.35M,-7.169M,,,,,,62.32M,29.22M,-161.38M,,14.01M,113.41M,57.58M,,208.01M,-229.60M,,-229.60M,,,,-25.26M,-254.86M,,,216.39M,,,,,,,-87.13M,,-237.60M,-108.34M,194.88M,-155.19M,39.69M,,,,,4.527M,34.20M
1999-12,-5.60M,,,-4.90M,,,,376.40M,-6.10M,,,,,-290.40M,117.10M,4.70M,91.10M,,-75.70M,-142.90M,-5.70M,,63.70M,-230.70M,,-230.70M,,,,-0.70M,-231.40M,,,118.80M,,,,,,,-87.10M,,-0.30M,31.40M,331.10M,-136.30M,194.90M,,,,,94.10M,51.70M
1999-09,249.80M,,,-4.40M,,,,-192.80M,-7.60M,,,,,290.50M,-4.20M,-2.20M,11.70M,,50.80M,112.70M,168.80M,,504.30M,-119.70M,,-119.70M,,,,14.80M,-104.90M,,,-35.10M,,,,,,,-87.10M,,0.00,-122.20M,54.00M,277.20M,331.10M,,,,,78.40M,29.20M
1999-06,86.54M,,,-6.469M,,,,95.36M,-0.60M,,,,,-0.08M,-84.22M,-13.20M,69.86M,,1.492M,32.95M,6.888M,,181.64M,-162.82M,,-162.82M,,,,7.363M,-155.45M,,,40.63M,,,,,,,-87.17M,,0.10M,-46.44M,74.22M,-20.26M,54.00M,,,,,70.72M,52.54M
1999-03,54.36M,,,-6.531M,,,,97.44M,-8.30M,,,,,-0.02M,5.821M,3.301M,-116.16M,,23.41M,114.65M,31.01M,,167.96M,-79.48M,,-79.48M,,,,13.04M,-66.45M,,,-17.03M,,,,,,,-87.13M,,,-104.16M,76.86M,-2.643M,74.22M,,,,,4.18M,29.26M
1998-12,26.30M,,,-5.70M,,,,,-9.60M,,,,,-278.40M,97.20M,-7.30M,94.00M,,-48.80M,-81.70M,53.40M,,161.30M,-122.50M,,-122.50M,,,,2.10M,-120.40M,,,-4.90M,,,,,,,-87.10M,,,-92.00M,127.90M,-51.10M,76.90M,,,,,126.70M,57.10M
1998-09,236.60M,,,-5.60M,,,,,-3.70M,,,,,94.50M,-33.70M,-4.70M,39.90M,,2.70M,99.90M,104.10M,,425.90M,-74.60M,,-74.60M,,,,2.30M,-72.30M,,,-188.80M,,,,,,,-87.10M,,,-275.90M,50.20M,77.70M,127.90M,,,,,83.50M,30.00M
1998-06,83.70M,,,-6.70M,,,,,-4.70M,,,,,89.90M,-122.50M,-0.90M,14.70M,,46.10M,-21.90M,-84.50M,,77.70M,-78.80M,,-78.80M,,,,10.30M,-68.50M,,,49.60M,,,,,,,-174.30M,,87.10M,-37.60M,45.80M,-28.40M,50.20M,,,,,79.40M,58.80M
