,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-06,978.00M,978.00M,231.00M,747.00M,-34.00M,69.00M,,,,295.00M,470.00M,277.00M,,,,-34.00M,,188.00M,73.00M,115.00M,,,,115.00M,135.80M,399.00M,122.00M,277.00M,0.8,0.0,,0.944,0.8,0.8,0.0,,0.944,0.8,144.40M,144.40M,0.635
2002-03,1.115B,1.115B,525.00M,590.00M,-1.00M,68.00M,,,,266.00M,441.00M,149.00M,,,,-1.00M,,97.00M,38.00M,59.00M,,,,59.00M,59.61M,260.00M,111.00M,149.00M,0.42,0.0,,0.4244,0.42,0.42,0.0,,0.4244,0.42,139.70M,139.70M,0.635
2001-12,355.00M,355.00M,-411.00M,766.00M,16.00M,58.00M,,,,498.00M,659.00M,107.00M,,,,16.00M,,64.00M,15.00M,49.00M,,0.00,,49.00M,36.75M,210.00M,94.00M,107.00M,0.35,0.0,0.0,0.2609,0.35,0.34,0.0,0.0,0.2526,0.34,137.55M,140.11M,0.635
2001-09,1.422B,1.422B,505.00M,917.00M,7.00M,75.00M,,,,251.00M,430.00M,487.00M,,,,7.00M,,447.00M,180.00M,267.00M,,,,267.00M,262.80M,609.59M,122.59M,487.00M,1.94,0.0,,1.909,1.94,1.94,0.0,,1.909,1.94,137.22M,137.22M,0.635
2001-06,1.057B,1.057B,,,,,,,,,,1.057B,,,,,,,,95.00M,,,,95.00M,95.00M,1.158B,101.18M,1.057B,0.69,0.0,,0.69,0.69,0.69,0.0,,0.69,0.69,137.22M,137.22M,0.635
2001-03,1.025B,1.025B,439.71M,584.82M,-4.685M,67.19M,,,,253.48M,419.40M,165.42M,,,,-4.685M,,114.66M,49.33M,65.33M,,-6.841M,,58.49M,68.14M,269.64M,104.23M,165.42M,0.48,-0.05,0.0,0.5005,0.43,0.48,-0.05,-0.0499,0.5005,0.43,137.22M,137.22M,0.635
2000-12,894.76M,894.76M,357.88M,536.88M,9.081M,61.85M,,,,295.16M,456.04M,80.84M,,,,9.081M,,39.98M,14.00M,25.98M,,,,25.98M,20.08M,179.87M,68.24M,80.84M,0.19,0.0,,0.1471,0.19,0.19,0.0,,0.1471,0.19,137.42M,137.42M,0.635
2000-09,1.195B,1.195B,308.79M,886.62M,-5.481M,75.54M,,,,257.34M,417.23M,469.39M,,,,-5.481M,,419.84M,163.71M,256.14M,,,,256.14M,259.48M,572.21M,102.82M,469.39M,1.87,0.0,,1.8940000000000001,1.87,1.87,0.0,,1.8940000000000001,1.87,137.22M,137.22M,0.635
2000-06,940.71M,940.71M,270.09M,670.61M,-6.119M,66.77M,,,,271.80M,432.17M,238.44M,,,,-6.119M,,192.82M,79.24M,113.58M,,,,113.58M,117.26M,337.82M,99.38M,238.44M,0.83,0.0,,0.8568,0.83,0.83,0.0,,0.8568,0.83,137.22M,137.22M,0.635
2000-03,825.38M,825.38M,297.92M,527.45M,-4.922M,60.92M,,,,214.35M,374.62M,152.83M,,,,-4.922M,,105.64M,44.25M,61.39M,,,,61.39M,64.35M,252.18M,99.35M,152.83M,0.45,0.0,,0.4715,0.45,0.45,0.0,,0.4715,0.45,137.22M,137.22M,0.635
1999-12,734.33M,734.33M,,,,,,,,,,-1.968B,,,,,,,,-5.60M,,,,-5.60M,-5.60M,-1.968B,,-1.968B,-0.04,0.0,,-0.04,-0.04,-0.04,0.0,,-0.04,-0.04,137.22M,137.22M,0.635
1999-09,1.194B,1.194B,,,,,,,,,,1.194B,,,,,,,,249.80M,,,,249.80M,249.80M,1.194B,,1.194B,1.82,0.0,,1.82,1.82,1.82,0.0,,1.82,1.82,137.22M,137.22M,0.635
1999-06,859.88M,859.88M,248.00M,611.88M,-1.70M,61.20M,,,,263.00M,419.60M,192.28M,,,,-1.70M,,148.30M,61.80M,86.50M,,,,86.50M,87.52M,287.68M,95.36M,192.28M,0.63,0.0,,0.6374,0.63,0.63,0.0,,0.6374,0.63,137.30M,137.30M,0.635
1999-03,735.90M,735.90M,240.04M,495.86M,-2.265M,59.92M,,,,203.58M,360.94M,134.92M,,,,-2.265M,,89.59M,35.23M,54.36M,,,,54.36M,55.73M,232.36M,97.44M,134.92M,0.4,0.0,,0.41,0.4,0.4,0.0,,0.41,0.4,137.22M,137.22M,0.635
1998-12,678.51M,678.51M,182.90M,495.61M,2.70M,58.90M,,,,245.50M,401.30M,94.31M,,,,2.70M,,51.70M,25.40M,26.30M,,,,26.30M,24.68M,191.21M,,94.31M,0.19,0.0,,0.1783,0.19,0.19,0.0,,0.1783,0.19,137.99M,137.99M,0.635
1998-09,1.117B,1.117B,252.80M,864.30M,-0.50M,78.20M,,,,254.50M,427.10M,437.20M,,,,-0.50M,,390.30M,153.60M,236.70M,,,,236.70M,237.00M,531.60M,,437.20M,1.73,0.0,,1.732,1.73,1.73,0.0,,1.732,1.73,136.82M,136.82M,0.635
1998-06,821.80M,821.80M,226.30M,595.50M,-1.60M,70.90M,,,,247.50M,408.40M,187.10M,,,,-1.60M,,142.40M,58.80M,83.60M,,,,83.60M,84.56M,277.10M,,187.10M,0.61,0.0,,0.617,0.61,0.61,0.0,,0.617,0.61,137.05M,137.05M,0.635
