,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2006-06,51.00M,,51.00M,480.00M,,,835.00M,,549.00M,,110.00M,1.545B,,,21.15B,-7.228B,13.92B,,,1.226B,,1.759B,16.90B,18.45B,404.00M,,404.00M,483.00M,887.00M,,,521.00M,521.00M,,,,,1.408B,,5.705B,5.705B,2.081B,123.00M,,15.00M,214.00M,,6.042B,12.09B,2.00M,1.932B,4.457B,,-42.00M,6.349B
2006-03,29.00M,,29.00M,609.00M,,,899.00M,,423.00M,,112.00M,1.463B,,,,,13.85B,,,1.24B,,1.757B,16.85B,18.31B,338.00M,,338.00M,547.00M,885.00M,,,614.00M,614.00M,,,,,1.499B,,5.508B,5.508B,2.099B,126.00M,,17.00M,214.00M,,5.848B,11.98B,2.00M,1.939B,4.427B,,-54.00M,6.314B
2005-12,96.00M,,96.00M,583.00M,,,965.00M,,572.00M,,185.00M,1.818B,,,20.81B,-7.228B,13.58B,,,1.299B,,1.473B,16.35B,18.17B,706.00M,,706.00M,492.00M,1.198B,,,289.00M,289.00M,,,,,1.487B,,5.354B,5.354B,2.098B,129.00M,,17.00M,214.00M,,5.697B,11.79B,2.00M,1.999B,4.399B,,-36.00M,6.364B
2005-09,278.00M,,278.00M,501.00M,,,806.00M,,840.00M,,59.00M,1.983B,,,20.40B,-6.994B,13.40B,,,957.00M,,1.748B,16.11B,18.09B,461.00M,,461.00M,565.00M,1.026B,,,370.00M,370.00M,,,,,1.396B,,5.201B,5.201B,2.112B,132.00M,,15.00M,214.00M,,5.547B,11.62B,2.00M,2.109B,4.375B,,-30.00M,6.456B
2005-06,27.00M,,27.00M,441.00M,,,819.00M,,649.00M,,70.00M,1.565B,,,20.39B,-6.994B,13.40B,,,934.00M,,1.595B,15.93B,17.49B,370.00M,,370.00M,499.00M,869.00M,,,511.00M,511.00M,,,,,1.38B,,4.929B,4.929B,2.069B,134.00M,,15.00M,215.00M,,5.278B,11.21B,2.00M,1.959B,4.347B,,-44.00M,6.264B
2005-03,30.00M,,30.00M,501.00M,,,747.00M,,563.00M,,98.00M,1.438B,,,20.33B,-6.994B,13.33B,,,927.00M,,1.636B,15.90B,17.33B,365.00M,,365.00M,538.00M,903.00M,,,772.00M,772.00M,,,,,1.675B,,4.982B,4.982B,2.007B,137.00M,,14.00M,215.00M,,5.334B,11.48B,2.00M,1.903B,3.976B,,-43.00M,5.838B
2004-12,69.00M,,69.00M,480.00M,,,816.00M,,497.00M,,90.00M,1.472B,19.56B,731.00M,20.29B,-6.994B,13.30B,,,1.066B,,1.615B,15.98B,17.45B,567.00M,,567.00M,388.00M,955.00M,,,840.00M,840.00M,,,,,1.795B,,5.021B,5.021B,2.053B,139.00M,,14.00M,215.00M,,5.375B,11.64B,2.00M,1.904B,3.949B,,-55.00M,5.80B
2004-09,647.00M,,647.00M,466.00M,,,731.00M,,605.00M,,159.00M,2.142B,,,19.65B,-6.594B,13.05B,,,979.00M,,1.591B,15.62B,17.76B,320.00M,,320.00M,760.00M,1.08B,,,294.00M,294.00M,,,,,1.374B,,6.164B,6.164B,1.758B,142.00M,,13.00M,20.00M,,6.326B,11.72B,198.00M,1.945B,3.924B,196.00M,-39.00M,6.028B
2004-06,511.00M,,511.00M,343.00M,,,601.00M,,458.00M,,82.00M,1.652B,,,17.65B,-6.594B,11.05B,,,565.00M,,1.408B,13.02B,14.68B,273.00M,,273.00M,435.00M,708.00M,,,326.00M,326.00M,,,,,1.034B,,4.051B,4.051B,1.92B,145.00M,,25.00M,21.00M,,4.217B,9.232B,184.00M,1.835B,3.456B,182.00M,-55.00M,5.42B
2004-03,633.00M,,633.00M,326.00M,,,525.00M,,412.00M,,117.00M,1.687B,,,17.56B,-6.594B,10.96B,,,565.00M,,1.424B,12.95B,14.64B,249.00M,,249.00M,434.00M,683.00M,,,333.00M,333.00M,,,,,1.016B,,4.068B,4.068B,1.948B,148.00M,,23.00M,21.00M,,4.237B,9.231B,184.00M,1.834B,3.425B,182.00M,-58.00M,5.385B
2003-12,111.00M,,111.00M,326.00M,,,547.00M,,487.00M,,172.00M,1.317B,17.01B,507.00M,17.51B,-6.594B,10.92B,,,574.00M,,1.425B,12.92B,14.24B,480.00M,,480.00M,318.00M,798.00M,,,659.00M,659.00M,,,,,1.457B,,4.07B,4.07B,2.004B,151.00M,,22.00M,21.00M,,4.242B,9.678B,184.00M,1.853B,2.552B,182.00M,-53.00M,4.536B
2003-09,100.00M,,100.00M,362.00M,,,546.00M,,476.00M,,188.00M,1.31B,,,17.23B,-7.075B,10.15B,,,630.00M,,1.445B,12.23B,13.54B,275.00M,,275.00M,472.00M,747.00M,,,502.00M,502.00M,,,,,1.249B,,4.046B,4.046B,2.146B,153.00M,,21.00M,21.00M,,4.22B,8.969B,215.00M,1.917B,2.528B,213.00M,-113.00M,4.547B
2003-06,101.00M,,101.00M,355.00M,,,612.00M,,420.00M,,44.00M,1.177B,17.20B,71.00M,17.27B,-7.075B,10.20B,,,620.00M,,1.463B,12.28B,13.46B,297.00M,,297.00M,379.00M,676.00M,,,587.00M,587.00M,,,,,1.263B,,4.177B,4.177B,2.12B,156.00M,,19.00M,,,4.333B,9.066B,237.00M,1.745B,2.50B,235.00M,-110.00M,4.372B
2003-03,294.00M,,294.00M,360.00M,,,540.00M,,354.00M,,103.00M,1.291B,16.57B,583.00M,17.16B,-6.974B,10.18B,,,621.00M,,1.495B,12.30B,13.59B,295.00M,,295.00M,404.00M,699.00M,,,358.00M,358.00M,,,,,1.057B,,4.499B,4.499B,2.159B,159.00M,,16.00M,,,4.658B,9.228B,237.00M,1.738B,2.48B,235.00M,-110.00M,4.345B
2002-12,628.00M,,628.00M,266.00M,,,442.00M,,299.00M,,83.00M,1.452B,15.20B,474.00M,15.67B,-6.179B,9.492B,,,,,1.207B,10.70B,12.15B,369.00M,,369.00M,222.00M,591.00M,,,610.00M,610.00M,,,,,1.201B,,3.433B,3.433B,1.856B,149.00M,,15.00M,,,3.582B,8.101B,195.00M,1.739B,2.203B,193.00M,-102.00M,4.035B
2002-09,629.00M,,629.00M,350.00M,,,509.00M,,280.00M,,42.00M,1.46B,14.94B,557.00M,15.50B,-6.808B,8.689B,,,,,1.065B,9.754B,11.21B,175.00M,,175.00M,594.00M,769.00M,,,261.00M,261.00M,,,,,1.03B,,3.484B,3.484B,1.754B,152.00M,,14.00M,,,3.636B,6.959B,196.00M,1.868B,2.18B,194.00M,-3.00M,4.241B
2002-06,150.00M,,150.00M,301.00M,,,534.00M,,263.00M,,29.00M,976.00M,14.78B,551.00M,15.33B,-6.708B,8.624B,,,,,1.11B,9.734B,10.71B,253.00M,,253.00M,547.00M,800.00M,,,189.00M,189.00M,,,,,989.00M,,3.509B,3.509B,1.688B,154.00M,,13.00M,,,3.663B,6.917B,236.00M,1.725B,1.826B,235.00M,-7.00M,3.78B
2002-03,60.00M,,60.00M,434.00M,,,434.00M,,258.00M,,32.00M,784.00M,14.41B,693.00M,15.11B,-6.628B,8.478B,,,,,1.143B,9.621B,10.40B,174.00M,,174.00M,503.00M,677.00M,,,242.00M,242.00M,,,,,919.00M,,3.281B,3.281B,1.716B,156.00M,,4.00M,,,3.437B,6.67B,236.00M,1.701B,1.804B,235.00M,-10.00M,3.731B
2001-12,67.00M,,67.00M,389.00M,,,460.00M,,295.00M,,42.00M,864.00M,14.30B,661.00M,14.96B,-6.536B,8.427B,,,,,1.11B,9.537B,10.40B,392.00M,,392.00M,409.00M,801.00M,,,780.00M,780.00M,,,,,1.581B,,2.835B,2.835B,1.721B,158.00M,,4.00M,,,2.993B,6.813B,236.00M,1.734B,1.614B,235.00M,,3.584B
2001-09,112.11M,,112.11M,514.10M,,,559.19M,,276.63M,,35.15M,983.08M,13.95B,731.90M,14.68B,-6.455B,8.225B,,,,,1.069B,9.295B,10.28B,287.06M,,287.06M,692.93M,979.99M,,,506.54M,506.54M,,,,,1.487B,,2.811B,2.811B,1.723B,160.10M,,3.534M,,,2.971B,6.682B,236.57M,1.772B,1.593B,235.20M,-9.872M,3.592B
2001-06,72.53M,,72.53M,487.16M,,,538.38M,,268.26M,,32.16M,911.33M,13.77B,649.88M,14.42B,-6.363B,8.058B,,,336.88M,,757.41M,9.152B,10.06B,314.61M,,314.61M,499.47M,814.08M,,,471.43M,471.43M,,,,,1.286B,,2.973B,2.973B,1.725B,162.27M,,3.534M,,,3.136B,6.661B,236.57M,1.592B,1.581B,235.20M,-10.87M,3.399B
2001-03,91.47M,,91.47M,422.35M,,,445.37M,,204.36M,,30.89M,772.08M,13.36B,743.89M,14.11B,-6.290B,7.817B,,,,,1.078B,8.895B,9.667B,251.34M,,251.34M,577.65M,828.98M,,,318.26M,318.26M,,,,,1.147B,,2.749B,2.749B,1.705B,161.89M,,3.534M,,,2.911B,6.269B,236.57M,1.586B,1.581B,235.20M,-9.512M,3.394B
2000-12,125.97M,,125.97M,474.42M,,,530.95M,,227.05M,,37.21M,921.18M,13.29B,618.71M,13.91B,-6.204B,7.706B,,,,,1.088B,8.793B,9.714B,462.92M,,462.92M,475.33M,938.26M,,,247.70M,247.70M,,,,,1.186B,,2.745B,2.745B,1.705B,164.12M,,3.94M,,,2.909B,6.279B,236.57M,1.614B,1.581B,235.20M,,3.432B
2000-09,237.54M,,237.54M,331.93M,,,479.36M,,249.33M,,39.68M,1.006B,13.23B,461.22M,13.69B,-6.159B,7.528B,,,,,1.087B,8.616B,9.622B,254.98M,,254.98M,680.98M,935.96M,,,529.44M,529.44M,,,,,1.465B,,2.305B,2.305B,1.704B,166.33M,,3.955M,,,2.472B,6.124B,236.57M,1.675B,1.582B,235.20M,,3.494B
2000-06,48.90M,,48.90M,267.96M,,,457.08M,,236.73M,,36.85M,779.56M,12.96B,530.76M,13.49B,-6.060B,7.427B,,,,,1.106B,8.533B,9.312B,244.67M,,244.67M,550.32M,794.99M,,,393.28M,393.28M,,,,,1.188B,,2.50B,2.50B,1.665B,168.49M,,3.97M,,,2.668B,5.983B,236.57M,1.506B,1.583B,235.20M,,3.325B
2000-03,39.69M,,39.69M,225.65M,,,328.78M,,224.00M,,272.06M,864.54M,12.74B,518.66M,13.26B,-5.967B,7.295B,,,,,1.156B,8.451B,9.315B,179.89M,,179.89M,632.69M,812.58M,,,532.88M,532.88M,,,,,1.345B,,2.343B,2.343B,1.653B,170.51M,,3.988M,,,2.513B,6.012B,236.57M,1.480B,1.583B,235.20M,,3.299B
1999-12,194.88M,,194.88M,237.01M,,,391.11M,,253.22M,,39.79M,879.01M,12.64B,418.71M,13.06B,-5.891B,7.165B,,,,,1.133B,8.299B,9.178B,341.27M,,341.27M,526.86M,868.14M,,,209.03M,209.03M,,,,,1.077B,,2.448B,2.448B,1.664B,170.83M,,4.01M,,,2.619B,5.849B,236.57M,1.506B,1.583B,235.20M,,3.325B
1999-09,331.10M,,331.10M,387.00M,,,508.20M,,257.90M,,53.30M,1.150B,12.48B,353.40M,12.84B,-5.840B,6.996B,,,,,1.112B,8.108B,9.259B,262.60M,,262.60M,698.60M,961.20M,,,237.20M,237.20M,,,,-0.10M,1.198B,,2.302B,2.302B,1.684B,172.80M,,3.50M,,,2.474B,5.834B,236.60M,1.602B,1.582B,235.20M,,3.421B
1999-06,54.00M,,54.00M,362.30M,,,504.00M,,255.70M,,27.70M,841.40M,12.42B,310.80M,12.73B,-5.771B,6.957B,,,,,1.138B,8.096B,8.937B,250.90M,,250.90M,523.70M,774.60M,,,211.10M,211.10M,,,,,985.70M,,2.363B,2.363B,1.691B,174.80M,,3.50M,,,2.537B,5.675B,236.60M,1.439B,1.582B,235.20M,,3.258B
1999-03,74.20M,,74.20M,303.30M,,,419.80M,,242.50M,,19.20M,755.70M,12.34B,262.50M,12.60B,-5.689B,6.911B,,,,,1.147B,8.057B,8.813B,181.00M,,181.00M,512.80M,693.80M,,,247.20M,247.20M,,,,,941.00M,,2.286B,2.286B,1.692B,176.80M,,3.50M,,,2.462B,5.551B,236.60M,1.440B,1.582B,235.20M,,3.259B
1998-12,76.90M,,76.90M,275.10M,,,425.60M,,245.80M,,22.90M,771.20M,12.28B,255.70M,12.53B,-5.603B,6.928B,,,,,1.148B,8.076B,8.847B,297.20M,,297.20M,397.30M,694.50M,,,260.20M,260.20M,,,,,954.70M,,2.289B,2.289B,1.700B,178.80M,,3.50M,,,2.468B,5.553B,236.60M,1.472B,1.582B,235.20M,,3.291B
1998-09,62.30M,,62.30M,409.50M,,,522.80M,,238.40M,,252.00M,1.076B,12.22B,227.90M,12.45B,-5.528B,6.924B,,,,,1.122B,8.047B,9.122B,203.20M,,203.20M,553.40M,756.60M,,,320.90M,320.90M,,,,0.10M,1.078B,,2.392B,2.392B,1.710B,181.40M,,3.50M,,,2.573B,5.766B,236.60M,1.533B,1.583B,235.20M,,3.352B
1998-06,47.10M,,47.10M,349.20M,,,489.10M,,233.80M,,28.90M,798.90M,12.17B,216.60M,12.39B,-5.440B,6.950B,,,,,1.132B,8.082B,8.880B,163.30M,,163.30M,461.00M,624.30M,,,159.70M,159.70M,,,,-0.10M,783.90M,,2.582B,2.582B,1.714B,184.40M,,3.50M,,,2.766B,5.674B,236.60M,1.384B,1.583B,235.20M,,3.203B
1998-03,45.80M,,45.80M,302.20M,,,366.60M,,232.90M,,39.20M,684.50M,12.07B,250.10M,12.32B,-5.362B,6.961B,,,,,1.152B,8.113B,8.797B,148.60M,,148.60M,414.70M,563.30M,,,157.30M,157.30M,,,,,720.60M,,2.534B,2.534B,1.736B,188.10M,,3.50M,,,2.722B,5.587B,236.60M,1.387B,1.583B,235.20M,,3.207B
