,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-12,1.092B,1.092B,448.99M,643.31M,388.41M,19.69M,7.20M,-16.92M,,,16.92M,432.22M,211.10M,,,-16.92M,,208.12M,78.04M,130.08M,,,,134.87M,140.65M,211.10M,,2002-12,0.34,0.01,0.3674,0.35,,2002-12,0.335,,0.3621,0.345,385.21M,390.26M,0.1275,,2002-12,,
2002-09,1.577B,1.577B,656.73M,920.60M,460.67M,20.09M,9.33M,-0.348M,,,0.348M,490.44M,430.16M,,,-0.348M,,424.20M,147.98M,276.22M,,,,276.22M,276.45M,430.16M,,2002-09,0.715,0.00,0.7156,0.715,,2002-09,0.71,,0.7106,0.71,386.06M,388.92M,0.1275,,2002-09,,
2002-06,1.175B,1.175B,498.95M,676.32M,429.27M,22.86M,9.759M,9.346M,,,-9.346M,452.55M,223.77M,,,9.346M,,216.62M,81.23M,135.39M,2.38M,,,137.77M,129.55M,223.77M,,2002-06,0.35,0.005,0.3349,0.355,,2002-06,0.345,,0.3300,0.35,386.53M,390.10M,0.1275,,2002-06,,
2002-03,830.54M,830.54M,392.20M,438.34M,360.18M,23.21M,9.886M,7.141M,,,-7.141M,386.14M,52.20M,,,7.141M,,45.78M,17.17M,28.61M,0.589M,,,29.20M,24.15M,52.20M,,2002-03,0.075,0.00,0.0634,0.075,,2002-03,0.075,,0.0636,0.075,385.78M,389.93M,0.1275,,2002-03,,
2001-12,943.63M,943.63M,556.97M,386.66M,491.10M,,,-27.80M,,,27.80M,358.53M,28.14M,,,-27.80M,,19.52M,21.72M,-2.191M,,,,-2.845M,14.49M,28.14M,,2001-12,-0.005,0.00,0.0388,-0.005,,2001-12,-0.005,,0.0374,-0.005,381.11M,392.90M,0.1225,,2001-12,,
2001-09,1.535B,1.535B,558.12M,976.98M,439.48M,,,15.96M,,,-15.96M,574.01M,402.97M,,,15.96M,,389.41M,149.92M,239.49M,,,,239.49M,229.67M,402.97M,,2001-09,0.62,0.00,0.5947,0.62,,2001-09,0.61,,0.5849,0.61,387.78M,391.36M,0.1225,,2001-09,,
2001-06,1.149B,1.149B,481.82M,667.65M,382.13M,,,9.924M,,,-9.924M,477.60M,190.05M,,,9.924M,,174.03M,54.03M,120.00M,,,,120.00M,113.15M,190.05M,,2001-06,0.31,0.00,0.2924,0.31,,2001-06,0.305,,0.2876,0.305,389.14M,393.92M,0.1225,,2001-06,,
2001-03,846.40M,846.40M,412.46M,433.94M,321.57M,,,12.02M,,,,395.92M,38.01M,,,12.02M,,33.16M,12.76M,20.39M,,,,20.39M,13.00M,38.01M,,2001-03,0.055,0.00,0.0359,0.055,,2001-03,0.05,,0.0311,0.05,387.91M,391.93M,0.1225,,2001-03,,
2000-12,1.086B,1.086B,501.11M,585.25M,528.04M,,,5.637M,,,-5.637M,395.54M,189.71M,,,5.637M,,172.48M,66.40M,106.08M,,0.00,,106.08M,102.61M,189.71M,,2000-12,0.265,0.01,0.2561,0.275,,2000-12,0.255,,0.2461,0.27,387.89M,391.35M,0.1175,,2000-12,,
2000-09,1.394B,1.394B,524.84M,869.63M,384.40M,,,15.73M,,,-15.73M,504.00M,365.62M,,,15.73M,,350.59M,134.98M,215.61M,,,,215.61M,205.93M,365.62M,,2000-09,0.555,0.00,0.5301,0.555,,2000-09,0.55,,0.5254,0.55,388.98M,393.70M,0.1175,,2000-09,,
2000-06,1.016B,1.016B,423.67M,592.26M,329.39M,,,8.113M,,,,415.42M,176.84M,,,8.113M,,173.71M,66.88M,106.83M,,,,106.83M,101.84M,176.84M,,2000-06,0.28,0.00,0.2671,0.28,,2000-06,0.275,,0.2622,0.275,387.41M,390.88M,0.1175,,2000-06,,
2000-03,784.21M,784.21M,378.64M,405.57M,291.51M,,,25.04M,,,,350.70M,54.87M,,,25.04M,,70.56M,27.17M,43.40M,,-68.12M,,-24.73M,28.00M,54.87M,,2000-03,0.11,-0.065,0.0704,0.045,,2000-03,0.11,,0.0707,0.045,388.78M,392.21M,0.1175,,2000-03,,
1999-12,1.034B,1.034B,468.20M,565.80M,333.30M,,,47.60M,,,,406.10M,159.70M,,,47.60M,,197.70M,77.10M,120.60M,,,,120.60M,91.56M,159.70M,,1999-12,0.31,0.00,0.2355,0.31,,1999-12,0.305,,0.2310,0.305,389.84M,392.38M,0.1075,,1999-12,,
1999-09,1.318B,1.318B,508.70M,809.80M,378.20M,,,6.90M,,,,491.70M,318.10M,,,6.90M,,312.30M,121.80M,190.50M,,,,190.50M,186.29M,318.10M,,1999-09,0.485,0.00,0.4743,0.485,,1999-09,0.48,,0.4694,0.48,393.35M,397.84M,0.1075,,1999-09,,
1999-06,922.70M,922.70M,410.00M,512.70M,290.40M,,,4.80M,,,,359.60M,153.10M,,,4.80M,,147.60M,57.60M,90.00M,,,,90.00M,87.07M,153.10M,,1999-06,0.23,0.00,0.2225,0.23,,1999-06,0.225,,0.2177,0.225,391.30M,400.00M,0.1075,,1999-06,,
1999-03,716.50M,716.50M,351.10M,365.40M,267.60M,,,4.60M,,,,320.50M,44.90M,,,4.60M,,40.00M,15.60M,24.40M,,,,24.40M,21.59M,44.90M,,1999-03,0.06,0.00,0.0531,0.06,,1999-03,0.06,,0.0531,0.06,406.67M,406.67M,0.1075,,1999-03,,
1998-12,933.90M,933.90M,415.70M,518.20M,334.60M,,,7.80M,,,,399.00M,119.20M,,,7.80M,,117.80M,45.90M,71.90M,,,,71.90M,67.14M,119.20M,,1998-12,0.19,-0.005,0.1778,0.185,,1998-12,0.185,-0.0001,0.1731,0.18,389.40M,399.25M,0.0975,,1998-12,,
1998-09,1.206B,1.206B,497.10M,709.30M,340.10M,,,37.60M,,,,455.50M,253.80M,,,37.60M,,277.70M,108.30M,169.40M,,,,160.70M,146.46M,253.80M,,1998-09,0.43,-0.02,0.3715,0.41,,1998-09,0.425,-0.0222,0.3672,0.405,391.95M,396.79M,0.0988,,1998-09,,
1998-06,881.10M,881.10M,390.20M,490.90M,289.00M,,,6.50M,,,,356.80M,134.10M,,,6.50M,,127.60M,49.80M,77.80M,,,,77.80M,73.84M,134.10M,,1998-06,0.20,0.00,0.1898,0.20,,1998-06,0.195,,0.1851,0.195,389.00M,398.97M,0.0975,,1998-06,,
