,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2012-03,163.00M,,,,,22.00M,9.00M,31.00M,31.00M,2.00M,,17.00M,,19.00M,-47.00M,,-13.00M,-189.00M,,-6.00M,45.00M,26.00M,,2012-03,-10.00M,,,,-16.00M,5.00M,-21.00M,,2012-03,,0.00,0.00,,0.00,0.00,-74.00M,-74.00M,112.00M,43.00M,,2012-03,835.00M,6.00M,806.00M,,2012-03,-83.00M,,,0.00,,2012-03,AOR,Restated
2011-12,-87.00M,,,,,-2.00M,-12.00M,-14.00M,-14.00M,22.00M,,12.00M,,-115.00M,161.00M,12.00M,-13.00M,145.00M,,-1.00M,-224.00M,-114.00M,,2011-12,-22.00M,0.00,0.00,,5.00M,7.00M,95.00M,,2011-12,,,,,-864.00M,-864.00M,-71.00M,-71.00M,24.00M,-906.00M,,2011-12,1.438B,-4.00M,835.00M,,2011-12,,,,-864.00M,,2011-12,AOR,Restated
2011-09,374.00M,,,,,31.00M,15.00M,46.00M,46.00M,-5.00M,-76.00M,24.00M,,161.00M,-150.00M,51.00M,13.00M,95.00M,,-54.00M,220.00M,700.00M,,2011-09,-25.00M,1.00M,1.00M,,-73.00M,50.00M,-152.00M,,2011-09,,,,,-336.00M,-336.00M,-73.00M,-73.00M,35.00M,-375.00M,,2011-09,1.30B,-35.00M,1.438B,,2011-09,,,,-336.00M,,2011-09,AOR,Restated
2011-06,215.00M,,,,,32.00M,15.00M,47.00M,47.00M,-5.00M,53.00M,23.00M,,12.00M,-194.00M,-22.00M,16.00M,101.00M,,0.00,44.00M,289.00M,,2011-06,-27.00M,20.00M,20.00M,,0.00,-28.00M,-35.00M,,2011-06,,,,,-176.00M,-176.00M,-75.00M,-75.00M,31.00M,-228.00M,,2011-06,1.27B,4.00M,1.30B,,2011-06,,,,-176.00M,,2011-06,AOR,Restated
2011-03,124.00M,,,,,32.00M,15.00M,47.00M,47.00M,5.00M,23.00M,18.00M,,5.00M,197.00M,-41.00M,-32.00M,-370.00M,,3.00M,65.00M,49.00M,,2011-03,-18.00M,0.00,0.00,,-126.00M,-35.00M,-179.00M,,2011-03,,,,,-124.00M,-124.00M,-77.00M,-77.00M,49.00M,-151.00M,,2011-03,1.526B,25.00M,1.27B,,2011-03,,,,-124.00M,,2011-03,AOR,Restated
2010-12,-91.90M,,,,,-4.30M,-11.00M,-15.30M,-15.30M,56.40M,-207.20M,6.20M,,37.50M,92.30M,-6.60M,-13.80M,104.20M,,-8.40M,-297.20M,-349.30M,,2010-12,-20.70M,25.00M,25.00M,,-32.60M,109.50M,81.20M,,2010-12,,,,,-0.20M,-0.20M,-53.90M,-53.90M,21.40M,-66.00M,,2010-12,1.323B,-5.80M,1.416B,,2010-12,,,,-0.20M,,2010-12,AOR,Restated
2010-09,389.70M,,,,,30.00M,9.00M,39.00M,39.00M,-6.60M,112.00M,21.80M,,-6.90M,-122.90M,45.20M,18.80M,137.70M,,-43.60M,104.20M,693.80M,,2010-09,-26.30M,,,,-294.70M,-45.30M,-366.30M,,2010-09,,,,,-68.90M,-68.90M,-75.70M,-75.70M,2.10M,-142.50M,,2010-09,1.118B,20.00M,1.323B,,2010-09,,,,-68.90M,,2010-09,AOR,
2010-06,301.20M,,,,,30.90M,13.00M,43.90M,43.90M,-6.00M,69.40M,14.70M,,-106.30M,-233.00M,-21.50M,13.90M,111.60M,,17.60M,51.30M,253.10M,,2010-06,2.60M,-5.10M,6.60M,,0.30M,-61.70M,-63.90M,,2010-06,,,,,-186.90M,-186.90M,-84.80M,-84.80M,4.30M,-267.20M,,2010-06,1.209B,-13.60M,1.118B,,2010-06,,,,-186.90M,,2010-06,AOR,Restated
2010-03,,,,,,30.40M,10.00M,40.40M,40.40M,-10.80M,25.80M,8.30M,,108.70M,190.60M,-17.10M,-26.90M,-253.50M,,18.40M,12.70M,106.40M,,2010-03,-41.60M,5.10M,-6.60M,,0.00,-0.50M,-37.00M,,2010-03,,,,,0.00,0.00,-77.60M,-77.60M,22.20M,-54.30M,,2010-03,1.210B,-15.60M,1.209B,,2010-03,,,,0.00,,2010-03,AOR,Restated
2009-12,173.63M,,,,-10.54M,53.11M,60.88M,113.99M,113.99M,7.866M,,9.785M,-0.074M,16.69M,176.60M,35.93M,-5.568M,71.20M,,37.47M,-200.56M,426.41M,,2009-12,-221.88M,-0.088M,-59.78M,14.80M,-9.731M,-24.60M,-111.33M,,2009-12,,0.00,0.00,,0.00,0.00,-70.90M,-70.90M,12.39M,-58.25M,,2009-12,957.26M,-4.167M,1.210B,,2009-12,,,,0.00,,2009-12,AOR,Restated
