,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-03,1.122B,1.122B,318.30M,803.40M,722.30M,,,,,,722.30M,81.10M,,,,,,77.80M,27.10M,50.70M,,,-0.70M,5.90M,50.70M,40.20M,81.10M,,2002-03,0.095,0.095,0.095,,2002-03,0.095,0.095,0.095,,480.80M,0.025,,2002-03,,
2001-12,1.298B,1.298B,343.30M,954.90M,811.40M,,,,,,811.40M,143.50M,,,,,,141.60M,48.90M,90.10M,,,-2.60M,5.80M,90.10M,39.70M,143.50M,,2001-12,0.175,0.175,0.175,,2001-12,0.175,0.175,0.175,,481.40M,0.025,,2001-12,,
2001-09,1.195B,1.195B,345.30M,849.50M,696.60M,,,,,,696.60M,152.90M,,,,,,149.10M,51.40M,97.10M,,-20.60M,-0.60M,5.90M,76.50M,37.70M,152.90M,,2001-09,0.19,0.19,0.15,,2001-09,0.19,0.19,0.15,,484.60M,0.025,,2001-09,,
2001-06,1.097B,1.097B,459.00M,637.70M,550.30M,,,,,,566.60M,71.10M,,,,,,32.10M,11.70M,20.40M,,0.00,-0.50M,5.80M,20.40M,43.30M,71.10M,,2001-06,0.03,0.03,0.03,,2001-06,0.03,0.03,0.03,,484.40M,0.025,,2001-06,,
2001-03,1.102B,1.102B,226.10M,875.60M,770.30M,,,,,,770.30M,105.30M,,,,,,102.30M,37.20M,65.10M,,,-1.00M,5.90M,65.10M,38.80M,105.30M,,2001-03,0.125,0.125,0.125,,2001-03,0.12,0.12,0.12,,484.00M,0.025,,2001-03,,
2000-12,1.292B,1.292B,278.00M,1.014B,810.10M,,,,,,810.10M,203.50M,,,,,,199.00M,71.70M,127.30M,,,-0.20M,5.80M,127.30M,40.70M,203.50M,,2000-12,0.255,0.255,0.255,,2000-12,0.25,0.25,0.25,,484.40M,0.025,,2000-12,,
2000-09,1.178B,1.178B,263.30M,914.40M,761.10M,,,,,,761.10M,153.30M,,,,,,148.00M,53.40M,94.60M,,-2.20M,-0.20M,5.90M,92.40M,40.10M,153.30M,,2000-09,0.185,0.185,0.18,,2000-09,0.185,0.185,0.18,,484.40M,0.025,,2000-09,,
2000-06,1.072B,1.072B,580.20M,492.20M,506.20M,,,,,,398.40M,93.80M,,,,,,90.60M,33.40M,57.20M,,,,5.80M,57.20M,39.00M,93.80M,,2000-06,0.105,0.105,0.105,,2000-06,0.105,0.105,0.105,,485.00M,0.025,,2000-06,,
2000-03,1.039B,1.039B,193.20M,845.90M,709.00M,,,,,,746.50M,99.40M,,,,,,96.10M,35.70M,60.40M,,,,5.90M,60.40M,37.50M,99.40M,,2000-03,0.115,0.115,0.115,,2000-03,0.11,0.11,0.11,,485.60M,0.025,,2000-03,,
1999-12,1.235B,1.235B,283.10M,952.00M,765.90M,,,,,,765.90M,186.10M,,,,,,180.90M,67.00M,113.90M,,,,5.80M,113.90M,36.30M,186.10M,,1999-12,0.23,0.23,0.23,,1999-12,0.225,0.225,0.225,,484.40M,0.025,,1999-12,,
1999-09,1.094B,1.094B,217.80M,875.90M,705.40M,,,,,,739.40M,136.50M,,,,,,131.10M,48.50M,82.60M,,,,5.90M,82.60M,34.00M,136.50M,,1999-09,0.16,0.16,0.16,,1999-09,0.16,0.16,0.16,,479.38M,0.025,,1999-09,,
1999-06,908.70M,908.70M,175.80M,732.90M,621.10M,,,,,,649.70M,83.20M,,,,,,80.80M,30.40M,50.40M,,,,5.80M,50.40M,28.60M,83.20M,,1999-06,0.09,0.09,0.09,,1999-06,0.09,0.09,0.09,,491.51M,0.025,,1999-06,,
1999-03,964.80M,964.80M,186.30M,778.50M,658.40M,,,,,,688.20M,90.30M,,,,,,86.90M,33.30M,53.60M,,,,5.90M,53.60M,30.00M,90.30M,,1999-03,0.10,0.10,0.10,,1999-03,0.10,0.10,0.10,,477.00M,0.0212,,1999-03,,
1998-12,1.091B,1.091B,220.80M,870.20M,679.40M,,,,,,708.40M,161.80M,,,,,,157.00M,59.70M,97.30M,,,,5.80M,97.30M,29.00M,161.80M,,1998-12,0.195,0.195,0.195,,1998-12,0.19,0.19,0.19,,481.58M,0.0212,,1998-12,,
1998-09,997.00M,997.00M,199.90M,797.10M,645.80M,,,,,,675.50M,121.60M,,,,,,115.50M,43.90M,71.60M,,,,5.90M,71.60M,29.70M,121.60M,,1998-09,0.14,0.14,0.14,,1998-09,0.14,0.14,0.14,,469.29M,0.0212,,1998-09,,
1998-06,845.00M,845.00M,163.80M,681.20M,576.90M,,,,,,603.80M,77.40M,,,,,,73.30M,29.30M,44.00M,,,0.00,5.80M,44.00M,26.90M,77.40M,,1998-06,0.08,0.08,0.08,,1998-06,0.08,0.08,0.08,,476.00M,0.0212,,1998-06,,
