,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2009-06,38.12M,38.12M,,,462.11M,196.22M,45.01M,121.51M,362.74M,50.11M,51.46M,,964.54M,,,,,,,,,340.88M,2.106B,504.67M,2.611B,,,,61.12M,3.013B,2009-06,212.97M,,14.67M,227.64M,143.63M,371.27M,6.265M,,6.265M,,,84.49M,462.03M,883.28M,,883.28M,177.07M,,177.07M,303.44M,,1.460B,1.922B,,2009-06,16.39M,,,,,-3.892M,1.942B,,2009-06,AOR,Restated
2009-03,34.71M,34.71M,,,505.20M,206.35M,50.09M,136.76M,393.20M,47.85M,51.27M,,1.032B,,,,,,,,,337.90M,2.093B,504.92M,2.598B,,,,56.96M,2.993B,2009-03,196.77M,,4.312M,201.08M,143.95M,345.03M,8.034M,,8.034M,,,98.92M,451.98M,991.81M,,991.81M,173.64M,,173.64M,304.74M,,1.567B,2.019B,,2009-03,16.38M,,,,,-44.84M,1.884B,,2009-03,AOR,Restated
2008-12,39.34M,39.34M,461.08M,,461.08M,212.79M,53.24M,151.25M,417.29M,63.11M,51.35M,,1.032B,0.00,32.95M,204.76M,580.63M,,24.38M,842.71M,-498.83M,343.88M,2.102B,515.51M,2.617B,,,,59.79M,3.021B,2008-12,217.90M,,5.451M,223.35M,169.56M,392.90M,0.624M,,0.624M,,,104.98M,498.50M,953.47M,,953.47M,146.56M,,146.56M,304.86M,,1.535B,2.033B,,2008-12,16.38M,,,,,-26.62M,1.899B,,2008-12,,Restated
2008-09,93.54M,93.54M,517.24M,,517.24M,216.18M,50.86M,163.34M,430.39M,53.50M,50.06M,,1.145B,,,,,,,831.20M,-467.85M,363.35M,2.134B,539.13M,2.673B,,,,69.87M,3.106B,2008-09,225.93M,,,225.93M,78.92M,304.85M,3.913M,,3.913M,,,225.19M,533.95M,1.035B,,1.035B,184.51M,,184.51M,,,1.541B,2.075B,,2008-09,16.44M,,,,,113.58M,2.056B,,2008-09,,Restated
2008-06,74.62M,74.62M,558.93M,,558.93M,216.00M,52.66M,168.76M,437.42M,46.21M,51.96M,,1.169B,,,,,,,847.32M,-467.85M,379.47M,2.158B,558.45M,2.717B,,,,78.73M,3.175B,2008-06,238.66M,,,238.66M,84.22M,322.87M,4.659M,,4.659M,,,255.92M,583.45M,1.024B,,1.024B,189.21M,,189.21M,,,1.540B,2.124B,,2008-06,16.48M,,,,,170.11M,2.097B,,2008-06,,Restated
2008-03,62.28M,62.28M,616.70M,,616.70M,204.23M,56.29M,155.54M,416.06M,43.24M,54.28M,,1.193B,,,,,,,836.14M,-467.85M,368.29M,2.030B,497.80M,2.528B,,,,81.45M,2.978B,2008-03,235.80M,,,235.80M,75.18M,310.98M,12.21M,,12.21M,,,252.03M,575.23M,1.119B,,1.119B,166.56M,,166.56M,,,1.621B,2.196B,,2008-03,16.52M,,,,,165.17M,1.974B,,2008-03,,Restated
2007-12,70.80M,70.80M,461.41M,,461.41M,194.09M,50.78M,134.14M,379.02M,35.80M,50.51M,40.49M,1.038B,0.00,35.04M,210.41M,548.04M,,30.17M,823.66M,-461.97M,361.69M,1.999B,487.03M,2.486B,,,,114.76M,2.963B,2007-12,227.79M,,,227.79M,85.51M,313.29M,18.66M,,18.66M,,,228.36M,560.32M,1.042B,,1.042B,166.92M,,166.92M,,,1.529B,2.090B,,2007-12,16.54M,,,117.42M,4.449M,121.87M,1.911B,,2007-12,,
2007-09,56.56M,56.56M,479.92M,,479.92M,199.88M,53.20M,161.23M,414.30M,48.51M,53.06M,,1.052B,,,,,,,797.65M,-439.51M,358.14M,2.006B,492.88M,2.499B,,,,77.08M,2.935B,2007-09,208.50M,,,208.50M,84.83M,293.34M,9.899M,,9.899M,,,238.86M,542.10M,1.103B,,1.103B,136.89M,,136.89M,,,1.617B,2.159B,,2007-09,16.58M,,,,,70.58M,1.828B,,2007-09,,
2007-06,52.02M,52.02M,533.14M,,533.14M,198.65M,55.13M,162.22M,416.01M,42.45M,52.64M,,1.096B,,,,,,,793.83M,-439.51M,354.32M,1.941B,503.82M,2.445B,,,,77.82M,2.877B,2007-06,219.15M,,,219.15M,91.05M,310.20M,14.82M,,14.82M,,,219.90M,544.93M,1.174B,,1.174B,112.62M,,112.62M,,,1.654B,2.199B,,2007-06,16.66M,,,,,44.96M,1.774B,,2007-06,,
2007-03,64.23M,64.23M,532.79M,,532.79M,193.05M,56.98M,163.15M,413.18M,41.91M,52.20M,,1.104B,,,,,,,790.72M,-439.51M,351.21M,1.830B,384.93M,2.215B,,,,69.50M,2.636B,2007-03,208.71M,,,208.71M,74.06M,282.77M,24.26M,,24.26M,,,198.59M,505.62M,1.056B,,1.056B,111.11M,,111.11M,,,1.529B,2.034B,,2007-03,16.63M,,,,,32.39M,1.706B,,2007-03,,
2006-12,54.82M,54.82M,422.13M,,422.13M,186.51M,55.14M,157.21M,398.86M,31.24M,50.58M,,957.63M,0.00,28.99M,181.34M,521.24M,,38.31M,769.88M,-439.51M,330.37M,1.719B,287.01M,2.006B,,,,71.20M,2.407B,2006-12,206.29M,,,206.29M,83.51M,289.80M,22.19M,,22.19M,,,209.30M,521.28M,721.87M,,721.87M,109.78M,,109.78M,,,1.174B,1.695B,,2006-12,16.63M,,,,,16.70M,1.670B,,2006-12,,
2006-09,45.15M,45.15M,454.26M,,454.26M,176.01M,54.85M,166.78M,397.64M,28.74M,46.04M,,971.82M,,,,,,,698.63M,-386.33M,312.30M,1.732B,261.26M,1.994B,,,,77.39M,2.383B,2006-09,191.21M,,,191.21M,179.43M,370.64M,6.912M,,6.912M,,,95.12M,472.67M,788.07M,,788.07M,124.39M,,124.39M,,,1.242B,1.714B,,2006-09,16.68M,,,,,13.68M,1.641B,,2006-09,,
2006-06,48.33M,48.33M,502.98M,,502.98M,173.43M,50.76M,156.03M,380.22M,27.66M,45.92M,,1.005B,,,,,,,698.48M,-386.33M,312.15M,1.729B,263.60M,1.993B,,,,80.17M,2.385B,2006-06,224.24M,,,224.24M,77.07M,301.31M,11.84M,,11.84M,,,189.54M,502.69M,801.90M,,801.90M,125.42M,,125.42M,,,1.245B,1.748B,,2006-06,16.85M,,,,,10.18M,1.642B,,2006-06,,
2006-03,50.24M,50.24M,520.97M,,520.97M,162.27M,49.59M,163.76M,375.62M,28.92M,44.43M,,1.020B,,,,,,,700.50M,-386.33M,314.16M,1.724B,262.83M,1.987B,,,,67.56M,2.369B,2006-03,206.53M,,,206.53M,65.59M,272.12M,4.246M,,4.246M,,,197.15M,473.51M,888.02M,,888.02M,123.66M,,123.66M,,,1.320B,1.794B,,2006-03,16.94M,,,,,4.474M,1.595B,,2006-03,,
2005-12,48.50M,48.50M,423.85M,,423.85M,146.39M,49.42M,153.50M,349.31M,24.39M,48.97M,,895.02M,0.00,24.43M,168.78M,483.64M,,21.33M,698.17M,-386.33M,311.84M,1.718B,266.53M,1.985B,,,,62.15M,2.359B,2005-12,207.32M,,,207.32M,88.92M,296.24M,4.137M,,4.137M,,,224.29M,524.67M,748.48M,,748.48M,125.78M,,125.78M,,,1.173B,1.698B,,2005-12,16.87M,,,,,-0.986M,1.556B,,2005-12,,
2005-09,49.35M,49.35M,428.49M,,428.49M,135.51M,44.82M,164.35M,344.68M,28.24M,64.79M,,915.55M,,,,,,,670.72M,-354.23M,316.49M,,1.881B,1.881B,,,,61.74M,2.260B,2005-09,183.38M,,,183.38M,84.65M,268.02M,4.003M,,4.003M,,,249.22M,521.25M,685.35M,,685.35M,138.19M,,138.19M,,,1.108B,1.630B,,2005-09,16.98M,,,,,-4.187M,1.546B,,2005-09,,
2005-06,41.85M,41.85M,457.88M,,457.88M,128.80M,37.53M,173.13M,339.46M,27.73M,49.08M,,916.00M,,,,,,,678.70M,-354.23M,324.48M,,1.868B,1.868B,,,,60.54M,2.253B,2005-06,195.70M,,,195.70M,82.12M,277.82M,6.469M,,6.469M,,,225.53M,509.82M,727.63M,,727.63M,143.38M,,143.38M,,,1.150B,1.660B,,2005-06,16.97M,,,,,-4.958M,1.510B,,2005-06,,
2005-03,43.84M,43.84M,475.60M,,475.60M,124.28M,37.33M,178.29M,339.91M,27.84M,49.91M,,937.10M,,,,,,,689.29M,-354.23M,335.06M,,1.876B,1.876B,,,,81.01M,2.292B,2005-03,185.14M,,,185.14M,70.65M,255.79M,17.42M,,17.42M,,,207.10M,480.31M,848.01M,,848.01M,145.29M,,145.29M,,,1.277B,1.757B,,2005-03,16.93M,,,,,5.906M,1.471B,,2005-03,,
2004-12,31.50M,31.50M,396.46M,,396.46M,126.82M,34.99M,161.87M,323.68M,24.43M,49.07M,,825.14M,0.00,34.23M,167.99M,464.97M,,23.34M,690.53M,-354.23M,336.30M,,1.879B,1.879B,,,,80.61M,2.295B,2004-12,195.29M,,,195.29M,84.14M,279.43M,11.96M,,11.96M,,,235.49M,526.88M,724.15M,,724.15M,142.87M,,142.87M,,,1.146B,1.673B,,2004-12,16.83M,,,,,24.53M,1.448B,,2004-12,,
2004-09,78.79M,78.79M,397.10M,,397.10M,112.13M,34.35M,168.94M,315.41M,30.97M,45.30M,394.94M,1.263B,,,,,,,816.45M,-480.47M,335.98M,,1.879B,1.879B,,,,648.91M,2.864B,2004-09,184.74M,,,184.74M,35.20M,219.94M,859.86M,,859.86M,,,484.69M,1.564B,737.72M,,737.72M,140.66M,,140.66M,,,1.170B,2.734B,,2004-09,16.77M,,,,,-0.138M,1.390B,,2004-09,,
2004-06,58.25M,58.25M,459.71M,,459.71M,103.40M,38.88M,231.07M,373.35M,33.27M,50.13M,,974.70M,,,,,,,826.38M,-480.47M,345.91M,,1.511B,1.511B,,,,99.15M,1.956B,2004-06,253.45M,,,253.45M,41.28M,294.72M,6.92M,,6.92M,,,241.10M,542.75M,747.32M,,747.32M,78.57M,,78.57M,,,1.043B,1.586B,,2004-06,16.73M,,,,,-8.51M,1.345B,,2004-06,,
2004-03,63.25M,63.25M,496.55M,,496.55M,84.04M,34.12M,191.57M,309.73M,30.95M,49.75M,,950.22M,,,,,,,813.40M,-480.47M,332.93M,,1.481B,1.481B,,,,125.47M,1.939B,2004-03,213.16M,,,213.16M,39.48M,252.64M,4.884M,,4.884M,,,219.29M,476.82M,829.14M,,829.14M,78.58M,,78.58M,,,1.112B,1.589B,,2004-03,8.347M,,,,,-8.075M,1.300B,,2004-03,,
2003-12,47.99M,47.99M,251.48M,,251.48M,54.96M,17.33M,94.57M,166.86M,18.85M,30.87M,313.40M,829.45M,0.00,14.82M,132.77M,397.74M,,15.41M,560.75M,-327.64M,233.11M,,1.096B,1.096B,,,,622.45M,1.951B,2003-12,93.04M,,,93.04M,38.53M,131.57M,73.63M,,73.63M,,,292.25M,497.45M,732.86M,,732.86M,60.64M,,60.64M,,,1.022B,1.519B,,2003-12,8.25M,,,,,-0.357M,1.261B,,2003-12,,
2003-09,50.38M,50.38M,420.27M,,420.27M,78.78M,33.62M,195.74M,308.15M,21.52M,57.42M,2.379M,860.12M,,,,,,,772.48M,-432.35M,340.13M,,1.251B,1.251B,,,,136.62M,1.727B,2003-09,180.15M,,,180.15M,36.70M,216.85M,104.12M,,104.12M,,,223.94M,544.91M,558.61M,,558.61M,46.11M,,46.11M,,,846.27M,1.391B,,2003-09,8.235M,,,,,-40.67M,1.196B,,2003-09,,
2003-06,45.46M,45.46M,442.37M,,442.37M,84.65M,41.99M,206.73M,333.37M,20.70M,57.52M,2.166M,901.59M,,,,,,,775.13M,-432.35M,342.78M,,1.246B,1.246B,,,,137.34M,1.726B,2003-06,214.21M,,,214.21M,,214.21M,58.84M,,58.84M,,,242.08M,515.13M,669.69M,,669.69M,33.74M,,33.74M,,,940.84M,1.456B,,2003-06,8.232M,,,,,-37.64M,1.172B,,2003-06,,
2003-03,44.60M,44.60M,438.64M,,438.64M,84.67M,44.42M,180.88M,309.97M,19.39M,55.16M,1.917M,869.68M,,,,,,,777.08M,-432.35M,344.73M,,1.234B,1.234B,,,,129.86M,1.709B,2003-03,182.36M,,,182.36M,38.20M,220.56M,58.04M,,58.04M,,,194.67M,473.26M,719.77M,,719.77M,32.74M,,32.74M,,,978.94M,1.452B,,2003-03,8.229M,,,,,-49.22M,1.126B,,2003-03,,
2002-12,39.65M,39.65M,403.79M,,403.79M,83.67M,39.84M,169.69M,293.20M,17.13M,55.23M,1.799M,810.81M,0.00,16.97M,161.52M,568.00M,,37.18M,783.66M,-432.35M,351.32M,,1.218B,1.218B,,,,133.98M,1.704B,2002-12,171.71M,,,171.71M,121.82M,293.53M,61.17M,,61.17M,,,121.50M,476.20M,673.91M,,673.91M,31.73M,,31.73M,,,932.53M,1.409B,,2002-12,8.204M,,,,,-45.28M,1.106B,,2002-12,,
2002-09,39.59M,39.59M,415.02M,,415.02M,85.41M,35.58M,170.32M,291.31M,20.74M,66.53M,1.771M,834.95M,,,,,,,685.61M,-379.51M,306.10M,,1.098B,1.098B,,,,115.70M,1.520B,2002-09,188.87M,,,188.87M,37.63M,226.50M,7.284M,,7.284M,,,236.36M,470.15M,559.22M,,559.22M,35.39M,,35.39M,,,784.48M,1.255B,,2002-09,8.207M,,,,,-31.45M,1.100B,,2002-09,,
2002-06,29.29M,29.29M,450.70M,,450.70M,88.51M,38.37M,178.78M,305.66M,21.19M,67.09M,2.399M,876.33M,,,,,,,694.16M,-379.51M,314.66M,,1.099B,1.099B,,,,110.89M,1.525B,2002-06,206.16M,,,206.16M,39.68M,245.84M,6.089M,,6.089M,,,210.56M,462.48M,638.55M,,638.55M,35.14M,,35.14M,,,860.21M,1.323B,,2002-06,8.206M,,,,,-25.46M,1.078B,,2002-06,,
2002-03,20.95M,20.95M,447.48M,,447.48M,91.85M,36.97M,166.57M,295.39M,19.34M,67.87M,3.613M,854.64M,,,,,,,698.26M,-379.51M,318.76M,1.085B,,1.085B,,,,116.83M,1.521B,2002-03,197.41M,,,197.41M,37.82M,235.23M,5.972M,,5.972M,,,202.94M,444.15M,689.14M,,689.14M,34.04M,,34.04M,,,904.06M,1.348B,,2002-03,8.201M,,,,,-41.62M,1.027B,,2002-03,,
2001-12,39.84M,39.84M,398.58M,,398.58M,94.40M,38.76M,167.76M,300.92M,20.98M,69.95M,5.325M,835.60M,0.00,16.69M,152.87M,518.14M,,21.30M,709.01M,-379.51M,329.50M,1.088B,,1.088B,,,,118.89M,1.537B,2001-12,179.15M,,,179.15M,37.59M,216.74M,8.729M,,8.729M,,,202.96M,428.43M,714.98M,,714.98M,34.13M,,34.13M,,,928.76M,1.357B,,2001-12,8.193M,,,,,-38.36M,1.015B,,2001-12,,
2001-09,32.82M,32.82M,460.73M,,460.73M,103.10M,42.76M,197.27M,343.13M,28.55M,73.68M,106.68M,1.046B,,,,,,,676.84M,-336.65M,340.19M,,1.112B,1.112B,,,,93.81M,1.546B,2001-09,207.72M,,,207.72M,40.22M,247.94M,66.26M,,66.26M,,,217.04M,531.25M,781.88M,,781.88M,41.96M,,41.96M,,,993.53M,1.525B,,2001-09,8.174M,,,,,-33.53M,1.067B,,2001-09,,
2001-06,27.69M,27.69M,475.81M,,475.81M,107.10M,42.54M,195.46M,345.10M,23.74M,72.58M,109.06M,1.054B,,,,,,,677.69M,-336.65M,341.04M,,1.114B,1.114B,,,,91.28M,1.546B,2001-06,230.29M,,,230.29M,41.44M,271.73M,103.29M,,103.29M,,,203.29M,578.31M,780.89M,,780.89M,36.93M,,36.93M,,,980.23M,1.559B,,2001-06,8.178M,,,,,-43.72M,1.042B,,2001-06,,
2001-03,33.00M,33.00M,508.34M,,508.34M,114.54M,47.48M,221.16M,383.19M,,73.25M,127.93M,1.126B,,,,,,,683.47M,-336.65M,346.82M,,1.132B,1.132B,,,,66.37M,1.545B,2001-03,224.29M,,,224.29M,,224.29M,194.68M,,194.68M,,,243.98M,662.96M,782.17M,,782.17M,36.70M,,36.70M,,,984.59M,1.648B,,2001-03,8.17M,,,,,-40.57M,1.023B,,2001-03,,
2000-12,34.94M,34.94M,468.08M,,468.08M,,,,392.50M,,,196.28M,1.092B,,,,,,,689.63M,-336.65M,352.98M,,1.141B,1.141B,,,,58.14M,1.552B,2000-12,250.09M,,,250.09M,,250.09M,132.14M,,132.14M,,,266.56M,648.79M,781.83M,,781.83M,37.13M,,37.13M,,,984.64M,1.633B,,2000-12,8.119M,,,,,-34.04M,1.011B,,2000-12,,
2000-09,56.57M,56.57M,,,594.20M,,,,475.60M,,,88.95M,1.215B,,,,,,,734.10M,-353.82M,380.28M,,1.164B,1.164B,,,,67.67M,1.612B,2000-09,268.88M,,,268.88M,,268.88M,220.93M,,220.93M,,,285.47M,775.28M,828.02M,,828.02M,8.166M,,8.166M,,,1.018B,1.793B,,2000-09,8.088M,,,,,-39.51M,1.034B,,2000-09,,
2000-06,56.13M,56.13M,,,617.05M,,,,484.50M,,,78.60M,1.236B,,,,,,,738.55M,-352.96M,385.59M,,1.159B,1.159B,,,,67.52M,1.612B,2000-06,281.60M,,,281.60M,,281.60M,217.31M,,217.31M,,,276.21M,775.12M,839.13M,,839.13M,9.138M,,9.138M,,,1.029B,1.804B,,2000-06,8.089M,,,,,-25.80M,1.044B,,2000-06,,
2000-03,43.97M,43.97M,,,674.50M,,,,464.71M,,,73.36M,1.257B,,,,,,,742.32M,-354.76M,387.57M,,1.171B,1.171B,,,,57.60M,1.616B,2000-03,216.41M,,,216.41M,,216.41M,312.04M,,312.04M,,,280.44M,808.90M,858.79M,,858.79M,10.12M,,10.12M,,,1.045B,1.854B,,2000-03,8.081M,,,,,-20.96M,1.019B,,2000-03,,
1999-12,63.02M,63.02M,,,502.24M,,,,352.83M,,,208.42M,1.127B,,,,,,,704.43M,-336.65M,367.78M,,1.164B,1.164B,,,,48.17M,1.580B,1999-12,220.94M,,,220.94M,,220.94M,177.79M,,177.79M,,,289.12M,687.86M,857.30M,,857.30M,6.632M,,6.632M,,,1.028B,1.716B,,1999-12,8.053M,,,,,-18.03M,990.77M,,1999-12,,
1999-09,30.30M,30.30M,,,586.20M,,,,410.00M,,,70.50M,1.097B,,,,,,,720.20M,-325.30M,394.90M,,1.193B,1.193B,,,,82.80M,1.671B,1999-09,207.80M,,,207.80M,,207.80M,241.10M,,241.10M,,,330.00M,778.90M,1.045B,,1.045B,,,,,,1.240B,2.018B,,1999-09,244.50M,,7.10M,,,-4.10M,749.30M,,1999-09,,
1999-06,41.60M,41.60M,,,419.60M,,,,292.80M,,,56.90M,810.90M,,,,,,,612.50M,-311.40M,301.10M,,497.10M,497.10M,,,,60.50M,858.70M,1999-06,129.20M,,,129.20M,,129.20M,47.80M,,47.80M,,,218.50M,395.50M,370.70M,,370.70M,,,,,,549.20M,944.70M,,1999-06,,,,,,,724.90M,,1999-06,,
1999-03,31.10M,31.10M,,,407.00M,,,,282.30M,,,55.60M,776.00M,,,,,,,589.00M,-293.90M,295.10M,,460.00M,460.00M,,,,56.50M,811.60M,1999-03,125.40M,,,125.40M,,125.40M,48.70M,,48.70M,,,218.20M,392.30M,312.50M,,312.50M,,,,,,491.70M,884.00M,,1999-03,,,,,,,703.60M,,1999-03,,
1998-12,32.00M,32.00M,,,396.10M,,,,278.60M,,,41.90M,748.60M,,,,,,,593.00M,-284.70M,308.30M,,474.50M,474.50M,,,,23.30M,806.10M,1998-12,156.00M,,,156.00M,,156.00M,52.90M,,52.90M,,,185.90M,394.80M,288.00M,,288.00M,0.40M,,0.40M,,,450.50M,845.30M,,1998-12,53.60M,,53.60M,,,,709.40M,,1998-12,,
1998-09,33.80M,33.80M,,,369.50M,,,,290.80M,,,36.20M,730.30M,,,,,,,563.50M,-276.40M,287.10M,,435.10M,435.10M,,,,52.80M,775.00M,1998-09,114.80M,,,114.80M,,114.80M,76.10M,,76.10M,,,190.10M,381.00M,283.00M,,283.00M,,,,,,444.80M,825.80M,,1998-09,54.50M,,54.50M,,,,679.50M,,1998-09,,
1998-06,35.30M,35.30M,,,372.90M,,,,282.90M,,,36.00M,727.10M,,,,,,,542.00M,-260.40M,281.60M,,425.60M,425.60M,,,,46.70M,753.90M,1998-06,123.60M,,,123.60M,,123.60M,40.00M,,40.00M,,,175.50M,339.10M,322.60M,,322.60M,,,,,,475.90M,815.00M,,1998-06,51.60M,,51.60M,,,,666.00M,,1998-06,,
