,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-06,689.43M,689.43M,531.29M,158.13M,90.53M,7.25M,,,,,97.78M,60.35M,,,,,44.11M,15.55M,28.56M,,,,,28.56M,28.56M,60.35M,,2001-06,0.29,0.00,0.29,,2001-06,0.29,0.00,0.29,,2001-06,0.17,,2001-06,,
2001-03,671.38M,671.38M,507.40M,163.99M,103.39M,7.739M,-2.50M,,,,111.13M,52.86M,,,-2.50M,,32.64M,12.08M,20.56M,,,,,20.56M,22.14M,52.86M,,2001-03,0.21,0.00,0.21,,2001-03,0.21,0.00,0.21,,2001-03,0.17,,2001-03,,
2000-12,674.78M,674.78M,424.16M,250.62M,128.01M,7.831M,-27.26M,,,,234.87M,15.75M,,,-27.26M,,-30.13M,-11.66M,-18.47M,-7.962M,0.00,,,-26.43M,-1.760M,15.75M,,2000-12,-0.3796,-0.1637,-0.5432,,2000-12,-0.3796,-0.1637,-0.5432,,2000-12,0.17,,2000-12,,
2000-09,691.78M,691.78M,518.92M,172.86M,104.30M,7.214M,,,,,111.51M,61.35M,,,,,42.60M,14.58M,28.02M,-14.38M,,,,13.64M,28.02M,61.35M,,2000-09,0.29,-0.15,0.14,,2000-09,0.29,-0.15,0.14,,2000-09,0.17,,2000-09,,
2000-06,733.76M,733.76M,541.61M,192.15M,105.18M,7.528M,,,,,112.71M,79.44M,,,,,60.86M,22.18M,38.67M,-1.44M,,,,37.23M,38.67M,79.44M,,2000-06,0.40,-0.015,0.385,,2000-06,0.395,-0.015,0.38,,2000-06,0.16,,2000-06,,
2000-03,647.69M,647.69M,451.02M,196.67M,101.00M,8.618M,2.468M,,,-16.76M,109.62M,87.05M,,,2.468M,,53.80M,20.16M,33.64M,-0.975M,-1.222M,,,31.44M,32.10M,87.05M,,2000-03,0.345,-0.01,0.325,,2000-03,0.345,-0.01,0.325,,2000-03,0.16,,2000-03,,
1999-12,533.47M,533.47M,421.45M,112.02M,4.107M,,14.95M,,,,47.84M,64.17M,,,14.95M,,61.64M,23.86M,37.79M,,,,,43.01M,28.62M,64.17M,,1999-12,-0.24,0.71,0.47,,1999-12,-0.24,0.70,0.47,,1999-12,0.16,,1999-12,,
1999-09,604.90M,604.90M,395.80M,209.10M,123.60M,,,,,,146.50M,62.60M,,,,,48.50M,18.70M,29.80M,,,,,29.80M,29.80M,62.60M,,1999-09,0.35,0.00,0.35,,1999-09,0.345,0.00,0.345,,1999-09,0.16,,1999-09,,
1999-06,507.20M,507.20M,328.20M,179.00M,102.30M,6.10M,,,,,127.40M,51.60M,,,,,44.60M,16.30M,28.30M,,,,,28.30M,28.30M,51.60M,,1999-06,0.335,0.00,0.335,,1999-06,0.33,0.00,0.33,,1999-06,0.16,,1999-06,,
1999-03,470.49M,470.49M,302.05M,168.44M,103.40M,,-38.00M,,,,122.01M,46.44M,,,-38.00M,,3.528M,1.288M,2.24M,,,,,2.24M,26.37M,46.44M,,1999-03,0.025,0.00,0.025,,1999-03,0.025,0.00,0.025,,1999-03,0.16,,1999-03,,
1998-12,276.10M,276.10M,242.67M,33.43M,-22.52M,,,,,,4.426M,29.00M,,,,,25.69M,8.867M,16.82M,,,,0.767M,32.94M,16.82M,29.00M,,1998-12,-0.395,0.87,0.475,,1998-12,-0.395,0.77,0.38,,1998-12,0.15,,1998-12,,
1998-09,476.80M,476.80M,314.10M,162.70M,101.00M,,,,,,116.10M,46.60M,,,,,41.10M,15.30M,25.80M,,,,1.20M,25.80M,25.80M,46.60M,,1998-09,0.32,0.00,0.32,,1998-09,0.30,0.00,0.30,,1998-09,0.15,,1998-09,,
1998-06,471.80M,471.80M,307.00M,164.80M,101.70M,,,,,,120.10M,44.70M,,,,,39.10M,14.70M,24.40M,,,,1.20M,24.40M,24.40M,44.70M,,1998-06,0.30,0.00,0.30,,1998-06,0.28,0.00,0.28,,1998-06,0.15,,1998-06,,
