,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2000-03,147.48M,147.48M,109.88M,37.60M,35.76M,,,,37.94M,-0.338M,,,,,-1.641M,-0.666M,-0.975M,,-0.975M,-0.975M,1.844M,2.182M,-0.338M,,-0.0017,0.00,,-0.0017,-0.0017,,-0.0017,0.00,,-0.0017,-0.0017,,561.47M,561.47M,,,,
1999-12,188.12M,188.12M,136.10M,52.02M,37.90M,,,,40.00M,12.02M,,,,,10.40M,4.10M,6.30M,,6.30M,6.30M,14.12M,2.10M,12.02M,,0.0449,,,0.0449,0.0449,,0.0449,,,0.0449,0.0449,,140.30M,140.30M,,,,
1999-09,160.21M,160.21M,118.60M,41.61M,34.10M,,,,36.00M,5.614M,,,,,4.40M,1.80M,2.60M,,2.60M,2.60M,7.514M,1.90M,5.614M,,0.0047,0.00,,0.0047,0.0047,,0.0047,0.00,,0.0047,0.0047,,140.22M,140.22M,,,,
1999-06,214.10M,214.10M,158.70M,55.40M,35.90M,,,,37.80M,17.60M,,,,,17.10M,7.00M,10.10M,,10.10M,10.10M,19.50M,1.90M,17.60M,,0.0181,0.00,,0.0181,0.0181,,0.0178,0.00,,0.0178,0.0178,,140.18M,140.18M,,,,
1999-03,125.65M,125.65M,93.50M,32.15M,31.90M,,,,33.30M,-1.153M,,,,,-1.80M,-0.70M,-1.10M,,-1.10M,-1.10M,0.247M,1.40M,-1.153M,,-0.0020,0.00,,-0.0020,-0.0020,,-0.0020,0.00,,-0.0020,-0.0020,,140.03M,140.03M,,,,
1998-12,158.40M,158.40M,115.90M,42.50M,31.50M,,,,32.80M,9.70M,,,,,8.60M,3.60M,5.00M,,5.00M,5.00M,11.00M,1.30M,9.70M,,0.0357,,,0.0357,0.0357,,0.0357,,,0.0357,0.0357,,139.97M,139.97M,,,,
1998-09,140.60M,140.60M,104.20M,36.40M,30.60M,,,,32.00M,4.40M,,,,,3.60M,1.50M,2.10M,,2.10M,2.10M,5.80M,1.40M,4.40M,,0.0038,0.00,,0.0038,0.0038,,0.0038,0.00,,0.0038,0.0038,,139.90M,139.90M,,,,
1998-06,196.10M,196.10M,146.80M,49.30M,31.70M,,,,33.00M,16.30M,,,,,15.60M,6.40M,9.20M,,9.20M,9.20M,17.60M,1.30M,16.30M,,0.0164,0.00,,0.0164,0.0164,,0.0162,0.00,,0.0162,0.0162,,139.86M,139.86M,,,,
1998-03,105.60M,105.60M,79.10M,26.50M,26.90M,,,,28.20M,-1.70M,,,,,-2.50M,-1.00M,-1.50M,,-1.50M,-1.50M,-0.40M,1.30M,-1.70M,,-0.0027,0.00,,-0.0027,-0.0027,,-0.0027,0.00,,-0.0027,-0.0027,,139.78M,139.78M,,,,
1997-12,134.80M,134.80M,98.80M,36.00M,26.70M,,,,27.90M,8.10M,,,,,7.30M,3.10M,4.20M,,4.20M,4.20M,9.30M,1.20M,8.10M,,0.0301,,,0.0301,0.0301,,0.0301,,,0.0301,0.0301,,139.70M,139.70M,,,,
1997-09,118.40M,118.40M,88.20M,30.20M,25.90M,,,,27.10M,3.10M,,,,,2.60M,1.00M,1.60M,,1.60M,1.60M,4.30M,1.20M,3.10M,,0.0028,0.00,,0.0028,0.0028,,0.0028,0.00,,0.0028,0.0028,,139.63M,139.63M,,,,
1997-06,159.50M,159.50M,118.20M,41.30M,28.00M,,,,29.10M,12.20M,,,,,11.70M,4.70M,7.00M,,7.00M,7.00M,13.30M,1.10M,12.20M,,0.0125,0.00,,0.0125,0.0125,,0.0125,0.00,,0.0125,0.0125,,139.63M,139.63M,,,,
1997-03,96.40M,96.40M,72.30M,24.10M,24.10M,,,,25.10M,-1.00M,,,,,-1.50M,-0.60M,-0.90M,,-0.90M,-0.90M,0.00,1.00M,-1.00M,,-0.0017,0.00,,-0.0017,-0.0017,,-0.0017,0.00,,-0.0017,-0.0017,,139.50M,139.50M,,,,
1996-12,116.10M,116.10M,85.00M,31.10M,23.00M,,,,23.90M,7.20M,,,,,6.60M,2.60M,4.00M,,4.00M,4.00M,8.10M,0.90M,7.20M,,0.0287,,,0.0287,0.0287,,0.0287,,,0.0287,0.0287,,139.49M,139.49M,,,,
1996-09,105.00M,105.00M,77.90M,27.10M,21.80M,,,,22.70M,4.40M,,,,,3.80M,1.50M,2.30M,,2.30M,2.30M,5.30M,0.90M,4.40M,,0.0041,0.00,,0.0041,0.0041,,0.0041,0.00,,0.0041,0.0041,,139.49M,139.49M,,,,
1996-06,146.70M,146.70M,108.90M,37.80M,23.20M,,,,24.10M,13.70M,,,,,13.20M,5.30M,7.90M,,7.90M,7.90M,14.60M,0.90M,13.70M,,0.0141,0.00,,0.0141,0.0141,,0.0139,0.00,,0.0139,0.0139,,139.49M,139.49M,,,,
1996-03,81.20M,81.20M,60.60M,20.60M,20.80M,,,,21.50M,-0.90M,,,,,-1.60M,-0.60M,-1.00M,,-1.00M,-1.00M,-0.20M,0.70M,-0.90M,,-0.0019,0.00,,-0.0019,-0.0019,,-0.0019,0.00,,-0.0019,-0.0019,,139.49M,139.49M,,,,
1995-12,100.50M,100.50M,74.00M,26.50M,19.20M,,,,19.90M,6.60M,,,,,5.80M,2.30M,3.50M,,3.50M,3.50M,7.30M,0.70M,6.60M,,0.0251,,,0.0251,0.0251,,0.0251,,,0.0251,0.0251,,139.49M,139.49M,,,,
1995-09,88.30M,88.30M,65.40M,22.90M,18.10M,,,,18.70M,4.20M,,,,,3.70M,1.50M,2.20M,,2.20M,2.20M,4.80M,0.60M,4.20M,,0.0039,0.00,,0.0039,0.0039,,0.0039,0.00,,0.0039,0.0039,,139.49M,139.49M,,,,
1995-06,123.60M,123.60M,92.10M,31.50M,19.00M,,,,19.60M,11.90M,,,,,11.70M,4.70M,7.00M,,7.00M,7.00M,12.50M,0.60M,11.90M,,0.0123,0.00,,0.0123,0.0123,,0.0123,0.00,,0.0123,0.0123,,139.49M,139.49M,,,,
1995-03,71.50M,71.50M,53.70M,17.80M,17.30M,,,,17.90M,-0.10M,,,,,-0.40M,-0.20M,-0.20M,,-0.20M,-0.20M,0.50M,0.60M,-0.10M,,-0.0062,0.00,,-0.0062,-0.0062,,-0.0062,0.00,,-0.0062,-0.0062,,139.49M,139.49M,,,,
1994-12,84.40M,84.40M,61.30M,23.10M,17.50M,,,,17.90M,5.20M,,,,,4.80M,1.90M,2.90M,,2.90M,2.90M,5.60M,0.40M,5.20M,,0.0208,,,0.0208,0.0208,,0.0208,,,0.0208,0.0208,,139.49M,139.49M,,,,
1994-09,74.90M,74.90M,54.30M,20.60M,15.80M,,,,16.30M,4.30M,,,,,4.00M,1.60M,2.40M,,2.40M,2.40M,4.80M,0.50M,4.30M,,0.0041,0.00,,0.0041,0.0041,,0.0041,0.00,,0.0041,0.0041,,150.53M,150.53M,,,,
1994-06,108.30M,108.30M,79.50M,28.80M,17.20M,,,,17.70M,11.10M,,,,,10.90M,4.40M,6.50M,,6.50M,6.50M,11.60M,0.50M,11.10M,,0.0116,0.00,,0.0116,0.0116,,0.0116,0.00,,0.0116,0.0116,,139.49M,139.49M,,,,
1994-03,62.40M,62.40M,46.60M,15.80M,15.20M,,,,15.60M,0.20M,,,,,-0.80M,-0.30M,-0.50M,,-0.50M,-0.50M,0.60M,0.40M,0.20M,,-0.0012,0.00,,-0.0012,-0.0012,,-0.0012,0.00,,-0.0012,-0.0012,,139.49M,139.49M,,,,
1993-12,69.80M,69.80M,,,,,,,,-194.20M,,,,,,,1.80M,,1.80M,1.80M,-194.20M,,-194.20M,,0.0039,0.00,,0.0039,0.0039,,0.0039,0.00,,0.0039,0.0039,,441.08M,441.08M,,,,
1993-09,69.80M,69.80M,,,,,,,,69.80M,,,,,,,1.70M,,1.70M,1.70M,69.80M,,69.80M,,0.0039,0.00,,0.0039,0.0039,,0.0039,0.00,,0.0039,0.0039,,435.20M,435.20M,,,,
1993-06,69.80M,69.80M,,,,,,,,69.80M,,,,,,,1.70M,,1.70M,1.70M,69.80M,,69.80M,,0.0039,0.00,,0.0039,0.0039,,0.0039,0.00,,0.0039,0.0039,,435.20M,435.20M,,,,
1993-03,69.80M,69.80M,,,,,,,,69.80M,,,,,,,1.70M,,1.70M,1.70M,69.80M,,69.80M,,0.0038,0.00,,0.0038,0.0038,,0.0038,0.00,,0.0038,0.0038,,453.33M,453.33M,,,,
