,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-06,43.40M,,43.40M,,,692.39M,40.17M,,6.999M,,782.96M,0.00,21.71M,255.89M,208.44M,,30.16M,516.20M,-194.74M,321.46M,10.26M,,10.26M,15.06M,6.069M,352.85M,1.136B,,360.52M,,360.52M,110.24M,470.75M,,,0.896M,,0.896M,,,17.57M,489.22M,,2.41M,2.41M,,,,49.84M,52.25M,541.47M,,0.324M,516.26M,141.48M,63.72M,,,594.34M,,,
2007-03,35.79M,,35.79M,,,722.93M,32.46M,,10.95M,,802.12M,0.00,21.80M,252.16M,151.29M,48.52M,15.47M,489.24M,-183.27M,305.98M,10.26M,,10.26M,10.28M,7.309M,333.82M,1.136B,,336.28M,,336.28M,110.55M,446.83M,,,0.975M,,0.975M,,,1.934M,449.74M,53.42M,2.602M,56.02M,,,,44.86M,100.88M,550.62M,,0.323M,472.50M,133.86M,21.33M,,-0.026M,585.33M,,,
2006-12,26.39M,,26.39M,,,594.85M,37.01M,,11.36M,,669.61M,0.00,19.50M,248.06M,192.98M,,15.40M,475.94M,-174.34M,301.60M,10.29M,,10.29M,10.78M,5.976M,328.65M,998.26M,,229.17M,,229.17M,111.72M,340.89M,,,1.065M,,1.065M,,,11.55M,353.51M,,2.808M,2.808M,,,,43.04M,45.85M,399.35M,,0.322M,469.36M,129.25M,,,-0.022M,598.90M,,,
2006-09,26.18M,,26.18M,,,605.72M,36.70M,,8.022M,,676.62M,0.00,20.03M,239.99M,176.67M,,11.47M,448.15M,-164.29M,283.86M,10.41M,,10.41M,10.66M,6.707M,311.65M,988.26M,,241.67M,,241.67M,104.86M,346.53M,,,1.271M,,1.271M,,,1.044M,348.84M,31.10M,2.688M,33.79M,,,,40.60M,74.40M,423.24M,,0.322M,439.86M,124.89M,,,-0.051M,565.02M,,,
2006-06,43.35M,,43.35M,,,573.26M,39.07M,,14.13M,,669.82M,0.00,18.26M,233.31M,136.45M,32.95M,11.24M,432.20M,-154.90M,277.31M,9.352M,,9.352M,11.92M,8.024M,306.60M,976.42M,,265.94M,,265.94M,105.17M,371.11M,,,1.331M,,1.331M,,,21.73M,394.17M,,2.937M,2.937M,,,,39.61M,42.55M,436.72M,,0.32M,421.80M,117.63M,,,-0.046M,539.71M,,,
2006-03,39.62M,,39.62M,,,590.48M,37.20M,,11.14M,,678.43M,0.00,17.32M,223.53M,153.36M,,20.44M,414.64M,-146.14M,268.50M,12.44M,,12.44M,9.048M,5.837M,295.82M,974.26M,,278.58M,,278.58M,96.60M,375.18M,,,1.37M,,1.37M,,,,376.54M,64.70M,3.184M,67.89M,,,,37.73M,105.62M,482.16M,,0.319M,378.87M,112.94M,,,-0.036M,492.10M,,,
2005-12,21.20M,,21.20M,,,460.75M,38.38M,,11.08M,,531.41M,0.00,17.32M,223.58M,148.10M,,9.842M,398.84M,-140.37M,258.48M,,12.44M,12.44M,7.53M,4.941M,283.38M,814.80M,,185.40M,,185.40M,102.81M,288.21M,,,1.049M,,1.049M,,,1.421M,290.68M,8.212M,2.527M,10.74M,,,,35.68M,46.42M,337.10M,,0.315M,378.35M,99.05M,,,-0.011M,477.70M,,,
2005-09,25.66M,,25.66M,,,487.03M,37.89M,,10.02M,1.401M,562.00M,0.00,17.44M,202.76M,107.84M,27.97M,21.24M,377.25M,-134.87M,242.38M,,,,7.972M,4.19M,254.54M,816.54M,,224.57M,,224.57M,91.28M,315.85M,,,1.068M,,1.068M,,,0.664M,317.58M,20.00M,2.706M,22.71M,,,,33.23M,55.94M,373.52M,,0.315M,347.44M,95.26M,,,,443.02M,,,
2005-06,66.36M,,66.36M,,,474.19M,30.91M,,13.39M,0.968M,585.82M,0.00,17.49M,194.66M,129.35M,,10.26M,351.76M,-126.99M,224.77M,,,,,4.117M,228.89M,814.71M,,253.93M,,253.93M,90.00M,343.93M,,,1.148M,,1.148M,,,11.20M,356.27M,,2.905M,2.905M,4.645M,,4.645M,31.05M,38.60M,394.87M,,0.313M,329.12M,90.41M,,,,419.84M,,,
2005-03,37.89M,,37.89M,,,501.12M,34.23M,,12.33M,1.704M,587.28M,0.00,17.61M,187.56M,120.58M,,7.592M,333.35M,-119.77M,213.58M,,,,,4.34M,217.92M,805.20M,,267.92M,,267.92M,74.31M,342.23M,,,1.132M,,1.132M,,,,343.37M,44.00M,2.924M,46.92M,5.564M,,5.564M,27.54M,80.03M,423.40M,,0.311M,293.36M,88.13M,,,,381.80M,,,
2004-12,28.94M,,28.94M,,,385.13M,30.48M,,11.58M,2.272M,458.40M,0.00,15.48M,171.28M,115.50M,,24.32M,326.58M,-112.95M,213.63M,,,,,6.446M,220.08M,678.48M,,147.95M,,147.95M,92.76M,240.71M,,,0.882M,,0.882M,,,,241.60M,32.28M,2.465M,34.74M,5.71M,,5.71M,25.85M,66.30M,307.90M,,0.306M,292.68M,77.60M,,,,370.58M,,,
2004-09,23.49M,,23.49M,,,435.01M,36.77M,,5.85M,2.877M,503.99M,0.00,15.76M,150.30M,105.41M,,10.92M,282.38M,-98.13M,184.26M,,,,,5.945M,190.20M,694.19M,,199.26M,,199.26M,84.42M,283.68M,,,0.532M,,0.532M,,,,284.22M,44.15M,1.852M,46.00M,2.916M,,2.916M,8.008M,56.93M,341.15M,,0.306M,276.15M,76.59M,,,,353.05M,,,
2004-06,66.42M,,66.42M,,,407.05M,23.51M,,7.467M,2.472M,506.92M,0.00,15.86M,145.31M,99.98M,,6.327M,267.48M,-94.91M,172.56M,,,,,4.234M,176.80M,683.72M,,237.73M,,237.73M,79.62M,317.35M,,,0.339M,,0.339M,,,5.542M,323.23M,,1.63M,1.63M,8.879M,,8.879M,5.528M,16.04M,339.27M,,0.306M,268.20M,75.94M,,,,344.44M,,,
2004-03,24.07M,,24.07M,,,402.12M,31.02M,,7.467M,3.058M,467.73M,0.00,15.86M,141.33M,93.79M,-0.027M,6.222M,257.17M,-89.11M,168.06M,,,,,4.202M,172.26M,639.99M,,231.16M,,231.16M,65.82M,296.99M,,,0.339M,,0.339M,,,,297.32M,15.96M,1.718M,17.68M,8.879M,,8.879M,5.588M,32.15M,329.47M,,0.305M,236.82M,73.39M,,,,310.52M,,,
2003-12,19.98M,,19.98M,,,324.52M,27.58M,,7.467M,3.636M,383.18M,0.00,14.31M,134.64M,89.63M,,3.718M,242.30M,-91.50M,150.80M,,,,,4.292M,155.09M,538.27M,,131.56M,,131.56M,70.05M,201.62M,,,0.339M,,0.339M,,,,201.96M,19.40M,1.807M,21.21M,6.235M,,6.235M,17.88M,45.32M,247.28M,,0.299M,228.61M,62.08M,,,,290.99M,,,
2003-09,30.90M,,30.90M,,,374.85M,22.02M,,7.294M,2.611M,437.68M,0.00,14.85M,123.07M,86.90M,,4.291M,229.11M,-81.73M,147.38M,,,,,4.323M,151.70M,589.39M,,195.60M,,195.60M,60.22M,255.82M,,,2.485M,,2.485M,,,0.319M,258.62M,45.00M,1.893M,46.89M,1.584M,,1.584M,5.066M,53.54M,312.16M,,0.298M,216.14M,60.91M,,,-0.124M,277.22M,,,
2003-06,17.83M,,17.83M,,,355.16M,19.45M,,7.462M,2.949M,402.85M,0.00,13.03M,108.36M,81.58M,,5.113M,208.09M,-77.43M,130.66M,,,,,2.635M,133.30M,536.15M,,190.00M,,190.00M,55.76M,245.76M,,,2.482M,,2.482M,,,5.845M,254.09M,12.27M,1.993M,14.26M,1.584M,,1.584M,2.346M,18.19M,272.28M,,0.149M,204.01M,60.11M,,,-0.409M,263.87M,,,
2003-03,25.23M,,25.23M,,,366.81M,24.77M,,7.581M,3.774M,428.17M,0.00,12.52M,103.83M,78.20M,,4.965M,199.51M,-73.57M,125.94M,,,,,3.096M,129.04M,557.21M,,208.54M,,208.54M,,208.54M,,,2.482M,,2.482M,,,51.45M,262.47M,57.86M,2.078M,59.94M,1.584M,,1.584M,2.262M,63.78M,326.25M,,0.147M,176.63M,54.79M,,,-0.613M,230.95M,,,
2002-12,13.77M,,13.77M,0.102M,0.102M,289.25M,17.58M,,7.784M,3.779M,332.27M,0.00,12.57M,100.84M,75.82M,,4.271M,193.50M,-69.95M,123.54M,,,,,3.104M,126.65M,458.92M,,114.85M,,114.85M,66.30M,181.15M,,,2.482M,,2.482M,,,4.80M,188.44M,36.94M,2.163M,39.10M,1.584M,,1.584M,1.952M,42.64M,231.07M,,0.146M,176.50M,52.17M,,,-0.973M,227.85M,,,
2002-09,14.26M,,14.26M,2.687M,2.687M,333.39M,12.62M,,,4.261M,367.21M,0.00,12.89M,99.04M,74.42M,,3.919M,190.27M,-67.29M,122.98M,,,,3.011M,2.396M,128.38M,495.60M,,146.84M,,146.84M,51.03M,197.88M,,,2.451M,,2.451M,0.174M,0.174M,,200.50M,80.90M,2.271M,83.17M,,,,3.975M,87.14M,287.64M,,0.145M,158.87M,50.10M,,,-1.153M,207.96M,,,
2002-06,15.61M,,15.61M,11.20M,11.20M,328.50M,13.89M,,,4.331M,373.53M,0.00,13.31M,96.23M,69.49M,,3.03M,182.06M,-63.24M,118.82M,,,,2.603M,1.839M,123.26M,496.79M,,227.72M,,227.72M,50.68M,278.40M,,,2.451M,,2.451M,0.174M,0.174M,6.175M,287.20M,4.465M,2.349M,6.814M,,,,3.997M,10.81M,298.01M,,0.072M,151.07M,48.82M,,,-1.18M,198.78M,,,
2002-03,14.77M,,14.77M,6.486M,6.486M,290.01M,17.27M,,,4.43M,332.96M,0.00,13.31M,85.20M,62.06M,,7.723M,168.30M,-59.08M,109.22M,,,,2.549M,1.827M,113.59M,446.55M,,160.11M,,160.11M,35.04M,195.14M,,,2.451M,,2.451M,0.174M,0.174M,0.042M,197.81M,63.00M,2.426M,65.43M,,,,3.672M,69.10M,266.91M,,0.072M,133.72M,46.94M,,,-1.092M,179.64M,,,
2001-12,8.927M,,8.927M,6.516M,6.516M,221.98M,14.54M,,,,251.96M,0.00,6.365M,72.68M,53.25M,,5.699M,138.00M,-56.01M,81.99M,,,,2.741M,1.791M,86.52M,338.48M,,80.97M,,80.97M,42.94M,123.92M,,,2.451M,,2.451M,0.174M,0.174M,3.111M,129.65M,20.65M,2.503M,23.16M,,,,4.376M,27.53M,157.19M,,0.071M,137.73M,44.92M,,,-1.422M,181.30M,,,
2001-09,14.07M,,14.07M,4.50M,4.50M,253.24M,9.815M,,,,281.62M,0.00,6.365M,71.65M,52.52M,,3.909M,134.44M,-53.17M,81.26M,,,,1.112M,1.608M,83.98M,365.61M,,95.86M,,95.86M,33.18M,129.05M,,,2.421M,,2.421M,4.212M,4.212M,8.522M,144.20M,45.07M,2.603M,47.68M,,,,4.726M,52.40M,196.60M,,0.07M,128.18M,43.33M,,,-2.569M,169.00M,,,
2001-06,9.69M,,9.69M,6.565M,6.565M,251.51M,6.179M,,,,273.94M,0.00,6.365M,70.63M,51.38M,,1.382M,129.75M,-50.43M,79.32M,,,,1.112M,3.258M,83.69M,357.63M,,111.96M,,111.96M,34.79M,146.75M,3.145M,0.279M,3.424M,,3.424M,4.212M,4.212M,8.022M,162.41M,22.81M,2.672M,25.48M,,,,2.298M,27.78M,190.19M,,0.07M,125.75M,43.19M,,,-1.572M,167.44M,,,
2001-03,14.27M,,14.27M,6.41M,6.41M,269.24M,6.631M,,,,296.56M,,,,,,,124.87M,-44.86M,80.02M,,,,1.112M,3.492M,84.62M,381.18M,,117.29M,,117.29M,31.14M,148.42M,,,3.424M,,3.424M,4.212M,4.212M,,156.06M,71.10M,,71.10M,,,,2.439M,73.54M,229.60M,,0.07M,110.11M,43.10M,,,-1.701M,151.58M,,,
2000-12,9.145M,,9.145M,7.683M,7.683M,222.54M,,,,7.87M,247.23M,,,,,,,125.34M,-44.86M,80.49M,,,,,4.575M,85.06M,332.30M,,70.29M,,70.29M,,70.29M,,,3.424M,,3.424M,,,39.78M,113.50M,62.95M,,62.95M,,,,0.808M,63.76M,177.26M,,0.07M,111.96M,43.01M,,,,155.04M,,,
2000-09,9.189M,,9.189M,,6.876M,266.76M,,,,8.88M,291.71M,,,,,,,122.52M,-42.44M,80.08M,,,,,3.739M,83.82M,375.53M,,92.40M,,92.40M,,92.40M,,,3.327M,,3.327M,,,33.69M,129.42M,95.97M,,95.97M,,,,0.881M,96.85M,226.27M,,0.07M,106.26M,42.93M,,,,149.26M,,,
2000-06,12.77M,,12.77M,,10.02M,251.42M,,,,5.71M,279.91M,,,,,,,119.50M,-39.90M,79.60M,,,,,3.732M,83.33M,363.24M,,97.92M,,97.92M,,97.92M,,,3.327M,,3.327M,,,39.27M,140.51M,73.73M,,73.73M,,,,0.961M,74.69M,215.20M,,0.07M,105.14M,42.83M,,,,148.04M,,,
2000-03,10.26M,,10.26M,,20.00M,264.08M,,,,5.694M,300.04M,,,,,,,114.14M,-37.42M,76.72M,,,,,2.973M,79.70M,379.74M,,118.86M,,118.86M,,118.86M,,,3.327M,,3.327M,,,49.11M,171.30M,70.04M,,70.04M,,,,0.98M,71.02M,242.32M,,0.07M,94.59M,42.75M,,,,137.41M,,,
1999-12,7.00M,,7.00M,6.80M,6.80M,207.30M,,,,4.80M,225.90M,,,,,,,109.00M,-35.30M,73.70M,,,,,3.00M,76.70M,302.60M,,59.80M,,59.80M,,59.80M,,,3.30M,,3.30M,,,45.50M,108.60M,54.70M,,54.70M,,,,1.00M,55.70M,164.30M,,0.10M,95.60M,42.70M,,,,138.30M,,,
1999-09,8.20M,,8.20M,,10.40M,234.80M,,,,3.90M,257.30M,,,,,,,102.00M,-33.10M,68.90M,,,,,3.20M,72.10M,329.40M,,75.60M,,75.60M,,75.60M,,,18.50M,,18.50M,,,39.40M,133.50M,62.90M,,62.90M,,,,1.00M,63.90M,197.40M,,0.10M,89.30M,42.60M,,,,132.00M,,,
1999-06,8.80M,,8.80M,,13.50M,242.10M,,,,3.60M,268.00M,,,,,,,99.10M,-31.70M,67.40M,,,,,3.20M,70.60M,338.60M,,123.10M,,123.10M,,123.10M,,,3.60M,,3.60M,,,43.60M,170.30M,38.00M,,38.00M,,,,1.00M,39.00M,209.30M,,,86.70M,,,,,129.30M,,,
1999-03,21.60M,,21.60M,,15.20M,215.40M,,,,4.80M,257.00M,,,,,,,95.30M,-29.80M,65.50M,,,,,2.90M,68.40M,325.40M,,110.30M,,110.30M,,110.30M,,,3.60M,,3.60M,,,43.50M,157.40M,47.90M,,47.90M,,,,1.20M,49.10M,206.50M,,,76.60M,,,,,118.90M,,,
1998-12,18.20M,,18.20M,,5.60M,171.70M,,,,6.30M,201.80M,,,,,,,88.20M,-28.30M,59.90M,,,,,2.90M,62.80M,264.60M,,60.90M,,60.90M,,60.90M,,,3.70M,,3.70M,,,41.70M,106.30M,37.20M,,37.20M,,,,1.10M,38.30M,144.60M,,0.10M,77.70M,42.20M,,,,120.00M,,,
1998-09,6.40M,,6.40M,,8.70M,187.80M,,,,4.40M,207.30M,,,,,,,85.80M,-27.70M,58.10M,,,,,2.20M,60.30M,267.60M,,68.90M,,68.90M,,68.90M,,,3.50M,,3.50M,,,37.20M,109.60M,41.80M,,41.80M,,,,1.30M,43.10M,152.70M,,,72.70M,,,,,114.90M,,,
1998-06,8.20M,,8.20M,,11.70M,185.40M,,,,2.70M,208.00M,,,,,,,82.80M,-26.20M,56.60M,,,,,2.10M,58.70M,266.70M,,82.00M,,82.00M,,82.00M,,,1.30M,,1.30M,,,39.30M,122.60M,30.10M,,30.10M,,,,1.30M,31.40M,154.00M,,,70.60M,,,,,112.70M,,,
1998-03,11.00M,,11.00M,,13.40M,202.80M,,,,4.50M,231.70M,,,,,,,78.30M,-24.90M,53.40M,,,,,2.00M,55.40M,287.10M,,96.00M,,96.00M,,96.00M,,,1.40M,,1.40M,,,36.50M,133.90M,48.50M,,48.50M,,,,1.20M,49.70M,183.60M,,,61.40M,,,,,103.50M,,,
1997-12,8.50M,,8.50M,,5.20M,151.70M,,,,4.20M,169.60M,,,,,,,76.00M,-23.60M,52.40M,,,,,2.10M,54.50M,224.10M,,52.70M,,52.70M,,52.70M,,,1.50M,,1.50M,,,32.50M,86.70M,31.10M,,31.10M,,,,1.40M,32.50M,119.20M,,,62.90M,,,,,104.90M,,,
1997-09,8.30M,,8.30M,,5.90M,168.60M,,,,4.30M,187.10M,,,,,,,73.50M,-22.30M,51.20M,,,,,2.60M,53.80M,240.90M,,74.40M,,74.40M,,74.40M,,,1.70M,,1.70M,,,27.80M,103.90M,34.70M,,34.70M,,,,1.60M,36.30M,140.20M,,,58.70M,,,,,100.70M,,,
1997-06,11.70M,,11.70M,,6.30M,153.10M,,,,3.10M,174.20M,,,,,,,72.40M,-21.10M,51.30M,,,,,2.40M,53.70M,227.90M,,71.80M,,71.80M,,71.80M,,,1.70M,,1.70M,,,30.90M,104.40M,22.40M,,22.40M,,,,2.10M,24.50M,128.90M,,,57.20M,,,,,99.00M,,,
1997-03,7.90M,,7.90M,,6.90M,158.50M,,,,2.10M,175.40M,,,,,,,71.20M,-20.00M,51.20M,,,,,2.50M,53.70M,229.10M,,75.70M,,75.70M,,75.70M,,,1.70M,,1.70M,,,26.40M,103.80M,29.40M,,29.40M,,,,2.00M,31.40M,135.20M,,1.80M,50.30M,,,1.80M,,93.90M,,,
1996-12,12.90M,,12.90M,,4.90M,124.10M,,,,1.70M,143.60M,,,,,,,68.40M,-18.90M,49.50M,,,,,2.50M,52.00M,195.60M,,47.60M,,47.60M,,47.60M,,,1.70M,,1.70M,,,28.40M,77.70M,21.20M,,21.20M,,,,1.90M,23.10M,100.80M,,1.80M,51.20M,,,1.80M,,94.80M,,,
1996-09,11.10M,,11.10M,,4.70M,134.00M,,,,3.40M,153.20M,,,,,,,64.70M,-18.00M,46.70M,,,,,2.60M,49.30M,202.50M,,56.30M,,56.30M,,56.30M,,,1.60M,,1.60M,,,25.50M,83.40M,26.10M,,26.10M,,,,2.20M,28.30M,111.70M,,1.80M,47.20M,,,1.80M,,90.80M,,,
1996-06,15.50M,,15.50M,,4.30M,130.50M,,,,3.90M,154.20M,,,,,,,63.30M,-17.20M,46.10M,,,,,2.60M,48.70M,202.90M,,64.70M,,64.70M,,64.70M,,,1.60M,,1.60M,,,26.00M,92.30M,20.00M,,20.00M,,,,2.10M,22.10M,114.40M,,1.80M,45.00M,,,1.80M,,88.50M,,,
1996-03,6.60M,,6.60M,,3.90M,144.10M,,,,5.20M,159.80M,,,,,,,61.70M,-16.30M,45.40M,,,,,2.60M,48.00M,207.80M,,67.90M,,67.90M,,67.90M,,,1.60M,,1.60M,,,21.80M,91.30M,31.90M,,31.90M,,,,2.10M,34.00M,125.30M,,3.50M,37.20M,,,3.50M,,82.50M,,,
1995-12,5.10M,,5.10M,,3.70M,112.70M,,,,5.00M,126.50M,,,,,,,60.90M,-15.80M,45.10M,,,,,2.50M,47.60M,174.10M,,36.50M,,36.50M,,36.50M,,,1.50M,,1.50M,,,24.70M,62.70M,25.90M,,25.90M,,,,2.00M,27.90M,90.60M,,3.50M,38.20M,,,3.50M,,83.50M,,,
1995-09,9.80M,,9.80M,,3.20M,124.90M,,,,2.10M,140.00M,,,,,,,57.20M,-15.00M,42.20M,,,,,2.80M,45.00M,185.00M,,57.50M,,57.50M,,57.50M,,,1.40M,,1.40M,,,22.40M,81.30M,21.50M,,21.50M,,,,2.20M,23.70M,105.00M,,3.50M,34.80M,,,3.50M,,80.00M,,,
1995-06,7.30M,,7.30M,,3.70M,108.60M,,,,3.40M,123.00M,,,,,,,55.50M,-14.30M,41.20M,,,,,2.60M,43.80M,166.80M,,50.20M,,50.20M,,50.20M,,,1.40M,,1.40M,,,23.50M,75.10M,11.60M,,11.60M,,,,2.30M,13.90M,89.00M,,3.50M,32.50M,,,3.50M,,77.80M,,,
1995-03,10.60M,,10.60M,,4.20M,113.00M,,,,2.60M,130.40M,,,,,,,53.20M,-13.60M,39.60M,,,,,2.60M,42.20M,172.60M,,62.70M,,62.70M,,62.70M,,,1.40M,,1.40M,,,20.80M,84.90M,11.90M,,11.90M,,,,2.30M,14.20M,99.10M,,5.90M,25.80M,,,5.90M,,73.50M,,,
1994-12,14.00M,,14.00M,,2.20M,86.30M,,,,1.70M,104.20M,,,,,,,52.40M,-13.00M,39.40M,,,,,2.60M,42.00M,146.20M,,32.00M,,32.00M,,32.00M,,,1.50M,,1.50M,,,24.50M,58.00M,12.30M,,12.30M,,,,2.20M,14.50M,72.50M,,5.90M,26.10M,,,5.90M,,73.70M,,,
1994-09,6.60M,,6.60M,,2.60M,103.60M,,,,1.90M,114.70M,,,,,,,49.80M,-12.60M,37.20M,,,,,3.00M,40.20M,154.90M,,43.80M,,43.80M,,43.80M,,,1.30M,,1.30M,,,23.70M,68.80M,12.70M,,12.70M,,,,2.30M,15.00M,83.80M,,5.90M,23.40M,,,5.90M,,71.10M,,,
1994-06,23.40M,,23.40M,,2.90M,93.70M,,,,1.60M,121.60M,,,,,,,48.50M,-12.10M,36.40M,,,,,3.30M,39.70M,161.30M,,50.30M,,50.30M,,50.30M,,,1.30M,,1.30M,,,25.70M,77.30M,13.00M,,13.00M,,,,2.30M,15.30M,92.60M,,5.90M,21.00M,,,5.90M,,68.70M,,,
1994-03,14.10M,,14.10M,,3.80M,92.40M,,,,3.60M,113.90M,,,,,,,46.80M,-11.60M,35.20M,,,,,3.20M,38.40M,152.30M,,50.60M,,50.60M,,50.60M,,,3.10M,,3.10M,,,20.60M,74.30M,13.30M,,13.30M,,,,2.30M,15.60M,89.90M,,5.90M,14.80M,,,5.90M,,62.40M,,,
1993-12,3.50M,,3.50M,,1.90M,69.80M,,,,3.50M,78.70M,,,,,,,46.30M,-11.20M,35.10M,,,,,3.00M,38.10M,116.80M,,24.20M,,24.20M,,24.20M,,,4.40M,,4.40M,,,22.70M,51.30M,40.00M,,40.00M,,,,2.30M,42.30M,93.60M,,5.90M,22.30M,,,5.90M,,23.20M,,,
