,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-06,35.75M,,0.863M,8.065M,8.065M,-1.976M,,,-3.752M,115.99M,-89.07M,3.418M,-13.99M,,34.35M,,50.71M,89.66M,,-19.46M,1.102M,-18.35M,,,-18.35M,,,-44.29M,1.448M,,1.448M,,,,-42.84M,,37.89M,28.47M,66.36M,,1.448M,,,,,,,,
2005-03,0.684M,,6.331M,7.646M,7.646M,-0.892M,,,3.752M,-115.99M,,-4.527M,119.97M,,-17.67M,,-18.22M,-0.704M,,-6.706M,0.827M,-5.879M,,,-5.879M,,,11.46M,4.069M,,4.069M,,,,15.53M,,28.94M,8.949M,37.89M,,4.069M,,,,,,,,
2004-12,22.01M,,0.945M,7.295M,7.295M,0.318M,,,8.319M,,49.88M,6.896M,-51.31M,,4.844M,,10.31M,49.19M,,-33.36M,1.182M,-32.18M,,,-32.18M,,,-12.03M,0.467M,,0.467M,,,,-11.56M,,23.49M,5.453M,28.94M,,0.467M,,,,,,,,
2004-09,6.864M,,0.241M,7.974M,7.974M,-4.96M,,,,,-27.96M,-13.26M,-38.47M,,4.119M,-1.271M,-76.84M,-66.72M,,-21.11M,0.367M,-20.74M,,,-20.74M,,,44.01M,0.524M,,0.524M,,,,44.53M,,66.42M,-42.93M,23.49M,,0.524M,,,,,,,,
2004-06,31.75M,,0.589M,5.591M,5.591M,0.212M,,,-1.738M,77.60M,-82.53M,7.516M,6.567M,,18.97M,1.271M,29.39M,65.79M,,-9.613M,0.963M,-8.65M,,,-8.65M,,,-16.05M,1.262M,,1.262M,,,,-14.79M,,24.07M,42.36M,66.42M,,1.262M,,,,,,,,
2004-03,3.445M,,6.531M,6.326M,6.326M,-0.212M,,,1.738M,-77.60M,,-3.298M,99.60M,,-7.729M,,10.98M,28.80M,,-27.23M,1.454M,-25.78M,,,-25.78M,,,-3.531M,4.588M,,4.588M,,,,1.057M,,19.98M,4.086M,24.07M,,4.588M,,,,,,,,
2003-12,16.05M,,-1.831M,7.228M,7.228M,6.067M,,,,0.00,50.33M,-5.582M,-64.04M,,12.09M,,-7.20M,23.73M,,-10.84M,3.365M,-7.475M,,,-7.475M,,,-27.82M,0.644M,,0.644M,,,,-27.18M,,30.90M,-10.92M,19.98M,,0.644M,,,,,,,,
2003-09,12.13M,,0.733M,5.165M,5.165M,0.168M,,,,0.00,-19.69M,-2.578M,5.602M,,0.765M,-0.365M,-16.26M,1.931M,,-22.75M,0.745M,-22.00M,,,-22.00M,,,32.46M,0.511M,,0.511M,,,0.17M,33.14M,,17.83M,13.07M,30.90M,,0.511M,,,,,,,,
2003-06,27.39M,,2.029M,4.75M,4.75M,0.119M,,,,0.00,11.65M,0.326M,-18.54M,,14.83M,0.256M,8.522M,42.81M,,-9.053M,1.584M,-7.469M,,,-7.469M,,,-45.50M,2.941M,,2.941M,,,-0.17M,-42.73M,,25.23M,-7.395M,17.83M,,2.941M,,,,,,,,
2003-03,0.125M,,2.496M,4.454M,4.454M,0.203M,,,,0.102M,-80.61M,-2.993M,93.69M,,-22.14M,0.109M,-11.84M,-4.563M,,-7.343M,0.845M,-6.498M,,,-6.498M,,,20.84M,1.678M,,1.678M,,,,22.52M,,13.77M,11.45M,25.23M,,1.678M,,,,,,,,
2002-12,17.03M,,1.368M,5.863M,5.863M,-4.038M,,,,-2.60M,44.14M,-3.487M,-31.99M,,22.25M,,28.31M,50.54M,,-10.07M,2.027M,-8.044M,,,-8.044M,,,-44.04M,1.052M,,1.052M,,,,-42.98M,,14.26M,-0.483M,13.77M,,1.052M,,,,,,,,
2002-09,7.801M,,-1.022M,4.557M,4.557M,-0.409M,,,,9.391M,-4.888M,3.184M,-80.87M,,-10.65M,0.427M,-83.41M,-72.48M,,-7.704M,1.608M,-6.096M,,,-6.096M,,,76.35M,0.871M,,0.871M,,,,77.22M,,15.61M,-1.355M,14.26M,,0.871M,,,,,,,,
2002-06,17.35M,,0.981M,4.457M,4.457M,-0.054M,,,,-4.712M,-38.49M,0.837M,67.61M,,22.17M,-0.427M,46.99M,69.72M,,-11.44M,0.289M,-11.15M,,,-11.15M,,,-58.61M,0.892M,,0.892M,,,,-57.72M,,14.77M,0.845M,15.61M,,0.892M,,,,,,,,
2002-03,-4.01M,,0.577M,3.093M,3.093M,0.192M,,,,0.03M,-68.03M,-0.191M,79.13M,,-11.37M,,-0.425M,-0.573M,,-37.88M,,-37.88M,,,-37.88M,,,42.27M,2.02M,,2.02M,,,,44.29M,,8.927M,5.839M,14.77M,,2.02M,,,,,,,,
2001-12,9.554M,,0.064M,2.90M,2.90M,,,,,-2.016M,31.26M,-4.725M,-16.56M,,-4.588M,,14.05M,20.90M,,-3.969M,0.784M,-3.185M,,0.036M,-3.149M,,,-21.96M,1.59M,,1.59M,,,-2.529M,-22.90M,,14.07M,-5.143M,8.927M,,1.59M,,,,,,,,
2001-09,2.425M,,-0.018M,2.816M,2.816M,,,,,2.065M,-1.731M,-3.636M,-16.10M,,0.278M,0.288M,-18.83M,-13.61M,,-4.821M,0.019M,-4.802M,,1.462M,-3.34M,,,21.19M,0.137M,,0.137M,,,0.00,21.33M,,9.69M,4.379M,14.07M,,0.137M,,,,,,,,
2001-06,15.64M,,-2.178M,2.831M,2.831M,,,,,-0.155M,17.74M,0.452M,-5.327M,,11.82M,-0.288M,24.24M,40.54M,,-2.458M,0.336M,-2.122M,,,-2.122M,,,-45.62M,0.087M,,0.087M,,,2.529M,-43.00M,,14.27M,-4.582M,9.69M,,0.087M,,,,,,,,
2001-03,-1.849M,,-0.101M,2.707M,2.707M,,,,,1.273M,-46.71M,1.239M,46.99M,,-4.585M,,-1.787M,-1.03M,,-2.321M,0.237M,-2.084M,,,-2.084M,,,8.147M,0.094M,,0.094M,,,,8.241M,,9.145M,5.127M,14.27M,,0.094M,,,,,,,,
2000-12,5.696M,,-0.009M,2.672M,2.672M,,,,,-0.807M,44.23M,,-22.11M,1.01M,8.568M,,30.89M,35.99M,,-3.32M,0.125M,-3.195M,,,-3.195M,,,-32.92M,0.081M,,0.081M,,,,-32.84M,,9.189M,-0.044M,9.145M,,0.081M,,,,,,,,
2000-09,1.123M,,0.005M,2.59M,2.59M,,,,,3.143M,-15.34M,,-5.517M,-3.17M,-5.543M,,-26.43M,-22.71M,,-3.226M,0.023M,-3.203M,,,-3.203M,,,22.24M,0.096M,,0.096M,,,,22.34M,,12.77M,-3.577M,9.189M,,0.096M,,,,,,,,
2000-06,10.55M,,-0.414M,2.445M,2.445M,,,,,9.985M,12.66M,,-20.94M,-0.016M,-10.59M,,-8.905M,3.672M,,-5.416M,0.486M,-4.93M,,,-4.93M,,,3.681M,0.083M,,0.083M,,,,3.764M,,10.26M,2.506M,12.77M,,0.083M,,,,,,,,
2000-03,-0.975M,,0.177M,2.182M,2.182M,,,,,-13.24M,-56.76M,,59.10M,-0.849M,3.583M,,-8.162M,-6.778M,,-5.396M,,-5.396M,,,-5.396M,,,15.36M,0.081M,,0.081M,,,,15.44M,,6.991M,3.269M,10.26M,,0.081M,,,,,,,,
1999-12,6.30M,,0.00,2.10M,2.10M,,,,-0.10M,3.60M,27.50M,,-15.80M,-0.90M,6.60M,,21.00M,29.10M,,-5.70M,0.30M,-5.40M,,,-5.40M,,,-25.00M,0.10M,,0.10M,,,,-24.80M,,8.20M,-1.10M,7.00M,,0.10M,,,,,,,,
1999-09,2.60M,,0.10M,1.90M,1.90M,,,,0.40M,3.10M,7.30M,,-47.50M,-0.30M,-4.70M,,-42.10M,-37.10M,,-3.60M,0.10M,-3.50M,,-0.10M,-3.60M,,,39.80M,0.10M,,0.10M,,,,39.90M,,0.00,-0.80M,8.20M,,0.10M,,,,,,,,
1999-06,10.10M,,0.00,1.90M,1.90M,,,,-0.30M,1.70M,-26.70M,,12.80M,1.20M,0.10M,,-10.90M,0.80M,,-3.90M,0.00,-3.90M,,0.20M,-3.70M,,,-10.00M,0.20M,,0.20M,,,,-9.80M,,21.60M,-12.70M,0.00,,0.20M,,,,,,,,
1999-03,-1.10M,,-0.20M,1.40M,1.40M,,,,,-9.60M,-43.70M,,49.40M,1.50M,1.80M,,-0.60M,-0.50M,,-7.20M,0.40M,-6.80M,,-0.10M,-6.90M,,,10.70M,0.10M,,0.10M,,,,10.80M,,18.20M,3.40M,21.60M,,0.10M,,,,,,,,
1998-12,5.00M,,1.30M,1.30M,1.30M,,,,,3.10M,16.10M,,-7.90M,-1.50M,5.50M,,15.30M,21.10M,,-4.90M,0.00,-4.90M,,,-4.90M,,,-4.40M,0.10M,,0.10M,,,-0.10M,-4.40M,,0.00,11.80M,18.20M,,0.10M,,,,,,,,
1998-09,2.10M,,0.10M,1.40M,1.40M,,,,,3.10M,-2.50M,,-13.20M,-1.70M,-2.00M,,-16.30M,-12.70M,,-3.00M,0.00,-3.00M,,0.10M,-2.90M,,,13.80M,0.10M,,0.10M,,,-0.10M,13.80M,,0.00,-1.80M,0.00,,0.10M,,,,,,,,
1998-06,9.20M,,,1.30M,1.30M,,,,-0.10M,1.70M,17.50M,,-14.00M,1.20M,2.80M,,9.20M,19.60M,,-4.30M,0.20M,-4.10M,,-0.10M,-4.20M,,,-18.30M,0.00,,0.00,,,0.00,-18.30M,,0.00,-2.90M,0.00,,0.00,,,,,,,,
1998-03,-1.50M,,,1.30M,1.30M,,,,0.10M,-8.30M,-51.10M,,43.30M,-0.10M,3.80M,,-12.40M,-12.50M,,-2.30M,,-2.30M,,,-2.30M,,,17.20M,0.10M,,0.10M,,,0.10M,17.40M,,8.50M,2.60M,0.00,,0.10M,,,,,,,,
1997-12,4.20M,,,1.20M,1.20M,,,,0.00,0.70M,16.90M,,-21.70M,0.00,5.20M,,1.10M,6.40M,,-2.50M,0.00,-2.50M,,,-2.50M,,,-3.90M,0.00,0.00,0.00,,0.00,0.30M,-3.60M,,0.00,0.30M,0.00,,0.00,,,0.00,,,,,
1997-09,1.50M,,-0.10M,1.20M,1.20M,,,,-0.40M,0.40M,-15.60M,,2.60M,-1.20M,-3.10M,,-16.90M,-14.70M,,-1.70M,0.70M,-1.00M,,,-1.00M,,,12.30M,0.10M,0.00,0.10M,,0.00,-0.10M,12.30M,,0.00,-3.40M,0.00,,0.10M,,,0.00,,,,,
1997-06,7.00M,,0.20M,1.10M,1.10M,,,,-0.10M,0.50M,5.50M,,-3.90M,-1.00M,4.60M,,5.70M,13.90M,,-2.20M,0.80M,-1.40M,,,-1.40M,,,-7.00M,0.10M,-1.80M,-1.70M,,-0.10M,,-8.80M,,0.00,3.70M,0.00,,0.10M,,,-1.80M,,,,,
1997-03,-0.90M,,-0.10M,1.00M,1.00M,,,,,-1.90M,-34.50M,,28.10M,-0.40M,-2.00M,,-10.70M,-10.70M,,-2.70M,0.10M,-2.60M,,,-2.60M,,,8.30M,,,,,,,8.30M,,12.90M,-5.00M,0.00,,,,,,,,,,
1996-12,4.00M,,-0.50M,0.90M,0.90M,,,,-0.30M,-0.30M,9.90M,,-8.70M,1.80M,3.60M,,6.30M,10.10M,,-4.30M,1.10M,-3.20M,,,-3.30M,,,-4.90M,,0.00,0.00,,0.00,-0.10M,-5.00M,,0.00,1.80M,0.00,,,,,0.00,,,,,
1996-09,2.30M,,-0.20M,0.90M,0.90M,,,,-0.10M,-0.30M,-3.50M,,-8.40M,0.50M,-0.50M,,-12.20M,-9.30M,,-1.80M,0.50M,-1.30M,,,-1.30M,,,6.10M,,0.00,0.00,,0.00,0.00,6.10M,,0.00,-4.50M,0.00,,,,,0.00,,,,,
1996-06,7.90M,,-0.30M,0.90M,0.90M,,,,-0.10M,-0.40M,13.60M,,-3.20M,1.40M,4.20M,,15.60M,24.00M,,-1.60M,0.30M,-1.30M,,,-1.30M,,,-11.90M,,-1.80M,-1.80M,,-0.20M,0.20M,-13.70M,,0.00,9.00M,0.00,,,,,-1.80M,,,,,
1996-03,-1.00M,,0.10M,0.70M,0.70M,,,,-0.10M,-0.20M,-31.40M,,31.40M,-0.30M,-2.80M,,-3.30M,-3.60M,,-1.90M,1.00M,-0.90M,,,-0.90M,,,6.10M,,,,,,-0.10M,6.00M,,5.10M,1.50M,0.00,,,,,,,,,,
1995-12,3.50M,,-0.10M,0.70M,0.70M,,,,1.00M,-0.60M,12.20M,,-21.00M,-3.00M,2.00M,,-10.40M,-5.60M,,-4.10M,0.60M,-3.50M,,,-3.50M,,,4.60M,,0.00,0.00,,-0.20M,,4.40M,,0.00,-4.70M,0.00,,,,,0.00,,,,,
1995-09,2.30M,,0.00,0.60M,0.60M,,,,0.00,0.50M,-16.30M,,7.20M,1.40M,-1.10M,,-8.30M,-5.40M,,-2.40M,0.60M,-1.80M,,,-1.80M,,,9.90M,,0.00,0.00,,0.00,,9.90M,,0.00,2.70M,0.00,,,,,0.00,,,,,
1995-06,6.90M,,0.00,0.60M,0.60M,,,,0.00,0.50M,4.40M,,-12.40M,-0.80M,2.60M,,-5.70M,1.80M,,-2.30M,0.00,-2.30M,,0.10M,-2.20M,,,-0.40M,,-2.40M,-2.40M,,-0.20M,,-3.00M,,0.00,-3.40M,0.00,,,,,-2.40M,,,,,
1995-03,-0.20M,,-0.20M,0.60M,0.60M,,,,0.40M,-2.00M,-26.70M,,30.70M,-0.90M,-3.80M,,-2.70M,-2.10M,,-1.30M,0.40M,-0.90M,,-0.10M,-1.00M,,,-0.30M,,,,,,,-0.30M,,14.00M,-3.40M,0.00,,,,,,,,,,
1994-12,2.90M,,,0.40M,0.40M,,,,-0.40M,0.50M,17.20M,,-11.80M,0.20M,1.00M,,7.10M,10.20M,,-2.80M,0.10M,-2.70M,,,-2.20M,,,-0.30M,0.00,,0.00,,-0.30M,0.10M,-0.50M,,0.00,7.50M,0.00,,0.00,,,,,,,,
1994-09,2.40M,,-0.10M,0.50M,0.50M,,,,0.20M,0.30M,-9.90M,,-6.50M,-0.30M,-1.80M,,-18.20M,-15.20M,,-1.30M,0.10M,-1.20M,,,-1.20M,,,-0.30M,0.00,,0.00,,0.00,0.00,-0.30M,,0.00,-16.70M,0.00,,0.00,,,,,,,,
1994-06,6.50M,,0.00,0.50M,0.50M,,,,-0.10M,0.90M,-1.20M,,-0.40M,2.00M,4.90M,,6.20M,13.10M,,-1.70M,0.00,-1.70M,,,-1.70M,,,-2.00M,0.00,,0.00,,-0.20M,-0.10M,-2.30M,,0.00,9.10M,0.00,,0.00,,,,,,,,
1994-03,-0.50M,,0.10M,0.40M,0.40M,,,,,-2.00M,-22.60M,,26.50M,-0.10M,-2.10M,,-0.30M,-0.30M,,-0.90M,0.20M,-0.70M,,,-0.70M,,,-28.10M,39.80M,,39.80M,,,,11.70M,,3.50M,10.70M,0.00,,39.80M,,,,,,,,
