,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-03,144.88M,144.88M,55.64M,89.25M,,22.27M,0.439M,,-1.915M,,,,1.948M,95.40M,-6.15M,,,,-1.915M,,88.86M,0.653M,-89.64M,13.00M,,-0.131M,9.696M,-76.64M,-87.74M,67.55M,73.70M,-6.15M,-0.45,0.06,,,-0.4413,-0.39,-0.45,0.06,,,-0.4413,-0.39,219.29M,219.29M,
2003-12,152.60M,152.60M,70.93M,81.68M,,17.06M,1.987M,,-92.65M,,,,6.80M,123.80M,-42.13M,,,,-92.65M,,-192.90M,2.137M,-193.90M,-8.187M,0.00,5.128M,11.95M,-202.09M,-138.31M,73.26M,115.39M,-42.13M,-0.96,-0.04,0.0,,-0.7053,-1.0,-0.96,-0.04,0.0,,-0.7082,-1.0,218.24M,220.76M,
2003-09,137.52M,137.52M,50.24M,87.28M,,27.63M,1.039M,,-40.18M,,,,6.137M,95.65M,-8.366M,,,,-40.18M,,-104.82M,0.085M,-104.75M,5.076M,,0.151M,9.496M,-99.68M,-80.64M,72.70M,81.06M,-8.366M,-0.53,0.03,,,-0.4187,-0.5,-0.53,0.03,,,-0.4187,-0.5,216.62M,216.62M,
2003-06,136.28M,136.28M,52.80M,83.47M,,28.05M,0.918M,,-12.00M,,,,1.38M,91.12M,-7.644M,,,,-12.00M,,-82.07M,0.127M,-82.93M,2.099M,,-0.73M,20.08M,-80.83M,-75.73M,53.12M,58.89M,-7.644M,-0.48,0.01,,,-0.4467,-0.47,-0.48,0.01,,,-0.4467,-0.47,215.97M,215.97M,
2003-03,216.72M,216.72M,98.30M,118.42M,,24.62M,1.62M,,-1.642M,,,,,106.60M,11.82M,,,,-1.642M,,-63.02M,3.966M,-66.98M,,-2.035M,-0.557M,14.37M,-69.02M,-66.00M,109.67M,97.84M,11.82M,-0.37,-0.01,0.0,,-0.3655,-0.38,-0.37,-0.01,-0.0094,,-0.3655,-0.38,216.96M,216.96M,
2002-12,-68.22M,-68.22M,-37.38M,-30.84M,,-35.49M,1.451M,,-54.65M,,,,,72.00M,-102.85M,,,,-54.65M,,-104.72M,-1.037M,-91.34M,,,8.993M,0.00,-82.30M,-37.23M,-30.86M,71.99M,-102.85M,-0.27,0.03,,,-0.0185,-0.24,-0.3811,,,,-0.1305,-0.3811,215.14M,215.98M,
2002-09,227.42M,227.42M,117.98M,109.44M,,37.35M,2.06M,,-0.657M,,,,,116.69M,-7.247M,,,,-0.657M,,-65.53M,0.101M,-65.63M,,,-0.075M,,-65.63M,-65.23M,95.70M,102.94M,-7.247M,-0.16,0.0,,,-0.1582,-0.16,-0.16,0.0,,,-0.1582,-0.16,216.66M,216.66M,
2002-06,225.53M,225.53M,111.79M,113.74M,,30.82M,1.733M,,-0.10M,,,,,108.73M,5.01M,,,,-0.10M,,-67.64M,0.684M,-68.60M,,,-0.276M,20.86M,-68.60M,-68.54M,106.12M,101.12M,5.01M,-0.41,0.0,,,-0.4097,-0.41,-0.41,0.0,,,-0.4097,-0.41,220.90M,220.90M,
2002-03,220.62M,220.62M,105.79M,114.83M,,23.10M,2.239M,,-37.79M,,,,31.94M,129.00M,-14.17M,,,,-37.79M,,-102.43M,4.659M,-103.39M,,,3.698M,20.10M,-103.39M,-80.72M,81.80M,95.97M,-14.17M,-0.56,0.0,,,-0.4567,-0.56,-0.56,0.0,,,-0.4567,-0.56,219.42M,219.42M,
2001-12,238.19M,238.19M,86.57M,151.61M,,26.11M,2.447M,,,,,,,154.60M,-2.984M,,,,,,-99.66M,4.691M,-103.05M,,,0.191M,20.26M,-103.05M,-103.05M,121.80M,124.79M,-2.984M,-0.5,-0.21,,,-0.5,-0.71,-0.5636,,,,-0.5636,-0.71,216.74M,218.80M,
2001-09,218.40M,218.40M,132.09M,86.31M,,23.41M,2.679M,,,,,,,104.61M,-18.30M,,,,,,-98.60M,11.73M,-110.33M,,,0.252M,19.00M,-110.33M,-110.33M,83.43M,101.73M,-18.30M,-0.6,0.0,,,-0.6,-0.6,-0.6,0.0,,,-0.6,-0.6,214.99M,214.99M,
2001-06,229.42M,229.42M,123.11M,106.31M,,30.46M,3.758M,,-13.65M,,,,13.65M,122.63M,-16.32M,,,,-13.65M,,-84.95M,,-84.73M,,,0.219M,20.26M,-84.73M,-71.08M,81.15M,97.47M,-16.32M,-0.49,0.0,,,-0.4262,-0.49,-0.49,0.0,,,-0.4262,-0.49,214.06M,214.06M,
2001-03,212.95M,212.95M,113.20M,99.76M,,25.90M,3.453M,,-1.395M,,,,1.395M,104.83M,-5.076M,,,,-1.395M,,-68.64M,0.06M,-68.06M,,,0.644M,19.50M,-68.06M,-67.22M,91.18M,96.25M,-5.076M,-0.41,0.0,,,-0.406,-0.41,-0.41,0.0,,,-0.406,-0.41,211.20M,211.20M,
2000-12,201.97M,201.97M,83.27M,118.70M,,25.91M,4.074M,,,,,,,122.61M,-3.906M,,,,,,-58.95M,0.083M,-59.04M,,,1.085M,19.90M,-59.04M,-59.04M,88.72M,92.63M,-3.906M,-0.4,0.0,,0.0003,-0.4,-0.4,-0.4,,,0.0,-0.4,-0.4,198.40M,198.91M,
2000-09,174.59M,174.59M,64.69M,109.90M,,19.00M,2.222M,,,,,,,107.51M,2.391M,,,,,,-52.84M,0.127M,-52.96M,,,0.052M,16.35M,-52.96M,-52.96M,88.67M,86.28M,2.391M,-0.36,0.0,,,-0.36,-0.36,-0.36,0.0,,,-0.36,-0.36,191.76M,191.76M,
2000-06,148.36M,148.36M,48.59M,99.77M,,19.84M,2.122M,,,,,,,98.60M,1.175M,,,,,,-59.20M,0.025M,-59.23M,,,-0.317M,11.72M,-59.23M,-59.23M,77.80M,76.63M,1.175M,-0.43,0.0,,,-0.43,-0.43,-0.43,0.0,,,-0.43,-0.43,165.62M,165.62M,
2000-03,124.24M,124.24M,37.05M,87.20M,,14.85M,2.071M,,-0.461M,,,,,81.18M,6.01M,,,,-0.461M,,-32.05M,0.011M,-32.06M,,,-1.541M,11.49M,-33.56M,-31.78M,70.27M,64.26M,6.01M,-0.27,-0.01,,-0.0094,-0.2683,-0.28,-0.27,-0.01,,-0.0094,-0.2683,-0.28,158.57M,158.57M,
1999-12,114.24M,114.24M,33.10M,81.14M,,12.00M,1.30M,,-6.00M,,,,,72.70M,8.437M,,,,-6.00M,,-32.90M,0.00,-32.90M,,,-1.60M,9.10M,-32.90M,-26.90M,67.84M,59.40M,8.437M,-0.28,0.0,,,-0.2418,-0.28,-0.28,0.0,,,-0.2418,-0.28,157.04M,157.04M,
1999-09,98.93M,98.93M,27.40M,71.53M,,13.00M,1.20M,,,,,,,71.30M,0.227M,,,,,,-27.00M,0.10M,-27.10M,,,-0.60M,6.80M,-27.10M,-27.10M,57.33M,57.10M,0.227M,-0.23,0.0,,,-0.23,-0.23,-0.23,0.0,,,-0.23,-0.23,147.39M,147.39M,
1999-06,77.50M,77.50M,25.80M,51.70M,,9.20M,2.10M,,4.00M,,,,,50.20M,1.50M,,,,4.00M,,-20.80M,0.10M,-20.90M,,,0.10M,6.60M,-20.90M,-23.30M,40.40M,38.90M,1.50M,-0.22,0.0,,,-0.2392,-0.22,-0.22,0.0,,,-0.2392,-0.22,125.00M,125.00M,
1999-03,55.10M,55.10M,20.60M,34.50M,,8.30M,0.90M,,-2.20M,,,,,33.80M,0.70M,,,,-2.20M,,-13.40M,0.10M,-13.50M,,,-0.70M,6.40M,-15.90M,-12.18M,25.30M,24.60M,0.70M,-0.21,-0.03,,-0.0258,-0.1958,-0.24,-0.21,-0.03,,-0.0258,-0.1958,-0.24,92.92M,92.92M,
1998-12,60.80M,60.80M,20.40M,40.40M,,8.60M,1.80M,,0.50M,,,,,35.30M,5.10M,,,,0.50M,,-7.10M,0.20M,-7.30M,,,-1.40M,1.10M,-7.30M,-7.60M,30.00M,24.90M,5.10M,-0.0889,,,,-0.0921,-0.0889,-0.0889,0.0,,,-0.0921,-0.0889,94.46M,94.46M,
1998-09,28.90M,28.90M,8.50M,20.40M,,6.30M,0.80M,,-9.00M,,,,,21.10M,-0.70M,,,,-9.00M,,,,-17.40M,,,-0.30M,0.20M,-17.40M,-12.00M,13.30M,14.00M,-0.70M,-0.33,0.0,,,0.3164,-0.33,-0.33,0.0,,,0.3164,-0.33,8.354M,8.354M,
1998-06,11.50M,11.50M,-0.10M,11.60M,,5.00M,0.70M,,1.30M,,,,,13.80M,-2.20M,,,,1.30M,,-6.20M,0.20M,-6.40M,,,,2.10M,-6.40M,-7.18M,5.90M,8.10M,-2.20M,-0.78,0.0,,,-0.8734,-0.78,-0.78,0.0,,,-0.8734,-0.78,8.354M,8.354M,
