,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2000-09,270.00M,270.00M,144.33M,125.68M,72.46M,14.09M,,,-0.22M,,,94.33M,31.35M,,,-0.22M,,26.35M,9.216M,17.13M,0.037M,17.13M,17.28M,39.12M,7.778M,31.35M,0.44,0.0,0.4437,0.44,0.41,0.0,0.4134,0.41,38.75M,42.20M
2000-06,268.56M,268.56M,143.68M,124.87M,70.46M,13.91M,,,0.111M,,,92.41M,32.46M,,,0.111M,,27.58M,9.645M,17.93M,0.011M,17.93M,17.86M,40.50M,8.04M,32.46M,0.46,0.0,0.4581,0.46,0.43,0.0,0.4283,0.43,38.75M,42.00M
2000-03,259.12M,259.12M,139.14M,119.97M,74.52M,13.37M,,,,,,96.48M,23.49M,,,,,18.09M,6.334M,11.75M,-0.01M,11.75M,11.75M,32.08M,8.596M,23.49M,0.3,0.0,0.3,0.3,0.28,0.0,0.28,0.28,38.71M,41.90M
1999-12,304.29M,304.29M,156.50M,147.79M,83.60M,17.20M,,,-8.90M,,,109.60M,38.19M,,,-8.90M,,24.10M,11.20M,12.90M,0.10M,12.90M,18.24M,46.99M,8.80M,38.19M,0.34,0.0,0.4804,0.34,0.31,0.0,0.4404,0.31,38.03M,40.95M
1999-09,268.01M,268.01M,142.20M,125.81M,75.50M,13.90M,,,-1.10M,,,98.10M,27.71M,,,-1.10M,,21.00M,7.30M,13.70M,,13.70M,14.42M,36.41M,8.70M,27.71M,0.35,0.0,0.3683,0.35,0.33,0.0,0.3473,0.33,39.14M,41.52M
1999-06,257.50M,257.50M,137.10M,120.40M,70.90M,13.60M,,,0.40M,,,93.50M,26.90M,,,0.40M,,21.50M,8.00M,13.50M,-0.40M,13.50M,13.25M,35.90M,9.00M,26.90M,0.35,0.0,0.3435,0.35,0.33,0.0,0.3239,0.33,38.57M,40.91M
1999-03,235.72M,235.72M,124.20M,111.52M,70.40M,12.80M,,,-0.90M,,,92.00M,19.52M,,,-0.90M,,13.00M,4.90M,8.10M,-0.10M,8.10M,8.661M,28.32M,8.80M,19.52M,0.21,0.0,0.2245,0.21,0.2,0.0,0.2138,0.2,38.57M,40.50M
1998-12,265.96M,265.96M,139.00M,126.96M,72.70M,15.40M,,,0.40M,,,96.80M,30.16M,,,0.40M,,24.20M,7.40M,16.80M,-0.70M,16.80M,16.52M,38.86M,8.70M,30.16M,0.44,0.0,0.4327,0.44,0.41,0.0,0.4031,0.41,37.87M,40.38M
1998-09,225.60M,225.60M,120.50M,105.10M,63.30M,11.50M,,,-10.80M,,,82.90M,22.20M,,,-10.80M,,5.80M,3.30M,2.50M,-0.10M,2.50M,8.98M,30.30M,8.10M,22.20M,0.07,0.0,0.2514,0.07,0.06,0.0,0.2155,0.06,35.71M,41.67M
1998-06,228.40M,228.40M,120.90M,107.50M,64.40M,11.20M,,,-0.30M,,,83.30M,24.20M,,,-0.30M,,17.90M,6.50M,11.40M,-0.10M,11.40M,11.59M,31.90M,7.70M,24.20M,0.3,0.0,0.305,0.3,0.3,0.0,0.305,0.3,38.00M,38.00M
