,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-06,99.71M,99.71M,300.76M,300.76M,85.20M,22.28M,55.53M,163.02M,,35.81M,33.08M,632.37M,,,,,,443.00M,-213.47M,229.53M,434.91M,101.64M,536.55M,,154.11M,920.19M,1.553B,92.94M,,92.94M,155.79M,248.72M,15.15M,15.15M,63.90M,69.34M,5.44M,45.52M,378.74M,337.86M,337.86M,82.32M,82.32M,,167.78M,587.96M,966.70M,0.448M,553.42M,538.59M,497.24M,,,-9.344M,585.87M
2007-03,95.53M,95.53M,290.67M,290.67M,86.52M,20.39M,53.68M,160.59M,,34.46M,31.69M,612.94M,,,,,,444.19M,-213.47M,230.72M,434.46M,102.30M,536.75M,69.57M,84.08M,921.13M,1.534B,90.32M,,90.32M,145.50M,235.81M,12.35M,12.35M,61.82M,67.24M,5.421M,37.47M,352.87M,330.92M,330.92M,82.68M,82.68M,,167.32M,580.92M,933.79M,0.448M,515.64M,533.88M,435.80M,,,-13.88M,600.29M
2006-12,151.27M,151.27M,306.88M,306.88M,81.60M,18.16M,48.61M,148.37M,,33.05M,30.20M,669.77M,0.0,52.92M,147.39M,237.96M,4.337M,442.61M,-213.47M,229.14M,432.87M,102.75M,535.62M,69.08M,83.47M,917.32M,1.587B,95.97M,,95.97M,181.85M,277.82M,9.962M,9.962M,41.55M,46.99M,5.433M,49.61M,384.38M,345.70M,345.70M,82.61M,82.61M,,143.53M,571.84M,956.22M,0.448M,493.69M,528.86M,374.82M,7.028M,-24.35M,-17.32M,630.86M
2006-09,195.36M,195.36M,270.71M,270.71M,84.74M,21.98M,54.00M,160.72M,,32.04M,29.62M,688.44M,,,,,,410.54M,-190.21M,220.33M,431.15M,103.61M,534.76M,64.61M,54.42M,874.12M,1.563B,82.60M,,82.60M,157.12M,239.72M,7.738M,7.738M,45.44M,50.55M,5.108M,65.37M,363.38M,361.42M,361.42M,67.44M,67.44M,,143.87M,572.72M,936.10M,0.448M,522.59M,449.65M,306.39M,,,-39.84M,626.47M
2006-06,246.77M,246.77M,265.59M,265.59M,84.26M,21.43M,56.92M,162.61M,,33.36M,27.19M,735.51M,,,,,,409.77M,-190.21M,219.57M,428.75M,104.51M,533.26M,75.23M,53.11M,881.17M,1.617B,79.82M,,79.82M,142.17M,221.99M,8.201M,8.201M,49.25M,54.35M,5.097M,64.84M,349.38M,412.79M,412.79M,80.64M,80.64M,,142.12M,635.54M,984.91M,0.448M,475.55M,448.85M,248.13M,,,-44.94M,631.76M
2006-03,263.40M,263.40M,249.63M,249.63M,77.94M,20.97M,57.56M,156.47M,,31.64M,28.76M,729.90M,,,,,,405.28M,-190.21M,215.08M,423.73M,105.25M,528.99M,73.84M,50.26M,868.16M,1.598B,73.93M,,73.93M,130.70M,204.63M,8.363M,8.363M,50.60M,55.72M,5.119M,53.38M,322.10M,425.13M,425.13M,78.72M,78.72M,,137.36M,641.21M,963.31M,0.474M,440.79M,449.14M,211.92M,,,-43.74M,634.75M
2005-12,324.58M,324.58M,271.92M,271.92M,80.20M,19.78M,50.22M,150.20M,,30.21M,23.76M,800.66M,0.0,49.84M,142.73M,212.33M,3.829M,408.73M,-190.21M,218.52M,,528.21M,528.21M,73.04M,49.34M,869.11M,1.670B,88.55M,,88.55M,159.69M,248.24M,6.345M,6.345M,34.80M,39.86M,5.054M,59.02M,353.46M,443.80M,443.80M,78.36M,78.36M,,135.16M,657.32M,1.011B,0.448M,417.08M,457.13M,170.32M,,,-45.32M,659.00M
2005-09,94.40M,94.40M,250.59M,250.59M,77.72M,21.47M,53.19M,152.38M,,29.76M,26.23M,553.36M,,,,,,431.65M,-213.58M,218.08M,,529.98M,529.98M,72.58M,49.42M,870.06M,1.423B,70.58M,,70.58M,153.05M,223.63M,4.388M,4.388M,34.56M,40.24M,5.683M,70.47M,338.73M,223.99M,223.99M,77.91M,77.91M,,124.98M,426.87M,765.60M,0.448M,351.47M,491.99M,156.54M,,,-29.56M,657.81M
2005-06,103.86M,103.86M,253.76M,253.76M,76.91M,21.85M,50.09M,148.86M,,28.48M,26.43M,561.39M,,,,,,432.02M,-213.58M,218.44M,,530.09M,530.09M,77.93M,47.38M,873.84M,1.435B,69.66M,,69.66M,132.03M,201.69M,7.196M,7.196M,41.87M,54.34M,12.47M,63.87M,327.10M,257.47M,257.47M,70.71M,70.71M,,124.52M,452.70M,779.80M,0.448M,330.12M,491.96M,134.85M,,,-32.25M,655.43M
2005-03,67.78M,67.78M,259.51M,259.51M,79.86M,23.39M,53.17M,156.42M,33.75M,28.28M,,545.74M,,,,,,442.98M,-213.58M,229.40M,,556.12M,556.12M,71.55M,48.39M,905.46M,1.451B,66.16M,,66.16M,135.81M,201.97M,10.35M,10.35M,47.20M,60.53M,13.33M,58.68M,331.53M,217.42M,217.42M,73.28M,73.28M,,129.30M,420.00M,751.53M,0.448M,313.02M,491.90M,91.65M,,,-14.04M,699.67M
2004-12,67.18M,67.18M,271.10M,271.10M,73.61M,32.32M,50.61M,156.54M,,27.49M,30.06M,552.36M,0.0,57.48M,156.92M,236.87M,5.016M,456.29M,-213.58M,242.71M,,560.18M,560.18M,72.85M,51.98M,927.72M,1.480B,85.13M,,85.13M,165.14M,250.27M,6.913M,6.913M,26.18M,31.50M,5.328M,59.56M,348.25M,196.29M,196.29M,81.93M,81.93M,,132.72M,410.94M,759.19M,0.448M,293.09M,491.78M,67.40M,33.93M,-30.97M,2.965M,720.89M
2004-09,54.05M,54.05M,239.94M,239.94M,70.20M,32.92M,52.92M,156.04M,,27.81M,31.85M,509.68M,,,,,,419.33M,-195.08M,224.25M,,548.67M,548.67M,40.12M,60.49M,873.53M,1.383B,60.26M,,60.26M,166.53M,226.79M,9.512M,9.512M,31.32M,45.72M,14.40M,59.74M,341.75M,185.32M,185.32M,46.02M,46.02M,,136.32M,367.66M,709.41M,0.448M,266.44M,475.61M,47.73M,,,-20.96M,673.80M
2004-06,47.61M,47.61M,247.42M,247.42M,71.13M,32.12M,50.04M,153.29M,,27.48M,34.85M,510.65M,,,,,,418.81M,-195.08M,223.72M,,549.51M,549.51M,39.95M,61.60M,874.78M,1.385B,66.21M,,66.21M,154.99M,221.20M,18.80M,18.80M,36.82M,51.46M,14.64M,54.02M,345.49M,172.81M,172.81M,46.18M,46.18M,,133.85M,352.83M,698.32M,0.448M,244.74M,475.61M,14.14M,,,-19.55M,687.12M
2004-03,44.77M,44.77M,239.32M,239.32M,70.50M,31.56M,51.86M,153.92M,,27.27M,36.78M,502.07M,,,,,,418.77M,-195.08M,223.68M,,548.66M,548.66M,39.87M,59.97M,872.18M,1.374B,64.47M,,64.47M,146.29M,210.76M,18.87M,18.87M,38.67M,53.17M,14.50M,48.32M,331.12M,211.42M,211.42M,45.59M,45.59M,,133.61M,390.62M,721.74M,0.447M,218.84M,473.38M,16.59M,,,-23.57M,652.50M
2003-12,45.12M,45.12M,249.35M,249.35M,71.95M,32.43M,47.38M,151.76M,,27.64M,31.66M,505.54M,0.0,52.12M,143.76M,225.31M,5.414M,426.60M,-195.08M,231.51M,,548.81M,548.81M,40.68M,60.73M,881.74M,1.387B,68.24M,,68.24M,154.54M,222.78M,18.28M,18.28M,,14.74M,14.74M,72.11M,327.91M,223.24M,223.24M,46.52M,46.52M,,135.61M,405.37M,733.28M,0.446M,200.22M,471.63M,,,,-18.29M,654.00M
2003-09,35.40M,35.40M,226.70M,226.70M,70.27M,35.34M,55.27M,160.88M,,34.38M,42.05M,499.40M,,,,,,374.41M,-155.11M,219.29M,,542.40M,542.40M,,75.23M,836.92M,1.336B,59.00M,,59.00M,192.61M,251.60M,256.71M,256.71M,,,,74.39M,582.70M,1.345M,1.345M,36.94M,36.94M,,137.54M,175.83M,758.54M,0.445M,167.28M,461.34M,,,,-51.27M,577.79M
2003-06,35.15M,35.15M,225.41M,225.41M,73.18M,35.61M,57.52M,166.31M,,34.29M,37.81M,498.97M,,,,,,374.47M,-155.11M,219.36M,,541.72M,541.72M,,74.27M,835.35M,1.334B,64.26M,,64.26M,183.77M,248.03M,289.91M,289.91M,,,,63.71M,601.65M,1.435M,1.435M,38.39M,38.39M,,139.23M,179.05M,780.70M,0.444M,143.09M,460.39M,,,,-50.31M,553.61M
2003-03,32.02M,32.02M,221.18M,221.18M,67.86M,35.77M,53.09M,156.71M,,33.76M,36.34M,480.02M,,,,,,371.31M,-155.11M,216.20M,,535.03M,535.03M,,73.18M,824.41M,1.304B,62.74M,,62.74M,187.71M,250.44M,50.42M,50.42M,,,,56.85M,357.72M,259.48M,259.48M,37.67M,37.67M,,133.63M,430.78M,788.49M,0.444M,117.31M,459.37M,,,,-61.20M,515.93M
2002-12,31.43M,31.43M,231.67M,231.67M,73.67M,33.68M,43.09M,150.44M,,33.58M,28.60M,475.73M,0.0,45.42M,128.71M,193.80M,4.934M,372.87M,-155.11M,217.75M,,537.79M,537.79M,,72.12M,827.67M,1.303B,73.07M,,73.07M,177.50M,250.58M,50.58M,50.58M,,,,66.51M,367.66M,262.09M,262.09M,37.65M,37.65M,,133.60M,433.34M,801.01M,0.444M,104.38M,459.21M,,,,-61.65M,502.39M
2002-09,28.28M,28.28M,221.44M,221.44M,76.80M,32.46M,41.46M,150.73M,,,39.05M,439.50M,,,,,,317.21M,-109.18M,208.04M,414.18M,130.29M,544.47M,,55.97M,808.47M,1.248B,54.37M,,54.37M,185.77M,240.14M,50.63M,50.63M,,,,47.92M,338.68M,280.57M,280.57M,26.16M,26.16M,,127.08M,433.81M,772.49M,0.443M,73.09M,458.81M,,,,-56.85M,475.48M
2002-06,23.88M,23.88M,230.07M,230.07M,77.17M,31.85M,44.83M,153.84M,42.15M,,,449.94M,,,,,,320.67M,-109.18M,211.49M,411.78M,131.13M,542.91M,,54.01M,808.42M,1.258B,58.31M,,58.31M,188.90M,247.22M,50.44M,50.44M,,,,52.75M,350.41M,304.44M,304.44M,26.40M,26.40M,,125.94M,456.79M,807.20M,0.442M,50.11M,456.95M,,,,-56.34M,451.16M
2002-03,23.46M,23.46M,221.09M,221.09M,72.42M,30.22M,38.61M,141.25M,38.02M,,,423.81M,,,,,,299.53M,-109.18M,190.35M,401.90M,131.98M,533.88M,,55.61M,779.83M,1.204B,54.38M,,54.38M,155.93M,210.31M,50.26M,50.26M,,,,75.58M,336.15M,318.35M,318.35M,23.94M,23.94M,,117.98M,460.27M,796.42M,0.441M,22.63M,456.56M,,,,-72.41M,407.22M
2001-12,27.72M,27.72M,227.30M,227.30M,70.39M,28.43M,46.80M,145.62M,31.12M,,,431.76M,0.0,38.69M,102.31M,155.78M,4.673M,301.45M,-109.18M,192.27M,,126.52M,126.52M,,438.86M,757.65M,1.189B,66.33M,,66.33M,111.28M,177.61M,50.24M,50.24M,,,,119.74M,347.59M,309.48M,309.48M,25.05M,25.05M,,119.11M,453.64M,801.23M,0.441M,3.957M,455.68M,,,,-71.90M,388.18M
2001-09,24.71M,24.71M,218.55M,218.55M,,,,144.80M,,,43.75M,431.81M,,,,,,278.86M,-85.59M,193.27M,235.26M,,235.26M,,43.58M,472.10M,903.91M,59.14M,,59.14M,158.76M,217.91M,49.97M,49.97M,,,,77.57M,345.45M,201.09M,201.09M,24.75M,24.75M,,100.47M,326.32M,671.77M,0.401M,-26.74M,304.30M,,,,-45.82M,232.14M
2001-06,23.21M,23.21M,210.03M,210.03M,64.53M,31.14M,43.02M,137.41M,,,40.64M,411.29M,,,,,,268.58M,-85.59M,182.99M,221.02M,,221.02M,,39.98M,443.99M,855.28M,67.90M,,67.90M,150.42M,218.32M,49.93M,49.93M,,,,65.62M,333.87M,200.49M,200.49M,22.94M,22.94M,,96.37M,319.80M,653.67M,0.40M,-47.13M,303.49M,,,,-55.15M,201.62M
2001-03,22.98M,22.98M,204.43M,204.43M,62.38M,37.22M,44.36M,142.75M,,,41.47M,411.63M,,,,,,273.97M,-85.59M,188.38M,222.51M,,222.51M,,36.42M,447.31M,858.95M,68.02M,,68.02M,143.74M,211.76M,50.08M,50.08M,,,,58.93M,320.77M,226.82M,226.82M,24.16M,24.16M,,94.34M,345.31M,666.08M,0.396M,-53.81M,299.46M,,,,-53.18M,192.87M
2000-12,21.72M,21.72M,,212.57M,,,,141.68M,,,47.37M,423.34M,,,,,,284.98M,-85.59M,199.39M,,228.04M,228.04M,,36.82M,464.24M,887.58M,80.51M,,80.51M,,80.51M,50.56M,50.56M,,,,218.08M,349.15M,237.81M,237.81M,25.94M,25.94M,,95.84M,359.59M,708.74M,0.393M,-68.31M,294.56M,,,,-47.80M,178.84M
2000-09,15.68M,15.68M,,201.76M,,,,130.72M,,,34.09M,382.26M,,,,,,261.04M,-74.57M,186.47M,,195.13M,195.13M,,34.65M,416.25M,798.51M,60.27M,,60.27M,,60.27M,45.78M,45.78M,,,,201.67M,307.72M,232.94M,232.94M,21.93M,21.93M,,90.33M,345.20M,652.92M,0.387M,-91.61M,288.94M,,,,-52.14M,145.59M
2000-06,16.05M,16.05M,,192.67M,,,,131.33M,,,36.13M,376.18M,,,,,,265.12M,-74.57M,190.55M,,200.39M,200.39M,,34.98M,425.92M,802.10M,60.39M,,60.39M,,60.39M,48.94M,48.94M,,,,202.86M,312.19M,235.87M,235.87M,22.67M,22.67M,,98.18M,356.72M,668.91M,0.387M,-108.74M,288.94M,,,,-47.40M,133.20M
2000-03,18.38M,18.38M,,192.17M,,,,124.83M,,,30.14M,365.52M,,,,,,257.63M,-66.32M,191.31M,,208.43M,208.43M,,28.79M,428.54M,794.06M,58.29M,,58.29M,,58.29M,46.97M,46.97M,,,,198.37M,303.63M,252.88M,252.88M,21.78M,21.78M,,99.00M,373.65M,677.28M,0.387M,-126.67M,288.44M,,,,-45.38M,116.78M
1999-12,17.20M,17.20M,,203.80M,,,,123.90M,,,43.00M,387.90M,,,,,,268.70M,-69.00M,199.70M,,204.30M,204.30M,,29.07M,433.07M,820.97M,81.20M,,81.20M,,81.20M,46.90M,46.90M,,,,208.10M,336.20M,249.70M,249.70M,22.70M,22.70M,,100.37M,372.77M,708.97M,0.40M,-138.40M,288.10M,,,,-38.00M,112.00M
1999-09,14.90M,14.90M,,190.70M,,,,120.70M,,,42.60M,368.90M,,,,,,276.50M,-72.00M,204.50M,,214.80M,214.80M,,22.60M,441.90M,810.80M,59.00M,,59.00M,,59.00M,47.20M,47.20M,,,,193.50M,299.70M,284.30M,284.30M,22.80M,22.80M,,108.80M,415.90M,715.60M,0.40M,-151.30M,286.50M,,,,-40.40M,95.20M
1999-06,13.40M,13.40M,,189.10M,,,,121.70M,,,43.40M,367.60M,,,,,,266.60M,-60.30M,206.30M,,211.80M,211.80M,,21.20M,439.30M,806.90M,54.20M,,54.20M,,54.20M,48.10M,48.10M,,,,192.10M,294.40M,303.40M,303.40M,22.70M,22.70M,4.40M,102.40M,428.50M,722.90M,,-165.00M,,,,,,79.60M
1999-03,16.30M,16.30M,,174.90M,,,,111.40M,,,28.00M,330.60M,,,,,,263.30M,-53.30M,210.00M,,206.20M,206.20M,,18.60M,434.80M,765.40M,47.40M,,47.40M,,47.40M,46.70M,46.70M,,,,169.00M,263.10M,310.60M,310.60M,23.50M,23.50M,4.30M,100.10M,434.20M,697.30M,,-178.50M,,,,,,63.80M
1998-12,21.20M,21.20M,,178.50M,,,,112.10M,,,46.40M,358.20M,,,,,,285.60M,-55.30M,230.30M,,213.80M,213.80M,,18.10M,462.20M,820.40M,58.70M,,58.70M,,58.70M,46.40M,46.40M,,,,188.30M,293.40M,340.20M,340.20M,25.60M,25.60M,4.20M,103.20M,469.00M,762.40M,,-186.50M,,,,,,53.80M
1998-09,15.60M,15.60M,,164.90M,,,,110.00M,,,30.70M,321.20M,,,,,,284.80M,-56.00M,228.80M,,191.00M,191.00M,,23.20M,443.00M,764.20M,37.20M,,37.20M,,37.20M,58.20M,58.20M,,,,173.90M,269.30M,320.20M,320.20M,26.30M,26.30M,3.50M,102.00M,448.50M,717.80M,,-203.40M,,,,,,42.90M
1998-06,14.50M,14.50M,,161.50M,,,,100.90M,,,29.50M,306.40M,,,,,,267.20M,-46.60M,220.60M,,182.80M,182.80M,,22.00M,425.40M,731.80M,33.60M,,33.60M,,33.60M,56.40M,56.40M,,,,168.00M,258.00M,303.20M,303.20M,24.40M,24.40M,3.50M,95.40M,423.00M,681.00M,,-205.90M,,,,,,47.30M
