,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-12,2.986B,2.986B,1.935B,1.051B,,295.00M,,,2.00M,,,,,1.00M,609.00M,442.00M,,,,2.00M,,337.00M,111.00M,226.00M,,-43.00M,-1.00M,,183.00M,224.66M,755.00M,313.00M,442.00M,0.38,-0.07,0.0,,0.3777,0.31,0.38,-0.07,-0.0729,,0.3777,0.31,590.67M,590.67M,0.0
2003-09,2.996B,2.996B,1.941B,1.055B,,297.00M,,,5.00M,,,,,-2.00M,620.00M,435.00M,,,,5.00M,,329.00M,119.00M,210.00M,,,-2.00M,,210.00M,206.81M,760.00M,325.00M,435.00M,0.36,0.0,,,0.3545,0.36,0.35,0.0,,,0.3447,0.35,583.33M,600.00M,0.01
2003-06,2.934B,2.934B,1.906B,1.028B,,301.00M,,,-12.00M,,,,,-6.00M,620.00M,408.00M,,,,-12.00M,,282.00M,106.00M,176.00M,,,-2.00M,,176.00M,183.49M,733.00M,325.00M,408.00M,0.3,0.0,,,0.3128,0.3,0.3,0.0,,,0.3128,0.3,586.67M,586.67M,0.0
2003-03,2.732B,2.732B,1.809B,923.00M,,323.00M,,,-16.00M,,,,,-1.00M,624.00M,299.00M,,,,-15.00M,,175.00M,68.00M,107.00M,,-46.00M,-1.00M,,61.00M,116.78M,601.00M,302.00M,299.00M,0.18,-0.08,0.0,,0.196,0.1,0.18,-0.08,-0.0754,,0.196,0.1,610.00M,610.00M,0.0
2002-12,2.881B,2.881B,1.949B,932.00M,,270.00M,,,72.00M,,,,,-25.00M,549.00M,383.00M,,,,72.00M,,322.00M,82.00M,235.00M,,0.00,-3.00M,,236.00M,181.34M,687.00M,304.00M,383.00M,0.39,0.0,0.0,,0.301,0.39,0.39,0.0,0.0,,0.301,0.39,603.21M,603.21M,0.0
2002-09,2.896B,2.896B,1.746B,1.15B,,376.00M,,,3.00M,,,,,-3.00M,684.00M,466.00M,,,,3.00M,,352.00M,121.00M,231.00M,,,-1.00M,,231.00M,229.03M,777.00M,311.00M,466.00M,0.38,0.0,,,0.3768,0.38,0.38,0.0,,,0.3768,0.38,607.89M,607.89M,0.01
2002-06,2.825B,2.825B,1.689B,1.136B,,359.00M,,,1.00M,,,,,,672.00M,464.00M,,,,1.00M,,352.00M,135.00M,217.00M,,,-2.00M,,217.00M,216.38M,777.00M,313.00M,464.00M,0.35,0.0,,,0.349,0.35,0.35,0.0,,,0.349,0.35,620.00M,620.00M,0.0
2002-03,2.609B,2.609B,1.565B,1.044B,,387.00M,,,-29.00M,,,,,-6.00M,675.00M,369.00M,,,,-29.00M,,221.00M,84.00M,137.00M,,2.00M,-1.00M,,138.00M,154.98M,663.00M,294.00M,369.00M,0.22,0.0,0.0,-0.0016,0.2487,0.22,0.22,0.0,0.0032,-0.0016,0.2487,0.22,627.27M,627.27M,0.0
2001-12,2.791B,2.791B,1.595B,1.196B,,452.00M,,,-14.00M,,,,,18.00M,813.00M,383.00M,,,,-14.00M,,272.00M,113.00M,156.00M,,0.00,-2.00M,,158.00M,164.40M,726.00M,343.00M,383.00M,0.25,0.0,0.0,,0.2633,0.25,0.25,0.0,-0.0,,0.2633,0.25,633.18M,633.18M,0.0
2001-09,2.897B,2.897B,1.693B,1.204B,,383.00M,,,-353.00M,,,,,354.00M,1.089B,115.00M,,,,-353.00M,,-1.00M,-32.00M,31.00M,,,,,30.00M,242.80M,467.00M,352.00M,115.00M,0.05,0.0,,-0.0017,0.40299999999999997,0.05,0.05,0.0,,-0.0017,0.40299999999999997,0.05,600.00M,600.00M,0.01
2001-06,2.915B,2.915B,1.732B,1.183B,,398.00M,,,-1.00M,,,,,3.00M,742.00M,441.00M,,,,-1.00M,,304.00M,113.00M,191.00M,,,-2.00M,,191.00M,191.63M,782.00M,341.00M,441.00M,0.31,0.0,,,0.311,0.31,0.3,0.0,,,0.301,0.3,616.13M,636.67M,0.0
2001-03,2.719B,2.719B,1.646B,1.073B,,389.00M,,,1.00M,,,,,5.00M,729.00M,344.00M,,,,1.00M,,212.00M,89.00M,123.00M,,2.00M,-1.00M,,124.00M,122.40M,679.00M,335.00M,344.00M,0.2,0.0,0.0,-0.0016,0.199,0.2,0.2,0.0,0.0032,-0.0016,0.199,0.2,620.00M,620.00M,0.0
2000-12,2.884B,2.884B,1.762B,1.122B,,387.97M,,,-72.07M,,,,,,737.64M,384.60M,,,,-72.07M,,155.76M,117.24M,38.52M,,,-4.812M,,38.52M,81.77M,734.26M,349.67M,384.60M,0.06,0.0,,,0.137,0.06,0.06,0.0,,,0.137,0.06,561.87M,561.87M,0.0
2000-09,3.125B,3.125B,1.871B,1.254B,,411.18M,,,-359.81M,,,,,,777.80M,475.80M,,,,-359.81M,,-59.76M,131.08M,-190.84M,,,-5.619M,,-190.84M,25.04M,842.42M,366.62M,475.80M,-0.31,0.0,,,0.0374,-0.31,-0.31,0.0,,,0.0374,-0.31,621.50M,621.50M,0.01
2000-06,3.266B,3.266B,1.949B,1.317B,,444.83M,,,-204.13M,,,,,,807.14M,509.43M,,,,-204.13M,,105.14M,104.83M,0.315M,,,-6.597M,,0.315M,122.79M,871.74M,362.31M,509.43M,0.0,0.0,,,0.1972,0.0,0.0,0.0,,,0.1966,0.0,621.06M,622.86M,0.0
2000-03,3.217B,3.217B,1.956B,1.262B,,494.01M,,,-89.99M,,,,,,844.42M,417.17M,,,,-89.99M,,119.85M,64.85M,55.00M,,,-5.972M,,55.00M,109.00M,767.58M,350.41M,417.17M,0.09,0.0,,,0.177,0.09,0.09,0.0,,,0.1769,0.09,620.63M,621.54M,0.0
1999-12,3.336B,3.336B,2.159B,1.178B,,610.20M,,,41.00M,,,,,,1.022B,156.30M,,,,41.00M,,-20.00M,92.20M,-112.20M,,,-6.30M,,-115.20M,-136.80M,567.60M,411.30M,156.30M,-0.18,-0.01,,,-0.2207,-0.19,-0.18,-0.01,,,-0.2207,-0.19,604.88M,604.88M,0.0
1999-09,3.395B,3.395B,2.584B,810.80M,,765.20M,,,-703.20M,,,,,,1.218B,-407.40M,,,,-703.20M,,-1.284B,-335.80M,-947.80M,,,-4.70M,,-947.80M,-428.56M,45.60M,452.90M,-407.40M,-1.53,0.0,,,-0.6918,-1.53,-1.53,0.0,,,-0.6918,-1.53,619.48M,619.48M,0.01
1999-06,3.325B,3.325B,1.836B,1.489B,,297.70M,,,-65.80M,,,,,,691.10M,797.50M,,,,-65.80M,,545.90M,227.60M,318.30M,,,-6.50M,,318.30M,357.78M,1.197B,399.50M,797.50M,0.52,0.0,,,0.5845,0.52,0.5,0.0,,,0.562,0.5,612.12M,636.60M,0.0
1999-03,3.071B,3.071B,1.674B,1.396B,,258.20M,,,19.80M,,,,,,608.50M,787.74M,,,,19.80M,,624.90M,260.60M,364.30M,,,-6.50M,,364.30M,352.42M,1.138B,350.30M,787.74M,0.6,0.0,,,0.5804,0.6,0.58,0.0,,,0.5611,0.58,607.17M,628.10M,0.0
1998-12,3.233B,3.233B,1.787B,1.446B,,283.00M,,,-430.50M,,,,,,657.00M,788.90M,,,,-430.50M,,197.20M,133.90M,63.30M,,,-9.70M,,63.20M,321.60M,1.163B,374.00M,788.90M,0.13,0.0,,-0.0001,0.561,0.12,0.13,0.0,,-0.0001,0.561,0.12,599.29M,599.29M,0.01
1998-09,3.238B,3.238B,1.857B,1.380B,,310.90M,,,-2.214B,,,,,,692.30M,688.10M,,,,-2.214B,,-1.676B,-417.90M,-1.258B,,,23.90M,,-1.258B,403.66M,1.070B,381.30M,688.10M,-2.11,0.0,,,0.6768,-2.11,-2.11,0.0,,,0.6768,-2.11,596.45M,596.45M,0.01
1998-06,3.251B,3.251B,1.912B,1.339B,,379.70M,,,46.00M,,,,,,767.10M,571.50M,,,,46.00M,,431.20M,184.40M,246.80M,,,-12.90M,,242.90M,219.20M,958.90M,387.40M,571.50M,0.43,-0.01,,-0.0174,0.3045,0.42,0.42,-0.01,,-0.0174,0.3014,0.41,220.00M,232.69M,
