,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-06,158.84M,,-143.35M,40.25M,40.25M,55.57M,,,,9.349M,19.60M,,,,-3.413M,-41.03M,-24.84M,95.83M,,-45.70M,252.55M,206.84M,-5.225M,,,201.62M,,,-86.78M,10.67M,-156.27M,-145.60M,,-4.47M,-0.036M,-236.89M,,54.19M,60.56M,,114.75M,,10.67M,,,-156.27M,,,,,
2005-03,61.41M,,-2.562M,45.51M,45.51M,,,,,,-65.96M,,,,4.147M,92.07M,30.26M,134.61M,,-63.14M,124.59M,61.44M,,,,61.44M,,,-168.68M,0.771M,-1.255M,-0.484M,,-4.645M,-1.179M,-174.99M,,33.12M,21.06M,,54.19M,,0.771M,,,-1.255M,,,,,
2004-12,37.17M,,-7.842M,42.27M,42.27M,-27.40M,,,,81.18M,13.51M,,,10.53M,-37.33M,-32.74M,-46.03M,79.37M,,-53.43M,-0.061M,-53.49M,-15.61M,,,-76.43M,,,16.73M,0.732M,-17.61M,-16.88M,,-4.644M,,-4.369M,,34.55M,-1.429M,,33.12M,,0.732M,,,-17.61M,,,,,
2004-09,37.84M,,1.751M,43.01M,43.01M,27.40M,,,,-66.33M,-3.742M,,,-3.957M,59.62M,-6.753M,45.17M,88.84M,,-59.31M,12.58M,-46.74M,-4.925M,,,-51.66M,,,-29.25M,0.545M,-5.574M,-5.029M,,-4.681M,,-38.96M,,36.34M,-1.781M,,34.55M,,0.545M,,,-5.574M,,,,,
2004-06,48.29M,,1.22M,40.69M,40.69M,,,,,10.58M,32.32M,,,,-31.31M,27.75M,28.76M,129.55M,,-47.58M,68.35M,20.77M,-104.73M,,,-83.96M,,,-43.35M,0.364M,0.00,0.364M,,-4.653M,,-47.64M,,38.38M,-2.046M,,36.34M,,0.364M,,,0.00,,,,,
2004-03,46.18M,,3.291M,40.71M,40.71M,,,,,17.76M,-71.64M,,,,46.49M,12.34M,-12.81M,95.13M,,-70.44M,0.425M,-70.01M,-37.66M,,,-107.68M,,,19.64M,1.431M,-0.35M,1.081M,,-4.65M,,16.07M,,34.86M,3.518M,,38.38M,,1.431M,,,-0.35M,,,,,
2003-12,46.47M,,0.609M,38.62M,38.62M,-28.26M,,,,6.787M,-18.14M,,,-6.077M,31.76M,-8.382M,-0.844M,63.37M,,-57.14M,6.786M,-50.35M,-232.97M,,,-283.33M,,,227.41M,0.957M,-0.246M,0.711M,,,3.076M,226.56M,,28.26M,6.602M,,34.86M,,0.957M,,,-0.246M,,,,,
2003-09,49.06M,,-4.613M,35.80M,35.80M,26.54M,,,,15.37M,-11.85M,,,5.378M,-12.88M,0.425M,-18.93M,103.22M,,-68.81M,18.59M,-50.22M,-2.814M,,-4.178M,-57.21M,,,-56.42M,1.239M,-0.733M,0.506M,,,11.46M,-44.45M,,26.70M,1.557M,,28.26M,,1.239M,,,-0.733M,,,,,
2003-06,50.95M,,2.511M,35.51M,35.51M,1.727M,,,,7.386M,40.22M,,,2.433M,-33.89M,22.55M,31.32M,129.41M,,-58.08M,,-58.08M,0.00,,1.20M,-56.88M,,,-47.86M,0.431M,-30.82M,-30.39M,,,,-78.25M,,32.42M,-5.712M,,26.70M,,0.431M,,,-30.82M,,,,,
2003-03,52.79M,,3.153M,34.54M,34.54M,,,,,-12.66M,-20.76M,,,9.783M,49.02M,-35.09M,2.95M,80.77M,,-40.34M,,-40.34M,-45.48M,,2.978M,-82.85M,,,38.74M,0.525M,-22.52M,-21.99M,,,,16.75M,,17.75M,14.67M,,32.42M,,0.525M,,,-22.52M,,,,,
2002-12,43.89M,,2.339M,34.35M,34.35M,,,,,-7.388M,-3.57M,,,-5.607M,40.46M,-18.40M,12.89M,86.08M,,-50.15M,-1.75M,-51.90M,,,8.369M,-46.54M,,,23.46M,1.161M,-68.11M,-66.95M,,,,-37.59M,,15.79M,1.956M,,17.75M,,1.161M,,,-68.11M,,,,,
2002-09,41.45M,,3.352M,30.14M,30.14M,9.31M,,,,-6.579M,-8.235M,,,5.268M,18.83M,17.58M,33.44M,111.12M,,-59.53M,1.75M,-57.78M,,,-1.75M,-59.53M,,,-45.64M,0.466M,-5.435M,-4.969M,,,,-50.61M,,14.82M,0.974M,,15.79M,,0.466M,,,-5.435M,,,,,
2002-06,44.35M,,-3.242M,30.90M,30.90M,-33.44M,,,,16.81M,16.94M,,,1.741M,-13.14M,11.69M,17.23M,72.60M,,-56.44M,,-56.44M,,,1.75M,-54.69M,,,-24.22M,0.737M,-0.585M,0.152M,,4.593M,,-19.47M,,16.38M,-1.562M,,14.82M,,0.737M,,,-0.585M,,,,,
2002-03,45.67M,,8.674M,29.41M,29.41M,24.13M,,,,-2.841M,-40.13M,,,-6.515M,13.93M,-10.87M,-43.58M,61.47M,,-40.71M,,-40.71M,,,,-40.71M,,,-20.73M,0.583M,-2.483M,-1.90M,,-4.593M,,-27.22M,,22.85M,-6.466M,,16.38M,,0.583M,,,-2.483M,,,,,
2001-12,0.927M,,51.17M,32.89M,32.89M,,,,,1.439M,-13.13M,,,-17.67M,-6.722M,-4.783M,-42.30M,44.13M,,-41.39M,,-41.39M,-79.38M,,,-120.77M,,,82.88M,0.153M,-1.531M,-1.378M,,,,74.89M,,24.59M,-1.743M,,22.85M,,0.153M,,,-1.531M,,,,,
2001-09,30.25M,,-4.541M,32.59M,32.59M,-3.658M,,,,6.608M,4.01M,,,17.67M,-5.63M,16.03M,32.07M,93.32M,,-42.14M,,-42.14M,-4.848M,,,-46.98M,,,-47.92M,0.563M,-6.203M,-5.64M,,7.287M,,-46.27M,,24.52M,0.066M,,24.59M,,0.563M,,,-6.203M,,,,,
2001-06,32.39M,,5.939M,32.25M,32.25M,-16.67M,,,,-4.34M,26.42M,,,1.542M,11.54M,2.365M,41.87M,91.43M,,-38.85M,,-38.85M,0.00,,,-38.85M,,,-38.63M,0.184M,,0.184M,,-2.656M,,-41.10M,,13.04M,11.48M,,24.52M,,0.184M,,,,,,,,
2001-03,36.17M,,8.211M,29.80M,29.80M,20.33M,,,,-0.322M,-15.92M,,,-1.542M,0.754M,-8.828M,-25.53M,68.65M,,-30.55M,,-30.55M,-179.24M,,,-209.79M,,,147.16M,1.109M,,1.109M,,-4.631M,,143.64M,,10.54M,2.499M,,13.04M,,1.109M,,,,,,,,
2000-12,19.09M,,16.98M,28.53M,28.53M,-20.32M,,,,,-9.158M,,,1.892M,-2.269M,-6.209M,-15.74M,28.54M,,-42.32M,,-42.32M,-2.313M,,22.78M,-34.13M,,,11.63M,1.716M,0.00,1.716M,,-7.633M,4.447M,10.16M,,5.975M,4.57M,,10.54M,,1.716M,,,0.00,,,,,
2000-09,22.34M,,3.172M,28.48M,28.48M,20.32M,,,,,-12.48M,,,-5.094M,,,-17.57M,56.73M,,-25.39M,,-25.39M,-123.90M,,-12.28M,-161.57M,,,124.80M,0.879M,-16.64M,-15.76M,,0.665M,-4.447M,105.26M,,5.552M,0.423M,,5.975M,,0.879M,,,-16.64M,,,,,
2000-06,23.31M,,2.877M,28.16M,28.16M,-15.31M,,,,-0.345M,3.313M,,,-6.002M,4.758M,8.089M,10.16M,48.85M,,-15.47M,-3.113M,-18.58M,-15.12M,,18.03M,-15.68M,,,-24.76M,2.385M,-12.65M,-10.26M,,-0.545M,,-35.57M,,7.95M,-2.398M,,5.552M,,2.385M,,,-12.65M,,,,,
2000-03,28.63M,,3.637M,27.64M,27.64M,15.31M,,,,0.345M,-11.07M,,,-3.311M,-4.758M,-8.089M,-27.23M,48.33M,,-30.72M,3.113M,-27.61M,,,-12.27M,-39.88M,,,-0.151M,0.28M,-6.692M,-6.412M,,-0.12M,,-6.683M,,6.181M,1.769M,,7.95M,,0.28M,,,-6.692M,,,,,
1999-12,14.00M,,5.40M,27.40M,27.40M,6.00M,,,,0.10M,-22.30M,,,-4.70M,-10.20M,,-34.20M,18.70M,,-19.10M,,-19.10M,,,1.00M,-18.10M,,,18.90M,1.00M,-14.70M,-13.70M,,-18.40M,11.80M,-1.40M,,7.10M,-0.80M,,6.20M,,1.00M,,,-14.70M,,,,,
1999-09,10.70M,,-0.60M,26.70M,26.70M,-4.00M,,,,-1.00M,14.40M,,,13.00M,,,27.40M,59.20M,,-18.20M,,-18.20M,,,0.30M,-17.90M,,,-6.70M,0.00,-28.80M,-28.80M,,5.00M,-11.90M,-42.40M,,0.00,-1.10M,,7.10M,,0.00,,,-28.80M,,,,,
1999-06,23.10M,,5.40M,27.20M,27.20M,-19.60M,,,,-13.00M,-9.90M,,,15.40M,-4.00M,,1.50M,24.60M,,-49.30M,,-49.30M,,,15.10M,-34.20M,,,15.90M,0.20M,-6.10M,-5.90M,,-2.70M,,7.30M,,0.00,-2.30M,,0.00,,0.20M,,,-6.10M,,,,,
1999-03,30.00M,,1.40M,27.00M,27.00M,17.60M,,,,14.00M,-20.20M,,,-0.70M,4.00M,,-16.90M,73.10M,,-12.60M,,-12.60M,,,,-12.60M,,,-28.70M,1.30M,-21.60M,-20.30M,,-2.30M,,-51.30M,,1.30M,9.20M,,0.00,,1.30M,,,-21.60M,,,,,
1998-12,20.10M,,-7.70M,27.50M,27.50M,2.50M,,,,-12.20M,8.80M,,,-5.70M,-8.40M,,-5.30M,24.90M,,-26.80M,,-10.40M,,,-10.90M,-21.30M,,,14.70M,0.00,-18.90M,-18.90M,,,0.40M,-5.60M,,3.30M,-2.00M,,1.30M,,0.00,,,-18.90M,,,,,
1998-09,13.40M,,16.10M,27.20M,27.20M,4.20M,,,,8.20M,-12.20M,,,-6.30M,-2.00M,,-20.50M,48.60M,,-28.80M,,-28.80M,,,-0.30M,-29.10M,,,-12.80M,0.20M,-6.00M,-5.80M,,,-0.30M,-18.90M,,0.00,0.60M,,3.30M,,0.20M,,,-6.00M,,,,,
1998-06,20.40M,,-9.70M,26.30M,26.30M,-13.30M,,,,-8.50M,6.70M,,,8.90M,1.70M,,17.30M,32.50M,,-24.40M,,-24.40M,,,-11.90M,-36.30M,,,-1.90M,0.20M,,0.20M,,,-0.10M,-1.80M,,0.00,-5.60M,,0.00,,0.20M,,,,,,,,
1998-03,25.70M,,1.30M,24.40M,24.40M,10.10M,,,,12.40M,-23.40M,,,-3.10M,-1.70M,,-28.20M,45.70M,,-206.10M,,-206.10M,,,23.10M,-183.00M,,,144.10M,1.10M,,1.10M,,,0.10M,145.30M,,0.30M,8.00M,,0.00,,1.10M,,,,,,,,
1997-12,15.00M,,5.50M,21.80M,21.80M,8.80M,,,,-19.40M,-13.30M,,,0.80M,0.10M,,-12.40M,19.30M,,-77.00M,,-61.80M,,,39.20M,-22.60M,,,-4.50M,0.20M,,0.20M,,,,-4.30M,,0.00,-7.60M,,0.30M,,0.20M,,,,,,,,
1997-09,13.90M,,5.60M,20.10M,20.10M,8.20M,,,,20.70M,2.90M,,,-6.20M,9.40M,,6.10M,74.60M,,-37.00M,,-37.00M,,,-39.20M,-76.20M,,,8.80M,0.20M,,0.20M,,,,9.00M,,0.00,7.40M,,0.00,,0.20M,,,,,,,,
1997-06,16.90M,,4.40M,19.80M,19.80M,-12.90M,,,,-1.40M,5.60M,,,7.60M,-9.40M,,3.80M,30.60M,,-36.10M,,-36.10M,,,,-36.10M,,,3.70M,0.20M,,0.20M,,,,3.90M,,0.00,-1.60M,,0.00,,0.20M,,,,,,,,
1997-03,21.50M,,4.50M,19.00M,19.00M,12.10M,,,,6.60M,-9.60M,,,-1.90M,-3.20M,,-14.70M,49.00M,,-30.60M,,-30.60M,,,,-30.60M,,,-17.50M,1.00M,,1.00M,,,,-16.50M,,0.30M,1.90M,,0.00,,1.00M,,,,,,,,
1996-12,11.70M,,4.30M,21.20M,21.20M,6.10M,,,,-13.10M,-9.40M,,,1.80M,2.90M,,-4.70M,25.50M,,-26.50M,,-24.70M,,,-0.10M,-24.80M,,,-0.60M,0.00,,0.00,,,0.10M,-0.50M,,0.00,0.20M,,0.00,,0.00,,,,,,,,
1996-09,11.30M,,4.50M,19.20M,19.20M,5.40M,,,,1.80M,1.80M,,,0.10M,-3.00M,,-1.10M,41.10M,,-32.00M,,-32.00M,,,3.50M,-28.50M,,,-12.60M,0.00,,0.00,,,-0.20M,-12.80M,,0.00,-0.20M,,0.00,,0.00,,,,,,,,
1996-06,12.20M,,4.10M,16.70M,16.70M,-3.90M,,,,8.00M,9.70M,,,-3.70M,2.90M,,8.90M,46.00M,,-189.90M,,-189.90M,,,-10.50M,-200.40M,,,54.10M,99.70M,,99.70M,,,0.10M,153.90M,,0.00,-0.50M,,0.00,,99.70M,,,,,,,,
1996-03,15.50M,,3.00M,14.80M,14.80M,8.10M,,,,0.30M,-2.20M,,,-3.40M,-3.40M,,-9.00M,32.70M,,-25.70M,,-25.70M,,,,-25.70M,,,-6.80M,0.60M,,0.60M,,,,-6.20M,,0.00,0.80M,,0.00,,0.60M,,,,,,,,
1995-12,6.90M,,3.20M,15.10M,15.10M,-7.00M,,,,12.40M,-20.00M,,,3.40M,3.10M,,-13.50M,17.10M,,-210.70M,21.80M,-188.90M,,,187.50M,-1.40M,,,-15.40M,-0.50M,,-0.50M,,,0.10M,-15.80M,,0.00,-0.10M,,0.00,,-0.50M,,,,,,,,
1995-09,7.20M,,4.40M,13.20M,13.20M,-0.70M,,,,-5.10M,-0.10M,,,-3.40M,1.90M,,-1.60M,17.40M,,-5.60M,,-5.60M,,,-187.40M,-193.00M,,,171.40M,0.50M,,0.50M,,,-0.10M,171.80M,,0.00,-3.80M,,0.00,,0.50M,,,,,,,,
1995-06,9.60M,,2.20M,11.80M,11.80M,-20.40M,,,,13.70M,20.70M,,,-4.50M,0.00,,16.20M,33.10M,,-22.40M,-0.30M,-22.70M,,,0.10M,-22.60M,,,-8.60M,0.10M,,0.10M,,,0.10M,-8.40M,,0.00,2.10M,,0.00,,0.10M,,,,,,,,
1995-03,11.80M,,4.50M,11.30M,11.30M,7.30M,,,,-3.70M,-5.70M,,,0.50M,-1.90M,,-7.10M,24.10M,,-13.50M,0.30M,-13.20M,,,-0.10M,-13.30M,,,-10.10M,0.40M,,0.40M,,,-0.10M,-9.80M,,0.80M,1.00M,,0.00,,0.40M,,,,,,,,
1994-12,4.40M,,1.30M,11.30M,11.30M,0.20M,,,,0.80M,-7.40M,,,0.40M,-5.10M,,-12.10M,5.90M,,-24.50M,4.10M,-20.40M,,,0.10M,-21.40M,,,26.10M,0.00,-10.90M,-10.90M,,,0.10M,15.30M,,0.00,-0.20M,,0.00,,0.00,,,-10.90M,,,,,
1994-09,5.90M,,3.60M,10.90M,10.90M,-0.90M,,,,-7.30M,2.30M,,,-2.60M,7.60M,,7.30M,19.50M,,-27.90M,0.30M,-27.60M,,,4.10M,-23.50M,,,3.00M,0.60M,-2.20M,-1.60M,,,-0.10M,1.30M,,0.00,-2.70M,,0.00,,0.60M,,,-2.20M,,,,,
1994-06,8.10M,,2.50M,10.30M,10.30M,-12.70M,,,,3.30M,6.60M,,,-0.70M,6.50M,,12.40M,23.90M,,-11.40M,0.20M,-11.20M,,,-4.10M,-15.30M,,,-7.90M,0.10M,,0.10M,,,,-7.80M,,0.00,0.80M,,0.00,,0.10M,,,,,,,,
1994-03,10.30M,,3.40M,9.90M,9.90M,3.50M,,,,0.10M,-5.90M,,,-0.20M,-9.80M,,-15.90M,11.30M,,-11.90M,0.30M,-11.60M,,,,-11.60M,,,2.30M,0.30M,,0.30M,,,,2.60M,,0.60M,2.30M,,0.00,,0.30M,,,,,,,,
1993-12,3.80M,,4.30M,11.40M,11.40M,-9.00M,,,,-2.70M,-2.90M,,,-3.90M,14.10M,,7.30M,15.10M,,-12.50M,13.40M,0.90M,,,0.10M,1.00M,,,-17.60M,0.30M,0.20M,0.50M,,,0.10M,-17.00M,,0.00,-0.90M,,0.00,,0.30M,,,0.20M,,,,,
1993-09,5.10M,,16.50M,9.90M,9.90M,,,,,-11.80M,11.50M,,,1.40M,-7.00M,,5.90M,25.60M,,-22.00M,1.80M,-20.20M,,,,-20.20M,,,-1.70M,0.10M,-2.70M,-2.60M,,,-0.10M,-4.40M,,0.00,1.00M,,0.00,,0.10M,,,-2.70M,,,,,
1993-06,6.50M,,-4.40M,9.20M,9.20M,-3.30M,,,,12.10M,10.90M,,,-1.20M,0.40M,,10.10M,30.20M,,-13.60M,1.70M,-11.90M,,,0.10M,-11.80M,,,-18.00M,0.10M,-0.10M,0.00,,,,-18.00M,,0.00,0.40M,,0.00,,0.10M,,,-0.10M,,,,,
1993-03,8.60M,,4.40M,9.10M,9.10M,3.30M,,,,3.40M,-6.60M,,,-2.10M,-6.40M,,-15.10M,13.70M,,-14.00M,1.80M,-12.20M,,,-0.10M,-12.30M,,,-7.40M,,-0.60M,-0.60M,,,,-8.00M,,6.70M,-6.60M,,0.00,,,,,-0.60M,,,,,
1992-12,3.00M,,3.00M,9.70M,9.70M,-5.00M,,,,,-4.00M,,,-6.40M,1.30M,,-9.10M,2.20M,,-15.60M,15.00M,-0.60M,,,3.00M,2.40M,,,2.80M,0.70M,-1.60M,-0.90M,,,,1.90M,,0.00,6.50M,,0.00,,0.70M,,,-1.60M,,,,,
1992-09,3.40M,,6.00M,8.70M,8.70M,-5.00M,,,,,16.20M,,,-0.70M,-1.70M,,13.80M,26.90M,,-5.70M,,-5.70M,,,-5.70M,-11.40M,,,-15.90M,0.00,-1.30M,-1.30M,,,-0.10M,-17.30M,,0.00,-1.80M,,0.00,,0.00,,,-1.30M,,,,,
1992-06,6.20M,,5.90M,8.80M,8.80M,-10.50M,,,,,10.60M,,,6.00M,-5.50M,,11.10M,21.50M,,-11.40M,-1.40M,-12.80M,,,2.80M,-10.00M,,,-16.80M,0.40M,,0.40M,,,0.10M,-16.30M,,0.00,-4.80M,,0.00,,0.40M,,,,,,,,
1992-03,7.40M,,6.30M,21.90M,21.90M,10.50M,,,,,-15.20M,,,-1.00M,1.20M,,-15.00M,31.10M,,-7.70M,1.40M,-6.30M,,,-0.10M,-6.40M,,,-40.60M,,,,,,,-40.60M,,22.70M,-15.90M,,0.00,,,,,,,,,,
1991-12,2.30M,,15.60M,9.30M,9.30M,-0.10M,,,,0.20M,-6.60M,,,-0.80M,-20.10M,,-27.50M,-0.20M,,-5.20M,3.00M,-2.20M,,,0.00,-2.20M,,,11.00M,0.10M,,0.10M,,,-0.10M,11.00M,,0.00,8.60M,,0.00,,0.10M,,,,,,,,
1991-09,2.50M,,-1.70M,8.70M,8.70M,-10.50M,,,,-0.10M,8.40M,,8.30M,-0.20M,4.10M,,20.60M,19.50M,,-9.30M,10.10M,0.80M,,,-18.30M,-17.50M,,,-2.50M,0.00,,0.00,,,0.10M,-2.40M,,0.00,-0.40M,,0.00,,0.00,,,,,,,,
1991-06,5.80M,,3.20M,8.50M,8.50M,,,,,-0.10M,1.40M,,-9.10M,0.10M,3.00M,,-4.60M,12.80M,,-6.60M,0.00,-6.60M,,,4.30M,-2.30M,,,-10.00M,0.00,,0.00,,,,-10.00M,,0.00,0.50M,,0.00,,0.00,,,,,,,,
1991-03,9.70M,,4.90M,8.50M,8.50M,,,,,0.10M,-10.90M,,0.80M,0.20M,1.80M,,-8.10M,15.10M,,-7.60M,26.40M,18.80M,,,1.00M,19.80M,,,-43.90M,0.10M,,0.10M,,,,-43.80M,,22.90M,-8.90M,,0.00,,0.10M,,,,,,,,
