,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,RentandLandingExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2003-09,896.33M,896.33M,333.32M,563.01M,,440.72M,,7.837M,,,,,,476.52M,86.49M,,,,7.837M,,78.24M,29.18M,49.06M,,-7.476M,49.06M,44.15M,122.29M,35.80M,86.49M,,0.43,0.00,0.3872,0.43,,0.395,0.00,0.3571,0.395,,114.71M,129.68M,,,,
2003-06,879.66M,879.66M,464.15M,415.51M,,280.42M,,,,,,,,314.47M,101.04M,,,,,,83.14M,31.06M,52.08M,-1.129M,-8.53M,50.95M,52.08M,136.56M,35.51M,101.04M,,0.45,-0.01,0.45,0.44,,0.42,-0.01,0.42,0.41,,115.31M,129.88M,,,,
2003-03,894.81M,894.81M,324.65M,570.16M,,437.02M,,0.006M,,,,,,471.56M,98.60M,,,,0.006M,,83.72M,30.93M,52.79M,,-5.03M,52.79M,52.79M,133.14M,34.54M,98.60M,,0.455,0.00,0.4550,0.455,,0.42,0.00,0.4200,0.42,,116.55M,131.19M,,,,
2002-12,835.48M,835.48M,247.92M,587.56M,,472.68M,,2.232M,,,,,,507.03M,80.53M,,,,2.232M,,69.34M,25.46M,43.89M,,-4.173M,43.89M,42.48M,114.88M,34.35M,80.53M,,0.37,0.00,0.3581,0.37,,0.345,0.00,0.3344,0.345,,118.48M,133.65M,,,,
2002-09,813.10M,813.10M,323.33M,489.77M,,380.59M,,-0.255M,,,,,,410.72M,79.05M,,,,-0.255M,,65.49M,24.04M,41.45M,,-4.924M,41.45M,41.61M,109.18M,30.14M,79.05M,,0.345,0.00,0.3463,0.345,,0.325,0.00,0.3262,0.325,,119.77M,134.35M,,,,
2002-06,805.94M,805.94M,302.15M,503.79M,,389.73M,,-0.249M,,,,,,420.63M,83.16M,,,,-0.249M,,70.07M,25.72M,44.35M,,-4.688M,44.35M,44.50M,114.06M,30.90M,83.16M,,0.37,0.00,0.3713,0.37,,0.345,0.00,0.3462,0.345,,119.87M,134.51M,,,,
2002-03,804.37M,804.37M,295.40M,508.97M,,392.79M,,0.234M,,,,,,422.20M,86.77M,,,,0.234M,,72.16M,26.49M,45.67M,,-5.873M,45.67M,45.52M,116.18M,29.41M,86.77M,,0.38,0.00,0.3788,0.38,,0.355,0.00,0.3539,0.355,,119.72M,134.10M,,,,
2001-12,724.16M,724.16M,-164.76M,888.92M,,792.55M,,-47.35M,,,,,,825.44M,63.48M,,,,-47.35M,,2.567M,0.632M,1.935M,,-6.194M,0.927M,37.63M,96.38M,32.89M,63.48M,,0.01,0.00,0.3083,0.01,,0.01,0.00,0.2760,0.01,,119.66M,134.19M,,,,
2001-09,720.78M,720.78M,282.22M,438.56M,,344.80M,,-0.108M,,,,,,377.39M,61.17M,,,,-0.108M,,47.52M,17.26M,30.25M,,-3.70M,30.25M,30.32M,93.76M,32.59M,61.17M,,0.25,0.00,0.2506,0.25,,0.24,0.00,0.2405,0.24,,119.84M,134.83M,,,,
2001-06,718.60M,718.60M,262.86M,455.74M,,358.43M,,0.026M,,,,,,390.67M,65.07M,,,,0.026M,,50.89M,18.50M,32.39M,,-3.699M,32.39M,32.37M,97.32M,32.25M,65.07M,,0.27,0.00,0.2699,0.27,,0.255,0.00,0.2549,0.255,,119.84M,134.45M,,,,
2001-03,676.95M,676.95M,240.27M,436.68M,,336.15M,,-1.427M,,,,,,365.94M,70.73M,,,,-1.427M,,56.92M,20.75M,36.17M,,-3.925M,36.17M,37.08M,100.53M,29.80M,70.73M,,0.3025,0.00,0.3101,0.3025,,0.285,0.00,0.2918,0.285,,119.66M,134.30M,,,,
2000-12,614.82M,614.82M,225.78M,389.04M,,310.07M,,,,,,,,338.60M,50.43M,,,,,,30.26M,11.18M,19.09M,,-3.995M,19.09M,19.09M,78.96M,28.53M,50.43M,,0.16,0.00,0.16,0.16,,0.155,0.00,0.155,0.155,,119.35M,134.33M,,,,
2000-09,561.79M,561.79M,206.90M,354.89M,,281.07M,,,,,,,,309.55M,45.34M,,,,,,35.17M,12.84M,22.34M,,-3.172M,22.34M,22.34M,73.81M,28.48M,45.34M,,0.1875,0.00,0.1875,0.1875,,0.18,0.00,0.18,0.18,,119.57M,135.38M,,,,
2000-06,524.83M,524.83M,193.21M,331.62M,,256.47M,,,,,,,,284.63M,46.99M,,,,,,36.42M,13.11M,23.31M,,-3.371M,23.31M,23.31M,75.14M,28.16M,46.99M,,0.1925,0.00,0.1925,0.1925,,0.19,0.00,0.19,0.19,,120.48M,124.56M,,,,
2000-03,541.00M,541.00M,190.85M,350.16M,,267.79M,,,,,,,,295.44M,54.72M,,,,,,44.25M,15.62M,28.63M,,-3.143M,28.63M,28.63M,82.36M,27.64M,54.72M,,0.235,0.00,0.235,0.235,,0.23,0.00,0.23,0.23,,122.36M,124.47M,,,,
1999-12,519.40M,519.40M,-134.50M,653.90M,,592.10M,,,,,,,,619.50M,34.40M,,,,,,21.60M,7.60M,14.00M,,-0.10M,14.00M,14.00M,61.80M,27.40M,34.40M,,0.1175,0.00,0.1175,0.1175,,0.1175,0.00,0.1175,0.1175,,121.78M,123.21M,,,,
1999-09,489.80M,489.80M,201.70M,288.10M,,238.80M,,,,,,,,265.50M,22.60M,,,,,,16.70M,5.90M,10.80M,,0.60M,10.80M,10.80M,49.30M,26.70M,22.60M,,0.085,0.00,0.085,0.085,,0.085,0.00,0.085,0.085,,127.06M,127.06M,,,,
1999-06,513.10M,513.10M,204.70M,308.40M,,234.90M,,,,,,,,262.10M,46.30M,,,,,,36.80M,13.80M,23.00M,,-2.80M,23.00M,23.00M,73.50M,27.20M,46.30M,,0.1825,0.00,0.1825,0.1825,,0.1775,0.00,0.1775,0.1775,,126.03M,129.58M,,,,
1999-03,520.10M,520.10M,203.10M,317.00M,,231.80M,,,,,,,,258.80M,58.20M,,,,,,47.70M,17.70M,30.00M,,-4.00M,30.00M,30.00M,85.20M,27.00M,58.20M,,0.235,0.00,0.235,0.235,,0.23,0.00,0.23,0.23,,127.66M,130.43M,,,,
1998-12,480.70M,480.70M,-130.00M,610.70M,,543.10M,,,,,,,,570.60M,40.10M,,,,,,31.10M,11.00M,20.10M,,-2.40M,20.10M,20.10M,67.60M,27.50M,40.10M,,0.1575,0.00,0.1575,0.1575,,0.15,0.00,0.15,0.15,,130.01M,131.56M,,,,
1998-09,456.10M,456.10M,192.10M,264.00M,,207.90M,,,,,,,,235.10M,28.90M,,,,,,20.40M,7.00M,13.40M,,-1.40M,13.40M,13.40M,56.10M,27.20M,28.90M,,0.1025,0.00,0.1025,0.1025,,0.10,0.00,0.10,0.10,,130.73M,134.00M,,,,
1998-06,474.60M,474.60M,195.10M,279.50M,,210.90M,,,,,,,,237.20M,42.30M,,,,,,31.70M,11.20M,20.50M,,-3.50M,20.50M,20.50M,68.60M,26.30M,42.30M,,0.1575,0.00,0.1575,0.1575,,0.1525,0.00,0.1525,0.1525,,130.16M,134.43M,,,,
1998-03,463.10M,463.10M,181.00M,282.10M,,209.80M,,,,,,,,234.20M,47.90M,,,,,,39.90M,14.20M,25.70M,,-1.70M,25.70M,25.70M,72.30M,24.40M,47.90M,,0.1975,0.00,0.1975,0.1975,,0.1925,0.00,0.1925,0.1925,,130.13M,133.51M,,,,
1997-12,396.30M,396.30M,131.90M,264.40M,,213.00M,,,,,,,,234.80M,29.60M,,,,,,23.50M,8.50M,15.00M,,-1.60M,15.00M,15.00M,51.40M,21.80M,29.60M,,0.115,0.00,0.115,0.115,,0.1125,0.00,0.1125,0.1125,,130.28M,133.23M,,,,
1997-09,362.40M,362.40M,158.00M,204.40M,,158.60M,,,,,,,,178.70M,25.70M,,,,,,21.90M,8.10M,13.80M,,0.70M,13.80M,13.80M,45.80M,20.10M,25.70M,,0.1075,0.00,0.1075,0.1075,,0.105,0.00,0.105,0.105,,128.37M,131.43M,,,,
1997-06,343.80M,343.80M,136.40M,207.40M,,155.90M,,,,,,,,175.70M,31.70M,,,,,,26.50M,9.60M,16.90M,,0.10M,16.90M,16.90M,51.50M,19.80M,31.70M,,0.13,0.00,0.13,0.13,,0.1275,0.00,0.1275,0.1275,,130.00M,132.55M,,,,
1997-03,340.20M,340.20M,129.70M,210.50M,,152.50M,,,,,,,,171.50M,39.00M,,,,,,34.00M,12.50M,21.50M,,,21.50M,21.50M,58.00M,19.00M,39.00M,,0.1675,0.00,0.1675,0.1675,,0.1625,0.00,0.1625,0.1625,,128.36M,132.31M,,,,
1996-12,325.60M,325.60M,129.10M,196.50M,,147.70M,,,,,,,,168.90M,27.60M,,,,,,19.20M,7.50M,11.70M,,,11.70M,11.70M,48.80M,21.20M,27.60M,,0.10,0.00,0.10,0.10,,0.09,0.00,0.09,0.09,,117.21M,128.85M,,,,
1996-09,300.00M,300.00M,118.10M,181.90M,,139.90M,,,,,,,,159.10M,22.80M,,,,,,17.50M,6.20M,11.30M,,,11.30M,11.30M,42.00M,19.20M,22.80M,,0.085,0.00,0.085,0.085,,0.085,0.00,0.085,0.085,,132.94M,132.94M,,,,
1996-06,282.10M,282.10M,109.60M,172.50M,,130.60M,,,,,,,,147.30M,25.20M,,,,,,19.10M,6.90M,12.20M,,,12.20M,12.20M,41.90M,16.70M,25.20M,,0.105,0.00,0.105,0.105,,0.105,0.00,0.105,0.105,,116.19M,116.19M,,,,
1996-03,271.60M,271.60M,102.30M,169.30M,,125.70M,,,,,,,,140.50M,28.80M,,,,,,24.20M,8.70M,15.50M,,,15.50M,15.50M,43.60M,14.80M,28.80M,,0.14,0.00,0.14,0.14,,0.135,0.00,0.135,0.135,,110.71M,114.81M,,,,
1995-12,262.10M,262.10M,100.40M,161.70M,,122.20M,,,,,,,,137.30M,24.40M,,,,,,7.90M,1.00M,6.90M,,,6.90M,6.90M,39.50M,15.10M,24.40M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,114.06M,114.06M,,,,
1995-09,234.10M,234.10M,92.00M,142.10M,,114.20M,,,,,,,,127.50M,14.60M,,,,,,11.30M,4.10M,7.20M,,,7.20M,7.20M,27.90M,13.20M,14.60M,,0.065,0.00,0.065,0.065,,0.065,0.00,0.065,0.065,,110.77M,110.77M,,,,
1995-06,214.20M,214.20M,84.10M,130.10M,,102.50M,,,,,,,,114.20M,15.90M,,,,,,14.50M,4.90M,9.60M,,,9.60M,9.60M,27.70M,11.80M,15.90M,,0.085,0.00,0.085,0.085,,0.085,0.00,0.085,0.085,,112.94M,112.94M,,,,
1995-03,220.70M,220.70M,84.50M,136.20M,,104.00M,,,,,,,,115.30M,20.90M,,,,,,19.30M,7.50M,11.80M,,,11.80M,11.80M,32.20M,11.30M,20.90M,,0.1075,0.00,0.1075,0.1075,,0.1075,0.00,0.1075,0.1075,,109.77M,109.77M,,,,
1994-12,204.10M,204.10M,-179.00M,383.10M,,363.00M,,,,,,,,374.30M,8.80M,,,,,,7.10M,2.70M,4.40M,,,4.40M,4.40M,20.10M,11.30M,8.80M,,0.0472,,0.0472,0.0472,,0.04,0.00,0.04,0.04,,114.35M,117.39M,,,,
1994-09,191.50M,191.50M,161.00M,30.50M,,8.50M,,,,,,,,19.40M,11.10M,,,,,,9.60M,3.80M,5.80M,,,5.80M,5.80M,22.00M,10.90M,11.10M,,0.0525,0.00,0.0525,0.0525,,0.0525,0.00,0.0525,0.0525,,110.48M,110.48M,,,,
1994-06,192.20M,192.20M,158.70M,33.50M,,8.50M,,,,,,,,18.80M,14.70M,,,,,,13.40M,5.20M,8.20M,,,8.20M,8.20M,25.00M,10.30M,14.70M,,0.0725,0.00,0.0725,0.0725,,0.0725,0.00,0.0725,0.0725,,113.10M,113.10M,,,,
1994-03,194.40M,194.40M,157.40M,37.00M,,8.50M,,,,,,,,18.40M,18.60M,,,,,,16.80M,6.50M,10.30M,,,10.30M,10.30M,28.50M,9.90M,18.60M,,0.09,0.00,0.09,0.09,,0.09,0.00,0.09,0.09,,114.44M,114.44M,,,,
1993-12,192.40M,192.40M,165.40M,27.00M,,9.10M,,,,,,,,20.50M,6.50M,,,,,,4.80M,1.00M,3.80M,,,3.80M,3.80M,17.90M,11.40M,6.50M,,0.0425,0.00,0.0425,0.0425,,0.035,0.00,0.035,0.035,,94.79M,109.84M,,,,
1993-09,186.30M,186.30M,158.50M,27.80M,,8.40M,,,,,,,,18.30M,9.50M,,,,,,7.50M,2.30M,5.20M,,,5.20M,5.20M,19.40M,9.90M,9.50M,,0.0475,0.00,0.0475,0.0475,,0.0475,0.00,0.0475,0.0475,,109.47M,109.47M,,,,
1993-06,187.50M,187.50M,157.90M,29.60M,,8.50M,,,,,,,,17.70M,11.90M,,,,,,9.80M,3.30M,6.50M,,,6.50M,6.50M,21.10M,9.20M,11.90M,,0.0575,0.00,0.0575,0.0575,,0.0575,0.00,0.0575,0.0575,,113.04M,113.04M,,,,
1993-03,195.30M,195.30M,162.10M,33.20M,,8.30M,,,,,,,,17.40M,15.80M,,,,,,13.10M,4.50M,8.60M,,,8.60M,8.60M,24.90M,9.10M,15.80M,,0.075,0.00,0.075,0.075,,0.075,0.00,0.075,0.075,,114.67M,114.67M,,,,
1992-12,181.00M,181.00M,154.60M,26.40M,,8.90M,,,,,,,,18.60M,7.80M,,,,,,5.10M,2.10M,3.00M,,,3.00M,3.00M,17.50M,9.70M,7.80M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,104.44M,104.44M,,,,
1992-09,173.70M,173.70M,148.20M,25.50M,,8.50M,,,,,,,,17.20M,8.30M,,,,,,5.70M,2.30M,3.40M,,,3.40M,3.40M,17.00M,8.70M,8.30M,,0.0325,0.00,0.0325,0.0325,,0.0325,0.00,0.0325,0.0325,,104.62M,104.62M,,,,
1992-06,174.40M,174.40M,144.50M,29.90M,,8.10M,,,,,,,,16.90M,13.00M,,,,,,10.00M,3.90M,6.10M,,,6.10M,6.10M,21.80M,8.80M,13.00M,,0.055,0.00,0.055,0.055,,0.055,0.00,0.055,0.055,,110.91M,110.91M,,,,
1992-03,202.00M,202.00M,148.70M,53.30M,,8.50M,,,,,,,,30.40M,22.90M,,,,,,19.90M,12.50M,7.40M,,,7.40M,7.40M,44.80M,21.90M,22.90M,,0.065,0.00,0.065,0.065,,0.065,0.00,0.065,0.065,,113.85M,113.85M,,,,
1991-12,174.00M,174.00M,154.20M,19.80M,,8.70M,,0.10M,,,,,,18.00M,1.80M,,,,0.10M,,3.90M,1.60M,2.30M,,,2.30M,2.24M,11.10M,9.30M,1.80M,,0.0225,0.00,0.0219,0.0225,,0.0225,0.00,0.0219,0.0225,,107.43M,107.43M,,,,
1991-09,166.40M,166.40M,142.00M,24.40M,,8.60M,,0.10M,,,,,,17.40M,7.00M,,,,0.10M,,4.20M,1.70M,2.50M,,,2.50M,2.44M,15.80M,8.70M,7.00M,,0.025,0.00,0.0244,0.025,,0.025,0.00,0.0244,0.025,,100.00M,100.00M,,,,
1991-06,168.70M,168.70M,139.30M,29.40M,,8.60M,,0.10M,,,,,,17.00M,12.40M,,,,0.10M,,9.50M,3.70M,5.80M,,,5.80M,5.739M,20.90M,8.50M,12.40M,,0.0525,0.00,0.0519,0.0525,,0.0525,0.00,0.0519,0.0525,,110.48M,110.48M,,,,
1991-03,178.80M,178.80M,144.90M,33.90M,,8.50M,,0.10M,,,,,,17.00M,16.90M,,,,0.10M,,12.60M,2.90M,9.70M,,,9.70M,9.623M,25.40M,8.50M,16.90M,,0.0825,0.00,0.0818,0.0825,,0.0825,0.00,0.0818,0.0825,,117.58M,117.58M,,,,
1990-12,158.90M,158.90M,142.00M,16.90M,,,,0.10M,,,,,,9.80M,7.10M,,,,0.10M,,1.70M,0.60M,1.10M,,,1.10M,1.035M,16.90M,9.80M,7.10M,,0.01,0.00,0.0094,0.01,,0.01,0.00,0.0094,0.01,,110.33M,110.33M,,,,
1990-09,150.10M,150.10M,132.60M,17.50M,,,,,,,,,,9.70M,7.80M,,,,,,2.20M,0.80M,1.40M,,,1.40M,1.40M,17.50M,9.70M,7.80M,,0.015,0.00,0.015,0.015,,0.015,0.00,0.015,0.015,,93.33M,93.33M,,,,
1990-06,151.50M,151.50M,130.80M,20.70M,,,,,,,,,,9.50M,11.20M,,,,,,5.60M,2.10M,3.50M,,,3.50M,3.50M,20.70M,9.50M,11.20M,,0.0325,0.00,0.0325,0.0325,,0.0325,0.00,0.0325,0.0325,,107.69M,107.69M,,,,
1990-03,166.50M,166.50M,,,,,,,,,,,,,166.50M,,,,,,,,5.60M,,,5.60M,,166.50M,,166.50M,,0.0475,0.00,0.0475,0.0475,,0.0475,0.00,0.0475,0.0475,,113.14M,113.14M,,,,
1989-12,146.50M,146.50M,,,,,,,,,,,,,-401.70M,,,,,,,,1.00M,,,1.00M,,-401.70M,,-401.70M,,,,,,,,,,,,113.15M,113.15M,,,,
1989-09,140.20M,140.20M,,,,,,,,,,,,,140.20M,,,,,,,,0.60M,,,0.60M,,140.20M,,140.20M,,0.0075,0.00,0.0075,0.0075,,0.0075,0.00,0.0075,0.0075,,116.40M,116.40M,,,,
1989-06,147.00M,147.00M,,,,,,,,,,,,,147.00M,,,,,,,,2.90M,,,2.90M,,147.00M,,147.00M,,0.025,0.00,0.025,0.025,,0.025,0.00,0.025,0.025,,117.33M,117.33M,,,,
1989-03,153.50M,153.50M,,,,,,,,,,,,,153.50M,,,,,,,,4.50M,,,4.50M,,153.50M,,153.50M,,0.0375,0.00,0.0375,0.0375,,0.0375,0.00,0.0375,0.0375,,117.49M,117.49M,,,,
1988-12,137.00M,137.00M,,,,,,,,,,,,,-374.00M,,,,,,,,0.20M,,,0.20M,,-374.00M,,-374.00M,,,,,,,,,,,,117.33M,117.33M,,,,
1988-09,133.90M,133.90M,,,,,,,,,,,,,133.90M,,,,,,,,0.10M,,,0.10M,,133.90M,,133.90M,,0.0025,0.00,0.0025,0.0025,,0.0025,0.00,0.0025,0.0025,,117.48M,117.48M,,,,
1988-06,137.20M,137.20M,,,,,,,,,,,,,137.20M,,,,,,,,2.20M,,,2.20M,,137.20M,,137.20M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,118.83M,118.83M,,,,
1988-03,145.90M,145.90M,,,,,,,,,,,,,145.90M,,,,,,,,3.90M,,,3.90M,,145.90M,,145.90M,,0.0325,0.00,0.0325,0.0325,,0.0325,0.00,0.0325,0.0325,,117.49M,117.49M,,,,
1987-12,388.20M,388.20M,,,,,,,,,,,,,-329.70M,,,,,,,,0.60M,-0.60M,,0.00,,-329.70M,,-329.70M,,,-0.0050,,-0.0050,,,-0.0050,,-0.0050,,118.83M,118.83M,,,,
1987-09,129.00M,129.00M,,,,,,,,,,,,,129.00M,,,,,,,,0.60M,-0.50M,,0.10M,,129.00M,,129.00M,,0.005,-0.005,0.005,0.00,,0.005,-0.005,0.005,0.00,,118.83M,118.83M,,,,
1987-06,128.90M,128.90M,,,,,,,,,,,,,128.90M,,,,,,,,0.60M,-0.50M,,0.10M,,128.90M,,128.90M,,0.005,-0.005,0.005,0.00,,0.005,-0.005,0.005,0.00,,118.83M,118.83M,,,,
1987-03,128.90M,128.90M,,,,,,,,,,,,,128.90M,,,,,,,,0.60M,-0.50M,,0.10M,,128.90M,,128.90M,,0.005,-0.005,0.005,0.00,,0.005,-0.005,0.005,0.00,,118.83M,118.83M,,,,
1986-12,175.60M,175.60M,,,,,,,,,,,,,-424.40M,,,,,,,,-5.60M,,,-5.60M,,-424.40M,,-424.40M,,,,,,,,,,,,118.82M,118.82M,,,,
1986-09,158.20M,158.20M,,,,,,,,,,,,,158.20M,,,,,,,,3.00M,,,3.00M,,158.20M,,158.20M,,0.0225,0.00,0.0225,0.0225,,0.0225,0.00,0.0225,0.0225,,142.78M,142.78M,,,,
1986-06,166.50M,166.50M,,,,,,,,,,,,,166.50M,,,,,,,,6.60M,,,6.60M,,166.50M,,166.50M,,0.0425,0.00,0.0425,0.0425,,0.0425,0.00,0.0425,0.0425,,142.78M,142.78M,,,,
1986-03,166.50M,166.50M,,,,,,,,,,,,,166.50M,,,,,,,,7.20M,,,7.20M,,166.50M,,166.50M,,0.0475,0.00,0.0475,0.0475,,0.0475,0.00,0.0475,0.0475,,129.19M,129.19M,,,,
1985-12,219.90M,219.90M,,,,,,,,,,,,,-218.00M,,,,,,,,5.60M,,,5.60M,,-218.00M,,-218.00M,,,,,,,,,,,,142.70M,142.70M,,,,
1985-09,92.60M,92.60M,,,,,,,,,,,,,92.60M,,,,,,,,5.20M,,,5.20M,,92.60M,,92.60M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,128.22M,128.22M,,,,
1985-06,95.60M,95.60M,,,,,,,,,,,,,95.60M,,,,,,,,5.30M,,,5.30M,,95.60M,,95.60M,,0.0425,0.00,0.0425,0.0425,,0.0425,0.00,0.0425,0.0425,,110.54M,110.54M,,,,
1985-03,73.00M,73.00M,,,,,,,,,,,,,73.00M,,,,,,,,5.60M,,,5.60M,,73.00M,,73.00M,,0.0475,0.00,0.0475,0.0475,,0.0475,0.00,0.0475,0.0475,,110.56M,110.56M,,,,
1984-12,89.60M,89.60M,,,,,,,,,,,,,-200.20M,,,,,,,,3.80M,,,3.80M,,-200.20M,,-200.20M,,,,,,,,,,,,110.54M,110.54M,,,,
1984-09,86.10M,86.10M,,,,,,,,,,,,,86.10M,,,,,,,,3.60M,,,3.60M,,86.10M,,86.10M,,0.0325,0.00,0.0325,0.0325,,0.0325,0.00,0.0325,0.0325,,110.48M,110.48M,,,,
1984-06,88.80M,88.80M,,,,,,,,,,,,,88.80M,,,,,,,,3.60M,,,3.60M,,88.80M,,88.80M,,0.0325,0.00,0.0325,0.0325,,0.0325,0.00,0.0325,0.0325,,110.41M,110.41M,,,,
1984-03,84.90M,84.90M,,,,,,,,,,,,,84.90M,,,,,,,,4.00M,,,4.00M,,84.90M,,84.90M,,0.035,0.00,0.035,0.035,,0.035,0.00,0.035,0.035,,110.35M,110.35M,,,,
