,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-01,605.35M,605.35M,259.89M,345.46M,79.24M,119.95M,,0.677M,-2.212M,,,,,199.87M,145.60M,,,,-2.212M,,149.79M,32.96M,116.84M,,,,116.84M,118.56M,183.84M,38.24M,145.60M,,0.31,0.00,,0.3146,0.31,,0.30,0.00,,0.3044,0.30,,372.05M,392.90M,0.04,,,
2003-10,557.52M,557.52M,246.60M,310.91M,75.01M,114.42M,,0.66M,-9.554M,,,,,189.75M,121.16M,,,,-9.554M,,112.28M,24.25M,88.03M,,,,88.03M,95.52M,161.14M,39.98M,121.16M,,0.24,0.00,,0.2603,0.24,,0.23,0.00,,0.2493,0.23,,368.51M,387.38M,,,,
2003-07,520.44M,520.44M,233.85M,286.60M,72.18M,113.67M,,0.656M,-1.103M,,,,0.341M,186.85M,99.75M,,,,-1.103M,,101.23M,22.27M,78.96M,,,,78.96M,79.82M,142.70M,42.95M,99.75M,,0.22,0.00,,0.2224,0.22,,0.21,0.00,,0.2122,0.21,,366.02M,384.17M,,,,
2003-04,501.88M,501.88M,228.42M,273.46M,71.51M,112.83M,,0.656M,0.403M,,,,,184.99M,88.47M,,,,0.403M,,91.42M,20.11M,71.31M,,,,71.31M,70.99M,131.62M,43.16M,88.47M,,0.20,0.00,,0.1991,0.20,,0.19,0.00,,0.1892,0.19,,364.27M,379.16M,,,,
2003-01,467.42M,467.42M,214.29M,253.14M,69.32M,109.31M,,0.652M,-0.118M,,,,,179.28M,73.86M,,,,-0.118M,,76.91M,16.92M,59.99M,,,,59.99M,60.08M,116.05M,42.19M,73.86M,,0.17,0.00,,0.1703,0.17,,0.16,0.00,,0.1602,0.16,,363.14M,378.20M,,,,
2002-10,455.72M,455.72M,213.08M,242.63M,69.20M,109.30M,,14.21M,-7.888M,,,,8.405M,201.12M,41.52M,,,,-7.888M,,46.36M,11.59M,34.77M,,,,34.77M,40.69M,104.26M,62.74M,41.52M,,0.10,0.00,,0.1163,0.10,,0.10,0.00,,0.1157,0.10,,364.02M,377.28M,,,,
2002-07,445.45M,445.45M,208.18M,237.27M,67.14M,107.04M,,14.33M,-12.82M,,,,12.84M,201.34M,35.92M,,,,-12.82M,,39.66M,8.249M,31.41M,,,,31.41M,41.57M,95.60M,59.67M,35.92M,,0.09,0.00,,0.1178,0.09,,0.08,0.00,,0.1067,0.08,,365.06M,380.77M,,,,
2002-04,413.37M,413.37M,192.54M,220.83M,62.35M,102.82M,,14.23M,-27.20M,,,,27.25M,206.66M,14.17M,,,,-27.20M,,20.04M,5.61M,14.43M,,,,14.43M,34.01M,73.12M,58.95M,14.17M,,0.04,0.00,,0.0937,0.04,,0.04,0.00,,0.0911,0.04,,364.54M,383.46M,,,,
2002-01,392.97M,392.97M,189.18M,203.80M,58.36M,104.71M,,14.10M,1.091M,,,,,177.17M,26.62M,,,,1.091M,,34.29M,9.602M,24.69M,,,,24.69M,23.90M,83.26M,56.63M,26.62M,,0.07,0.00,,0.0678,0.07,,0.06,0.00,,0.0580,0.06,,363.15M,383.47M,,,,
2001-10,423.31M,423.31M,203.43M,219.88M,57.45M,106.05M,,14.49M,-20.97M,,,,20.85M,198.84M,21.04M,,,,-20.97M,,32.71M,8.506M,24.20M,,,,24.20M,39.71M,76.56M,55.51M,21.04M,,0.07,0.00,,0.1130,0.07,,0.06,0.00,,0.1006,0.06,,361.11M,381.78M,,,,
2001-07,479.89M,479.89M,226.01M,253.88M,66.58M,112.10M,,14.01M,-25.94M,,,,26.16M,218.85M,35.03M,,,,-25.94M,,49.68M,10.38M,39.30M,,,,39.30M,59.83M,88.52M,53.48M,35.03M,,0.11,0.00,,0.1671,0.11,,0.10,0.00,,0.1537,0.10,,359.54M,381.90M,,,,
2001-04,601.44M,601.44M,206.43M,395.02M,77.56M,124.82M,52.21M,14.00M,1.173M,,,,-52.21M,216.38M,178.64M,,,,1.173M,,147.17M,44.68M,102.50M,,,,102.50M,101.68M,244.84M,52.21M,178.64M,,0.29,0.00,,0.2877,0.29,,0.27,0.00,,0.2679,0.27,,358.74M,380.78M,,,,
2001-01,772.27M,772.27M,320.02M,452.25M,85.55M,121.71M,,10.31M,18.62M,,,,,217.57M,234.68M,,,,18.62M,,277.68M,87.30M,190.38M,,,,190.38M,177.61M,283.97M,49.28M,234.68M,,0.53,0.00,,0.4943,0.53,,0.50,0.00,,0.4667,0.50,,357.07M,383.39M,,,,
2000-10,805.62M,805.62M,333.73M,471.89M,80.57M,123.42M,,,-1.732M,,,,,203.99M,267.90M,,,,-1.732M,,285.34M,85.47M,199.87M,,,,199.87M,201.09M,314.12M,46.23M,267.90M,,0.56,0.00,,0.5634,0.56,,0.52,0.00,,0.5232,0.52,,356.38M,384.31M,,,,
2000-07,700.66M,700.66M,300.52M,400.14M,77.20M,103.43M,,,44.02M,,,,,180.63M,219.51M,,,,44.02M,,278.94M,86.74M,192.20M,,,,192.20M,161.87M,256.64M,37.13M,219.51M,,0.54,0.00,,0.4546,0.54,,0.50,0.00,,0.4209,0.50,,355.02M,383.54M,,,,
2000-04,581.00M,581.00M,257.18M,323.81M,71.07M,90.70M,,,12.32M,,,,,161.78M,162.04M,,,,12.32M,,174.36M,52.31M,122.05M,,,,122.05M,113.43M,199.45M,37.42M,162.04M,,0.35,0.00,,0.3255,0.35,,0.32,0.00,,0.2974,0.32,,352.71M,382.32M,,,,
2000-01,490.30M,490.30M,225.10M,265.20M,64.50M,83.00M,,,9.40M,,,,,147.50M,117.70M,,,,9.40M,,127.10M,34.10M,93.00M,,,,93.00M,86.12M,153.60M,35.90M,117.70M,,0.27,0.00,,0.2503,0.27,,0.25,0.00,,0.2316,0.25,,349.35M,374.46M,,,,
1999-10,431.10M,431.10M,170.10M,261.00M,59.70M,75.40M,,,-9.90M,,,,,170.90M,90.10M,,,,-9.90M,,97.60M,24.40M,73.20M,,,,73.20M,80.62M,125.90M,35.80M,90.10M,,0.21,0.00,,0.2307,0.21,,0.20,0.00,,0.2207,0.20,,358.66M,358.66M,,,,
1999-07,378.80M,378.80M,154.60M,224.20M,54.60M,67.10M,,,5.30M,,,,,157.60M,66.60M,,,,5.30M,,71.80M,17.20M,54.60M,,,,54.60M,50.57M,102.50M,35.90M,66.60M,,0.16,0.00,,0.1483,0.16,,0.15,0.00,,0.1390,0.15,,345.42M,366.96M,,,,
1999-04,340.07M,340.07M,140.70M,199.37M,49.20M,61.90M,,,1.40M,,,,,146.80M,52.57M,,,,1.40M,,50.70M,11.60M,39.10M,,,,39.10M,38.02M,88.27M,35.70M,52.57M,,0.12,0.00,,0.1168,0.12,,0.11,0.00,,0.1070,0.11,,334.02M,361.40M,,,,
1999-01,300.50M,300.50M,127.60M,172.90M,46.20M,52.60M,,,-1.50M,,,,,134.00M,38.90M,,,,-1.50M,,37.40M,7.50M,29.90M,,,,29.90M,31.10M,74.10M,35.20M,38.90M,,0.10,0.00,,0.1040,0.10,,0.09,0.00,,0.0936,0.09,,299.00M,332.22M,,,,
1998-10,297.70M,297.70M,130.70M,167.00M,46.60M,53.10M,,,19.00M,,,,,134.00M,33.00M,,,,19.00M,,31.00M,4.70M,26.30M,,0.00,,26.30M,10.18M,67.30M,34.30M,33.00M,,0.08,0.12,0.00,0.0267,0.20,,0.075,0.12,-0.0024,0.0378,0.185,,302.59M,433.00M,,,,
1998-07,295.70M,295.70M,129.50M,166.20M,48.20M,55.10M,,,-19.80M,,,,,135.60M,30.60M,,,,-19.80M,,10.80M,1.70M,9.10M,,,,9.10M,25.78M,62.90M,32.30M,30.60M,,0.03,0.00,,0.085,0.03,,0.03,0.00,,0.085,0.03,,303.33M,303.33M,,,,
1998-04,319.40M,319.40M,129.70M,189.70M,57.00M,56.20M,,,11.60M,,,,,144.50M,45.20M,,,,11.60M,,56.70M,12.90M,43.80M,,,,43.80M,34.84M,76.50M,31.30M,45.20M,,0.14,0.00,,0.1114,0.14,,0.13,0.00,,0.1034,0.13,,312.86M,336.92M,,,,
1998-01,317.80M,317.80M,124.60M,193.20M,55.60M,55.00M,,,-0.80M,,,,,140.30M,52.90M,,,,-0.80M,,52.10M,11.80M,40.30M,,-37.10M,,3.20M,40.92M,82.60M,29.70M,52.90M,,0.13,-0.12,0.00,0.1319,0.01,,0.12,-0.12,-0.1159,0.1219,0.01,,320.00M,320.00M,,,,
1997-10,332.50M,332.50M,164.30M,168.20M,50.70M,52.70M,,,-0.40M,,,,,103.50M,64.70M,,,,-0.40M,,66.20M,15.30M,50.90M,,,,50.90M,51.21M,92.70M,28.00M,64.70M,,0.20,0.00,,0.2010,0.20,,0.1572,,,0.1581,0.1572,,309.42M,323.81M,,,,
1997-07,318.10M,318.10M,158.80M,159.30M,48.90M,49.90M,,,-0.40M,,,,,98.80M,60.50M,,,,-0.40M,,61.30M,15.30M,46.00M,,,,46.00M,46.30M,87.50M,27.00M,60.50M,,0.14,0.00,,0.1408,0.14,,0.13,0.00,,0.1308,0.13,,355.55M,355.55M,,,,
1997-04,300.80M,300.80M,150.50M,150.30M,46.90M,47.80M,,,-0.50M,,,,,94.70M,55.60M,,,,-0.50M,,56.20M,14.10M,42.10M,,,,42.10M,42.47M,80.40M,24.80M,55.60M,,0.13,0.00,,0.1311,0.13,,0.12,0.00,,0.1211,0.12,,353.44M,353.44M,,,,
1997-01,292.10M,292.10M,148.60M,143.50M,45.10M,45.70M,,,,,,,,90.80M,52.70M,,,,,,52.20M,13.00M,39.20M,,,,39.20M,39.20M,76.50M,23.80M,52.70M,,0.11,0.00,,0.11,0.11,,0.10,0.00,,0.10,0.10,,469.20M,469.20M,,,,
1996-10,304.70M,304.70M,127.70M,177.00M,226.20M,,,,3.50M,,,,,119.30M,57.70M,,,,3.50M,,57.90M,13.90M,44.00M,,,,44.00M,41.34M,82.10M,24.40M,57.70M,,0.13,0.00,,0.1221,0.13,,0.13,0.00,,0.1221,0.13,,338.46M,338.46M,,,,
1996-07,305.00M,305.00M,130.00M,175.00M,48.60M,45.60M,,,3.90M,,,,,116.50M,58.50M,,,,3.90M,,59.20M,15.40M,43.80M,,,,43.80M,40.91M,80.80M,22.30M,58.50M,,0.13,0.00,,0.1214,0.13,,0.13,0.00,,0.1214,0.13,,336.92M,336.92M,,,,
1996-04,303.30M,303.30M,130.60M,172.70M,50.00M,44.80M,,,4.40M,,,,,114.60M,58.10M,,,,4.40M,,59.50M,15.50M,44.00M,,,,44.00M,40.75M,77.90M,19.80M,58.10M,,0.13,0.00,,0.1204,0.13,,0.13,0.00,,0.1204,0.13,,338.46M,338.46M,,,,
1996-01,280.80M,280.80M,138.20M,142.60M,48.80M,40.90M,,,-0.80M,,,,,89.70M,52.90M,,,,-0.80M,,54.20M,14.10M,40.10M,,,,40.10M,40.69M,70.20M,17.30M,52.90M,,0.13,0.00,,0.1312,0.13,,0.13,0.00,,0.1312,0.13,,496.49M,496.49M,,,,
1995-10,257.10M,257.10M,126.60M,130.50M,48.30M,35.70M,,,-0.20M,,,,-0.325M,83.68M,46.82M,,,,-0.20M,,47.60M,12.50M,35.20M,,,,35.20M,35.35M,63.82M,17.00M,46.82M,,0.0778,,,0.0782,0.0778,,0.0778,,,0.0782,0.0778,,458.60M,458.60M,,,,
1995-07,246.30M,246.30M,121.20M,125.10M,47.40M,35.00M,,,-0.60M,,,,,82.40M,42.70M,,,,-0.60M,,42.90M,11.10M,31.80M,,,,31.80M,32.24M,59.10M,16.40M,42.70M,,0.10,0.00,,0.1021,0.10,,0.10,0.00,,0.1021,0.10,,212.94M,212.94M,,,,
1995-04,230.00M,230.00M,113.70M,116.30M,45.60M,33.30M,,,-0.70M,,,,,78.90M,37.40M,,,,-0.70M,,37.80M,9.10M,28.70M,,,,28.70M,29.23M,53.10M,15.70M,37.40M,,0.09,0.00,,0.0911,0.09,,0.09,0.00,,0.0911,0.09,,473.00M,473.00M,,,,
1995-01,208.00M,208.00M,103.10M,104.90M,43.70M,30.30M,,,-0.70M,,,,,74.00M,30.90M,,,,-0.70M,,31.10M,7.50M,23.60M,,,,23.60M,24.13M,45.90M,15.00M,30.90M,,0.08,0.00,,0.0811,0.08,,0.08,0.00,,0.0811,0.08,,470.12M,470.12M,,,,
1994-10,203.30M,203.30M,101.40M,101.90M,43.80M,29.10M,,,-4.00M,,,,,72.80M,29.10M,,,,-4.00M,,28.50M,6.80M,21.70M,,,,21.70M,24.75M,44.30M,15.20M,29.10M,,0.0721,,,0.0822,0.0721,,0.0721,,,0.0822,0.0721,,300.86M,300.86M,,,,
1994-07,197.00M,197.00M,99.90M,97.10M,43.30M,27.20M,,,0.90M,,,,0.10M,70.60M,26.50M,,,,0.90M,,25.70M,6.00M,19.70M,,,,19.70M,19.01M,42.00M,15.50M,26.50M,,0.07,0.00,,0.0650,0.07,,0.07,0.00,,0.0650,0.07,,137.75M,137.75M,,,,
1994-04,192.00M,192.00M,98.50M,93.50M,42.20M,26.40M,,,0.10M,,,,-0.10M,68.50M,25.00M,,,,0.10M,,23.20M,5.30M,17.90M,,,,17.90M,17.82M,40.30M,15.30M,25.00M,,0.06,0.00,,0.0597,0.06,,0.06,0.00,,0.0597,0.06,,307.98M,307.98M,,,,
1994-01,181.10M,181.10M,94.60M,86.50M,41.00M,24.20M,,,,,,,0.10M,65.30M,21.20M,,,,,,19.40M,4.20M,15.30M,,,,15.30M,15.30M,36.50M,15.30M,21.20M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,305.51M,305.51M,,,,
1993-10,179.00M,179.00M,78.30M,100.70M,66.00M,,,,,,,,,81.90M,18.80M,,,,,,17.20M,3.10M,14.10M,,,,14.10M,14.10M,34.70M,15.90M,18.80M,,0.05,0.00,,0.05,0.05,,0.05,0.00,,0.05,0.05,,274.67M,274.67M,,,,
1993-07,173.10M,173.10M,76.60M,96.50M,64.50M,,,,,,,,,79.30M,17.20M,,,,,,15.30M,3.10M,12.20M,,,,12.20M,12.20M,32.00M,14.80M,17.20M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,305.00M,305.00M,,,,
1993-04,162.90M,162.90M,71.40M,91.50M,61.80M,,,,,,,,,76.70M,14.80M,,,,,,13.10M,2.90M,10.20M,,,,10.20M,10.20M,29.70M,14.90M,14.80M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,255.00M,255.00M,,,,
1993-01,151.30M,151.30M,64.70M,86.60M,60.40M,,,,-1.70M,,,,,74.60M,12.00M,,,,-1.70M,,10.10M,2.00M,8.10M,,,,8.10M,9.463M,26.20M,14.20M,12.00M,,0.03,0.00,,0.0350,0.03,,0.03,0.00,,0.0350,0.03,,270.00M,270.00M,,,,
1992-10,148.80M,148.80M,63.30M,85.50M,61.10M,,,,-0.30M,,,,,75.30M,10.20M,,,,-0.30M,,8.40M,1.40M,7.00M,,,,7.00M,7.25M,24.40M,14.20M,10.20M,,0.03,0.00,,0.0312,0.03,,0.03,0.00,,0.0312,0.03,,203.33M,203.33M,,,,
1992-07,144.30M,144.30M,61.60M,82.70M,60.40M,,,,-0.20M,,,,,74.40M,8.30M,,,,-0.20M,,6.70M,1.70M,5.00M,,,,5.00M,5.149M,22.30M,14.00M,8.30M,,0.02,0.00,,0.0206,0.02,,0.02,0.00,,0.0206,0.02,,250.00M,250.00M,,,,
1992-04,142.90M,142.90M,62.30M,80.60M,60.00M,,,,-0.40M,,,,,73.50M,7.10M,,,,-0.40M,,5.20M,1.30M,3.90M,,,,3.90M,4.20M,20.60M,13.50M,7.10M,,0.01,0.00,,0.0111,0.01,,0.01,0.00,,0.0111,0.01,,284.55M,284.55M,,,,
1992-01,131.30M,131.30M,59.50M,71.80M,58.00M,,,,-0.30M,,,,,71.30M,0.50M,,,,-0.30M,,-1.30M,-0.30M,-1.00M,,,,-1.00M,-0.7692M,13.80M,13.30M,0.50M,,-0.01,0.00,,-0.0092,-0.01,,-0.01,0.00,,-0.0092,-0.01,,283.17M,283.17M,,,,
1991-10,132.20M,132.20M,54.60M,77.60M,66.40M,,,,-0.30M,,,,,79.90M,-2.30M,,,,-0.30M,,-4.50M,-1.80M,-2.70M,,,,-2.70M,-2.52M,11.20M,13.50M,-2.30M,,-0.01,0.00,,-0.0093,-0.01,,-0.01,0.00,,-0.0093,-0.01,,275.83M,275.83M,,,,
1991-07,130.30M,130.30M,53.70M,76.60M,60.80M,,,,-1.10M,,,,,74.10M,2.50M,,,,-1.10M,,,,0.60M,,,,0.60M,1.26M,15.80M,13.30M,2.50M,,0.01,0.00,,0.0126,0.01,,0.01,0.00,,0.0126,0.01,,257.50M,257.50M,,,,
1991-04,142.10M,142.10M,57.90M,84.20M,60.70M,,,,-1.20M,,,,,73.50M,10.70M,,,,-1.20M,,8.30M,1.70M,6.60M,,,,6.60M,7.554M,23.60M,12.90M,10.70M,,0.03,0.00,,0.0343,0.03,,0.03,0.00,,0.0343,0.03,,220.00M,220.00M,,,,
1991-01,133.10M,133.10M,53.50M,79.60M,59.90M,,,,-0.60M,,,,,72.90M,6.70M,,,,-0.60M,,4.90M,1.20M,3.70M,,,,3.70M,4.153M,19.70M,13.00M,6.70M,,0.01,0.00,,0.0116,0.01,,0.01,0.00,,0.0116,0.01,,280.06M,280.06M,,,,
1990-10,138.50M,138.50M,59.20M,79.30M,79.90M,,,,-10.40M,,,,,94.10M,-14.80M,,,,-10.40M,,-28.40M,-4.80M,-23.60M,,,,-23.60M,-14.96M,-0.60M,14.20M,-14.80M,,-0.09,0.00,,-0.0523,-0.09,,-0.09,0.00,,-0.0523,-0.09,,229.50M,229.50M,,,,
1990-07,120.70M,120.70M,47.90M,72.80M,54.40M,,,,-0.50M,,,,,65.50M,7.30M,,,,-0.50M,,6.80M,1.60M,5.20M,,,,5.20M,5.582M,18.40M,11.10M,7.30M,,0.02,0.00,,0.0215,0.02,,0.02,0.00,,0.0215,0.02,,260.00M,260.00M,,,,
1990-04,116.40M,116.40M,46.40M,70.00M,52.40M,,,,-0.80M,,,,,63.10M,6.90M,,,,-0.80M,,6.10M,1.40M,4.70M,,,,4.70M,5.316M,17.60M,10.70M,6.90M,,0.02,0.00,,0.0226,0.02,,0.02,0.00,,0.0226,0.02,,235.00M,235.00M,,,,
1990-01,109.70M,109.70M,44.00M,65.70M,48.00M,,,,-4.90M,,,,,58.80M,6.90M,,,,-4.90M,,2.00M,1.20M,0.80M,,,,0.80M,3.74M,17.70M,10.80M,6.90M,,0.01,0.00,,0.0203,0.01,,0.01,0.00,,0.0203,0.01,,284.27M,284.27M,,,,
1989-10,110.90M,110.90M,44.50M,66.40M,48.90M,,,,-4.10M,,,,,59.80M,6.60M,,,,-4.10M,,0.60M,0.10M,0.50M,,,,0.50M,3.917M,17.50M,10.90M,6.60M,,0.00,0.00,,0.0116,0.00,,0.00,0.00,,0.0116,0.00,,294.00M,294.00M,,,,
1989-07,113.30M,113.30M,43.60M,69.70M,48.30M,,,,-1.10M,,,,,59.00M,10.70M,,,,-1.10M,,9.60M,1.90M,7.70M,,,,7.70M,8.582M,21.50M,10.80M,10.70M,,0.03,0.00,,0.0334,0.03,,0.03,0.00,,0.0334,0.03,,256.67M,256.67M,,,,
1989-04,115.00M,115.00M,41.80M,73.20M,49.90M,,,,-0.20M,,,,,59.80M,13.40M,,,,-0.20M,,13.20M,3.00M,10.20M,,,,10.20M,10.35M,23.30M,9.90M,13.40M,,0.04,0.00,,0.0406,0.04,,0.04,0.00,,0.0406,0.04,,255.00M,255.00M,,,,
1989-01,114.10M,114.10M,,,,,,,,,,,,,114.10M,,,,,,,,9.50M,,,,9.50M,,114.10M,,114.10M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,274.41M,274.41M,,,,
1988-10,115.10M,115.10M,,,,,,,,,,,,,-268.70M,,,,,,,,11.20M,,,,11.20M,,-268.70M,,-268.70M,,,,,,,,,,,,,,277.56M,277.56M,,,,
1988-07,113.30M,113.30M,,,,,,,,,,,,,113.30M,,,,,,,,10.90M,,,,10.90M,,113.30M,,113.30M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,269.69M,269.69M,,,,
1988-04,109.60M,109.60M,,,,,,,,,,,,,109.60M,,,,,,,,9.50M,,,,9.50M,,109.60M,,109.60M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,269.69M,269.69M,,,,
1988-01,101.20M,101.20M,,,,,,,,,,,,,101.20M,,,,,,,,6.40M,,,,6.40M,,101.20M,,101.20M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,263.25M,263.25M,,,,
1987-10,99.80M,99.80M,,,,,,,,,,,,,-236.20M,,,,,,,,6.10M,,,,6.10M,,-236.20M,,-236.20M,,,,,,,,,,,,,,268.56M,268.56M,,,,
1987-07,95.90M,95.90M,,,,,,,,,,,,,95.90M,,,,,,,,5.00M,,,,5.00M,,95.90M,,95.90M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,263.25M,263.25M,,,,
1987-04,93.70M,93.70M,,,,,,,,,,,,,93.70M,,,,,,,,4.70M,,,,4.70M,,93.70M,,93.70M,,0.02,0.00,,0.02,0.02,,0.02,0.00,,0.02,0.02,,263.25M,263.25M,,,,
1987-01,81.00M,81.00M,,,,,,,,,,,,,81.00M,,,,,,,,2.80M,,,,2.80M,,81.00M,,81.00M,,0.01,0.00,,0.01,0.01,,0.01,0.00,,0.01,0.01,,263.25M,263.25M,,,,
1986-10,85.20M,85.20M,,,,,,,,,,,,,-208.80M,,,,,,,,5.10M,,,,5.10M,,-208.80M,,-208.80M,,,,,,,,,,,,,,263.25M,263.25M,,,,
1986-07,87.00M,87.00M,,,,,,,,,,,,,87.00M,,,,,,,,6.40M,,,,6.40M,,87.00M,,87.00M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,255.41M,255.41M,,,,
1986-04,83.00M,83.00M,,,,,,,,,,,,,83.00M,,,,,,,,6.00M,,,,6.00M,,83.00M,,83.00M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,255.41M,255.41M,,,,
1986-01,79.30M,79.30M,,,,,,,,,,,,,79.30M,,,,,,,,6.00M,,,,6.00M,,79.30M,,79.30M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,256.04M,256.04M,,,,
1985-10,78.70M,78.70M,,,,,,,,,,,,,-197.10M,,,,,,,,5.70M,,,,5.70M,,-197.10M,,-197.10M,,,,,,,,,,,,,,256.04M,256.04M,,,,
1985-07,78.90M,78.90M,,,,,,,,,,,,,78.90M,,,,,,,,6.10M,,,,6.10M,,78.90M,,78.90M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,252.73M,252.73M,,,,
1985-04,82.70M,82.70M,,,,,,,,,,,,,82.70M,,,,,,,,8.60M,,,,8.60M,,82.70M,,82.70M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,252.73M,252.73M,,,,
1985-01,82.00M,82.00M,,,,,,,,,,,,,82.00M,,,,,,,,9.30M,,,,9.30M,,82.00M,,82.00M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,251.31M,251.31M,,,,
1984-10,84.50M,84.50M,,,,,,,,,,,,,-171.90M,,,,,,,,10.30M,,,,10.30M,,-171.90M,,-171.90M,,,,,,,,,,,,,,252.16M,252.16M,,,,
1984-07,81.80M,81.80M,,,,,,,,,,,,,81.80M,,,,,,,,10.20M,,,,10.20M,,81.80M,,81.80M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,250.23M,250.23M,,,,
1984-04,77.60M,77.60M,,,,,,,,,,,,,77.60M,,,,,,,,9.30M,,,,9.30M,,77.60M,,77.60M,,0.04,0.00,,0.04,0.04,,0.04,0.00,,0.04,0.04,,250.79M,250.79M,,,,
1984-01,69.50M,69.50M,,,,,,,,,,,,,69.50M,,,,,,,,7.70M,,,,7.70M,,69.50M,,69.50M,,0.03,0.00,,0.03,0.03,,0.03,0.00,,0.03,0.03,,201.52M,201.52M,,,,
