,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-04,,595.63M,3.577B,4.172B,333.92M,,333.92M,21.40M,191.41M,86.16M,,298.97M,59.98M,98.20M,,4.963B,0.00,454.22M,,1.755B,,48.76M,2.258B,-1.768B,490.05M,282.92M,28.66M,311.59M,3.816M,35.23M,37.14M,877.82M,5.841B,,118.26M,12.49M,130.75M,134.21M,264.96M,,,,,244.20M,244.20M,,509.16M,757.86M,,757.86M,4.498M,19.36M,,,94.07M,871.28M,1.380B,,51.36M,3.889B,586.79M,,,,-67.03M,4.461B,,AOR,Restated
2013-01,,795.80M,3.191B,3.987B,329.58M,,329.58M,26.79M,184.59M,95.88M,,307.26M,106.10M,84.02M,,4.814B,0.00,452.11M,,1.743B,,48.72M,2.244B,-1.753B,491.43M,284.37M,28.72M,313.08M,3.816M,56.46M,38.08M,902.87M,5.717B,,113.88M,28.20M,142.08M,123.06M,265.14M,,,,,243.40M,243.40M,,508.54M,759.67M,,759.67M,1.129M,30.03M,,,94.77M,884.48M,1.393B,,51.00M,3.829B,507.08M,,,,-63.70M,4.324B,,AOR,Restated
2012-10,35.41M,528.83M,3.372B,3.900B,339.88M,,339.88M,28.11M,185.77M,99.84M,,313.72M,51.87M,90.34M,,4.696B,0.00,447.82M,,1.732B,,48.63M,2.228B,-1.727B,500.87M,283.83M,28.77M,312.60M,1.816M,71.96M,36.92M,924.16M,5.620B,,117.03M,6.097M,123.13M,66.88M,190.01M,,,14.50M,14.50M,238.54M,238.54M,,525.08M,807.10M,,807.10M,1.13M,29.56M,,,93.26M,929.91M,1.455B,,50.23M,3.789B,390.65M,,,,-64.39M,4.165B,,AOR,Restated
2012-07,,462.15M,3.303B,3.765B,345.80M,,345.80M,26.89M,184.33M,100.86M,,312.08M,54.45M,83.92M,,4.561B,0.00,442.87M,,1.721B,,47.93M,2.211B,-1.721B,490.58M,279.36M,28.83M,308.19M,1.816M,59.28M,35.47M,895.34M,5.457B,,113.39M,6.249M,119.64M,127.73M,247.37M,,,14.50M,14.50M,246.67M,246.67M,,508.54M,842.54M,,842.54M,1.524M,1.524M,27.80M,,47.61M,919.47M,1.428B,,49.82M,3.701B,312.49M,,,,-34.75M,4.029B,,AOR,Restated
2012-04,,695.07M,3.058B,3.753B,330.28M,,330.28M,25.78M,177.81M,100.16M,,303.74M,55.98M,79.90M,,4.523B,0.00,438.87M,,1.698B,,48.23M,2.185B,-1.706B,478.96M,280.21M,28.88M,309.09M,1.816M,63.76M,36.34M,889.96M,5.412B,,125.75M,24.99M,150.74M,149.19M,299.92M,,,14.50M,14.50M,244.15M,244.15M,,558.57M,847.98M,,847.98M,1.547M,29.94M,,,50.85M,928.78M,1.487B,,49.72M,3.621B,287.84M,,,,-33.22M,3.925B,,AOR,Restated
2012-01,,1.097B,2.570B,3.667B,302.00M,,302.00M,27.37M,176.81M,92.98M,,297.16M,61.02M,67.59M,,4.395B,0.00,435.06M,,1.677B,,48.35M,2.160B,-1.684B,475.69M,274.14M,12.20M,286.34M,3.23M,60.83M,56.58M,882.67M,5.278B,,111.75M,19.79M,131.54M,124.75M,256.29M,,,14.50M,14.50M,227.26M,227.26M,,498.06M,855.66M,,855.66M,1.713M,29.44M,,,52.24M,937.34M,1.435B,,49.64M,3.547B,276.91M,,,,-31.42M,3.842B,,AOR,Restated
2011-10,,1.405B,2.187B,3.592B,348.42M,1.465M,348.42M,28.08M,170.40M,96.60M,,295.08M,68.22M,82.17M,,4.386B,0.00,430.45M,,1.658B,,48.34M,2.137B,-1.658B,478.84M,275.09M,12.20M,287.29M,2.951M,64.06M,58.16M,891.29M,5.278B,,113.06M,6.584M,119.64M,95.79M,215.43M,,,14.50M,14.50M,,233.25M,61.82M,525.00M,871.88M,,871.88M,1.26M,27.69M,,,57.65M,957.22M,1.482B,,49.66M,3.482B,289.59M,,,,-26.17M,3.795B,,AOR,Restated
2011-07,,1.358B,2.157B,3.515B,375.01M,,375.01M,29.64M,173.66M,96.03M,,299.33M,66.58M,83.67M,,4.339B,0.00,418.82M,,1.658B,,48.86M,2.126B,-1.644B,481.60M,280.87M,12.48M,293.34M,3.319M,73.87M,60.12M,912.25M,5.251B,,106.01M,17.24M,123.24M,141.01M,264.26M,,,14.50M,14.50M,277.53M,277.53M,,556.29M,875.77M,,875.77M,1.223M,28.17M,,,75.44M,979.38M,1.536B,,49.91M,3.374B,321.84M,,,,-29.66M,3.716B,,AOR,Restated
2011-04,,1.895B,1.537B,3.431B,414.58M,,414.58M,27.24M,170.26M,96.28M,,293.78M,74.13M,78.88M,,4.293B,0.00,410.30M,,1.642B,,48.62M,2.100B,-1.627B,473.66M,260.64M,0.644M,261.28M,3.561M,72.84M,56.32M,867.66M,5.160B,,121.45M,1.999M,123.45M,180.68M,304.13M,,,14.50M,14.50M,269.53M,269.53M,,588.16M,892.43M,,892.43M,1.531M,27.46M,,,70.35M,990.24M,1.578B,,49.94M,3.229B,330.08M,,,,-26.71M,3.582B,,AOR,Restated
2011-01,,1.570B,1.391B,2.961B,384.28M,,384.28M,25.42M,170.95M,86.61M,,282.98M,39.38M,69.28M,,3.737B,0.00,404.16M,,1.655B,,64.22M,2.123B,-1.655B,468.54M,256.24M,0.921M,257.16M,3.283M,79.42M,51.47M,859.88M,4.597B,,125.88M,73.30M,199.18M,141.56M,340.74M,,,14.50M,14.50M,253.25M,253.25M,,608.49M,523.05M,,523.05M,1.597M,26.45M,,,74.49M,623.99M,1.232B,,49.94M,3.053B,297.13M,,,,-35.50M,3.364B,,AOR,Restated
2010-10,,1.07B,1.618B,2.688B,387.17M,,387.17M,22.01M,171.39M,84.08M,,277.48M,51.87M,74.71M,,3.479B,0.00,401.28M,,1.635B,,65.33M,2.102B,-1.629B,472.66M,255.58M,1.343M,256.92M,1.317M,61.46M,57.47M,849.83M,4.329B,,133.11M,60.42M,193.53M,207.09M,400.62M,,,,,242.85M,242.85M,,643.47M,400.64M,,400.64M,1.80M,10.49M,,,74.52M,485.65M,1.129B,,49.78M,2.897B,286.97M,,,,-33.60M,3.200B,,AOR,Restated
