,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-03,121.00M,121.00M,75.89M,45.10M,,,9.673M,24.00M,,-0.385M,,,,33.68M,11.42M,,,,-0.385M,,10.43M,4.10M,6.328M,,6.328M,11.72M,11.42M,,2001-03,0.0225,,0.0233,0.0225,,2001-03,,,0.0220,2001-03,278.36M,294.12M,,,2001-03,,
2000-12,93.07M,93.07M,65.12M,27.95M,,,16.97M,21.78M,,-5.278M,,,,49.22M,-21.27M,,,,-5.278M,,-27.50M,-9.645M,-17.85M,,-17.85M,10.47M,-21.27M,,2000-12,-0.0688,,-0.0565,-0.0688,,2000-12,,,-0.0585,2000-12,279.29M,297.40M,,,2000-12,,
2000-09,104.32M,104.32M,57.14M,47.19M,,,10.51M,19.06M,,188.65M,,,,39.32M,7.871M,,,,188.65M,,195.59M,72.25M,123.34M,,123.34M,9.743M,7.871M,,2000-09,0.4512,,0.0163,0.4512,,2000-09,,,0.0154,2000-09,273.50M,286.06M,,,2000-09,,
2000-06,93.50M,93.50M,52.27M,41.23M,,,6.651M,18.06M,,-6.687M,,,,33.66M,7.567M,,,,-6.687M,,0.044M,2.657M,-2.613M,,-2.613M,8.959M,7.567M,,2000-06,-0.005,,0.0024,-0.005,,2000-06,,,0.0024,2000-06,541.28M,541.28M,,,2000-06,,
2000-03,80.60M,80.60M,46.89M,33.71M,,,6.935M,19.53M,,6.506M,,,,35.28M,-1.571M,,,,6.506M,,3.986M,1.594M,2.392M,,2.392M,8.815M,-1.571M,,2000-03,0.0044,,-0.0028,0.0044,,2000-03,,,-0.0027,2000-03,540.45M,555.15M,,,2000-03,,
1999-12,89.70M,89.70M,-48.96M,138.66M,,,148.20M,18.36M,,,,,,143.46M,-4.802M,,,,,,-5.898M,-2.282M,-3.616M,,-3.611M,8.288M,-4.802M,,1999-12,-0.0134,0.0000,-0.0134,-0.0134,,1999-12,,0.0000,-0.0134,1999-12,269.85M,269.85M,,,1999-12,,
1999-09,80.90M,80.90M,45.90M,35.00M,,,7.20M,18.20M,,,,,,32.90M,2.10M,,,,,,1.20M,0.50M,0.70M,,0.70M,7.50M,2.10M,,1999-09,0.0012,,0.0012,0.0012,,1999-09,,,0.0012,1999-09,268.98M,268.98M,,,1999-09,,
1999-06,82.80M,82.80M,48.10M,34.70M,,,6.80M,18.50M,,,,,,33.30M,1.40M,,,,,,0.50M,0.20M,0.30M,,-1.10M,8.00M,1.40M,,1999-06,0.0006,-0.0052,0.0006,-0.0019,,1999-06,,-0.0052,0.0006,1999-06,268.96M,268.96M,,,1999-06,,
1999-03,86.70M,86.70M,50.10M,36.60M,,,6.70M,17.50M,,,,,,31.80M,4.80M,,,,,,4.50M,1.70M,2.80M,,2.80M,7.60M,4.80M,,1999-03,0.005,,0.005,0.005,,1999-03,,,0.005,1999-03,268.80M,268.80M,,,1999-03,,
1998-12,86.50M,86.50M,52.00M,34.50M,,,6.90M,16.00M,,8.70M,,,,29.80M,4.70M,,,,8.70M,,13.30M,5.10M,8.20M,,8.20M,6.90M,4.70M,,1998-12,0.0306,,0.0106,0.0306,,1998-12,,,0.0106,1998-12,267.78M,267.78M,,,1998-12,,
1998-09,82.80M,82.80M,43.90M,38.90M,,,6.50M,15.60M,,,,,,28.60M,10.30M,,,,,,10.10M,3.80M,6.30M,,6.30M,6.50M,10.30M,,1998-09,0.0119,,0.0119,0.0119,,1998-09,,,0.0119,1998-09,262.30M,262.30M,,,1998-09,,
1998-06,79.20M,79.20M,43.20M,36.00M,,,6.50M,14.50M,,-0.10M,,,,27.10M,8.90M,,,,-0.10M,,8.80M,3.40M,5.40M,,5.40M,6.10M,8.90M,,1998-06,0.01,,0.0102,0.01,,1998-06,,,0.0102,1998-06,262.06M,262.06M,,,1998-06,,
