,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2007-09,254.00M,,,,,-51.00M,171.00M,171.00M,,,,,-166.00M,-61.00M,-29.00M,150.00M,,,18.00M,78.00M,,,2007-09,-85.00M,7.00M,-78.00M,,-27.00M,19.00M,12.00M,,2007-09,,,-22.00M,8.00M,-212.00M,-204.00M,,,,-17.00M,,2007-09,850.00M,-31.00M,848.00M,,2007-09,,8.00M,,,,2007-09,,
2007-06,266.00M,,,,,-66.00M,162.00M,162.00M,,,,,58.00M,-7.00M,-22.00M,11.00M,,,-14.00M,-32.00M,,,2007-06,-81.00M,2.00M,-79.00M,,-1.53B,46.00M,19.00M,,2007-06,,,831.00M,19.00M,-64.00M,-45.00M,,,,-9.00M,,2007-06,1.218B,-379.00M,850.00M,,2007-06,,19.00M,,,,2007-06,,
2007-03,233.00M,,,,,-131.00M,152.00M,152.00M,,,,,53.00M,111.00M,-138.00M,-84.00M,,,-9.00M,-120.00M,,,2007-03,-81.00M,4.00M,-77.00M,,,72.00M,21.00M,,2007-03,,,-209.00M,32.00M,-225.00M,-193.00M,,,,12.00M,,2007-03,1.399B,-187.00M,1.218B,,2007-03,,32.00M,,,,2007-03,,
2006-12,214.00M,,,,,187.00M,155.00M,155.00M,,,,,-56.00M,-78.00M,237.00M,166.00M,186.00M,,-390.00M,121.00M,,,2006-12,-111.00M,64.00M,-47.00M,,-54.00M,47.00M,,,2006-12,,,-310.00M,33.00M,-380.00M,-347.00M,,,0.00,7.00M,,2006-12,1.336B,54.00M,1.399B,,2006-12,,33.00M,,,,2006-12,,
2006-09,536.00M,,,,,-378.00M,163.00M,163.00M,,,,,436.00M,117.00M,-74.00M,134.00M,-215.00M,7.00M,-196.00M,-227.00M,,,2006-09,-75.00M,15.00M,-60.00M,,-22.00M,37.00M,,,2006-09,,,335.00M,21.00M,-226.00M,-205.00M,,,-14.00M,-97.00M,,2006-09,982.00M,354.00M,1.336B,,2006-09,,21.00M,,,,2006-09,,
2006-06,260.00M,,,,,-82.00M,163.00M,163.00M,,,,,-141.00M,-21.00M,-85.00M,103.00M,29.00M,-7.00M,1.00M,20.00M,,,2006-06,-64.00M,1.00M,-63.00M,,-138.00M,63.00M,,,2006-06,,,-727.00M,6.00M,-225.00M,-219.00M,,,-15.00M,102.00M,,2006-06,1.598B,-627.00M,982.00M,,2006-06,,6.00M,,,,2006-06,,
2006-03,200.00M,,,,,-106.00M,155.00M,155.00M,,,,,,144.00M,-67.00M,-73.00M,,,-106.00M,-102.00M,,,2006-03,-44.00M,2.00M,-42.00M,,138.00M,-40.00M,,,2006-03,,,387.00M,22.00M,-238.00M,-216.00M,,,-14.00M,-95.00M,,2006-03,1.322B,265.00M,1.598B,,2006-03,,22.00M,,,,2006-03,,
2005-12,282.00M,,,,,-10.00M,157.00M,157.00M,,,,,-67.00M,-94.00M,196.00M,35.00M,92.00M,7.00M,48.00M,284.00M,,,2005-12,-16.00M,3.00M,-13.00M,,,174.00M,-241.00M,,2005-12,,,-119.00M,8.00M,,-425.00M,,,-15.00M,-9.00M,,2005-12,1.345B,-18.00M,1.322B,,2005-12,,8.00M,,,,2005-12,,
2005-09,63.00M,,,,,-72.00M,154.00M,154.00M,,,,,82.00M,89.00M,-221.00M,121.00M,-162.00M,107.00M,1.00M,-65.00M,,,2005-09,-63.00M,0.00,-63.00M,,,-193.00M,186.00M,,2005-09,,,-653.00M,8.00M,,8.00M,,,-14.00M,-1.00M,,2005-09,1.912B,-568.00M,1.345B,,2005-09,,8.00M,,,,2005-09,,
2005-06,423.00M,,,,,-170.00M,167.00M,167.00M,,,,,-55.00M,54.00M,-21.00M,158.00M,38.00M,-107.00M,-197.00M,-75.00M,,,2005-06,-69.00M,-105.00M,-174.00M,,,-74.00M,11.00M,,2005-06,,,-1.404B,10.00M,,10.00M,,,-15.00M,-1.00M,,2005-06,3.298B,-1.357B,1.912B,,2005-06,,10.00M,,,,2005-06,,
2005-03,210.00M,,,,,-81.00M,159.00M,159.00M,,,,,72.00M,171.00M,-116.00M,-1.00M,-52.00M,,-25.00M,-23.00M,,,2005-03,-33.00M,107.00M,74.00M,,,31.00M,-12.00M,,2005-03,,,-333.00M,14.00M,,14.00M,,,-14.00M,9.00M,,2005-03,3.218B,106.00M,3.298B,,2005-03,,14.00M,,,,2005-03,,
2004-12,240.00M,,,,,39.00M,175.00M,175.00M,,,,,-17.00M,-2.00M,247.00M,186.00M,-59.00M,,-148.00M,224.00M,,,2004-12,-73.00M,7.00M,-66.00M,,,,-2.00M,,2004-12,,,-1.015B,20.00M,,20.00M,,,-30.00M,14.00M,,2004-12,3.395B,-275.00M,3.218B,,2004-12,,20.00M,,,,2004-12,,
2004-09,163.00M,,,,,-226.00M,168.00M,168.00M,,,,,102.00M,202.00M,-154.00M,160.00M,-73.00M,87.00M,6.00M,228.00M,,,2004-09,-36.00M,7.00M,-29.00M,,,,11.00M,,2004-09,,,437.00M,6.00M,,6.00M,,,-13.00M,-14.00M,,2004-09,2.542B,833.00M,3.395B,,2004-09,,6.00M,,,,2004-09,,
2004-06,208.00M,,,,,-247.00M,168.00M,168.00M,,,,,,144.00M,-58.00M,70.00M,-102.00M,-107.00M,180.00M,127.00M,,,2004-06,-47.00M,-60.00M,-107.00M,,,-33.00M,365.00M,,2004-06,,,-211.00M,18.00M,,18.00M,,,-31.00M,,,2004-06,2.298B,257.00M,2.542B,,2004-06,,18.00M,,,,2004-06,,
2004-03,248.00M,,,,,-76.00M,175.00M,175.00M,,,,,,217.00M,-73.00M,-83.00M,,20.00M,-185.00M,-104.00M,,,2004-03,-48.00M,99.00M,51.00M,,,33.00M,-8.00M,,2004-03,,,-478.00M,29.00M,,29.00M,,,-25.00M,,,2004-03,2.477B,-155.00M,2.298B,,2004-03,,29.00M,,,,2004-03,,
2003-12,222.00M,,,,,148.00M,182.00M,182.00M,,,,,,-59.00M,127.00M,221.00M,-166.00M,366.00M,,489.00M,,,2003-12,-71.00M,-24.00M,-95.00M,,,,209.00M,,2003-12,,,-957.00M,9.00M,,9.00M,,,-26.00M,,,2003-12,2.27B,111.00M,2.477B,,2003-12,,9.00M,,,,2003-12,,
2003-09,117.00M,,,,,-739.00M,178.00M,178.00M,,,,,,299.00M,-82.00M,237.00M,72.00M,-124.00M,109.00M,511.00M,,,2003-09,-47.00M,1.00M,-46.00M,,,,85.00M,,2003-09,,,-129.00M,897.00M,,897.00M,,,-12.00M,-889.00M,,2003-09,2.279B,-27.00M,2.27B,,2003-09,,897.00M,,,,2003-09,,
2003-06,86.00M,,,,,134.00M,189.00M,189.00M,,,,,,262.00M,17.00M,89.00M,-36.00M,33.00M,-92.00M,273.00M,,,2003-06,-44.00M,32.00M,-12.00M,,,,2.00M,,2003-06,,,-2.785B,457.00M,,457.00M,,,-12.00M,889.00M,,2003-06,3.035B,-779.00M,2.279B,,2003-06,,457.00M,,,,2003-06,,
2003-03,-65.00M,,,,,192.00M,199.00M,199.00M,,,,,,158.00M,,-133.00M,-36.00M,-139.00M,-17.00M,-167.00M,,,2003-03,-35.00M,1.00M,-34.00M,,,,-60.00M,,2003-03,,,96.00M,3.00M,,3.00M,,,-11.00M,,,2003-03,2.887B,153.00M,3.035B,,2003-03,,3.00M,,,,2003-03,,
2002-12,-61.00M,,,,,541.00M,263.00M,263.00M,81.00M,,,,,-157.00M,-48.00M,192.00M,-127.00M,-250.00M,200.00M,-190.00M,,,2002-12,-37.00M,-321.00M,-358.00M,,,,338.00M,,2002-12,,,1.576B,4.00M,,4.00M,,,,-1.566B,,2002-12,2.281B,554.00M,2.887B,,2002-12,,4.00M,,,,2002-12,,
2002-09,105.00M,,,,,67.00M,213.00M,213.00M,60.00M,,,,,279.00M,-17.00M,,,13.00M,-109.00M,166.00M,,,2002-09,-38.00M,67.00M,29.00M,,,,17.00M,,2002-09,,,-289.00M,,,,,,,-2.00M,,2002-09,1.891B,366.00M,2.281B,,2002-09,,,,,,2002-09,,
2002-06,93.00M,,,,,9.00M,240.00M,240.00M,76.00M,,,,,251.00M,24.00M,-68.00M,36.00M,-28.00M,-91.00M,124.00M,,,2002-06,-45.00M,270.00M,225.00M,,,,-37.00M,,2002-06,,,-3.651B,-2.00M,,-2.00M,,,,4.00M,,2002-06,4.747B,-2.919B,1.891B,,2002-06,,-2.00M,,,,2002-06,,
2002-03,-46.00M,,,,,167.00M,319.00M,319.00M,-395.00M,,,,,115.00M,57.00M,68.00M,-36.00M,-160.00M,,44.00M,,,2002-03,-26.00M,3.00M,-23.00M,,,,10.00M,,2002-03,,,702.00M,2.00M,,2.00M,,,,,,2002-03,3.99B,780.00M,4.747B,,2002-03,,2.00M,,,,2002-03,,
2001-12,-156.00M,,,,,425.00M,335.00M,335.00M,-250.00M,,,,,56.00M,201.00M,-270.00M,-271.00M,178.00M,351.00M,245.00M,,,2001-12,-60.00M,-1.566B,-1.626B,,,,1.319B,,2001-12,,,287.00M,1.032B,,1.032B,,,-95.00M,67.00M,,2001-12,2.425B,1.583B,3.99B,,2001-12,,1.032B,,,,2001-12,,
2001-09,141.00M,,,,,139.00M,535.00M,535.00M,-98.00M,,,,,-95.00M,-137.00M,197.00M,123.00M,85.00M,-394.00M,-221.00M,,,2001-09,-38.00M,-47.00M,-85.00M,,,,-296.00M,,2001-09,,,-190.00M,-28.00M,,-28.00M,,,95.00M,188.00M,,2001-09,2.177B,180.00M,2.425B,,2001-09,,-28.00M,,,,2001-09,,
2001-06,-301.00M,,,,,172.00M,101.00M,101.00M,-107.00M,,,,,189.00M,210.00M,57.00M,-29.00M,47.00M,43.00M,517.00M,,,2001-06,-52.00M,1.644B,1.592B,,,,-1.266B,,2001-06,,,-983.00M,0.00,,0.00,,,-48.00M,-255.00M,,2001-06,2.777B,-578.00M,2.177B,,2001-06,,0.00,,,,2001-06,,
2001-03,222.00M,,,,,-605.00M,361.00M,361.00M,445.00M,,,,,127.00M,45.00M,-254.00M,-94.00M,-158.00M,,-334.00M,,,2001-03,-69.00M,38.00M,-31.00M,,,,1.266B,,2001-03,,,-212.00M,28.00M,,28.00M,,,-47.00M,-28.00M,,2001-03,1.75B,1.065B,2.777B,,2001-03,,28.00M,,,,2001-03,,
2000-12,-8.00M,,,,,-227.00M,420.00M,420.00M,361.00M,,,,278.00M,-88.00M,291.00M,185.00M,,330.00M,242.00M,454.00M,92.00M,,2000-12,-128.00M,-126.00M,-254.00M,,17.00M,,409.00M,,2000-12,,,-113.00M,-46.00M,441.00M,395.00M,,,-589.00M,343.00M,,2000-12,154.00M,1.578B,1.75B,,2000-12,,-46.00M,,,,2000-12,,
2000-09,-167.00M,,,,,113.00M,288.00M,288.00M,-101.00M,,,,-278.00M,159.00M,64.00M,90.00M,,-183.00M,323.00M,453.00M,7.00M,,2000-09,-84.00M,65.00M,-19.00M,,0.00,,,,2000-09,,,-140.00M,28.00M,-441.00M,-413.00M,,,292.00M,,,2000-09,120.00M,35.00M,154.00M,,2000-09,,28.00M,,,,2000-09,,
2000-06,145.00M,,,,,60.00M,275.00M,275.00M,-136.00M,,,,,-410.00M,21.00M,-52.00M,,301.00M,-565.00M,-705.00M,3.00M,,2000-06,-116.00M,102.00M,-14.00M,,-21.00M,,4.00M,,2000-06,,,589.00M,7.00M,,7.00M,,,-150.00M,1.00M,,2000-06,61.00M,58.00M,120.00M,,2000-06,,7.00M,,,,2000-06,,
2000-03,-243.00M,,,,,704.00M,261.00M,261.00M,-254.00M,,,,,-419.00M,-302.00M,-164.00M,,-601.00M,,-1.486B,-102.00M,,2000-03,-124.00M,3.00M,-121.00M,,-852.00M,,-4.00M,,2000-03,,,2.17B,11.00M,,11.00M,,,-147.00M,-1.00M,,2000-03,126.00M,-64.00M,61.00M,,2000-03,,11.00M,,,,2000-03,,
1999-12,209.00M,,,,,-52.00M,120.00M,120.00M,37.00M,,,,127.00M,-240.00M,373.00M,317.00M,-238.00M,,350.00M,562.00M,-23.00M,,1999-12,-94.00M,135.00M,41.00M,,,,-1.00M,,1999-12,,,-748.00M,8.00M,,8.00M,,,-147.00M,-6.00M,,1999-12,106.00M,20.00M,126.00M,,1999-12,,8.00M,,,,1999-12,,
1999-09,339.00M,,,,,-7.00M,202.00M,202.00M,73.00M,,,,-211.00M,-51.00M,-206.00M,-92.00M,,539.00M,-224.00M,-34.00M,23.00M,,1999-09,-190.00M,3.00M,-187.00M,,,,2.00M,,1999-09,,,-44.00M,3.00M,,3.00M,,,-146.00M,-1.00M,,1999-09,0.00,12.00M,106.00M,,1999-09,,3.00M,,,,1999-09,,
1999-06,448.00M,,,,,-67.00M,234.00M,234.00M,131.00M,,,,-111.00M,86.00M,219.00M,14.00M,35.00M,-203.00M,,151.00M,4.00M,,1999-06,-194.00M,9.00M,-185.00M,,,,-1.00M,,1999-06,,,-497.00M,38.00M,,38.00M,,,-147.00M,-5.00M,,1999-06,106.00M,-7.00M,0.00,,1999-06,,38.00M,,,,1999-06,,
1999-03,343.00M,,,,,-21.00M,223.00M,223.00M,-7.00M,,,,-106.00M,-266.00M,-319.00M,-333.00M,-35.00M,-336.00M,,-1.289B,-4.00M,,1999-03,-116.00M,17.00M,-99.00M,,,,-25.00M,,1999-03,,,1.106B,79.00M,,79.00M,,,-146.00M,-23.00M,,1999-03,79.00M,31.00M,106.00M,,1999-03,,79.00M,,,,1999-03,,
1998-12,614.00M,,,,,-2.61B,232.00M,232.00M,359.00M,,,,38.00M,742.00M,615.00M,383.00M,,,,1.74B,20.00M,,1998-12,-229.00M,7.00M,-222.00M,,,,-1.00M,,1998-12,,,-31.00M,27.00M,-25.00M,2.00M,,,-133.00M,0.00,,1998-12,0.00,8.00M,79.00M,,1998-12,,27.00M,,,,1998-12,,
1998-09,381.00M,,,,,-11.00M,196.00M,196.00M,10.00M,,,,73.00M,-582.00M,-447.00M,-32.00M,,,,-1.061B,130.00M,,1998-09,-168.00M,42.00M,-126.00M,,,,2.00M,,1998-09,,,595.00M,17.00M,-100.00M,-83.00M,,,-129.00M,-4.00M,,1998-09,0.00,-27.00M,0.00,,1998-09,,17.00M,,,,1998-09,,
1998-06,-711.00M,,,,,1.995B,193.00M,193.00M,-545.00M,,,,-251.00M,-530.00M,-726.00M,248.00M,,,,-1.008B,-7.00M,,1998-06,-461.00M,18.00M,-443.00M,,,,3.00M,,1998-06,,,1.01B,56.00M,-46.00M,10.00M,,,-133.00M,,,1998-06,0.00,113.00M,0.00,,1998-06,,56.00M,,,,1998-06,,
