,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-12,2.339B,2.339B,874.00M,1.465B,,,,54.00M,62.00M,,,,-274.00M,1.247B,218.00M,,,,54.00M,,13.00M,-125.00M,138.00M,59.00M,0.00,197.00M,105.60M,566.00M,348.00M,218.00M,0.42,0.18,0.00,0.3178,0.60,0.42,-0.35,-0.0003,,2003-12,317.00M,335.60M,0.20,,2003-12,,
2003-09,3.421B,3.421B,1.252B,2.169B,,,,134.00M,50.00M,,,,1.036B,1.339B,830.00M,,,,134.00M,,720.00M,260.00M,460.00M,84.00M,,544.00M,374.39M,1.083B,214.00M,830.00M,1.41,0.26,,1.150,1.67,1.40,0.25,,,2003-09,329.00M,329.00M,0.00,,2003-09,,
2003-06,3.125B,3.125B,1.015B,2.11B,,,,69.00M,51.00M,,,,1.583B,1.886B,224.00M,,,,69.00M,,11.00M,-13.00M,24.00M,,,24.00M,-17.40M,502.00M,278.00M,224.00M,0.07,0.00,,-0.0570,0.07,0.07,0.00,,,2003-06,326.00M,329.00M,0.00,,2003-06,,
2003-03,2.523B,2.523B,786.00M,1.737B,,,,64.00M,51.00M,,,,1.087B,1.426B,311.00M,,,,64.00M,,93.00M,30.00M,63.00M,3.00M,-9.00M,57.00M,19.65M,626.00M,315.00M,311.00M,0.19,0.01,0.00,0.0570,0.17,0.19,0.01,-0.0276,,2003-03,326.00M,328.00M,0.00,,2003-03,,
2002-12,1.431B,1.431B,365.00M,1.066B,,,,29.00M,22.00M,,,,-537.00M,1.156B,-90.00M,,,,29.00M,,-176.00M,-152.00M,-24.00M,0.00,,-24.00M,-41.40M,211.00M,301.00M,-90.00M,-0.07,0.00,,-0.1232,-0.07,-0.07,-0.07,,,2002-12,326.78M,327.44M,0.00,,2002-12,,
2002-09,3.706B,3.706B,1.134B,2.572B,,,,102.00M,35.00M,,,,1.577B,1.868B,704.00M,,,,102.00M,,520.00M,175.00M,345.00M,7.00M,,352.00M,277.33M,990.00M,286.00M,704.00M,1.06,0.02,,0.8524,1.08,1.05,0.02,,,2002-09,325.93M,328.97M,0.00,,2002-09,,
2002-06,2.824B,2.824B,860.00M,1.964B,,,,-3.00M,36.00M,,,,464.00M,761.00M,1.203B,,,,-3.00M,,946.00M,290.00M,656.00M,9.00M,,665.00M,658.08M,1.491B,288.00M,1.203B,2.01,0.03,,2.016,2.04,1.99,0.03,,,2002-06,325.98M,329.21M,0.00,,2002-06,,
2002-03,2.488B,2.488B,511.00M,1.977B,,,,29.00M,39.00M,,,,1.387B,1.668B,309.00M,,,,29.00M,,95.00M,16.00M,79.00M,5.00M,,84.00M,54.88M,577.00M,268.00M,309.00M,0.24,0.02,,0.1654,0.26,0.24,0.02,,,2002-03,323.08M,323.08M,0.00,,2002-03,,
2001-12,2.538B,2.538B,793.00M,1.745B,,,,539.00M,26.00M,,,,909.00M,1.213B,532.00M,,,,539.00M,,3.664B,1.492B,2.172B,-5.00M,,2.167B,1.849B,835.00M,303.00M,532.00M,6.60,0.05,,5.606,6.65,2.46,0.05,,,2001-12,325.33M,327.32M,0.00,,2001-12,,
2001-09,3.882B,3.882B,1.074B,2.808B,,,,-4.00M,28.00M,,,,763.00M,1.033B,1.775B,,,,-4.00M,,1.361B,560.00M,801.00M,-1.214B,,-413.00M,803.40M,2.044B,269.00M,1.775B,2.46,-3.73,,2.467,-1.27,2.46,-3.73,,,2001-09,325.20M,325.20M,0.00,,2001-09,,
2001-06,2.446B,2.446B,1.076B,1.37B,,,,-55.00M,29.00M,,,,664.00M,923.00M,447.00M,,,,-55.00M,,90.00M,31.00M,59.00M,-161.00M,,-102.00M,95.06M,677.00M,213.00M,447.00M,0.18,-0.49,,0.2896,-0.31,0.18,-0.49,,,2001-06,329.03M,329.03M,0.00,,2001-06,,
2001-03,2.195B,2.195B,1.966B,229.00M,,,,10.00M,30.00M,,,,687.00M,940.00M,-711.00M,,,,10.00M,,-1.065B,-436.00M,-629.00M,12.00M,,-617.00M,-635.00M,-431.00M,280.00M,-711.00M,-1.93,0.04,,-1.948,-1.89,-1.93,0.04,,,2001-03,326.46M,326.46M,0.00,,2001-03,,
2000-12,1.298B,1.298B,1.658B,-360.18M,,,,444.11M,28.55M,,,,1.183B,1.480B,-1.840B,,,,444.11M,,-4.019B,-1.473B,-2.546B,,,-2.550B,-2.827B,-1.536B,304.05M,-1.840B,-7.77,0.12,,-8.627,-7.65,-7.77,0.00,,,2000-12,328.25M,328.25M,0.00,,2000-12,,
2000-09,3.653B,3.653B,2.251B,1.402B,,,,-17.20M,30.34M,,,,-125.00M,440.34M,961.66M,,,,-17.20M,,632.77M,272.62M,360.15M,,,360.15M,370.47M,1.539B,576.95M,961.66M,1.11,0.00,,1.142,1.11,1.10,0.00,,,2000-09,325.81M,327.41M,0.28,,2000-09,,
2000-06,2.749B,2.749B,946.00M,1.803B,,,,1.00M,30.00M,,,,731.00M,1.247B,556.00M,,,,1.00M,,229.00M,92.00M,137.00M,,,137.00M,136.40M,1.09B,534.00M,556.00M,0.41,0.00,,0.4082,0.41,0.41,0.00,,,2000-06,334.15M,334.15M,0.28,,2000-06,,
2000-03,2.723B,2.723B,836.00M,1.887B,,,,-23.00M,40.00M,,,,831.00M,1.365B,522.00M,,,,-23.00M,,199.00M,89.00M,110.00M,,,110.00M,123.80M,1.059B,537.00M,522.00M,0.32,0.00,,0.3601,0.32,0.32,0.00,,,2000-03,343.75M,343.75M,0.28,,2000-03,,
1999-12,2.015B,2.015B,941.00M,1.074B,,,,-379.40M,25.40M,,,,550.70M,881.20M,193.10M,,,,-379.40M,,188.20M,34.10M,154.10M,,,-9.90M,464.76M,691.20M,498.10M,193.10M,0.44,-0.17,,1.322,0.27,0.28,-0.17,,,1999-12,352.07M,352.07M,0.27,,1999-12,,
1999-09,2.957B,2.957B,1.315B,1.642B,,,,197.00M,29.90M,,,,658.20M,1.201B,440.80M,,,,197.00M,,401.50M,146.20M,255.30M,,,255.30M,130.03M,953.70M,512.90M,440.80M,0.74,0.00,,0.3769,0.74,0.73,0.00,,,1999-09,345.00M,349.73M,0.27,,1999-09,,
1999-06,2.116B,2.116B,638.60M,1.477B,,,,89.00M,29.60M,,,,699.40M,1.181B,296.70M,,,,89.00M,,195.70M,67.30M,128.40M,,,128.40M,70.01M,748.40M,451.70M,296.70M,0.37,0.00,,0.2018,0.37,0.37,0.00,,,1999-06,347.20M,347.20M,0.27,,1999-06,,
1999-03,2.096B,2.096B,841.30M,1.255B,,,,-1.972M,39.16M,,,,388.44M,851.58M,403.02M,,,,-1.972M,,236.27M,93.06M,143.21M,,,143.21M,144.41M,847.32M,444.30M,403.02M,0.41,0.00,,0.4134,0.41,0.41,0.00,,,1999-03,349.30M,349.30M,0.27,,1999-03,,
1998-12,2.258B,2.258B,949.90M,1.308B,,,,-326.90M,26.60M,,,,612.30M,1.103B,204.70M,,,,-326.90M,,196.70M,34.30M,162.40M,,,162.40M,432.30M,669.00M,,204.70M,0.46,0.00,,1.226,0.46,0.46,0.00,,,1998-12,352.57M,353.04M,0.26,,1998-12,,
1998-09,2.754B,2.754B,1.404B,1.350B,,,,476.30M,32.50M,,,,773.40M,1.262B,87.80M,,,,476.30M,,405.70M,189.40M,216.30M,,,216.30M,-69.48M,544.20M,,87.80M,0.61,0.00,,-0.1959,0.61,0.60,0.00,,,1998-09,354.59M,360.50M,0.26,,1998-09,,
1998-06,1.939B,1.939B,665.80M,1.273B,,,,-471.30M,33.20M,,,,-72.00M,413.50M,859.70M,,,,-471.30M,,244.30M,99.00M,145.30M,,,145.30M,428.08M,1.312B,,859.70M,0.40,0.00,,1.178,0.40,0.40,0.00,,,1998-06,363.25M,363.25M,0.26,,1998-06,,
