,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-03,246.01M,246.01M,306.08M,,306.08M,228.12M,67.92M,93.96M,390.00M,100.46M,30.95M,,1.073B,,,,,,412.31M,-196.90M,215.41M,545.04M,167.87M,712.91M,32.21M,44.35M,1.005B,2.078B,,84.04M,0.00,84.04M,82.56M,166.60M,,,,,,44.47M,44.47M,3.937M,215.01M,248.43M,248.43M,8.325M,8.325M,,59.86M,,,338.74M,553.74M,,70.24M,1.457B,,,-2.957M,1.525B,,AOR,Restated
2012-12,321.74M,321.74M,335.16M,,335.16M,231.27M,50.64M,97.16M,379.08M,98.30M,30.96M,,1.165B,0.00,23.19M,109.59M,269.30M,,402.08M,-190.47M,211.62M,564.31M,175.82M,740.13M,32.22M,41.44M,1.025B,2.191B,,94.16M,11.94M,106.10M,87.45M,193.55M,,,,,,41.62M,41.62M,6.406M,241.57M,248.32M,248.32M,19.07M,19.07M,,58.98M,,,349.19M,590.75M,,171.55M,1.419B,,,9.541M,1.600B,,AOR,Restated
2012-09,424.49M,424.49M,283.67M,,283.67M,231.74M,56.15M,72.88M,360.77M,130.24M,27.01M,,1.226B,,,,,,384.95M,-184.10M,200.85M,502.40M,145.51M,647.91M,31.83M,39.24M,919.83M,2.146B,,77.69M,0.00,77.69M,60.02M,137.72M,,,,,,19.74M,19.74M,4.162M,201.34M,248.20M,248.20M,17.36M,17.36M,17.05M,59.64M,,,342.25M,543.59M,,246.62M,1.352B,,,3.818M,1.602B,,AOR,Restated
2012-06,429.77M,429.77M,268.55M,,268.55M,232.67M,55.38M,62.74M,350.79M,124.79M,27.02M,,1.201B,,,,,,372.09M,-178.50M,193.59M,497.73M,152.27M,650.00M,31.86M,38.42M,913.88M,2.115B,,79.61M,0.00,79.61M,56.52M,136.13M,,,,,,23.45M,23.45M,4.057M,208.43M,248.09M,248.09M,17.29M,17.29M,18.14M,58.08M,,,341.60M,550.03M,,277.04M,1.307B,,,-18.88M,1.565B,,AOR,Restated
2012-03,448.17M,448.17M,298.80M,,298.80M,231.72M,59.81M,59.70M,351.23M,117.96M,27.16M,,1.243B,,,,,,367.58M,-175.70M,191.88M,502.95M,158.56M,661.51M,31.68M,37.82M,922.89M,2.166B,,77.03M,0.206M,77.23M,56.35M,133.58M,,,,,,26.33M,26.33M,3.322M,207.63M,247.98M,247.98M,16.98M,16.98M,21.50M,57.22M,,,343.68M,551.31M,,333.54M,1.276B,,,5.145M,1.615B,,AOR,Restated
2011-12,440.85M,440.85M,329.58M,,329.58M,225.57M,55.89M,54.59M,336.05M,102.16M,27.44M,,1.236B,0.00,22.50M,78.67M,249.73M,,350.91M,-164.64M,186.27M,498.34M,164.44M,662.78M,31.64M,32.34M,913.03M,2.149B,,84.19M,2.161M,86.35M,104.03M,190.38M,,,,,,41.48M,41.48M,3.886M,235.74M,247.86M,247.86M,17.24M,17.24M,,51.71M,,,334.34M,570.08M,,352.16M,1.239B,,,-11.99M,1.579B,,AOR,Restated
2011-09,374.50M,374.50M,320.41M,,320.41M,207.75M,58.92M,60.47M,327.13M,133.77M,25.10M,,1.181B,,,,,,354.27M,-170.20M,184.07M,484.63M,162.19M,646.82M,28.39M,62.10M,921.39M,2.102B,,82.23M,0.00,82.23M,51.58M,133.82M,,,,,,35.17M,35.17M,5.376M,218.36M,247.75M,247.75M,13.22M,13.22M,,51.82M,,,336.21M,554.57M,,375.54M,1.172B,,,0.103M,1.548B,,AOR,Restated
2011-06,235.62M,235.62M,328.05M,,328.05M,208.92M,58.70M,54.83M,322.45M,109.67M,24.30M,,1.020B,,,,,,352.13M,-165.80M,186.33M,493.40M,170.79M,664.19M,22.75M,37.26M,910.53M,1.931B,,88.08M,1.239M,89.31M,64.37M,153.68M,,,,,,20.05M,20.05M,4.592M,225.14M,,,13.36M,13.36M,21.56M,52.42M,,,87.34M,312.48M,,467.79M,1.117B,,,33.45M,1.618B,,AOR,Restated
2011-03,250.23M,250.23M,321.77M,,321.77M,205.57M,56.22M,59.29M,321.07M,106.01M,23.36M,,1.022B,,,,,,337.56M,-152.50M,185.06M,492.43M,178.76M,671.19M,22.75M,32.52M,911.52M,1.934B,,85.35M,12.68M,98.04M,116.04M,214.07M,,,,,,19.79M,19.79M,4.632M,238.50M,,,13.79M,13.79M,22.20M,56.76M,,,92.75M,331.24M,,473.68M,1.097B,,,31.86M,1.603B,,AOR,Restated
2010-12,193.14M,193.14M,339.72M,,339.72M,185.36M,48.79M,69.01M,303.16M,95.66M,23.13M,,954.81M,0.00,19.94M,72.92M,234.43M,,327.30M,-138.18M,189.12M,482.02M,177.38M,659.40M,22.74M,31.28M,902.54M,1.857B,,85.88M,28.01M,113.89M,129.80M,243.69M,,,,,,17.87M,17.87M,-11.61M,249.95M,,,13.16M,13.16M,,51.90M,,19.79M,84.85M,334.80M,,465.47M,1.055B,,,1.652M,1.523B,,AOR,Restated
