,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2005-06,24.57M,,6.127M,,,2.802M,2.802M,-6.136M,,,0.894M,-5.72M,4.071M,-1.344M,0.807M,0.812M,-7.768M,,-9.142M,19.12M,,-4.018M,0.056M,-3.962M,,-4.157M,,0.043M,-8.076M,,,,-0.026M,4.357M,-25.52M,-21.17M,,,,,-21.19M,,125.61M,-10.15M,-7.479M,107.98M,,4.357M,,,-25.52M,,,
2005-03,14.71M,,0.871M,,,3.112M,3.112M,,,,,7.365M,-12.31M,0.665M,0.497M,-1.066M,-1.766M,,-6.619M,12.07M,,-13.68M,,-13.68M,,,,-0.044M,-13.72M,,,,-0.026M,11.92M,,11.92M,,,,,11.89M,,120.69M,10.24M,-5.317M,125.61M,,11.92M,,,,,,
2004-12,24.06M,,5.932M,,,3.934M,3.934M,12.40M,,,,-20.06M,0.047M,2.445M,-3.097M,0.885M,-12.02M,,-31.80M,14.53M,,-4.296M,0.273M,-4.023M,,0.00,,-0.043M,-4.066M,,,,-0.05M,6.186M,0.00,6.186M,,,,,6.136M,,94.90M,16.60M,9.197M,120.69M,,6.186M,,,0.00,,,
2004-09,16.82M,,8.118M,,,3.587M,3.587M,-18.34M,,,,-4.748M,-8.937M,-3.028M,5.568M,-0.122M,22.62M,,11.35M,21.54M,,-2.676M,0.031M,-2.645M,,0.00,,-1.099M,-3.744M,,,,-0.026M,6.117M,0.00,6.117M,,,,,6.091M,,67.00M,23.89M,4.005M,94.90M,,6.117M,,,0.00,,,
2004-06,17.93M,,3.902M,,,3.596M,3.596M,,,,,-4.459M,0.753M,-0.387M,-0.963M,-0.72M,-0.144M,,-5.92M,19.50M,,-3.997M,0.036M,-3.961M,,-0.016M,,-1.296M,-5.273M,,,,-3.491M,3.511M,-3.144M,0.367M,,,,,-3.124M,,55.98M,11.11M,-0.088M,67.00M,,3.511M,,,-3.144M,,,
2004-03,12.68M,,6.261M,,,3.687M,3.687M,,,,,2.184M,-2.238M,0.072M,0.126M,0.192M,-3.491M,,-3.155M,19.48M,,-2.917M,0.113M,-2.804M,,-159.94M,,0.679M,-162.07M,,,,-0.20M,2.455M,,2.455M,,,,,2.255M,,197.99M,-140.34M,-1.67M,55.98M,,2.455M,,,,,,
2003-12,14.96M,,1.502M,,,1.748M,1.748M,,,,,-13.08M,-6.727M,-0.545M,2.439M,-0.873M,0.652M,,-18.13M,4.968M,,-12.60M,-0.016M,-12.61M,,,0.485M,-1.051M,-13.18M,,,,0.00,3.533M,-3.288M,0.245M,,,,-0.551M,-0.306M,,202.92M,-8.517M,3.593M,197.99M,,3.533M,,,-3.288M,,,
2003-09,10.86M,,0.178M,,,1.616M,1.616M,,,,,2.073M,-10.97M,-0.226M,4.377M,-0.015M,4.112M,,-0.652M,12.01M,,-0.581M,0.004M,-0.577M,,,-0.485M,-1.00M,-2.062M,,,,-0.035M,-0.244M,-13.05M,-13.29M,,,,0.551M,-12.78M,,204.21M,-2.83M,1.54M,202.92M,,-0.244M,,,-13.05M,,,
2003-06,9.715M,,3.498M,,,1.442M,1.442M,,,,,-6.713M,-1.40M,-2.559M,-0.333M,-0.003M,-0.138M,,-11.15M,3.509M,,-0.589M,0.00,-0.589M,,,,0.00,-0.589M,,,,203.89M,3.595M,-54.52M,-50.92M,,,,,152.97M,,48.09M,155.89M,0.23M,204.21M,,3.595M,,,-54.52M,,,
2003-03,9.15M,,0.017M,,,1.456M,1.456M,,,,,-1.578M,-2.282M,-2.545M,2.274M,-0.244M,0.493M,,-3.882M,6.741M,,-0.831M,0.012M,-0.819M,,,,-1.601M,-2.42M,,,,,1.552M,-4.597M,-3.045M,,,,,-3.045M,,46.61M,1.276M,0.205M,48.09M,,1.552M,,,-4.597M,,,
2002-12,12.68M,,13.23M,,,1.638M,1.638M,,,,,-1.857M,0.394M,2.587M,-2.729M,-0.499M,1.884M,,-0.22M,16.39M,,-1.097M,,-1.097M,,,,,-1.616M,,,,-0.002M,3.967M,,3.967M,,,,-0.799M,3.166M,,27.72M,17.94M,0.946M,46.61M,,3.967M,,,,,,
2002-09,10.65M,,0.039M,,,1.57M,1.57M,,,,,2.287M,0.556M,-1.219M,4.547M,-0.51M,5.081M,,10.74M,23.00M,,-0.812M,,-0.812M,,,,,-0.812M,,,,-3.754M,0.258M,,0.258M,,,,-2.082M,-5.578M,,11.01M,16.61M,0.104M,27.72M,,0.258M,,,,,,
2002-06,9.557M,,0.281M,,,1.469M,1.469M,,,,,-3.595M,2.907M,-0.99M,-8.065M,-0.223M,0.599M,,-9.367M,1.94M,,-1.714M,,-1.714M,,,,,-1.714M,,,,-0.336M,2.707M,,2.707M,,,,,2.371M,,8.271M,2.597M,0.138M,11.01M,,2.707M,,,,,,
2002-03,8.668M,,-0.377M,,,1.524M,1.524M,,,,,7.16M,-5.713M,-1.111M,3.51M,-0.975M,1.004M,,3.875M,13.69M,,-2.976M,,-2.976M,,,,,-2.976M,,,,-19.81M,1.821M,,1.821M,,,,,-17.99M,,15.51M,-7.273M,0.03M,8.271M,,1.821M,,,,,,
2001-12,10.26M,,0.23M,5.731M,1.769M,1.712M,1.712M,-0.207M,,,,-16.13M,1.956M,-3.399M,7.033M,0.001M,-1.622M,,-12.16M,-0.164M,,0.11M,,0.11M,,,,,0.359M,,,,-42.65M,44.77M,,44.77M,,,,,2.126M,,13.08M,2.321M,0.11M,15.51M,,44.77M,,,,,,
2001-09,6.173M,,0.985M,-3.067M,-0.875M,1.846M,1.846M,0.009M,,,,-1.485M,0.276M,-0.863M,2.233M,-1.347M,0.341M,,-0.845M,8.168M,,-0.928M,,-0.928M,,,,,-0.928M,,,,-5.904M,3.251M,,3.251M,,,,,-2.653M,,8.101M,4.587M,0.395M,13.08M,,3.251M,,,,,,
2001-06,5.624M,,-0.046M,1.402M,0.43M,1.832M,1.832M,-0.004M,,,,-3.073M,3.57M,0.261M,-0.754M,-0.018M,3.398M,,3.384M,10.79M,,-1.636M,,-1.636M,,,,,-1.636M,,,,-15.98M,1.837M,,1.837M,,,,4.215M,-9.929M,,9.014M,-0.775M,-0.138M,8.101M,,1.837M,,,,,,
2001-03,3.874M,,1.082M,1.665M,0.445M,2.11M,2.11M,-0.005M,,,,2.34M,5.263M,-0.506M,-6.518M,-0.26M,1.535M,,1.854M,8.915M,,-1.788M,,-1.788M,,,,,-1.788M,,,,-5.819M,0.196M,,0.196M,,,,-4.215M,-9.838M,,11.86M,-2.711M,-0.133M,9.014M,,0.196M,,,,,,
2000-12,2.576M,,2.698M,-6.85M,-1.201M,1.668M,1.668M,2.882M,,,,-3.537M,4.647M,-2.736M,4.409M,2.63M,-3.593M,,1.82M,11.64M,,-1.313M,,-1.313M,,,,,-1.313M,,,,-4.399M,0.268M,,0.268M,,,,,-4.131M,,5.648M,6.20M,0.01M,11.86M,,0.268M,,,,,,
2000-09,-15.86M,,1.673M,6.85M,1.201M,2.634M,2.634M,-0.211M,,,,4.415M,6.838M,2.736M,-0.031M,-2.515M,0.587M,,12.03M,0.267M,,-1.667M,,-1.667M,,,,,-1.667M,,,,0.384M,0.084M,,0.084M,,,,0.12M,0.588M,,6.627M,-0.812M,-0.167M,5.648M,,0.084M,,,,,,
2000-06,-7.264M,,0.816M,,,2.773M,2.773M,0.00,,,,2.948M,5.044M,,-2.97M,2.343M,-4.744M,,2.621M,-1.054M,,-1.666M,,-1.666M,,,,,-1.666M,,,,0.971M,0.293M,,0.293M,,,,-0.09M,1.174M,,8.43M,-1.546M,-0.257M,6.627M,,0.293M,,,,,,
2000-03,-5.507M,,0.502M,,,2.644M,2.644M,-2.671M,,,,11.35M,-8.229M,,-6.851M,1.115M,0.702M,,-1.915M,-6.947M,,-2.633M,,-2.633M,,,,,-2.633M,,,,13.52M,0.156M,,0.156M,,,,-0.03M,13.65M,,4.255M,4.066M,0.109M,8.43M,,0.156M,,,,,,
1999-12,-28.37M,,4.66M,,,3.001M,3.001M,0.001M,,,,1.225M,6.667M,,-1.966M,0.557M,2.148M,,8.631M,-12.08M,,0.151M,,0.151M,,,,,0.151M,,,,12.57M,0.338M,,0.338M,,,,-0.047M,12.86M,,4.14M,0.935M,-0.82M,4.255M,,0.338M,,,,,,
1999-09,-0.011M,,-0.029M,,,2.195M,2.195M,-0.013M,,,0.10M,-2.957M,1.964M,,-8.295M,2.323M,3.731M,,-3.234M,-0.992M,,-3.121M,,-3.121M,,,,,-3.121M,,,,1.524M,0.614M,,0.614M,,,,0.147M,2.285M,,5.40M,-1.828M,0.475M,4.14M,,0.614M,,,,,,
1999-06,0.90M,,0.475M,,,2.80M,2.80M,0.00,,,-0.175M,2.30M,-7.90M,,12.70M,-3.10M,-6.10M,,-2.10M,1.90M,,-3.00M,,-3.00M,,,,,-3.00M,,,,-0.90M,0.10M,,0.10M,,,,0.00,-0.80M,,6.90M,-1.90M,0.50M,5.40M,,0.10M,,,,,,
1999-03,-26.90M,,0.025M,,,1.90M,1.90M,-1.00M,,,0.075M,22.00M,7.30M,,-4.20M,-0.90M,-3.20M,,21.00M,-4.90M,,-1.50M,,-1.50M,,,,,-1.50M,,,,8.70M,0.10M,,0.10M,,,,-0.10M,8.70M,,4.80M,2.30M,-0.20M,6.90M,,0.10M,,,,,,
1998-12,-5.41M,,-0.257M,,,1.977M,1.977M,-4.231M,,,0.10M,4.376M,-17.38M,,9.37M,-2.507M,19.40M,,13.26M,5.438M,,-3.082M,,-3.082M,,,,-2.919M,-6.001M,,,,-0.006M,0.64M,0.60M,1.24M,,,,-0.827M,0.407M,,4.50M,-0.156M,0.504M,4.793M,,0.64M,,,0.60M,,,
1998-09,5.80M,,0.10M,,,2.20M,2.20M,-0.10M,,,-0.30M,-17.70M,-0.70M,,-13.60M,-0.50M,1.10M,,-31.40M,-23.70M,,-3.30M,,-3.30M,,,,0.10M,-3.20M,,,,-5.30M,32.80M,-0.60M,32.20M,,,,0.20M,27.10M,,4.10M,0.20M,0.10M,4.50M,,32.80M,,,-0.60M,,,
1998-06,3.40M,,0.20M,,,2.30M,2.30M,0.00,,,0.20M,-11.60M,-1.30M,,3.70M,0.80M,-3.90M,,-12.30M,-6.20M,,-3.70M,,-3.70M,,,,-0.20M,-3.90M,,,,6.80M,0.70M,,0.70M,,,,,7.50M,,0.00,-2.60M,0.40M,4.10M,,0.70M,,,,,,
1998-03,-0.20M,,,,,2.00M,2.00M,0.10M,,,,10.10M,-5.90M,,-2.30M,-0.50M,-8.60M,,-7.20M,-5.30M,,-3.10M,,-3.10M,,,,-0.10M,-3.20M,,,,7.10M,1.40M,,1.40M,,,,,8.50M,,7.50M,,-1.20M,0.00,,1.40M,,,,,,
1997-12,-33.19M,,33.73M,,,1.765M,1.765M,,,,0.10M,-2.588M,7.339M,,6.664M,1.097M,2.846M,,15.36M,3.695M,,-6.405M,,-6.405M,,,,0.602M,-5.803M,,,,4.783M,0.689M,,0.689M,,,,-0.107M,5.365M,,0.00,3.257M,-0.308M,7.545M,,0.689M,,,,,,
1997-09,2.50M,,0.20M,,,0.90M,0.90M,,,,-0.10M,-8.40M,-0.30M,,-1.70M,0.10M,1.60M,,-8.70M,-5.20M,,-2.40M,,-2.40M,,,,-0.10M,-2.50M,,,,8.50M,0.30M,,0.30M,,,,0.10M,8.90M,,0.00,1.20M,0.00,0.00,,0.30M,,,,,,
1997-06,1.40M,,,,,0.80M,0.80M,,,,,-2.70M,0.20M,,-0.20M,0.10M,0.60M,,-2.00M,0.20M,,-1.70M,,-1.70M,,,,-0.20M,-1.90M,,,,2.50M,0.30M,,0.30M,,,,0.00,2.80M,,0.00,1.10M,0.10M,0.00,,0.30M,,,,,,
1997-03,0.10M,,,,,0.70M,0.70M,,,,,-4.60M,-0.50M,,0.80M,0.10M,-0.70M,,-4.90M,-4.10M,,-1.40M,,-1.40M,,,,-0.20M,-1.60M,,,,4.70M,0.50M,,0.50M,,,,-0.10M,5.10M,,0.80M,-0.60M,,0.00,,0.50M,,,,,,
1996-12,1.80M,,-0.10M,,,0.80M,0.80M,,,,-0.10M,4.70M,-3.70M,,-0.50M,-1.00M,1.70M,,1.20M,3.20M,,-2.20M,,-2.20M,,,,-0.20M,-2.40M,,,,-1.20M,1.20M,,1.20M,,,,-0.10M,-0.10M,,0.00,0.70M,,0.00,,1.20M,,,,,,
1996-09,2.10M,,0.10M,,,0.60M,0.60M,,,,-0.10M,-7.30M,-3.20M,,3.30M,-0.20M,0.50M,,-6.90M,-4.20M,,-0.80M,,-0.80M,,,,-0.20M,-1.00M,,,,5.00M,0.00,,0.00,,,,0.10M,5.10M,,0.00,-0.10M,,0.00,,0.00,,,,,,
1996-06,1.10M,,0.20M,,,0.50M,0.50M,,,,0.00,-6.10M,-0.40M,,0.30M,0.10M,-0.30M,,-6.40M,-4.60M,,-1.40M,,-1.40M,,,,-0.20M,-1.60M,,,,5.40M,0.20M,,0.20M,,,,,5.60M,,0.00,-0.60M,,0.00,,0.20M,,,,,,
1996-03,0.10M,,,,,0.60M,0.60M,,,,0.10M,5.30M,-2.50M,,-1.10M,-0.30M,-1.50M,,-0.10M,0.70M,,-1.10M,,-1.10M,,,,-0.10M,-1.20M,,,,,0.20M,,0.20M,,,,,0.20M,,1.20M,-0.30M,,0.00,,0.20M,,,,,,
1995-12,1.20M,,0.10M,,,0.80M,0.80M,-0.30M,,,0.10M,-6.00M,-2.00M,,2.20M,,0.40M,,-5.40M,-3.50M,,-0.90M,,-0.90M,,,,,-1.50M,,,,2.00M,0.00,,0.00,,,,0.10M,2.10M,,0.00,-2.90M,,0.00,,0.00,,,,,,
1995-09,0.90M,,-0.10M,,,0.40M,0.40M,-0.20M,,,0.20M,6.60M,-1.30M,,-0.30M,,-0.10M,,4.90M,6.10M,,-0.70M,,-0.70M,,,,,-0.70M,,,,-1.70M,0.20M,,0.20M,,,,-0.10M,-1.60M,,0.00,3.80M,,0.00,,0.20M,,,,,,
1995-06,1.30M,,0.10M,,,0.50M,0.50M,-0.30M,,,-0.10M,-6.70M,-0.40M,,0.10M,,0.60M,,-6.40M,-4.90M,,-0.80M,,-0.80M,,,,,-0.80M,,,,1.90M,0.10M,,0.10M,,,,,2.00M,,0.00,-3.70M,,0.00,,0.10M,,,,,,
1995-03,0.50M,,,,,0.50M,0.50M,-0.20M,,,,2.30M,-3.10M,,-0.20M,,-1.40M,,-2.40M,-1.60M,,-0.60M,,-0.60M,,,,,-0.60M,,,,-0.10M,0.10M,,0.10M,,,,,0.00,,6.10M,-2.20M,,0.00,,0.10M,,,,,,
1994-12,2.00M,,0.00,,,0.50M,0.50M,-0.40M,,,0.40M,-2.80M,-1.00M,,0.40M,-0.50M,1.70M,,-2.20M,0.30M,,-0.80M,,-0.80M,,,,,-0.80M,,,,-0.10M,0.10M,,0.10M,,,,,0.00,,0.00,-0.50M,,0.00,,0.10M,,,,,,
1994-09,1.60M,,0.10M,,,0.40M,0.40M,-0.20M,,,-0.50M,-3.40M,-1.00M,,0.30M,0.10M,0.20M,,-3.80M,-2.40M,,-0.50M,,-0.50M,,,,,-0.50M,,,,0.20M,0.00,,0.00,,,,,0.20M,,0.00,-2.70M,,0.00,,0.00,,,,,,
1994-06,1.00M,,,,,0.40M,0.40M,-0.20M,,,0.20M,-2.40M,-0.80M,,0.70M,0.20M,0.00,,-2.30M,-0.90M,,-0.40M,,-0.40M,,,,,-0.40M,,,,0.10M,0.10M,,0.10M,,,,,0.20M,,0.00,-1.10M,,0.00,,0.10M,,,,,,
1994-03,0.50M,,,,,0.40M,0.40M,-0.10M,,,,-3.70M,0.40M,,-0.20M,-0.20M,-0.50M,,-4.20M,-3.40M,,-0.60M,,-0.60M,,,,,-0.60M,,,,-0.10M,0.30M,,0.30M,,,,,0.20M,,14.20M,-3.80M,,0.00,,0.30M,,,,,,
