,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-09,104.20M,,,,3.50M,29.60M,29.60M,1.20M,,,,16.40M,-169.80M,-17.30M,,29.60M,,,10.00M,-147.50M,7.40M,-41.90M,,-41.90M,-114.00M,,,-155.90M,,,-0.30M,16.80M,-1.60M,15.20M,,-5.20M,,,9.70M,522.30M,-138.80M,-0.30M,383.20M,16.80M,,,-1.60M,,
2005-06,50.70M,,,,-0.20M,28.70M,28.70M,-7.00M,,,,3.80M,175.00M,-47.20M,,-20.50M,,,7.40M,114.70M,190.70M,-32.60M,,-32.60M,,,,-32.60M,,,-0.70M,25.60M,-1.60M,24.00M,,-5.20M,,,18.10M,350.50M,176.20M,-4.40M,522.30M,25.60M,,,-1.60M,,
2005-03,23.37M,,,,-4.357M,28.18M,28.18M,13.23M,,,,108.80M,-123.84M,4.076M,,-38.39M,,,11.02M,-147.13M,22.09M,-47.97M,,-47.97M,0.534M,,,-47.44M,,,0.973M,10.97M,1.052M,12.02M,,-6.563M,,1.106M,7.54M,369.52M,-17.81M,-1.178M,350.50M,10.97M,,,1.052M,,
2004-12,75.04M,,,,11.02M,27.00M,27.00M,-2.305M,,,,-5.448M,99.32M,29.89M,,-1.009M,,-27.37M,34.38M,135.22M,240.52M,-41.73M,,-41.73M,0.286M,,,-41.45M,,,-0.326M,16.21M,-0.001M,16.21M,,-5.017M,,-1.106M,9.76M,158.20M,208.83M,2.495M,369.52M,16.21M,,,-0.001M,,
2004-09,79.27M,,,,-0.015M,23.77M,23.77M,0.856M,,,,5.448M,-178.26M,-26.30M,-29.64M,51.25M,2.237M,77.86M,,-102.86M,6.468M,-48.38M,,-48.38M,-4.149M,,,-52.52M,,,-0.325M,12.83M,-0.682M,12.15M,,-5.097M,,,6.727M,197.42M,-39.33M,0.10M,158.20M,12.83M,,,-0.682M,,
2004-06,12.72M,,,,2.65M,23.15M,23.15M,-1.678M,,,,,186.68M,-31.17M,29.64M,-56.35M,-2.237M,-50.49M,,76.07M,112.92M,-36.02M,,-36.02M,-239.97M,,,-275.99M,,,-0.322M,13.19M,-0.369M,12.82M,,-5.023M,,,7.473M,352.34M,-155.59M,0.683M,197.42M,13.19M,,,-0.369M,,
2004-03,74.78M,,,,-2.528M,26.50M,26.50M,1.142M,,,,,-147.89M,61.12M,21.40M,66.72M,30.26M,-56.58M,-65.90M,-90.89M,30.90M,-56.65M,,-56.65M,-3.681M,5.427M,7.50M,-47.40M,,,-0.057M,20.72M,1.047M,21.76M,,-4.923M,,,16.78M,337.70M,0.277M,14.33M,352.30M,20.72M,,,1.047M,,
2003-12,35.36M,,,,19.97M,18.60M,18.60M,-2.674M,,,,,83.34M,-15.98M,19.65M,0.925M,-4.478M,17.66M,,101.12M,172.38M,-30.12M,,-30.12M,-0.001M,-5.427M,-2.073M,-37.62M,,,0.00,7.06M,-0.238M,6.822M,,-4.95M,,,1.872M,210.64M,136.62M,-9.559M,337.70M,7.06M,,,-0.238M,,
2003-09,54.01M,,,,-11.12M,19.06M,19.06M,1.249M,,,,,-123.53M,34.63M,-22.77M,-23.74M,-24.68M,55.95M,39.47M,-64.68M,-1.48M,-25.61M,-0.409M,-26.02M,-0.039M,,0.00,-26.06M,,,-50.12M,8.087M,-0.568M,7.519M,,-4.927M,,,-47.52M,287.47M,-75.06M,-1.777M,210.64M,8.087M,,,-0.568M,,
2003-06,5.055M,,,,-3.024M,21.44M,21.44M,-4.817M,,,,,131.48M,-65.66M,-18.28M,3.194M,-1.097M,-17.02M,-39.47M,-6.853M,11.80M,-13.92M,0.409M,-13.51M,-4.479M,,-5.427M,-23.42M,,,-50.83M,3.538M,-0.241M,3.297M,,,,,-47.53M,343.61M,-59.14M,3.01M,287.47M,3.538M,,,-0.241M,,
2003-03,73.22M,,,,24.82M,15.63M,15.63M,2.024M,,,,,-108.19M,-24.20M,-4.36M,34.36M,4.972M,-9.823M,,-107.23M,8.459M,-38.97M,,-25.52M,-25.53M,,-5.856M,-104.53M,,,-2.707M,0.512M,-4.215M,-3.703M,,,,,-6.41M,441.58M,-102.48M,4.507M,343.61M,0.512M,,,-4.215M,,
2002-12,42.81M,,,,3.99M,20.90M,20.90M,14.00M,,,,,26.95M,70.34M,-0.897M,-30.09M,-0.078M,-27.19M,,39.04M,120.75M,-19.52M,,-19.52M,-4.796M,,0.845M,-23.47M,,,-15.55M,1.562M,-0.158M,1.404M,,,,,-14.15M,355.48M,83.13M,2.979M,441.58M,1.562M,,,-0.158M,,
2002-09,51.74M,,,,-2.919M,23.65M,23.65M,-10.51M,,,,,-78.70M,-19.53M,-6.776M,13.37M,-1.88M,43.02M,,-50.50M,11.47M,-27.68M,,-27.68M,,,1.136M,-26.55M,,,-3.007M,1.577M,0.00,1.577M,,,,,-1.43M,371.62M,-16.51M,0.362M,355.48M,1.577M,,,0.00,,
2002-06,6.46M,,,,-7.225M,18.46M,18.46M,3.384M,,,,,152.14M,-20.25M,-7.116M,-22.73M,-0.146M,5.32M,,107.22M,128.30M,-12.50M,,-12.50M,,,0.775M,-11.72M,,,1.568M,4.067M,-0.309M,3.758M,,,,,5.326M,244.73M,121.91M,4.984M,371.62M,4.067M,,,-0.309M,,
2002-03,48.02M,,,,9.735M,20.68M,20.68M,25.01M,,,,,-112.19M,3.674M,-6.236M,-15.65M,4.636M,38.32M,,-87.44M,16.00M,-26.96M,,-26.96M,0.00,,-1.927M,-28.88M,,,-51.13M,8.844M,0.00,8.844M,,,,,-42.28M,294.57M,-55.16M,-0.632M,238.77M,8.844M,,,0.00,,
2001-12,45.61M,,,,1.738M,18.50M,18.50M,5.726M,,,,,34.12M,77.73M,3.918M,4.068M,0.13M,-40.02M,,79.94M,151.52M,-20.81M,,-20.81M,-23.70M,,-0.775M,-45.29M,,,12.77M,3.76M,0.00,3.76M,,,,,16.53M,171.75M,122.76M,0.062M,294.57M,3.76M,,,0.00,,
2001-09,47.81M,,,,6.356M,23.81M,23.81M,-9.517M,,,,,-42.64M,24.46M,1.56M,-29.53M,0.401M,18.50M,,-27.24M,41.22M,-24.00M,,-24.00M,,3.136M,-0.703M,-21.57M,,,24.29M,1.768M,-2.067M,-0.299M,,,,,23.99M,76.66M,43.64M,0.733M,171.75M,1.768M,,,-2.067M,,
2001-06,31.05M,,,,-7.184M,20.92M,20.92M,,,,,,28.40M,-23.14M,24.90M,30.11M,0.975M,-21.02M,,40.22M,85.01M,-16.24M,,-16.24M,,-3.136M,-0.837M,-20.21M,,,-48.66M,10.11M,,10.11M,,,,,-38.55M,51.50M,26.25M,-1.091M,76.66M,10.11M,,,,,
2001-03,47.50M,,,,-40.56M,18.52M,18.52M,4.494M,,,,,-53.08M,-28.66M,,30.04M,14.67M,25.04M,,-34.95M,-5.01M,-37.31M,,-37.31M,0.00,19.59M,-1.67M,-19.39M,,,-18.80M,9.844M,0.00,9.844M,,,,,-8.954M,87.01M,-33.35M,-2.165M,51.50M,9.844M,,,0.00,,
2000-12,50.60M,,,,-2.446M,18.94M,18.94M,5.077M,,,,,8.416M,29.89M,,-8.657M,-4.888M,-15.91M,,8.859M,81.03M,-21.54M,,-21.54M,0.00,-4.066M,-1.186M,-26.79M,,,-45.65M,0.453M,-3.354M,-2.901M,,,,,-48.55M,79.43M,5.697M,1.884M,87.01M,0.453M,,,-3.354M,,
2000-09,-62.82M,,,,87.89M,20.82M,20.82M,-33.00M,,,,,-55.78M,10.79M,,-15.59M,-7.483M,36.86M,,-31.20M,-18.32M,-28.34M,,-28.34M,0.708M,-66.25M,-1.188M,-95.06M,,,60.81M,,-2.481M,-2.481M,,,,,58.33M,139.91M,-55.06M,-5.419M,79.43M,,,,-2.481M,,
2000-06,23.98M,,,,10.78M,20.33M,20.33M,,,,,,31.48M,-56.65M,,24.88M,5.741M,-17.97M,,-12.51M,42.58M,-17.99M,,-17.99M,-21.64M,,-1.108M,-40.73M,,,-18.71M,,-7.998M,-7.998M,,,,,-26.71M,164.57M,-24.86M,0.199M,139.91M,,,,-7.998M,,
2000-03,27.80M,,,,10.83M,13.18M,13.18M,,,,,,-59.15M,-4.375M,,50.48M,-17.10M,-20.75M,,-49.68M,8.889M,18.99M,,18.99M,,,-1.268M,-217.42M,,,51.15M,,-20.56M,-20.56M,,,,,30.59M,345.30M,-177.94M,-2.844M,164.57M,,,,-20.56M,,
1999-12,32.30M,,,,2.00M,20.80M,20.80M,,,,,0.10M,81.30M,78.40M,,-24.40M,-0.90M,1.80M,,136.20M,191.40M,-31.50M,,-31.50M,,,-1.20M,-32.70M,,,154.00M,,-6.60M,-6.60M,,,,,147.40M,42.40M,306.10M,-3.00M,345.30M,,,,-6.60M,,
1999-09,55.30M,,,,-0.50M,20.90M,20.90M,,,,,-0.10M,-64.50M,5.70M,,7.40M,-0.90M,-0.40M,,-52.70M,22.90M,-45.30M,,-45.30M,,,-1.20M,-46.50M,,,29.30M,,-7.60M,-7.60M,,,,,21.70M,44.10M,-1.90M,,42.40M,,,,-7.60M,,
1999-06,28.10M,,,,2.30M,11.40M,11.40M,,,,,,9.60M,-26.40M,,-2.20M,9.10M,-12.40M,,-22.30M,19.50M,-64.20M,,-64.20M,,,42.50M,-21.70M,,,8.40M,,-6.50M,-6.50M,,,,,1.90M,44.50M,-0.30M,,44.10M,,,,-6.50M,,
1999-03,-7.45M,,,,17.89M,13.11M,13.11M,,,,,0.10M,-25.04M,3.004M,,4.348M,14.20M,27.35M,,-1.661M,-3.777M,-39.69M,,-39.69M,,,-45.86M,-92.53M,,,119.68M,0.013M,0.016M,0.029M,,,,,119.71M,0.00,23.40M,,44.46M,0.013M,,,0.016M,,
1998-12,25.40M,,,,-1.60M,11.20M,11.20M,,,,,-0.30M,37.20M,18.30M,,-48.20M,-9.50M,4.50M,,2.30M,37.00M,-22.60M,,-22.60M,,,-0.30M,-22.90M,,,-39.60M,0.00,0.00,0.00,,,,,-39.60M,0.00,-25.50M,,0.00,0.00,,,0.00,,
1998-09,49.90M,,,,-0.20M,11.30M,11.30M,,,,,0.30M,-58.80M,-38.50M,,38.00M,-6.80M,6.70M,,-59.40M,1.90M,-57.80M,,-57.80M,,,-0.40M,-58.20M,,,83.70M,0.10M,-16.10M,-16.00M,,,,,67.70M,35.20M,11.40M,,0.00,0.10M,,,-16.10M,,
1998-06,22.70M,,,,1.30M,10.80M,10.80M,,,,,-0.10M,37.10M,-59.20M,,-7.60M,-7.00M,5.40M,,-31.30M,3.40M,-21.60M,,-21.60M,,,-1.00M,-22.60M,,,-4.40M,,,,,,,,-4.40M,58.80M,-23.60M,,35.20M,,,,,,
