,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-05,1.117B,1.117B,728.90M,387.90M,94.30M,181.40M,,-1.90M,,,,3.20M,278.90M,109.00M,,,,-1.90M,,104.90M,14.00M,90.90M,,,90.90M,92.55M,409.10M,300.10M,109.00M,,0.14,0.00,0.1426,0.14,,0.13,0.00,0.1323,0.13,,644.20M,705.40M,0.00,,,
2004-02,991.00M,991.00M,742.80M,248.20M,81.80M,187.90M,,15.60M,,,,-14.30M,255.40M,-7.20M,,,,15.60M,,-10.80M,17.50M,-28.30M,,,-28.30M,-37.66M,288.40M,295.60M,-7.20M,,-0.04,0.00,-0.0546,-0.04,,-0.04,0.00,-0.0546,-0.04,,643.20M,643.20M,0.00,,,
2003-11,1.107B,1.107B,821.20M,286.00M,99.00M,186.40M,,21.50M,,,,,285.40M,0.60M,,,,21.50M,,16.60M,15.50M,1.10M,,,1.10M,-11.80M,313.10M,312.50M,0.60M,,0.00,0.00,-0.0204,0.00,,0.00,0.00,-0.0203,0.00,,633.80M,636.60M,0.00,,,
2003-08,888.50M,888.50M,719.00M,169.50M,124.20M,166.10M,,16.20M,,,,,268.40M,-98.90M,,,,16.20M,,-113.10M,10.10M,-123.20M,,,-123.20M,-132.92M,199.90M,298.80M,-98.90M,,-0.21,0.00,-0.2260,-0.21,,-0.21,0.00,-0.2260,-0.21,,609.30M,609.30M,0.00,,,
2003-05,732.70M,732.70M,661.70M,71.00M,87.20M,161.70M,,-4.80M,,,,11.20M,260.10M,-189.10M,,,,-4.80M,,-191.00M,23.90M,-214.90M,,,-214.90M,-212.02M,111.90M,301.00M,-189.10M,,-0.36,0.00,-0.3553,-0.36,,-0.36,0.00,-0.3553,-0.36,,608.30M,608.30M,0.00,,,
2003-02,785.00M,785.00M,1.009B,-223.90M,92.40M,174.10M,,-108.10M,,,,110.20M,376.70M,-600.60M,,,,-108.10M,,-601.60M,17.60M,-619.20M,,,-619.20M,-554.34M,-290.40M,310.20M,-600.60M,,-1.02,0.00,-0.9132,-1.02,,-1.02,0.00,-0.9132,-1.02,,607.20M,607.20M,0.00,,,
2002-11,685.10M,685.10M,722.40M,-37.30M,104.80M,154.50M,,0.60M,,,,,259.30M,-296.60M,,,,0.60M,,-294.50M,21.40M,-315.90M,,,-315.90M,-316.26M,3.30M,299.90M,-296.60M,,-0.52,0.00,-0.5206,-0.52,,-0.52,0.00,-0.5206,-0.52,,605.20M,605.20M,0.00,,,
2002-08,748.00M,748.00M,957.20M,-209.20M,95.90M,136.50M,,-26.90M,,,,26.00M,258.40M,-467.60M,,,,-26.90M,,-464.40M,122.10M,-586.50M,,,-586.50M,-570.36M,-172.10M,295.50M,-467.60M,,-0.98,0.00,-0.9533,-0.98,,-0.98,0.00,-0.9533,-0.98,,603.90M,603.90M,0.00,,,
2002-05,771.20M,771.20M,603.00M,168.20M,77.20M,134.40M,,-1.90M,,,,3.30M,214.90M,-46.70M,,,,-1.90M,,-40.30M,-16.10M,-24.20M,,,-24.20M,-23.06M,246.70M,293.40M,-46.70M,,-0.04,0.00,-0.0381,-0.04,,-0.04,0.00,-0.0381,-0.04,,602.30M,602.30M,0.00,,,
2002-02,645.90M,645.90M,502.90M,143.00M,79.30M,135.90M,,10.90M,,,,-13.20M,202.00M,-59.00M,,,,10.90M,,-50.70M,-20.30M,-30.40M,,,-30.40M,-36.94M,231.90M,290.90M,-59.00M,,-0.05,0.00,-0.0609,-0.05,,-0.05,0.00,-0.0609,-0.05,,600.50M,600.50M,0.00,,,
2001-11,423.90M,423.90M,636.50M,-212.60M,84.90M,154.50M,,-5.90M,,,,,239.40M,-452.00M,,,,-5.90M,,-443.10M,-177.20M,-265.90M,,,-265.90M,-262.36M,-154.40M,297.60M,-452.00M,,-0.44,0.00,-0.4341,-0.44,,-0.44,0.00,-0.4341,-0.44,,599.20M,599.20M,0.00,,,
2001-08,480.30M,480.30M,1.099B,-619.10M,204.40M,105.10M,,-107.90M,,,,,383.10M,-1.002B,,,,-107.90M,,-1.020B,-445.20M,-575.50M,0.00,-0.60M,-575.50M,-510.76M,-707.00M,295.20M,-1.002B,,-0.97,0.00,-0.8616,-0.97,,-0.97,0.00,-0.8616,-0.97,,597.50M,597.50M,0.00,,,
2001-05,818.30M,818.30M,1.127B,-308.40M,104.30M,114.50M,,0.60M,,,,,218.80M,-527.20M,,,,0.60M,,-499.70M,-195.50M,-301.10M,-12.30M,3.10M,-313.40M,-301.47M,-248.40M,278.80M,-527.20M,,-0.50,-0.03,-0.5006,-0.53,,-0.50,-0.03,-0.5006,-0.53,,596.30M,596.30M,0.00,,,
2001-02,1.066B,1.066B,866.80M,198.90M,109.00M,130.90M,,0.10M,,,,,239.90M,-41.00M,,,,0.10M,,-1.30M,-1.30M,-4.10M,-84.20M,-4.10M,-88.30M,-4.16M,231.20M,272.20M,-41.00M,,-0.01,-0.14,-0.0101,-0.15,,-0.01,-0.14,-0.0101,-0.15,,593.80M,593.80M,0.00,,,
2000-11,1.572B,1.572B,809.10M,762.50M,103.20M,139.00M,,5.10M,,,,,242.20M,520.30M,,,,5.10M,,561.60M,196.00M,359.50M,-7.30M,-6.10M,352.20M,356.18M,788.50M,268.20M,520.30M,,0.62,-0.01,0.6143,0.61,,0.59,-0.01,0.5846,0.58,,581.90M,609.40M,0.00,,,
2000-08,2.306B,2.306B,1.651B,655.20M,119.00M,131.70M,,0.40M,,,,,-462.50M,1.118B,,,,0.40M,,1.117B,381.20M,736.10M,-9.40M,-15.40M,726.70M,735.84M,1.379B,261.20M,1.118B,,1.30,-0.02,1.300,1.28,,1.20,-0.02,1.200,1.19,,590.50M,642.60M,0.00,,,
2000-05,1.554B,1.554B,725.00M,828.80M,112.40M,100.50M,,5.50M,,,,,385.70M,443.10M,,,,5.50M,,450.20M,160.30M,289.90M,-15.00M,-9.30M,274.90M,286.36M,693.20M,250.10M,443.10M,,0.53,-0.03,0.5236,0.50,,0.50,-0.03,0.4941,0.48,,551.00M,597.30M,0.00,,,
2000-02,1.159B,1.159B,448.30M,710.80M,93.40M,103.30M,,-0.20M,,,,,438.70M,272.10M,,,,-0.20M,,261.70M,92.90M,168.80M,-7.50M,-7.50M,161.30M,168.93M,514.10M,233.60M,272.10M,,0.31,-0.01,0.3102,0.30,,0.30,-0.01,0.3002,0.29,,540.80M,557.20M,0.00,,,
1999-11,1.584B,1.584B,793.10M,791.30M,167.60M,91.70M,,9.60M,,,,-1.10M,258.20M,533.10M,,,,9.60M,,533.10M,186.20M,341.30M,,-5.60M,341.30M,335.05M,762.60M,229.50M,533.10M,,0.635,0.00,0.6234,0.635,,0.595,0.00,0.5845,0.595,,538.40M,594.80M,0.00,,,
1999-08,-108.10M,-108.10M,-187.90M,79.80M,-25.50M,85.80M,,0.50M,,,,,60.30M,19.50M,,,,0.50M,,-12.50M,3.40M,-7.60M,,-11.40M,-17.50M,-7.90M,236.30M,216.80M,19.50M,,-0.01,-0.02,-0.0106,-0.03,,-0.01,-0.02,-0.0106,-0.03,,533.20M,533.20M,0.00,,,
1999-05,863.80M,863.80M,685.90M,177.90M,124.10M,81.60M,,,,,,,205.70M,-27.80M,,,,,,-42.20M,-17.10M,-27.70M,,-2.60M,-27.70M,-27.70M,176.20M,204.00M,-27.80M,,-0.05,0.00,-0.05,-0.05,,-0.05,0.00,-0.05,-0.05,,532.60M,532.60M,0.00,,,
1999-02,1.026B,1.026B,763.50M,262.30M,125.50M,85.50M,,0.40M,,,,,211.00M,51.30M,,,,0.40M,,-16.10M,16.10M,22.40M,,-1.50M,22.40M,22.16M,270.70M,219.40M,51.30M,,0.04,0.00,0.0395,0.04,,0.04,0.00,0.0396,0.04,,528.60M,545.80M,0.00,,,
1998-11,793.60M,793.60M,685.50M,108.10M,103.00M,67.70M,,1.00M,,,,,170.70M,-62.60M,,,,1.00M,,-69.50M,-27.60M,-46.20M,,-4.30M,-46.20M,-46.80M,126.90M,189.50M,-62.60M,,-0.10,0.00,-0.1012,-0.10,,-0.10,0.00,-0.1012,-0.10,,491.40M,491.40M,0.00,,,
1998-08,692.10M,692.10M,447.30M,244.80M,134.40M,76.50M,,-0.60M,,,,,382.80M,-138.00M,,,,-0.60M,,-145.30M,-52.00M,-93.30M,,-5.90M,-93.30M,-92.91M,33.90M,171.90M,-138.00M,,-0.22,0.00,-0.2191,-0.22,,-0.22,0.00,-0.2191,-0.22,,422.47M,422.47M,0.00,,,
1998-05,612.70M,612.70M,458.20M,154.50M,111.40M,70.70M,,0.70M,,,,,333.30M,-178.80M,,,,0.70M,,-180.20M,-70.80M,-109.40M,,-2.10M,-109.40M,-109.82M,-27.60M,151.10M,-178.80M,,-0.26,0.00,-0.2610,-0.26,,-0.26,0.00,-0.2610,-0.26,,420.77M,420.77M,0.00,,,
1998-02,763.20M,763.20M,617.50M,145.70M,138.60M,72.00M,,159.40M,,,,,357.80M,-212.10M,,,,159.40M,,-61.70M,-10.80M,-50.90M,,-9.00M,-50.90M,-182.40M,-64.80M,147.30M,-212.10M,,-0.12,0.00,-0.4300,-0.12,,-0.12,0.00,-0.4300,-0.12,,424.17M,424.17M,0.00,,,
1997-11,957.30M,957.30M,615.40M,341.90M,126.00M,67.20M,,0.10M,,,,,329.50M,12.40M,,,,0.10M,,11.00M,4.50M,6.50M,,-0.20M,6.50M,6.44M,148.70M,136.30M,12.40M,,0.02,0.00,0.0198,0.02,,0.02,0.00,0.0198,0.02,,325.00M,325.00M,0.00,,,
1997-08,953.90M,953.90M,191.80M,762.10M,112.60M,77.30M,,1.50M,,,,,666.20M,95.90M,,,,1.50M,,80.70M,41.30M,54.80M,,-4.20M,54.80M,53.90M,221.90M,126.00M,95.90M,,0.14,0.00,0.1377,0.14,,0.12,0.00,0.1180,0.12,,386.40M,449.80M,0.00,,,
1997-05,965.00M,965.00M,650.00M,315.00M,93.40M,52.60M,,,,,,,146.00M,169.00M,,,,,,170.50M,67.80M,96.80M,,-5.90M,96.80M,96.80M,291.40M,122.40M,169.00M,,0.23,0.00,0.23,0.23,,0.22,0.00,0.22,0.22,,420.60M,429.80M,0.00,,,
1997-02,876.20M,876.20M,657.50M,218.70M,94.90M,46.80M,,205.10M,,,,,141.70M,77.00M,,,,205.10M,,280.30M,131.20M,142.70M,,-6.40M,142.70M,19.64M,194.60M,117.60M,77.00M,,0.33,0.00,0.0445,0.33,,0.33,0.00,0.0454,0.33,,431.00M,432.40M,0.00,,,
1996-11,728.10M,728.10M,462.60M,265.50M,75.80M,47.20M,,9.20M,,,,,233.30M,32.20M,,,,9.20M,,36.20M,15.60M,20.60M,,-3.10M,20.60M,15.08M,142.50M,110.30M,32.20M,,0.05,0.00,0.0366,0.05,,0.05,0.00,0.0366,0.05,,412.00M,412.00M,0.00,,,
1996-08,700.50M,700.50M,550.20M,150.30M,79.50M,46.10M,,4.40M,,,,,107.20M,43.10M,,,,4.40M,,28.50M,1.50M,18.60M,,,18.60M,14.43M,145.10M,102.00M,43.10M,,0.05,0.00,0.0402,0.05,,0.05,0.00,0.0402,0.05,,424.60M,424.60M,0.00,,,
1996-05,771.00M,771.00M,558.00M,213.00M,67.10M,51.20M,,,,,,,118.30M,94.70M,,,,,,96.80M,38.60M,58.20M,,,58.20M,58.20M,192.90M,98.20M,94.70M,,0.14,0.00,0.14,0.14,,0.14,0.00,0.14,0.14,,429.00M,429.00M,0.025,,,
1996-02,996.50M,996.50M,552.10M,444.40M,100.30M,48.00M,,,,,,,148.30M,296.10M,,,,,,112.30M,112.30M,188.20M,,,188.20M,188.20M,386.40M,90.30M,296.10M,,0.44,0.00,0.44,0.44,,0.44,0.00,0.44,0.44,,430.40M,430.40M,0.025,,,
1995-11,1.186B,1.186B,538.10M,647.70M,76.40M,46.60M,,,,,,,123.00M,524.70M,,,,,,533.10M,204.60M,328.50M,,,328.50M,328.50M,597.90M,73.20M,524.70M,,0.76,0.00,0.76,0.76,,0.76,0.00,0.76,0.76,,434.40M,434.40M,0.025,,,
1995-08,1.028B,1.028B,479.50M,548.50M,67.10M,39.30M,,0.00,,,,,77.40M,471.10M,,,,0.00,,449.70M,168.60M,281.10M,,,281.10M,281.10M,532.50M,61.40M,471.10M,,0.65,0.00,0.65,0.65,,0.64,0.00,0.64,0.64,,435.00M,453.40M,0.025,,,
1995-05,761.20M,761.20M,357.20M,404.00M,54.40M,33.60M,,29.00M,,,,29.00M,117.00M,287.00M,,,,29.00M,,352.40M,132.20M,220.20M,,,220.20M,202.08M,338.00M,51.00M,287.00M,,0.51,0.00,0.4679,0.51,,0.51,0.00,0.4679,0.51,,430.20M,430.20M,0.025,,,
1995-02,628.50M,628.50M,267.50M,361.00M,39.00M,28.90M,,,,,,,67.90M,293.10M,,,,,,299.60M,116.10M,183.50M,,,183.50M,183.50M,338.00M,44.90M,293.10M,,0.43,0.00,0.43,0.43,,0.43,0.00,0.43,0.43,,425.60M,428.80M,0.0125,,,
1994-11,535.00M,535.00M,224.50M,310.50M,38.20M,27.00M,,,,,,,65.20M,245.30M,,,,,,248.90M,89.60M,159.30M,,,159.30M,159.30M,287.00M,41.70M,245.30M,,0.38,0.00,0.38,0.38,,0.38,0.00,0.38,0.38,,421.60M,421.60M,0.0125,,,
1994-08,491.61M,491.61M,211.74M,279.87M,32.74M,27.42M,,,,,,,60.16M,219.71M,,,,,,221.68M,79.82M,141.86M,,,141.86M,141.86M,260.83M,41.12M,219.71M,,0.34,0.00,0.34,0.34,,0.33,0.00,0.33,0.33,,422.61M,424.34M,0.0125,,,
1994-05,426.39M,426.39M,206.97M,219.42M,35.77M,22.93M,,,,,,-2.293M,56.41M,163.01M,,,,,,163.01M,58.68M,104.33M,,,104.33M,104.33M,215.41M,52.40M,163.01M,,0.25,0.00,0.25,0.25,,0.25,0.00,0.25,0.25,,422.52M,422.52M,0.0125,,,
1994-02,390.46M,390.46M,204.10M,186.35M,33.09M,18.71M,,,,,,,51.81M,134.55M,,,,,,135.56M,48.80M,86.76M,,,86.76M,86.76M,181.53M,46.99M,134.55M,,0.21,0.00,0.21,0.21,,0.21,0.00,0.21,0.21,,415.18M,415.18M,0.00,,,
1993-11,320.10M,320.10M,125.90M,194.20M,48.40M,,,0.40M,,,,,89.10M,105.10M,,,,0.40M,,105.60M,38.00M,67.60M,,,67.60M,67.34M,145.80M,40.70M,105.10M,,0.17,0.00,0.1694,0.17,,0.17,0.00,0.1694,0.17,,397.65M,397.65M,0.005,,,
1993-08,306.00M,306.00M,127.50M,178.50M,44.10M,,,,,,,,79.90M,98.60M,,,,,,98.20M,35.30M,62.90M,,,62.90M,62.90M,134.40M,35.80M,98.60M,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,477.90M,477.90M,0.00,,,
1993-05,214.90M,214.90M,95.10M,119.80M,35.80M,,,,,,,,73.00M,46.80M,,,,,,46.10M,16.60M,29.50M,,,29.50M,29.50M,84.00M,37.20M,46.80M,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,368.75M,368.75M,0.00,,,
1993-02,176.40M,176.40M,87.90M,88.50M,37.40M,,,,,,,,73.20M,15.30M,,,,,,14.00M,5.00M,9.00M,,,9.00M,9.00M,51.10M,35.80M,15.30M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,300.00M,300.00M,0.00,,,
1992-11,131.00M,131.00M,67.90M,63.10M,27.90M,,,,,,,,57.80M,5.30M,,,,,,4.20M,1.50M,2.70M,,,2.70M,2.70M,35.20M,29.90M,5.30M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,388.29M,388.29M,0.005,,,
1992-08,135.20M,135.20M,76.30M,58.90M,25.50M,,,,,,,,54.00M,4.90M,,,,,,3.80M,0.90M,2.90M,,,2.90M,2.90M,33.40M,28.50M,4.90M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,383.37M,383.37M,0.00,,,
1992-05,131.10M,131.10M,75.40M,55.70M,26.50M,,,,,,,,52.00M,3.70M,,,,,,2.60M,0.90M,1.70M,,,1.70M,1.70M,29.90M,26.20M,3.70M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,381.70M,381.70M,0.00,,,
1992-02,128.20M,128.20M,74.40M,53.80M,25.50M,,,,,,,,50.70M,3.10M,,,,,,2.30M,0.80M,1.50M,,,1.50M,1.50M,28.30M,25.00M,3.10M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,380.67M,380.67M,0.00,,,
1991-11,111.80M,111.80M,59.60M,52.20M,24.80M,,,,,,,,50.20M,2.00M,,,,,,1.00M,0.40M,0.60M,,,0.60M,0.60M,27.40M,25.40M,2.00M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,375.40M,375.40M,0.005,,,
1991-08,123.80M,123.80M,65.90M,57.90M,17.10M,,,,,,,,41.20M,16.70M,,,,,,15.00M,5.40M,9.60M,,,9.60M,9.60M,40.80M,24.10M,16.70M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,450.00M,450.00M,,,,
1991-05,126.80M,126.80M,67.30M,59.50M,24.60M,,,,,,,,46.70M,12.80M,,,,,,10.90M,3.90M,7.00M,,,7.00M,7.00M,34.90M,19.80M,12.80M,,0.03,0.00,0.03,0.03,,0.03,0.00,0.03,0.03,,383.33M,383.33M,,,,
1991-02,94.50M,94.50M,55.00M,39.50M,18.10M,,,,,,,,41.30M,-1.80M,,,,,,-3.40M,-1.20M,-2.20M,,,-2.20M,-2.20M,21.40M,20.30M,-1.80M,,-0.01,0.00,-0.01,-0.01,,-0.01,0.00,-0.01,-0.01,,310.00M,310.00M,,,,
1990-11,80.30M,80.30M,48.80M,31.50M,21.00M,,,,,,,,47.20M,-15.70M,,,,,,-16.60M,-7.30M,-9.30M,,,-9.30M,-9.30M,10.50M,26.20M,-15.70M,,-0.03,0.00,-0.03,-0.03,,-0.03,0.00,-0.03,-0.03,,310.00M,310.00M,,,,
1990-08,105.30M,105.30M,60.00M,45.30M,18.60M,,,,,,,,39.90M,5.40M,,,,,,4.50M,1.50M,3.00M,,,3.00M,3.00M,26.70M,21.30M,5.40M,,0.0081,,0.0081,0.0081,,0.0081,,0.0081,0.0081,,368.97M,368.97M,,,,
1990-05,84.10M,84.10M,44.70M,39.40M,18.60M,,,,,,,,35.60M,3.80M,,,,,,2.80M,1.00M,1.80M,,,1.80M,1.80M,25.70M,21.90M,3.80M,,0.01,0.00,0.01,0.01,,0.01,0.00,0.01,0.01,,368.57M,368.57M,,,,
1990-02,77.50M,77.50M,44.70M,32.80M,18.90M,,,,,,,,36.40M,-3.60M,,,,,,,-4.40M,,,,,,15.90M,19.50M,-3.60M,,,,,,,,,,,,368.12M,368.12M,,,,
1989-11,66.50M,66.50M,35.10M,31.40M,17.40M,,,1.60M,,,,,33.00M,-1.60M,,,,1.60M,,,,,,,,,14.00M,15.60M,-1.60M,,,,,,,,,,,,367.86M,367.86M,,,,
1989-08,103.00M,103.00M,51.60M,51.40M,18.40M,,,3.30M,,,,,31.40M,20.00M,,,,3.30M,,23.40M,7.40M,16.00M,,,16.00M,13.74M,33.00M,13.00M,20.00M,,0.04,0.00,0.0341,0.04,,0.04,0.00,0.0341,0.04,,382.25M,382.25M,,,,
1989-05,119.20M,119.20M,52.70M,66.50M,17.20M,,,3.90M,,,,,25.70M,40.80M,,,,3.90M,,44.70M,15.90M,28.80M,,,28.80M,26.29M,49.30M,8.50M,40.80M,,0.08,0.00,0.0730,0.08,,0.08,0.00,0.0730,0.08,,360.00M,360.00M,,,,
1989-02,113.80M,113.80M,,,,,,,,,,,,113.80M,,,,,,,,29.20M,,,29.20M,,113.80M,,113.80M,,0.08,0.00,0.08,0.08,,0.08,0.00,0.08,0.08,,357.78M,357.78M,,,,
1988-11,110.40M,110.40M,30.90M,79.50M,24.30M,,,3.90M,,,,,31.70M,47.80M,,,,3.90M,,51.70M,19.50M,32.20M,,,32.20M,29.77M,55.20M,7.40M,47.80M,,0.09,0.00,0.0832,0.09,,0.09,0.00,0.0832,0.09,,357.78M,357.78M,,,,
1988-08,113.40M,113.40M,,,,,,,,,,,,-68.20M,,,,,,,,43.30M,,,43.30M,,-68.20M,,-68.20M,,,,,,,,,,,,328.74M,328.74M,,,,
1988-05,85.60M,85.60M,,,,,,,,,,,,85.60M,,,,,,,,29.30M,,,29.30M,,85.60M,,85.60M,,0.10,0.00,0.10,0.10,,0.10,0.00,0.10,0.10,,298.10M,298.10M,,,,
1988-02,58.30M,58.30M,,,,,,,,,,,,58.30M,,,,,,,,16.90M,,,16.90M,,58.30M,,58.30M,,0.07,0.00,0.07,0.07,,0.06,0.00,0.06,0.06,,258.10M,258.10M,,,,
1987-11,43.20M,43.20M,,,,,,,,,,,,43.20M,,,,,,,,8.40M,,,8.40M,,43.20M,,43.20M,,0.04,0.00,0.04,0.04,,0.04,0.00,0.04,0.04,,258.10M,258.10M,,,,
1987-08,29.50M,29.50M,,,,,,,,,,,,-79.90M,,,,,,,,1.50M,,,1.50M,,-79.90M,,-79.90M,,,,,,,,,,,,258.05M,258.05M,,,,
1987-05,22.80M,22.80M,,,,,,,,,,,,22.80M,,,,,,,,-3.70M,,,-3.70M,,22.80M,,22.80M,,-0.02,0.00,-0.02,-0.02,,-0.02,0.00,-0.02,-0.02,,256.39M,256.39M,,,,
1987-02,20.10M,20.10M,,,,,,,,,,,,20.10M,,,,,,,,-10.90M,,,-10.90M,,20.10M,,20.10M,,-0.05,0.00,-0.05,-0.05,,-0.05,0.00,-0.05,-0.05,,256.39M,256.39M,,,,
1986-11,18.80M,18.80M,,,,,,,,,,,,18.80M,,,,,,,,-9.70M,,,-9.70M,,18.80M,,18.80M,,-0.05,0.00,-0.05,-0.05,,-0.05,0.00,-0.05,-0.05,,212.21M,212.21M,,,,
1986-08,20.00M,20.00M,,,,,,,,,,,,-57.50M,,,,,,,,-5.80M,,,-5.80M,,-57.50M,,-57.50M,,,,,,,,,,,,212.21M,212.21M,,,,
1986-05,14.40M,14.40M,,,,,,,,,,,,14.40M,,,,,,,,-6.70M,,,-6.70M,,14.40M,,14.40M,,-0.04,0.00,-0.04,-0.04,,-0.04,0.00,-0.04,-0.04,,191.82M,191.82M,,,,
1986-02,9.40M,9.40M,,,,,,,,,,,,9.40M,,,,,,,,-9.80M,,,-9.80M,,9.40M,,9.40M,,-0.05,0.00,-0.05,-0.05,,-0.05,0.00,-0.05,-0.05,,191.82M,191.82M,,,,
1985-11,5.00M,5.00M,,,,,,,,,,,,5.00M,,,,,,,,-11.60M,,,-11.60M,,5.00M,,5.00M,,-0.06,0.00,-0.06,-0.06,,-0.06,0.00,-0.06,-0.06,,191.60M,191.60M,,,,
1985-08,6.20M,6.20M,,,,,,,,,,,,-74.50M,,,,,,,,-7.30M,,,-7.30M,,-74.50M,,-74.50M,,,,,,,,,,,,191.60M,191.60M,,,,
1985-05,14.40M,14.40M,,,,,,,,,,,,14.40M,,,,,,,,-5.80M,,,-5.80M,,14.40M,,14.40M,,-0.03,0.00,-0.03,-0.03,,-0.03,0.00,-0.03,-0.03,,190.00M,190.00M,,,,
1985-02,18.20M,18.20M,,,,,,,,,,,,18.20M,,,,,,,,2.80M,,,2.80M,,18.20M,,18.20M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,190.87M,190.87M,,,,
1984-11,37.20M,37.20M,,,,,,,,,,,,37.20M,,,,,,,,10.50M,,,10.50M,,37.20M,,37.20M,,0.06,0.00,0.06,0.06,,0.06,0.00,0.06,0.06,,192.37M,192.37M,,,,
1984-08,37.40M,37.40M,,,,,,,,,,,,-12.60M,,,,,,,,11.00M,,,11.00M,,-12.60M,,-12.60M,,,,,,,,,,,,175.53M,175.53M,,,,
1984-05,29.40M,29.40M,,,,,,,,,,,,29.40M,,,,,,,,13.10M,,,13.10M,,29.40M,,29.40M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,192.37M,192.37M,,,,
1984-02,12.30M,12.30M,,,,,,,,,,,,12.30M,,,,,,,,2.90M,,,2.90M,,12.30M,,12.30M,,0.02,0.00,0.02,0.02,,0.02,0.00,0.02,0.02,,192.37M,192.37M,,,,
