,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
1998-05,,507.90M,200.50M,708.40M,397.80M,,397.80M,68.40M,165.60M,144.70M,,378.70M,9.30M,,77.70M,,1.572B,0.00,35.10M,880.10M,2.858B,,713.00M,4.486B,-1.490B,2.996B,,89.10M,89.10M,,,76.50M,3.161B,4.733B,,527.10M,,,527.10M,,527.10M,,,,101.80M,,101.80M,5.60M,5.60M,,117.30M,751.80M,718.00M,,718.00M,283.20M,,283.20M,145.40M,,61.00M,1.062B,1.814B,,21.30M,2.234B,518.60M,,,,2.774B,,,
1998-02,,561.10M,373.80M,934.90M,353.70M,,353.70M,79.40M,219.50M,149.10M,,448.00M,10.90M,,81.50M,,1.829B,0.00,35.20M,861.70M,2.635B,,681.80M,4.214B,-1.365B,2.848B,,92.00M,92.00M,,,69.80M,3.010B,4.839B,,578.90M,,,578.90M,,578.90M,,,,108.60M,,108.60M,4.90M,4.90M,,45.50M,737.90M,740.70M,,740.70M,284.10M,,284.10M,142.90M,,58.70M,1.084B,1.821B,,21.30M,2.340B,513.40M,,,,2.875B,,,
1997-11,,342.40M,585.80M,928.20M,436.60M,,436.60M,150.10M,201.80M,129.50M,,481.40M,11.90M,,53.40M,,1.912B,0.00,36.70M,875.10M,2.489B,,758.30M,4.159B,-1.304B,2.855B,,67.80M,67.80M,,,68.30M,2.991B,4.903B,,659.70M,,,659.70M,,659.70M,,,,105.70M,,105.70M,6.70M,6.70M,,31.50M,803.60M,744.50M,,744.50M,254.70M,,254.70M,132.60M,,71.10M,1.070B,1.874B,,21.10M,2.387B,488.10M,,,,2.896B,,,
1997-08,,619.50M,,619.50M,458.90M,,458.90M,,,,,454.20M,,,,439.80M,1.972B,,,,,,,3.951B,-1.190B,2.761B,,,,,,117.70M,2.879B,4.851B,,546.10M,,,546.10M,,546.10M,,,,126.60M,,126.60M,,,,77.20M,749.90M,762.30M,,762.30M,239.80M,,239.80M,136.50M,,79.70M,1.082B,1.832B,,,2.378B,,,,,2.883B,,,
1997-05,,433.50M,87.50M,521.00M,367.30M,,367.30M,102.30M,167.00M,107.30M,,376.60M,13.30M,,60.00M,,1.338B,0.00,37.70M,801.50M,2.300B,,667.90M,3.808B,-1.095B,2.713B,,51.40M,51.40M,,,51.90M,2.816B,4.154B,,466.10M,,,466.10M,,466.10M,,,,113.40M,,113.40M,13.00M,13.00M,,54.80M,647.30M,281.20M,,281.20M,224.60M,,224.60M,132.90M,,79.40M,585.20M,1.232B,,21.10M,2.306B,461.60M,,,,2.789B,,,
1997-02,,582.90M,6.00M,588.90M,304.00M,,304.00M,123.70M,154.00M,54.00M,,331.70M,12.00M,,52.30M,,1.289B,0.00,37.60M,789.80M,2.233B,,659.60M,3.720B,-1.005B,2.715B,,41.60M,41.60M,,,18.30M,2.775B,4.064B,,521.60M,,,521.60M,,521.60M,,,,113.70M,,113.70M,10.40M,10.40M,,47.60M,693.30M,291.30M,,291.30M,204.10M,,204.10M,125.90M,,68.70M,564.10M,1.257B,,21.00M,2.210B,450.10M,,,,2.681B,,,
1996-11,,222.30M,5.50M,227.80M,315.30M,,315.30M,133.50M,128.10M,42.50M,,304.10M,14.10M,,48.80M,,910.10M,,,,,,,3.644B,-904.00M,2.740B,,42.60M,42.60M,,,27.90M,2.811B,3.721B,,427.00M,,,427.00M,,427.00M,,,,103.80M,,103.80M,10.10M,10.10M,,63.50M,604.40M,305.60M,,305.60M,163.40M,,163.40M,57.30M,,61.80M,530.80M,1.135B,,20.90M,2.067B,440.20M,,,,2.528B,,,
1996-08,,276.10M,10.70M,286.80M,347.40M,,347.40M,84.30M,112.80M,54.30M,,251.40M,13.40M,,65.00M,,964.00M,0.00,37.30M,674.40M,2.073B,,753.90M,3.539B,-830.90M,2.708B,,43.20M,43.20M,,,36.20M,2.788B,3.752B,,423.70M,,,423.70M,,423.70M,,,,165.20M,,165.20M,7.80M,7.80M,,67.80M,664.50M,314.60M,,314.60M,157.40M,,157.40M,53.80M,,59.20M,531.20M,1.196B,,20.90M,2.046B,434.70M,,,,2.502B,,,
1996-05,,393.00M,7.00M,400.00M,299.10M,,299.10M,101.40M,133.80M,59.20M,,294.40M,15.40M,,87.70M,,1.097B,0.00,37.30M,618.20M,1.951B,,757.90M,3.364B,-765.40M,2.599B,,47.70M,47.70M,,,55.80M,2.702B,3.799B,,474.10M,,,474.10M,,474.10M,,,,257.40M,,257.40M,13.60M,13.60M,,87.30M,832.40M,211.80M,,211.80M,168.70M,,168.70M,,,110.00M,490.50M,1.323B,,20.80M,2.028B,427.40M,,,,2.476B,,,
1996-02,,387.20M,10.50M,397.70M,419.10M,,419.10M,94.50M,135.90M,63.80M,,294.20M,17.30M,,85.00M,,1.213B,0.00,36.20M,540.60M,1.799B,,663.30M,3.039B,-719.80M,2.319B,,46.90M,46.90M,,,62.60M,2.429B,3.642B,,497.80M,,,497.80M,,497.80M,,,,233.10M,,233.10M,20.20M,20.20M,,98.70M,849.80M,143.70M,,143.70M,131.00M,,131.00M,,,103.70M,378.40M,1.228B,,20.80M,1.980B,412.80M,,,,2.414B,,,
1995-11,,172.80M,434.20M,607.00M,576.70M,,576.70M,107.40M,130.70M,28.20M,,266.30M,15.70M,,64.00M,,1.530B,0.00,36.20M,477.50M,1.579B,,439.00M,2.532B,-697.80M,1.834B,,48.00M,48.00M,,,66.90M,1.949B,3.479B,,808.00M,,,808.00M,,808.00M,,,,28.90M,,28.90M,20.50M,20.50M,,95.30M,952.70M,121.80M,,121.80M,119.80M,,119.80M,,,57.20M,298.80M,1.252B,,20.70M,1.802B,404.50M,,,,2.227B,,,
1995-08,,128.10M,427.70M,555.80M,455.40M,,455.40M,87.90M,99.10M,17.80M,,204.80M,9.10M,,49.00M,,1.274B,0.00,34.40M,392.00M,1.338B,,259.20M,2.024B,-638.40M,1.386B,,41.60M,41.60M,,,73.60M,1.501B,2.775B,,502.30M,,,502.30M,,502.30M,,,,26.50M,,26.50M,16.40M,16.40M,,59.60M,604.80M,129.40M,,129.40M,93.30M,,93.30M,,,51.20M,273.90M,878.70M,,20.60M,1.484B,391.50M,,,,1.896B,,,
1995-05,,118.20M,505.50M,623.70M,342.50M,,342.50M,84.50M,95.60M,17.20M,,197.30M,7.60M,,35.10M,,1.206B,0.00,21.50M,346.40M,1.142B,,173.00M,1.683B,-583.10M,1.100B,,42.60M,42.60M,,,54.90M,1.198B,2.404B,,415.70M,,,415.70M,,415.70M,,,,25.90M,,25.90M,13.30M,13.30M,,57.00M,511.90M,162.40M,,162.40M,66.40M,,66.40M,,,45.70M,274.50M,786.40M,,20.60M,1.213B,387.70M,,,-4.00M,1.618B,,,
1995-02,,81.50M,495.20M,576.70M,266.10M,,266.10M,3.80M,78.80M,60.20M,,142.80M,4.80M,,19.60M,,1.01B,0.00,8.00M,308.90M,993.20M,,111.60M,1.422B,-554.10M,867.60M,,43.90M,43.90M,,,35.30M,946.80M,1.957B,,238.60M,,,238.60M,,238.60M,,,,25.80M,,25.80M,13.60M,13.60M,,23.00M,301.00M,168.20M,,168.20M,63.60M,,63.60M,,,28.40M,260.20M,561.20M,,10.30M,1.003B,386.50M,,,-4.60M,1.396B,,,
1994-11,,138.50M,421.30M,559.80M,284.00M,,284.00M,46.90M,68.70M,7.10M,,122.70M,4.40M,,18.50M,,989.40M,0.00,8.00M,304.70M,911.60M,,52.30M,1.277B,-534.30M,742.30M,,46.00M,46.00M,,,28.90M,817.20M,1.807B,,303.30M,,,303.30M,,303.30M,,,,25.40M,,25.40M,13.80M,13.80M,,25.00M,367.50M,152.80M,,152.80M,53.90M,,53.90M,,,23.70M,230.40M,597.90M,,10.20M,825.00M,376.80M,,,-3.30M,1.209B,,,
1994-08,,78.40M,,78.40M,590.30M,,590.30M,31.70M,64.20M,5.20M,,101.10M,3.30M,,20.10M,,793.20M,0.00,7.90M,260.00M,825.50M,,68.70M,1.162B,-498.60M,663.50M,,48.20M,48.20M,,,24.80M,736.50M,1.530B,,200.20M,,,200.20M,,200.20M,,,,29.80M,,29.80M,13.00M,13.00M,,31.20M,274.20M,124.70M,,124.70M,54.10M,,54.10M,,,27.40M,206.20M,480.40M,,10.20M,670.80M,369.70M,,,-1.40M,1.049B,,,
1994-05,,51.20M,315.11M,366.30M,210.32M,,210.32M,34.15M,56.99M,8.221M,,99.36M,2.94M,,16.39M,,695.32M,0.00,7.968M,235.55M,762.20M,,67.23M,1.073B,-473.16M,599.80M,,50.69M,50.69M,,,18.33M,668.82M,1.364B,,199.65M,,,199.65M,,199.65M,,,,29.18M,,29.18M,10.15M,10.15M,,17.82M,256.80M,127.55M,,127.55M,42.24M,,42.24M,,,28.83M,198.62M,455.42M,,10.17M,534.00M,365.99M,,,-1.449M,908.72M,,,
1994-02,,40.77M,182.41M,223.18M,192.88M,,192.88M,29.93M,59.13M,6.533M,,95.59M,3.939M,,13.93M,,529.52M,0.00,7.968M,223.48M,692.36M,,57.21M,981.02M,-447.06M,533.96M,,58.08M,58.08M,,,19.86M,611.90M,1.141B,,179.92M,,,179.92M,,179.92M,,,,20.64M,,20.64M,5.735M,5.735M,,19.44M,225.73M,42.59M,,42.59M,45.93M,,45.93M,,,24.23M,112.75M,338.48M,,4.052M,434.76M,365.61M,,,-1.474M,802.95M,,,
1993-11,,51.80M,,51.80M,,,332.60M,,,,,97.90M,,,,31.40M,513.70M,,,,,,,880.40M,-390.90M,489.50M,,,,,,77.80M,567.30M,1.081B,,199.60M,,,199.60M,,199.60M,,,,24.50M,,24.50M,,,,36.50M,260.60M,41.90M,,41.90M,51.70M,,51.70M,,,17.30M,110.90M,371.50M,,,282.50M,,,,,709.50M,,,
1993-08,,47.50M,,47.50M,293.00M,,293.00M,,,,,83.20M,,,,16.40M,440.10M,,,,,,,828.70M,-390.90M,437.80M,,,,,,87.80M,525.60M,965.70M,,155.00M,,,155.00M,,155.00M,,,,25.40M,,25.40M,,,,30.40M,210.80M,54.40M,,54.40M,46.20M,,46.20M,,,14.80M,115.40M,326.20M,,,282.50M,,,,,639.50M,,,
1993-05,,15.30M,,15.30M,,,107.90M,,,,,88.20M,,,,123.90M,335.30M,,,,,,,704.10M,-297.80M,406.30M,,,,,,91.60M,497.90M,833.20M,,102.80M,,,102.80M,,102.80M,,,,25.00M,,25.00M,,,,30.00M,157.80M,57.90M,,57.90M,36.60M,,36.60M,,,12.70M,107.20M,265.00M,,,219.60M,,,,,568.20M,,,
1993-02,,18.70M,,18.70M,,,197.20M,,,,,82.20M,,,,1.00M,299.10M,,,,,,,686.50M,-297.80M,388.70M,,,,,,91.10M,479.80M,778.90M,,84.30M,,,84.30M,,84.30M,,,,31.70M,,31.70M,,,,22.30M,138.30M,62.30M,,62.30M,33.60M,,33.60M,,,10.80M,106.70M,245.00M,,,190.10M,,,,,533.90M,,,
1992-11,,19.80M,,19.80M,,,80.90M,,,,,83.80M,,,,57.70M,242.20M,,,,,,,686.50M,-297.80M,388.70M,,,,,,98.90M,487.60M,729.80M,,62.50M,,,62.50M,,62.50M,,,,27.70M,,27.70M,,,,18.70M,108.90M,56.90M,,56.90M,36.00M,,36.00M,,,9.80M,102.70M,211.60M,,,180.30M,,,,,518.20M,,,
1992-08,,35.70M,,35.70M,,,78.00M,,,,,74.50M,,,,38.80M,227.00M,,,,,,,694.10M,-297.80M,396.30M,,,,,,101.20M,497.50M,724.50M,,58.80M,,,58.80M,,58.80M,,,,27.20M,,27.20M,,,,20.10M,106.10M,61.60M,,61.60M,36.50M,,36.50M,,,9.10M,107.20M,213.30M,,,180.30M,,,,,511.20M,,,
1992-05,,14.30M,,14.30M,,,65.40M,,,,,80.50M,,,,43.60M,203.80M,,,,,,,665.70M,-276.20M,389.50M,,,,,,103.50M,493.00M,696.80M,,54.10M,,,54.10M,,54.10M,,,,24.70M,,24.70M,,,,12.30M,91.10M,57.20M,,57.20M,32.60M,,32.60M,,,9.80M,99.60M,190.70M,,,177.50M,,,,,506.10M,,,
1992-02,,21.10M,,21.10M,,,61.90M,,,,,82.70M,,,,46.80M,212.50M,,,,,,,663.70M,-268.20M,395.50M,,,,,,104.90M,500.40M,712.90M,,61.30M,,,61.30M,,61.30M,,,,25.10M,,25.10M,,,,16.80M,103.20M,62.50M,,62.50M,32.10M,,32.10M,,,12.40M,107.00M,210.20M,,,175.80M,,,,,502.70M,,,
1991-11,,11.40M,,11.40M,,,54.40M,,,,,84.10M,,,,61.50M,211.40M,,,,,,,622.20M,-226.30M,395.90M,,,,,,103.00M,498.90M,710.30M,,64.30M,,,64.30M,,64.30M,,,,23.20M,,23.20M,,,,19.80M,107.30M,65.30M,,65.30M,31.80M,,31.80M,,,10.70M,107.80M,215.10M,,,174.30M,,,,,495.20M,,,
1991-08,,22.10M,,22.10M,,,63.70M,,,,,76.20M,,,,51.20M,213.20M,,,,,,,615.70M,-226.30M,389.40M,,,,,,103.30M,492.70M,705.90M,,58.10M,,,58.10M,,58.10M,,,,23.80M,,23.80M,,,,16.10M,98.00M,69.60M,,69.60M,33.60M,,33.60M,,,9.90M,113.10M,211.10M,,,176.40M,,,,,494.80M,,,
1991-05,,17.50M,,17.50M,,,65.30M,,,,,73.40M,,,,44.50M,200.70M,,,,,,,547.20M,-159.20M,388.00M,,,,,,106.00M,494.00M,694.70M,,55.90M,,,55.90M,,55.90M,,,,32.70M,,32.70M,,,,16.80M,105.40M,69.60M,,69.60M,25.10M,,25.10M,,,10.30M,105.00M,210.40M,,,166.90M,,,,,484.30M,,,
1991-02,,25.30M,,25.30M,,,48.50M,,,,,69.00M,,,,35.50M,178.30M,,,,,,,545.80M,-159.20M,386.60M,,,,,,111.40M,498.00M,676.30M,,53.70M,,,53.70M,,53.70M,,,,26.30M,,26.30M,,,,8.10M,88.10M,86.90M,,86.90M,21.00M,,21.00M,,,6.30M,114.20M,202.30M,,,159.80M,,,,,474.00M,,,
1990-11,,15.50M,,15.50M,,,41.60M,,,,,65.30M,,,,44.10M,166.50M,,,,,,,546.50M,-159.20M,387.30M,,,,,,111.30M,498.60M,665.10M,,48.10M,,,48.10M,,48.10M,,,,25.60M,,25.60M,,,,8.50M,82.20M,76.00M,,76.00M,23.70M,,23.70M,,,7.60M,107.30M,189.50M,,,162.10M,,,,,475.60M,,,
1990-08,,28.60M,,28.60M,,,58.90M,,,,,55.40M,,,,55.20M,198.10M,,,,,,,544.30M,-159.20M,385.10M,,,,,,114.10M,499.20M,697.30M,,51.90M,,,51.90M,,51.90M,,,,24.70M,,24.70M,,,,24.20M,100.80M,74.10M,,74.10M,31.80M,,31.80M,,,6.40M,112.30M,213.10M,,,171.30M,,,,,484.20M,,,
1990-05,,5.10M,,5.10M,,,56.90M,,,,,59.70M,,,,90.40M,212.10M,,,,,,,478.40M,-112.40M,366.00M,,,,,,116.70M,482.70M,694.80M,,43.00M,,,43.00M,,43.00M,,,,22.90M,,22.90M,,,,21.50M,87.40M,76.20M,,76.20M,44.20M,,44.20M,,,6.40M,126.80M,214.20M,,,168.30M,,,,,480.60M,,,
1990-02,,6.00M,,6.00M,,,51.80M,,,,,57.20M,,,,96.50M,211.50M,,,,,,,473.90M,-112.40M,361.50M,,,,,,115.70M,477.20M,688.70M,,43.50M,,,43.50M,,43.50M,,,,21.80M,,21.80M,,,,20.70M,86.00M,79.60M,,79.60M,35.00M,,35.00M,,,9.90M,124.50M,210.50M,,,166.50M,,,,,478.20M,,,
1989-11,,49.40M,,49.40M,,,45.30M,,,,,54.60M,,,,106.90M,256.20M,,,,,,,462.60M,-112.40M,350.20M,,,,,,80.60M,430.80M,687.00M,,41.20M,,,41.20M,,41.20M,,,,20.50M,,20.50M,,,,22.90M,84.60M,83.20M,,83.20M,33.30M,,33.30M,,,8.20M,124.70M,209.30M,,,166.50M,,,,,477.70M,,,
1989-08,,11.70M,,11.70M,,,57.80M,,,,,44.40M,,,,165.00M,278.90M,,,,,,,438.40M,-112.40M,326.00M,,,,,,20.00M,346.00M,624.90M,,42.10M,,,42.10M,,42.10M,,,,11.60M,,11.60M,,,,16.70M,70.40M,39.70M,,39.70M,30.70M,,30.70M,,,7.50M,77.90M,148.30M,,,166.40M,,,,,476.60M,,,
1989-05,,19.80M,,19.80M,,,59.20M,,,,,41.50M,,,,158.70M,279.20M,,,,,,,377.40M,-100.50M,276.90M,,,,,,26.50M,303.40M,582.60M,,41.40M,,,41.40M,,41.40M,,,,8.90M,,8.90M,,,,19.00M,69.30M,28.00M,,28.00M,22.80M,,22.80M,,,3.40M,54.20M,123.50M,,,150.50M,,,,,459.10M,,,
1988-11,,74.00M,,74.00M,,,55.70M,,,,,31.50M,,,,148.20M,309.40M,,,,,,,244.20M,-84.90M,159.30M,,,,,,26.30M,185.60M,495.00M,,39.10M,,,39.10M,,39.10M,,,,3.60M,,3.60M,,,,26.60M,69.30M,8.80M,,8.80M,6.10M,,6.10M,,,18.20M,33.10M,102.40M,,,92.50M,,,,,392.60M,,,
1988-08,,164.30M,,164.30M,,,54.40M,,,,,26.20M,,,,5.40M,250.30M,,,,,,,196.20M,-78.80M,117.40M,,,,,,20.70M,138.10M,388.40M,,,,,,,,,,,5.90M,,5.90M,,,,58.60M,64.50M,17.70M,,17.70M,6.40M,,6.40M,,,11.80M,35.90M,100.40M,,,60.30M,,,,,288.00M,,,
1987-08,,9.40M,,9.40M,,,15.20M,,,,,17.80M,,,,1.30M,43.70M,,,,,,,142.80M,-58.60M,84.20M,,,,,,1.40M,85.60M,129.30M,,,,,,,,,,,6.70M,,6.70M,,,,11.90M,18.60M,24.90M,,24.90M,,,,,,13.20M,38.10M,56.70M,,,-37.60M,,,,,72.60M,,,
1986-08,,5.10M,,5.10M,,,10.30M,,,,,15.60M,,,,2.00M,33.00M,,,,,,,139.00M,-41.30M,97.70M,,,,,,1.60M,99.30M,132.30M,,,,,,,,,,,,,,,,,,9.70M,24.90M,,24.90M,,,,,,18.60M,43.50M,53.20M,,,-14.70M,,,,,79.10M,,,
1985-08,,1.20M,,1.20M,,,12.30M,,,,,12.70M,,,,0.50M,26.70M,,,,,,,127.40M,-22.90M,104.50M,,,,,,1.80M,106.30M,133.00M,,,,,,,,,,,,,,,,,,5.30M,25.00M,,25.00M,0.10M,,0.10M,,,10.50M,35.60M,40.90M,,,19.20M,,,,,92.10M,,,
1984-08,,19.80M,,19.80M,,,11.70M,,,,,7.80M,,,,3.40M,42.70M,,,,,,,84.30M,-7.30M,77.00M,,,,,,1.40M,78.40M,121.10M,,,,,,,,,,,,,,,,,,29.80M,,,,1.90M,,1.90M,,,0.10M,2.00M,31.80M,,,19.10M,,,,,89.30M,,,
