,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2002-06,476.34M,476.34M,272.61M,203.72M,78.92M,35.02M,3.158M,-8.435M,,,117.10M,86.62M,,,-8.435M,,68.89M,23.49M,45.40M,,45.40M,50.96M,108.55M,21.92M,86.62M,,0.48,0.00,0.5388,0.48,,0.47,0.00,0.5279,0.47,,94.57M,96.03M,0.15,,,
2002-03,445.84M,445.84M,259.86M,185.98M,75.39M,35.17M,3.158M,1.965M,,,113.71M,72.27M,,,1.965M,,63.80M,21.86M,41.95M,,41.95M,40.66M,92.74M,20.47M,72.27M,,0.44,0.00,0.4263,0.44,,0.44,0.00,0.4266,0.44,,94.53M,96.18M,0.15,,,
2001-12,419.17M,419.17M,241.16M,178.01M,73.94M,32.74M,11.84M,1.511M,,,118.53M,59.48M,,,1.511M,,47.05M,17.88M,29.17M,,29.17M,28.23M,89.79M,30.31M,59.48M,,0.31,0.00,0.3002,0.31,,0.31,0.00,0.3002,0.31,,95.27M,95.61M,0.15,,,
2001-09,462.72M,462.72M,268.63M,194.09M,72.54M,31.60M,11.49M,-7.005M,,,115.63M,78.46M,,,-7.005M,,54.91M,21.35M,33.56M,,33.56M,37.84M,109.31M,30.85M,78.46M,,0.35,0.00,0.3948,0.35,,0.35,0.00,0.3942,0.35,,95.47M,96.75M,0.15,,,
2001-06,478.22M,478.22M,269.51M,208.71M,81.00M,35.50M,11.40M,-9.786M,,,127.90M,80.81M,,,-9.786M,,53.39M,20.38M,33.00M,,33.00M,39.05M,113.72M,32.92M,80.81M,,0.34,0.00,0.4032,0.34,,0.34,0.00,0.4025,0.34,,95.76M,96.74M,0.15,,,
2001-03,483.66M,483.66M,284.14M,199.52M,85.84M,35.41M,11.36M,-12.18M,,,132.61M,66.92M,,,-12.18M,,32.44M,12.16M,20.27M,,20.27M,27.88M,96.33M,29.41M,66.92M,,0.21,0.00,0.2885,0.21,,0.21,0.00,0.2880,0.21,,96.98M,97.59M,0.15,,,
2000-12,384.53M,384.53M,219.19M,165.34M,61.08M,30.25M,,-31.09M,,,115.94M,49.40M,,,-31.09M,,2.643M,1.257M,1.386M,,1.386M,20.04M,74.01M,24.61M,49.40M,,0.03,0.00,0.2226,0.03,,0.03,0.00,0.2226,0.03,,96.84M,96.84M,0.15,,,
2000-09,339.59M,339.59M,172.44M,167.15M,66.20M,28.67M,,-10.30M,,,109.91M,57.24M,,,-10.30M,,42.75M,13.82M,28.93M,,28.93M,35.90M,72.28M,15.04M,57.24M,,0.29,0.00,0.3598,0.29,,0.29,0.00,0.3598,0.29,,99.83M,99.83M,0.38,,,
2000-06,368.76M,368.76M,199.29M,169.47M,66.02M,26.94M,,-0.203M,,,92.97M,76.50M,,,-0.203M,,73.22M,24.30M,48.92M,,48.92M,49.05M,91.69M,15.19M,76.50M,,0.48,0.00,0.4813,0.48,,0.48,0.00,0.4813,0.48,,102.36M,102.39M,0.38,,,
2000-03,369.91M,369.91M,186.58M,183.33M,65.34M,26.81M,,-9.025M,,,106.65M,76.67M,,,-9.025M,,65.51M,21.74M,43.78M,,43.78M,49.81M,91.17M,14.50M,76.67M,,0.42,0.00,0.4778,0.42,,0.42,0.00,0.4778,0.42,,104.26M,104.28M,0.38,,,
1999-12,336.00M,336.00M,164.10M,171.90M,73.00M,26.80M,,1.30M,,,116.40M,55.50M,,,1.30M,,55.10M,18.50M,36.60M,,36.60M,35.74M,72.10M,16.60M,55.50M,,0.35,0.00,0.3418,0.35,,0.35,0.00,0.3418,0.35,,105.69M,105.69M,0.38,,,
1999-09,364.70M,364.70M,185.10M,179.60M,61.80M,25.10M,,-3.10M,,,101.20M,78.40M,,,-3.10M,,74.00M,24.80M,49.20M,,49.20M,51.26M,92.70M,12.71M,78.40M,,0.46,0.00,0.4794,0.46,,0.46,0.00,0.4794,0.46,,106.00M,106.27M,0.38,,,
1999-06,371.08M,371.08M,205.21M,165.87M,64.21M,25.94M,,-33.36M,,,90.16M,75.71M,,,-33.36M,,41.15M,13.71M,27.43M,,27.43M,49.67M,90.11M,14.39M,75.71M,,0.26,0.00,0.4700,0.26,,0.26,0.00,0.4696,0.26,,105.93M,106.13M,0.38,,,
1999-03,367.76M,367.76M,193.80M,173.96M,63.60M,25.90M,,2.60M,,,102.20M,71.76M,,,2.60M,,73.40M,24.60M,48.80M,,48.80M,47.07M,84.46M,12.70M,71.76M,,0.46,0.00,0.4437,0.46,,0.46,0.00,0.4437,0.46,,106.09M,106.09M,0.38,,,
1998-12,318.85M,318.85M,164.10M,154.75M,62.60M,25.40M,,0.10M,,,100.70M,54.05M,,,0.10M,,53.40M,18.40M,35.00M,,35.00M,34.93M,66.75M,12.70M,54.05M,,0.33,0.00,0.3294,0.33,,0.33,0.00,0.3294,0.33,,106.50M,106.50M,0.38,,,
1998-09,349.80M,349.80M,180.90M,168.90M,58.30M,24.70M,,1.40M,,,95.30M,73.60M,,,1.40M,,74.70M,24.50M,50.20M,,50.20M,49.26M,85.90M,12.30M,73.60M,,0.47,0.00,0.4612,0.47,,0.47,0.00,0.4612,0.47,,106.81M,106.81M,0.37,,,
1998-06,365.30M,365.30M,183.30M,182.00M,60.50M,24.40M,,1.60M,,,96.90M,85.10M,,,1.60M,,86.10M,30.20M,55.90M,,55.90M,54.86M,97.10M,12.00M,85.10M,,0.52,0.00,0.5103,0.52,,0.52,0.00,0.5103,0.52,,107.50M,107.50M,0.37,,,
1998-03,373.40M,373.40M,186.20M,187.20M,57.40M,23.90M,,3.30M,,,93.30M,93.90M,,,3.30M,,96.80M,34.20M,62.60M,,62.60M,60.47M,105.90M,12.00M,93.90M,,0.58,0.00,0.5602,0.58,,0.58,0.00,0.5602,0.58,,107.93M,107.93M,0.37,,,
1997-12,306.30M,306.30M,157.10M,149.20M,58.90M,24.30M,,1.50M,,,96.00M,53.20M,,,1.50M,,54.30M,19.40M,34.90M,,34.90M,33.94M,66.00M,12.80M,53.20M,,0.32,0.00,0.3112,0.32,,0.32,0.00,0.3112,0.32,,109.08M,109.31M,0.37,,,
1997-09,356.20M,356.20M,179.30M,176.90M,54.90M,23.10M,,2.30M,,,90.70M,86.20M,,,2.30M,,87.90M,31.20M,56.70M,,56.70M,55.22M,98.90M,12.70M,86.20M,,0.52,0.00,0.5064,0.52,,0.52,0.00,0.5064,0.52,,109.04M,109.04M,0.36,,,
1997-06,381.50M,381.50M,191.60M,189.90M,57.00M,23.50M,,2.50M,,,93.00M,96.90M,,,2.50M,,98.80M,35.50M,63.30M,,63.30M,61.70M,109.40M,12.50M,96.90M,,0.58,0.00,0.5653,0.58,,0.57,0.00,0.5556,0.57,,109.14M,111.05M,0.36,,,
1997-03,382.80M,382.80M,195.00M,187.80M,56.30M,23.60M,,4.10M,,,92.20M,95.60M,,,4.10M,,99.10M,35.90M,63.20M,,63.20M,60.59M,107.90M,12.30M,95.60M,,0.58,0.00,0.5560,0.58,,0.58,0.00,0.5560,0.58,,108.97M,108.97M,0.36,,,
1996-12,324.10M,324.10M,166.10M,158.00M,81.10M,,,1.80M,,,94.20M,63.80M,,,1.80M,,64.80M,23.90M,40.90M,,40.90M,39.76M,76.90M,13.10M,63.80M,,0.37,0.00,0.3597,0.37,,0.37,0.00,0.3597,0.37,,110.63M,110.73M,0.36,,,
1996-09,354.90M,354.90M,182.20M,172.70M,79.10M,,,2.50M,,,90.70M,82.00M,,,2.50M,,83.60M,30.50M,53.10M,,53.10M,51.51M,93.60M,11.60M,82.00M,,0.48,0.00,0.4656,0.48,,0.48,0.00,0.4656,0.48,,110.62M,110.62M,0.34,,,
1996-06,374.40M,374.40M,190.40M,184.00M,78.50M,,,-47.00M,,,89.90M,94.10M,,,-47.00M,,46.40M,16.70M,29.70M,,29.70M,59.78M,105.50M,11.40M,94.10M,,0.26,0.00,0.5234,0.26,,0.26,0.00,0.5234,0.26,,114.23M,114.23M,0.34,,,
1996-03,382.80M,382.80M,192.40M,190.40M,78.20M,,,4.40M,,,89.90M,100.50M,,,4.40M,,104.30M,38.10M,66.20M,,66.20M,63.41M,112.20M,11.70M,100.50M,,0.60,0.00,0.5747,0.60,,0.59,0.00,0.5651,0.59,,110.33M,112.20M,0.34,,,
1995-12,311.50M,311.50M,162.00M,149.50M,79.10M,,,2.70M,,,88.70M,60.80M,,,2.70M,,62.90M,23.10M,39.80M,,39.80M,38.09M,70.40M,9.60M,60.80M,,0.36,0.00,0.3446,0.36,,0.36,0.00,0.3446,0.36,,110.78M,111.17M,0.34,,,
1995-09,360.10M,360.10M,176.00M,184.10M,75.40M,,,2.60M,,,86.10M,98.00M,,,2.60M,,99.60M,36.30M,63.30M,,63.30M,61.65M,108.70M,10.70M,98.00M,,0.57,0.00,0.5551,0.57,,0.57,0.00,0.5551,0.57,,111.05M,111.05M,0.31,,,
1995-06,394.30M,394.30M,187.20M,207.10M,78.30M,,,3.00M,,,89.00M,118.10M,,,3.00M,,120.00M,44.30M,75.70M,,75.70M,73.81M,128.80M,10.70M,118.10M,,0.68,0.00,0.663,0.68,,0.68,0.00,0.663,0.68,,111.32M,111.32M,0.31,,,
1995-03,373.60M,373.60M,181.10M,192.50M,75.70M,,,4.50M,,,85.40M,107.10M,,,4.50M,,111.10M,41.10M,70.00M,,70.00M,67.16M,116.80M,9.70M,107.10M,,0.63,0.00,0.6045,0.63,,0.63,0.00,0.6045,0.63,,111.11M,111.11M,0.31,,,
1994-12,304.80M,304.80M,152.30M,152.50M,77.40M,,,4.10M,,,87.10M,65.40M,,,4.10M,,68.80M,25.60M,43.20M,,43.20M,40.63M,75.10M,9.70M,65.40M,,0.39,0.00,0.3668,0.39,,0.39,0.00,0.3669,0.39,,110.93M,111.46M,0.31,,,
1994-09,341.70M,341.70M,167.70M,174.00M,73.10M,,,3.30M,,,82.00M,92.00M,,,3.30M,,93.90M,35.00M,58.90M,,58.90M,56.83M,100.90M,8.90M,92.00M,,0.53,0.00,0.5114,0.53,,0.53,0.00,0.5114,0.53,,111.13M,111.13M,0.27,,,
1994-06,345.20M,345.20M,164.50M,180.70M,70.00M,,,7.40M,,,79.10M,101.60M,,,7.40M,,103.50M,38.60M,64.90M,,64.90M,60.26M,110.70M,9.10M,101.60M,,0.58,0.00,0.5385,0.58,,0.58,0.00,0.5385,0.58,,111.90M,111.90M,0.27,,,
1994-03,323.50M,323.50M,156.90M,166.60M,68.20M,,,10.50M,,,76.90M,89.70M,,,10.50M,,94.00M,35.10M,58.90M,,58.90M,52.32M,98.40M,8.70M,89.70M,,0.53,0.00,0.4708,0.53,,0.53,0.00,0.4708,0.53,,111.13M,111.13M,0.27,,,
1993-12,259.50M,259.50M,129.00M,130.50M,67.60M,,,7.90M,,,76.50M,54.00M,,,7.90M,,57.00M,21.30M,35.70M,,35.70M,30.75M,62.90M,8.90M,54.00M,,0.32,0.00,0.2759,0.32,,0.31,0.00,0.2669,0.31,,112.32M,114.89M,0.2700,,,
1993-09,298.70M,298.70M,146.20M,152.50M,66.90M,,,9.00M,,,75.50M,77.00M,,,9.00M,,80.50M,30.90M,49.60M,,49.60M,44.05M,85.60M,8.60M,77.00M,,0.43,0.00,0.3819,0.43,,0.43,0.00,0.3819,0.43,,115.35M,115.35M,0.2500,,,
1993-06,321.30M,321.30M,153.10M,168.20M,67.50M,,,8.70M,,,76.30M,91.90M,,,8.70M,,96.80M,35.90M,60.90M,,60.90M,55.43M,100.70M,8.80M,91.90M,,0.53,0.00,0.4824,0.53,,0.53,0.00,0.4824,0.53,,114.91M,114.91M,0.2500,,,
1993-03,309.10M,309.10M,150.30M,158.80M,67.00M,,,9.50M,,,75.80M,83.00M,,,9.50M,,89.40M,33.20M,56.20M,,56.20M,50.23M,91.80M,8.80M,83.00M,,0.49,0.00,0.4379,0.49,,0.49,0.00,0.4379,0.49,,114.69M,114.69M,0.2500,,,
1992-12,254.30M,254.30M,126.90M,127.40M,89.40M,,,8.70M,,,98.00M,29.40M,,,8.70M,,33.70M,12.80M,20.90M,,14.80M,15.50M,38.00M,8.60M,29.40M,,0.18,-0.05,0.1330,0.13,,0.18,-0.05,0.1330,0.13,,114.86M,114.86M,0.2500,,,
1992-09,292.40M,292.40M,142.90M,149.50M,65.20M,,,6.10M,,,73.90M,75.60M,,,6.10M,,79.00M,29.30M,49.70M,,49.70M,45.86M,84.30M,8.70M,75.60M,,0.43,0.00,0.3968,0.43,,0.43,0.00,0.3968,0.43,,115.58M,115.58M,0.2266,,,
1992-06,295.60M,295.60M,140.40M,155.20M,63.10M,,,7.60M,,,71.60M,83.60M,,,7.60M,,88.10M,32.70M,55.40M,,55.40M,50.62M,92.10M,8.50M,83.60M,,0.48,0.00,0.4386,0.48,,0.48,0.00,0.4386,0.48,,115.42M,115.42M,0.2266,,,
1992-03,284.10M,284.10M,137.90M,146.20M,63.10M,,,8.00M,,,71.30M,74.90M,,,8.00M,,80.60M,30.00M,50.60M,,50.60M,45.58M,83.10M,8.20M,74.90M,,0.44,0.00,0.3963,0.44,,0.44,0.00,0.3963,0.44,,115.00M,115.00M,0.2266,,,
1991-12,225.70M,225.70M,112.20M,113.50M,61.10M,,,6.30M,,,68.70M,44.80M,,,6.30M,,48.60M,18.20M,30.40M,,30.40M,26.46M,52.40M,7.60M,44.80M,,0.26,0.00,0.2261,0.26,,0.26,0.00,0.2261,0.26,,116.16M,116.16M,0.2266,,,
1991-09,255.50M,255.50M,125.70M,129.80M,57.10M,,,4.80M,,,64.30M,65.50M,,,4.80M,,67.80M,25.40M,42.40M,,42.40M,39.40M,72.70M,7.20M,65.50M,,0.37,0.00,0.3438,0.37,,0.37,0.00,0.3438,0.37,,114.59M,114.59M,0.20,,,
1991-06,266.10M,266.10M,128.20M,137.90M,56.90M,,,6.60M,,,64.00M,73.90M,,,6.60M,,77.80M,29.00M,48.80M,,48.80M,44.66M,81.00M,7.10M,73.90M,,0.43,0.00,0.3935,0.43,,0.43,0.00,0.3935,0.43,,113.49M,113.49M,0.20,,,
1991-03,269.80M,269.80M,132.40M,137.40M,59.80M,,,7.10M,,,67.30M,70.10M,,,7.10M,,75.20M,28.20M,47.00M,,47.00M,42.56M,77.60M,7.50M,70.10M,,0.41,0.00,0.3713,0.41,,0.41,0.00,0.3713,0.41,,114.63M,114.63M,0.20,,,
1990-12,219.30M,219.30M,110.30M,109.00M,59.50M,,,7.80M,,,67.20M,41.80M,,,7.80M,,45.90M,17.00M,28.90M,,28.90M,23.99M,49.50M,7.70M,41.80M,,0.25,0.00,0.2074,0.25,,0.25,0.00,0.2074,0.25,,115.20M,115.20M,0.20,,,
1990-09,248.10M,248.10M,122.70M,125.40M,55.40M,,,6.00M,,,62.60M,62.80M,,,6.00M,,65.50M,25.20M,40.30M,,40.30M,36.61M,70.00M,7.20M,62.80M,,0.35,0.00,0.3179,0.35,,0.35,0.00,0.3179,0.35,,115.14M,115.14M,0.1800,,,
1990-06,253.90M,253.90M,122.50M,131.40M,53.50M,,,6.60M,,,60.30M,71.10M,,,6.60M,,73.80M,27.90M,45.90M,,45.90M,41.80M,77.90M,6.80M,71.10M,,0.40,0.00,0.3642,0.40,,0.40,0.00,0.3642,0.40,,114.75M,114.75M,0.1800,,,
1990-03,241.50M,241.50M,119.20M,122.30M,52.30M,,,14.40M,,,58.80M,63.50M,,,14.40M,,66.90M,25.30M,41.60M,,41.60M,32.65M,70.00M,6.50M,63.50M,,0.36,0.00,0.2825,0.36,,0.36,0.00,0.2825,0.36,,115.56M,115.56M,0.1800,,,
1989-12,188.60M,188.60M,95.40M,93.20M,51.20M,,,7.90M,,,57.60M,35.60M,,,7.90M,,38.90M,14.50M,24.40M,,24.40M,19.44M,42.00M,6.40M,35.60M,,0.22,0.00,0.1757,0.22,,0.22,0.00,0.1757,0.22,,111.83M,111.83M,0.1800,,,
1989-09,216.90M,216.90M,111.00M,105.90M,47.50M,,,4.00M,,,53.40M,52.50M,,,4.00M,,55.20M,21.00M,34.20M,,34.20M,31.72M,58.60M,6.10M,52.50M,,0.30,0.00,0.2783,0.30,,0.30,0.00,0.2783,0.30,,114.00M,114.00M,0.1600,,,
1989-06,236.80M,236.80M,115.70M,121.10M,49.70M,,,2.40M,,,55.60M,65.50M,,,2.40M,,66.90M,25.40M,41.50M,,41.50M,40.01M,71.40M,5.90M,65.50M,,0.37,0.00,0.3567,0.37,,0.37,0.00,0.3567,0.37,,112.16M,112.16M,0.1600,,,
1989-03,227.20M,227.20M,,,,,,,,,,227.20M,,,,,,,38.50M,,38.50M,,227.20M,,227.20M,,0.34,0.00,0.34,0.34,,0.34,0.00,0.34,0.34,,113.84M,113.84M,0.1600,,,
1988-12,181.20M,181.20M,,,,,,,,,,-447.40M,,,,,,,23.30M,,23.30M,,-447.40M,,-447.40M,,,,,,,,,,,,113.87M,113.87M,0.1600,,,
1988-09,200.10M,200.10M,,,,,,,,,,200.10M,,,,,,,30.70M,,30.70M,,200.10M,,200.10M,,0.27,0.00,0.27,0.27,,0.27,0.00,0.27,0.27,,113.69M,113.69M,0.1333,,,
1988-06,234.20M,234.20M,,,,,,,,,,234.20M,,,,,,,38.80M,,38.80M,,234.20M,,234.20M,,0.34,0.00,0.34,0.34,,0.34,0.00,0.34,0.34,,113.65M,113.65M,0.1333,,,
1988-03,224.00M,224.00M,,,,,,,,,,224.00M,,,,,,,35.90M,,35.90M,,224.00M,,224.00M,,0.32,0.00,0.32,0.32,,0.32,0.00,0.32,0.32,,113.44M,113.44M,0.1333,,,
1987-12,179.30M,179.30M,,,,,,,,,,-387.70M,,,,,,,21.30M,,21.30M,,-387.70M,,-387.70M,,,,,,,,,,,,113.46M,113.46M,0.1333,,,
1987-09,187.70M,187.70M,,,,,,,,,,187.70M,,,,,,,27.10M,,27.10M,,187.70M,,187.70M,,0.24,0.00,0.24,0.24,,0.24,0.00,0.24,0.24,,113.44M,113.44M,0.1033,,,
1987-06,199.90M,199.90M,,,,,,,,,,199.90M,,,,,,,31.00M,,31.00M,,199.90M,,199.90M,,0.27,0.00,0.27,0.27,,0.27,0.00,0.27,0.27,,112.87M,112.87M,0.1033,,,
1987-03,179.00M,179.00M,,,,,,,,,,179.00M,,,,,,,27.60M,,27.60M,,179.00M,,179.00M,,0.24,0.00,0.24,0.24,,0.24,0.00,0.24,0.24,,111.23M,111.23M,0.1033,,,
1986-12,145.70M,145.70M,,,,,,,,,,-335.10M,,,,,,,17.00M,,17.00M,,-335.10M,,-335.10M,,,,,,,,,,,,112.87M,112.87M,0.1033,,,
1986-09,164.90M,164.90M,,,,,,,,,,164.90M,,,,,,,22.50M,,22.50M,,164.90M,,164.90M,,0.20,0.00,0.20,0.20,,0.20,0.00,0.20,0.20,,112.46M,112.46M,0.0967,,,
1986-06,162.10M,162.10M,,,,,,,,,,162.10M,,,,,,,24.10M,,24.10M,,162.10M,,162.10M,,0.22,0.00,0.22,0.22,,0.22,0.00,0.22,0.22,,111.27M,111.27M,0.0967,,,
1986-03,148.00M,148.00M,,,,,,,,,,148.00M,,,,,,,22.10M,,22.10M,,148.00M,,148.00M,,0.20,0.00,0.20,0.20,,0.20,0.00,0.20,0.20,,110.81M,110.81M,0.0967,,,
1985-12,122.30M,122.30M,,,,,,,,,,-263.90M,,,,,,,14.60M,,14.60M,,-263.90M,,-263.90M,,,,,,,,,,,,111.27M,111.27M,0.0967,,,
1985-09,127.60M,127.60M,,,,,,,,,,127.60M,,,,,,,18.20M,,18.20M,,127.60M,,127.60M,,0.17,0.00,0.17,0.17,,0.17,0.00,0.17,0.17,,110.45M,110.45M,,,,
1985-06,129.80M,129.80M,,,,,,,,,,129.80M,,,,,,,19.20M,,19.20M,,129.80M,,129.80M,,0.17,0.00,0.17,0.17,,0.17,0.00,0.17,0.17,,110.27M,110.27M,,,,
1985-03,121.30M,121.30M,,,,,,,,,,121.30M,,,,,,,17.60M,,17.60M,,121.30M,,121.30M,,0.16,0.00,0.16,0.16,,0.16,0.00,0.16,0.16,,110.27M,110.27M,,,,
1984-12,103.80M,103.80M,,,,,,,,,,-258.90M,,,,,,,12.40M,,12.40M,,-258.90M,,-258.90M,,,,,,,,,,,,110.27M,110.27M,,,,
1984-09,118.40M,118.40M,,,,,,,,,,118.40M,,,,,,,16.90M,,16.90M,,118.40M,,118.40M,,0.15,0.00,0.15,0.15,,0.15,0.00,0.15,0.15,,110.22M,110.22M,,,,
1984-06,130.90M,130.90M,,,,,,,,,,130.90M,,,,,,,21.20M,,21.20M,,130.90M,,130.90M,,0.19,0.00,0.19,0.19,,0.19,0.00,0.19,0.19,,110.18M,110.18M,,,,
1984-03,123.50M,123.50M,,,,,,,,,,123.50M,,,,,,,18.70M,,18.70M,,123.50M,,123.50M,,0.17,0.00,0.17,0.17,,0.17,0.00,0.17,0.17,,110.05M,110.05M,,,,
