,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2012-12,313.87M,,,,-4.098M,,,22.05M,22.05M,-226.32M,,,13.28M,5.985M,21.35M,-1.691M,-13.97M,19.24M,,,-53.82M,95.88M,,2012-12,-10.03M,,-10.03M,,0.00,-4.824M,-14.86M,,2012-12,0.00,0.00,0.00,3.932M,-2.271M,1.661M,,,-3.97M,,2012-12,649.10M,78.71M,726.36M,,2012-12,3.932M,0.00,0.00,-2.271M,5.677M,,2012-12,AOR,Restated
2012-09,58.58M,,,,1.947M,,,23.44M,23.44M,-14.57M,,,12.40M,5.965M,7.763M,6.437M,1.133M,2.98M,,,-14.15M,91.93M,,2012-09,-7.663M,,-7.663M,,-65.39M,-44.86M,-117.92M,,2012-09,0.00,0.00,0.00,15.69M,-3.56M,12.13M,,,1.715M,,2012-09,661.66M,-12.14M,649.10M,,2012-09,15.69M,0.00,0.00,-3.56M,0.00,,2012-09,AOR,Restated
2012-06,36.39M,,,,-2.22M,,,21.80M,21.80M,0.236M,,,10.36M,8.613M,-43.66M,0.653M,5.959M,14.89M,,,14.46M,67.48M,,2012-06,-10.07M,,-10.07M,,0.00,-48.95M,-59.02M,,2012-06,,0.00,0.00,0.302M,-3.724M,-3.422M,,,-1.674M,,2012-06,659.69M,3.368M,661.66M,,2012-06,0.302M,0.00,,-3.724M,5.677M,,2012-06,AOR,Restated
2012-03,31.10M,,,,-1.949M,,,21.94M,21.94M,0.223M,,,11.52M,6.48M,60.17M,-0.154M,-5.545M,-19.58M,,,-43.50M,60.71M,,2012-03,-8.201M,,-8.201M,,-1.041M,-0.206M,-9.448M,,2012-03,,,,12.76M,-6.173M,6.588M,,,2.803M,,2012-03,601.60M,60.65M,659.69M,,2012-03,12.76M,,,-6.173M,0.00,,2012-03,AOR,Restated
2011-12,72.23M,,19.22M,,3.483M,,,22.71M,22.71M,5.416M,-22.07M,,12.00M,-32.53M,13.06M,2.947M,0.335M,24.88M,,,-40.33M,62.14M,,2011-12,-13.72M,,-13.72M,,0.00,5.172M,-8.546M,,2011-12,-147.17M,,-147.17M,2.72M,-4.299M,-1.579M,,,-3.19M,,2011-12,696.10M,-98.35M,601.60M,,2011-12,2.72M,,-147.17M,-4.299M,,,2011-12,AOR,Restated
2011-09,-33.23M,,-5.544M,,-5.544M,,,22.65M,22.65M,0.07M,7.481M,,11.89M,62.57M,-0.806M,-2.78M,17.75M,-23.18M,,,-3.735M,52.43M,,2011-09,-6.391M,,-6.391M,,-21.19M,2.039M,-25.54M,,2011-09,0.00,,0.00,6.692M,-2.537M,4.155M,,,1.93M,,2011-09,665.32M,32.97M,696.10M,,2011-09,6.692M,,0.00,-2.537M,,,2011-09,AOR,Restated
2011-06,33.23M,,-9.229M,,-9.229M,,,23.38M,23.38M,-4.876M,7.324M,,10.34M,-4.222M,26.89M,-2.971M,7.425M,-27.97M,,,10.78M,69.41M,,2011-06,-6.131M,,-6.131M,,-20.33M,8.199M,-18.26M,,2011-06,0.00,,0.00,1.405M,-4.535M,-3.13M,,,0.807M,,2011-06,612.21M,48.83M,665.32M,,2011-06,1.405M,,0.00,-4.535M,,,2011-06,AOR,Restated
2011-03,,,-4.447M,,-4.447M,,,22.91M,22.91M,0.065M,7.263M,,9.357M,6.876M,37.64M,-4.016M,-5.456M,-20.68M,,,12.05M,56.36M,,2011-03,-5.181M,,-5.181M,,-2.538M,3.566M,-4.153M,,2011-03,-2.829M,,-2.829M,8.897M,-2.854M,6.043M,,,0.16M,,2011-03,557.41M,55.59M,612.21M,,2011-03,8.897M,,-2.829M,-2.854M,,,2011-03,AOR,Restated
2010-12,126.54M,0.799M,5.133M,-0.105M,0.227M,,,23.54M,23.54M,6.426M,-18.33M,0.00,10.64M,-136.86M,17.98M,-10.52M,1.436M,56.97M,,,-17.28M,57.01M,,2010-12,-3.136M,0.00,-5.842M,2.706M,-2.706M,0.317M,-5.525M,,2010-12,85.10M,,85.10M,0.374M,-3.065M,-2.691M,,0.00,-90.23M,,2010-12,509.04M,43.67M,557.41M,,2010-12,0.374M,-0.28M,85.38M,-3.065M,,,2010-12,AOR,Restated
2010-09,-36.82M,-0.799M,1.802M,0.032M,1.035M,,,23.46M,23.46M,-1.351M,7.03M,-1.436M,12.01M,163.99M,8.301M,-5.082M,-10.05M,-2.718M,,,-111.58M,46.43M,,2010-09,-10.36M,0.90M,-9.275M,-0.189M,-2.166M,-2.357M,-13.99M,,2010-09,-2.44M,,-2.44M,5.15M,-1.761M,3.389M,,0.00,-9.683M,,2010-09,475.60M,23.71M,509.04M,,2010-09,5.15M,0.00,-2.44M,-1.761M,,,2010-09,AOR,Restated
