,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2002-06,221.35M,221.35M,129.54M,91.81M,66.25M,4.972M,,,,,,71.22M,20.59M,,,,,,20.05M,7.219M,12.83M,,,,12.83M,11.25M,20.59M,,2002-06,0.18,0.18,0.18,,2002-06,0.18,0.18,0.18,,71.30M,,,2002-06,,
2002-03,244.59M,244.59M,144.12M,100.47M,64.74M,5.478M,,,,,,70.22M,30.25M,,,,,,29.52M,10.92M,18.60M,,,,18.60M,11.53M,30.25M,,2002-03,0.27,0.27,0.27,,2002-03,0.26,0.26,0.26,,71.97M,,,2002-03,,
2001-12,218.64M,218.64M,129.79M,88.84M,60.38M,4.958M,,,,,,65.34M,23.51M,,,,,,22.23M,8.224M,14.00M,,,,14.00M,11.62M,23.51M,,2001-12,0.20,0.20,0.20,,2001-12,0.20,0.20,0.20,,70.02M,,,2001-12,,
2001-09,206.39M,206.39M,121.72M,84.67M,62.96M,4.978M,,,,,,67.94M,16.73M,,,,,,14.63M,5.415M,9.219M,,,,9.219M,11.85M,16.73M,,2001-09,0.13,0.13,0.13,,2001-09,0.13,0.13,0.13,,70.92M,,,2001-09,,
2001-06,197.07M,197.07M,115.86M,81.21M,64.80M,6.292M,,,,,,71.09M,10.12M,,,,,,6.957M,2.574M,4.383M,,,,4.383M,11.88M,10.12M,,2001-06,0.06,0.06,0.06,,2001-06,0.06,0.06,0.06,,73.05M,,,2001-06,,
2001-03,218.63M,218.63M,131.94M,86.69M,85.84M,6.923M,,,,,,58.80M,27.89M,,,,,,-22.95M,-6.326M,-16.63M,,,,-16.63M,12.60M,27.89M,,2001-03,-0.24,-0.24,-0.24,,2001-03,-0.24,-0.24,-0.24,,56.37M,,,2001-03,,
2000-12,204.46M,204.46M,102.19M,102.28M,63.45M,5.752M,,,,,,80.97M,21.31M,,,,,,16.63M,6.235M,10.39M,,,,10.39M,11.77M,21.31M,,2000-12,0.15,0.15,0.15,,2000-12,0.15,0.15,0.15,,69.27M,,,2000-12,,
2000-09,193.18M,193.18M,96.86M,96.32M,63.72M,5.479M,,,,,,80.38M,15.94M,,,,,,10.75M,4.024M,6.724M,,,,6.724M,11.19M,15.94M,,2000-09,0.10,0.10,0.10,,2000-09,0.10,0.10,0.10,,67.24M,,,2000-09,,
2000-06,183.81M,183.81M,94.59M,89.22M,66.78M,5.821M,,,,,,83.62M,5.606M,,,,,,1.335M,0.507M,0.828M,,,,0.828M,11.01M,5.606M,,2000-06,0.01,0.01,0.01,,2000-06,0.01,0.01,0.01,,82.80M,,,2000-06,,
2000-03,190.13M,190.13M,124.83M,65.30M,84.25M,6.469M,,,,,,100.29M,-34.99M,,,,,,-38.99M,-14.77M,-24.22M,,,,-24.22M,9.572M,-34.99M,,2000-03,-0.35,-0.35,-0.35,,2000-03,-0.36,-0.36,-0.36,,75.48M,,,2000-03,,
1999-12,195.10M,195.10M,97.90M,97.20M,61.10M,5.80M,,,,,,77.00M,20.20M,,,,,,17.60M,6.70M,10.90M,,,,10.90M,10.10M,20.20M,,1999-12,0.16,0.16,0.16,,1999-12,0.16,0.16,0.16,,68.12M,,,1999-12,,
1999-09,198.60M,198.60M,97.90M,100.70M,58.60M,5.70M,,,,,,74.40M,26.30M,,,,,,23.20M,8.80M,14.40M,,,,14.40M,10.10M,26.30M,,1999-09,0.21,0.21,0.21,,1999-09,0.21,0.21,0.21,,68.57M,,,1999-09,,
1999-06,176.81M,176.81M,84.90M,91.91M,57.70M,6.20M,0.40M,,,,,73.80M,18.11M,,,,0.40M,,15.00M,5.70M,9.30M,,,,9.30M,9.90M,18.11M,,1999-06,0.14,0.1363,0.14,,1999-06,0.14,0.1363,0.14,,66.43M,,,1999-06,,
1999-03,226.90M,226.90M,115.30M,111.60M,57.40M,6.50M,0.90M,,,,,74.30M,37.30M,,,,0.90M,,35.20M,6.40M,28.80M,,,,28.80M,10.40M,37.30M,,1999-03,0.42,0.4093,0.42,,1999-03,0.41,0.3995,0.41,,69.96M,,,1999-03,,
1998-12,205.80M,205.80M,101.60M,104.20M,49.80M,6.20M,0.20M,,,,,63.70M,40.50M,,,,0.20M,,37.70M,14.70M,23.00M,,,,23.00M,7.70M,40.50M,,1998-12,0.34,0.3382,0.34,,1998-12,0.33,0.3282,0.33,,69.70M,,,1998-12,,
1998-09,191.10M,191.10M,93.50M,97.60M,50.70M,6.10M,0.40M,,,,,64.90M,32.70M,,,,0.40M,,30.80M,12.00M,18.80M,,,,18.80M,8.055M,32.70M,,1998-09,0.27,0.2665,0.27,,1998-09,0.27,0.2665,0.27,,69.63M,,,1998-09,,
1998-06,173.78M,173.78M,92.46M,81.31M,49.53M,6.029M,,,,,,55.56M,25.75M,,,,,,23.52M,9.17M,14.34M,,,,14.34M,7.145M,25.75M,,1998-06,0.105,0.105,0.105,,1998-06,0.105,0.105,0.105,,141.36M,,,1998-06,,
