,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2006-06,1.008B,1.008B,4.013B,,4.013B,1.250B,,6.271B,,,,,,5.441B,-3.048B,2.393B,2.340B,1.572B,3.912B,,,465.10M,6.770B,13.04B,597.50M,,597.50M,2.684B,3.281B,,,86.80M,,86.80M,578.60M,578.60M,612.40M,4.559B,1.397B,,1.397B,,,,,,737.10M,2.134B,6.693B,186.50M,4.582B,1.753B,349.10M,175.30M,6.348B
2006-03,1.291B,1.291B,3.733B,,3.733B,1.269B,,6.292B,0.00,913.40M,4.454B,,,5.368B,-3.048B,2.320B,2.306B,1.629B,3.935B,,,474.50M,6.730B,13.02B,705.10M,793.70M,1.499B,1.443B,2.942B,,,85.30M,,85.30M,634.30M,634.30M,,4.369B,1.377B,,1.377B,,,,,,770.90M,2.148B,6.516B,194.90M,4.693B,1.882B,347.10M,106.80M,6.505B
2005-12,773.20M,773.20M,3.715B,,3.715B,1.423B,,5.911B,,,,,,5.51B,-3.155B,2.355B,,2.293B,2.293B,,,2.064B,6.713B,12.62B,615.30M,,615.30M,2.070B,2.685B,,,115.30M,,115.30M,647.10M,647.10M,494.20M,3.942B,1.322B,,1.322B,,,,,,851.90M,2.174B,6.116B,193.90M,4.843B,1.756B,347.10M,62.80M,6.508B
2005-09,404.60M,404.60M,3.724B,,3.724B,1.305B,,5.434B,,,,,,5.514B,-3.155B,2.360B,,2.756B,2.756B,,,1.652B,6.768B,12.20B,637.10M,,637.10M,1.894B,2.531B,,,72.10M,,72.10M,629.40M,629.40M,406.30M,3.639B,1.301B,,1.301B,,,,,,979.10M,2.280B,5.920B,192.60M,4.639B,1.708B,347.00M,89.20M,6.282B
2005-06,427.30M,427.30M,3.723B,,3.723B,1.158B,,5.308B,,,,,,5.524B,-3.155B,2.369B,,2.757B,2.757B,,,1.764B,6.889B,12.20B,692.30M,,692.30M,2.013B,2.705B,,,67.50M,,67.50M,600.10M,600.10M,403.20M,3.776B,1.302B,,1.302B,,,,,,924.40M,2.226B,6.002B,192.40M,4.540B,1.700B,347.00M,110.20M,6.195B
2005-03,1.010B,1.010B,3.538B,,3.538B,1.058B,,5.690B,0.00,1.024B,4.496B,,,5.520B,-3.155B,2.365B,2.343B,1.741B,4.084B,,,494.40M,6.944B,12.63B,836.00M,395.80M,1.232B,1.320B,2.552B,,,85.70M,,85.70M,562.70M,562.70M,16.90M,3.878B,1.303B,,1.303B,,,,,,958.30M,2.261B,6.139B,191.70M,4.408B,1.67B,19.30M,254.90M,6.495B
2004-12,753.60M,753.60M,3.618B,,3.618B,1.028B,782.10M,6.182B,,,,,,5.169B,-2.852B,2.318B,2.432B,,2.432B,,,2.167B,6.917B,13.10B,686.80M,,686.80M,1.865B,2.551B,,,579.30M,,579.30M,572.40M,572.40M,641.80M,4.345B,1.805B,,1.805B,,,,,,745.40M,2.55B,6.895B,191.50M,3.996B,1.660B,19.30M,375.70M,6.204B
2004-09,546.30M,546.30M,3.789B,,3.789B,935.00M,,5.27B,,,,,,5.140B,-2.852B,2.288B,2.617B,,2.617B,,,2.154B,7.059B,12.33B,652.70M,,652.70M,1.856B,2.509B,,,562.50M,,562.50M,516.70M,516.70M,408.00M,3.996B,1.806B,,1.806B,,,,,,743.40M,2.549B,6.545B,189.60M,3.839B,1.586B,19.20M,188.20M,5.784B
2004-06,359.90M,359.90M,3.705B,,3.705B,716.10M,,4.781B,,,,,,5.068B,-2.852B,2.216B,2.600B,,2.600B,,,2.218B,7.035B,11.82B,632.90M,,632.90M,1.698B,2.331B,,,59.90M,,59.90M,479.30M,479.30M,357.50M,3.228B,2.306B,,2.306B,,,,,,700.60M,3.007B,6.234B,189.10M,3.708B,1.566B,19.20M,137.10M,5.582B
2004-03,562.80M,562.80M,3.370B,,3.370B,664.00M,,5.234B,0.00,873.10M,4.116B,,,4.989B,-2.819B,2.17B,2.298B,1.533B,3.830B,,,569.60M,6.570B,11.80B,794.70M,302.50M,1.097B,1.014B,2.111B,,,60.10M,,60.10M,331.00M,331.00M,133.40M,3.260B,2.306B,,2.306B,,,,,,734.10M,3.040B,6.300B,188.30M,3.598B,1.539B,19.20M,198.40M,5.504B
2003-12,148.40M,148.40M,3.622B,,3.622B,608.30M,,4.379B,,,,,,4.329B,-2.185B,2.144B,2.655B,,2.655B,,,1.928B,6.728B,11.11B,573.70M,,573.70M,1.560B,2.134B,,,58.80M,,58.80M,242.30M,242.30M,342.60M,2.778B,2.391B,,2.391B,,,,,,680.40M,3.072B,5.849B,187.90M,3.407B,1.527B,19.20M,154.60M,5.257B
2003-09,199.10M,199.10M,3.451B,,3.451B,608.80M,,4.259B,,,,,,4.295B,-2.185B,2.110B,2.590B,,2.590B,,,1.908B,6.608B,10.87B,592.00M,,592.00M,1.560B,2.152B,,,208.20M,,208.20M,222.90M,222.90M,282.00M,2.865B,2.340B,,2.340B,,,,,,690.50M,3.031B,5.896B,187.70M,3.279B,1.520B,19.20M,4.30M,4.972B
2003-06,143.30M,143.30M,3.516B,,3.516B,562.70M,,4.222B,,,,,,4.345B,-2.185B,2.160B,2.571B,,2.571B,,,1.920B,6.651B,10.87B,552.40M,,552.40M,1.626B,2.179B,,,252.70M,,252.70M,276.60M,276.60M,256.80M,2.965B,2.400B,,2.400B,,,,,,664.00M,3.064B,6.028B,187.60M,3.171B,1.512B,19.00M,-7.20M,4.844B
2003-03,299.60M,299.60M,3.320B,,3.320B,468.30M,,4.088B,0.00,823.30M,3.320B,,,4.144B,-2.156B,1.988B,2.507B,1.279B,3.786B,,,571.10M,6.345B,10.43B,643.20M,217.80M,861.00M,990.00M,1.851B,,,274.80M,,274.80M,222.60M,222.60M,,2.987B,2.205B,,2.205B,,,,,,634.70M,2.840B,5.827B,187.20M,,1.502B,19.00M,-142.50M,4.606B
2002-12,161.00M,161.00M,2.853B,,2.853B,515.10M,,3.529B,,,,,,2.067B,-206.00M,1.861B,1.749B,,1.749B,,,1.745B,5.355B,8.884B,477.00M,,477.00M,1.250B,1.727B,,,208.90M,,208.90M,218.80M,218.80M,286.80M,2.442B,2.024B,,2.024B,,,,,,366.40M,2.390B,4.832B,172.20M,2.916B,1.067B,19.00M,-84.50M,4.052B
2002-09,132.20M,132.20M,2.71B,,2.71B,539.70M,,3.382B,,,,,,3.893B,-2.006B,1.887B,1.722B,,1.722B,,,1.786B,5.395B,8.777B,519.80M,,519.80M,1.266B,1.786B,,,266.00M,,266.00M,208.30M,208.30M,263.50M,2.524B,2.027B,,2.027B,,,,,,321.30M,2.348B,4.872B,172.10M,2.810B,1.065B,19.10M,-122.80M,3.906B
2002-06,123.30M,123.30M,2.811B,,2.811B,445.40M,,3.380B,,,,,,3.806B,-1.920B,1.886B,1.717B,,1.717B,,,1.804B,5.408B,8.787B,550.80M,,550.80M,1.310B,1.860B,,,402.70M,,402.70M,232.40M,232.40M,207.80M,2.703B,1.938B,,1.938B,,,,,,345.30M,2.283B,4.986B,172.00M,2.717B,1.061B,18.60M,-131.10M,3.801B
2002-03,149.10M,149.10M,2.754B,,2.754B,401.20M,,3.304B,0.00,712.70M,3.172B,,,3.884B,-1.976B,1.908B,,1.368B,1.368B,,,2.030B,5.306B,8.610B,530.40M,144.00M,674.40M,876.90M,1.551B,,,331.00M,,331.00M,284.20M,284.20M,,2.708B,1.873B,,1.873B,,,,,,405.80M,2.279B,4.987B,171.60M,,1.048B,18.50M,-215.40M,3.624B
2001-12,124.20M,124.20M,2.825B,,2.825B,482.10M,,3.431B,,,,,,3.468B,-1.649B,1.819B,1.651B,,1.651B,,,1.701B,5.171B,8.602B,467.60M,,467.60M,1.355B,1.822B,,,451.20M,,451.20M,194.60M,194.60M,224.10M,2.692B,2.015B,,2.015B,,,,,,418.30M,2.433B,5.126B,171.20M,2.497B,1.033B,18.50M,-206.30M,3.477B
2001-09,112.30M,112.30M,2.853B,,2.853B,561.20M,,3.527B,,,,,,3.555B,-1.649B,1.906B,1.668B,,1.668B,,,1.594B,5.168B,8.694B,554.00M,,554.00M,1.275B,1.829B,,,798.50M,,798.50M,197.50M,197.50M,205.70M,3.031B,1.845B,,1.845B,,,,,,423.80M,2.269B,5.299B,170.50M,2.410B,1.011B,17.50M,-178.60M,3.395B
2001-06,85.60M,85.60M,2.819B,,2.819B,511.40M,,3.416B,,,,,,3.588B,-1.649B,1.939B,1.654B,,1.654B,,,1.522B,5.115B,8.531B,574.00M,,574.00M,654.40M,1.228B,,,722.00M,,722.00M,222.20M,222.20M,731.00M,2.904B,1.972B,,1.972B,,,,,,380.40M,2.352B,5.256B,169.70M,2.342B,985.90M,17.50M,-205.30M,3.275B
2001-03,184.70M,184.70M,2.621B,,2.621B,398.50M,,3.204B,0.00,567.10M,2.940B,,,3.507B,-1.649B,1.858B,,933.40M,933.40M,,,2.179B,4.971B,8.175B,502.50M,160.80M,663.30M,833.70M,1.497B,,,1.355B,,1.355B,198.90M,198.90M,,3.589B,1.029B,,1.029B,,,,,,341.30M,1.371B,4.960B,169.10M,,965.20M,17.50M,-195.80M,3.215B
2000-12,171.30M,171.30M,,,2.832B,,433.10M,3.436B,,,,,,3.206B,-1.656B,1.550B,,986.20M,986.20M,,,2.014B,4.55B,7.986B,470.30M,,470.30M,,470.30M,,,1.211B,,1.211B,,,1.726B,3.407B,1.072B,,1.072B,,,,,,207.70M,1.279B,4.686B,168.90M,2.332B,957.30M,17.40M,-140.60M,3.300B
2000-09,135.10M,135.10M,,,2.517B,,396.80M,3.049B,,,,,,2.997B,-1.547B,1.450B,,944.50M,944.50M,,,1.064B,3.458B,6.508B,464.20M,,464.20M,,464.20M,,,197.20M,,197.20M,,,1.224B,1.886B,1.223B,,1.223B,,,,,,197.70M,1.421B,3.306B,168.70M,2.266B,950.30M,16.60M,-167.20M,3.201B
2000-06,121.20M,121.20M,,,2.488B,,282.10M,2.891B,,,,,,2.925B,-1.528B,1.397B,,1.005B,1.005B,,,1.007B,3.409B,6.30B,338.40M,,338.40M,,338.40M,,,557.00M,,557.00M,,,1.347B,2.243B,726.80M,,726.80M,,,,,,200.60M,927.40M,3.170B,168.50M,2.157B,931.10M,16.40M,-110.40M,3.130B
2000-03,260.40M,260.40M,2.192B,,2.192B,314.41M,,2.766B,0.00,413.74M,2.330B,,,2.744B,-1.469B,1.275B,903.19M,,903.19M,,,929.68M,3.108B,5.874B,406.90M,,406.90M,1.084B,1.491B,,,249.23M,,249.23M,137.06M,137.06M,106.41M,1.984B,652.37M,,652.37M,83.80M,,83.80M,,,110.02M,846.18M,2.830B,167.90M,2.061B,907.12M,16.14M,-75.96M,3.044B
1999-12,239.40M,239.40M,,,2.152B,,338.80M,2.730B,,,,,,2.689B,-1.431B,1.258B,,823.60M,823.60M,,,768.00M,2.850B,5.580B,290.30M,,290.30M,,290.30M,,,308.40M,,308.40M,,,1.318B,1.917B,656.90M,,656.90M,,,,,,117.70M,774.60M,2.692B,167.30M,1.918B,884.10M,15.90M,-66.10M,2.888B
1999-09,262.90M,262.90M,,,1.984B,,309.40M,2.556B,,,,,,2.510B,-1.346B,1.163B,,726.80M,726.80M,,,685.50M,2.575B,5.131B,316.30M,,316.30M,,316.30M,,,243.60M,,243.60M,,,1.181B,1.741B,667.40M,,667.40M,,,,,,118.30M,785.70M,2.527B,160.60M,1.746B,764.90M,15.20M,-51.50M,2.605B
1999-06,233.40M,233.40M,,,1.933B,,319.60M,2.486B,,,,,,2.448B,-1.293B,1.154B,,702.40M,702.40M,,,652.90M,2.510B,4.996B,349.40M,,349.40M,,349.40M,,,456.00M,,456.00M,,,1.140B,1.945B,420.80M,,420.80M,,,,,,132.60M,553.40M,2.498B,,1.656B,,,,2.497B
1999-03,617.90M,617.90M,1.890B,,1.890B,,296.30M,2.805B,,,,,,2.369B,-1.257B,1.112B,,727.00M,727.00M,,,616.50M,2.456B,5.260B,403.20M,,403.20M,,403.20M,,,603.90M,,603.90M,,,1.136B,2.143B,399.70M,,399.70M,,,,,,129.00M,528.70M,2.672B,165.50M,1.668B,823.30M,14.40M,-53.60M,2.588B
1998-12,168.00M,168.00M,,,1.860B,,272.60M,2.301B,,,,,,2.201B,-1.173B,1.028B,,614.30M,614.30M,,,643.20M,2.285B,4.586B,294.40M,,294.40M,,294.40M,,,627.20M,,627.20M,,,1.061B,1.982B,198.60M,,198.60M,,,,,,105.00M,303.60M,2.286B,,1.461B,,,,2.300B
1998-09,242.10M,242.10M,,,1.651B,,263.00M,2.156B,,,,,,2.117B,-1.113B,1.004B,,537.80M,537.80M,,,606.30M,2.148B,4.304B,284.40M,,284.40M,,284.40M,,,183.40M,,183.40M,,,965.20M,1.433B,575.70M,,575.70M,,,,,,85.60M,661.30M,2.094B,,1.374B,,,,2.210B
1998-06,200.00M,200.00M,,,1.567B,,265.10M,2.032B,,,,,,2.021B,-1.050B,971.80M,,522.40M,522.40M,,,595.20M,2.089B,4.121B,268.40M,,268.40M,,268.40M,,,181.70M,,181.70M,,,913.20M,1.363B,579.70M,,579.70M,,,,,,98.40M,678.10M,2.041B,,1.301B,,,,2.08B
