,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,3.555B,3.555B,2.932B,623.10M,208.70M,-6.20M,,,,,443.70M,179.40M,,,,-6.20M,,133.10M,40.80M,92.30M,,,,92.30M,96.60M,431.60M,252.20M,179.40M,0.49,0.0,,0.5128,0.49,0.49,0.0,,0.5128,0.49,188.37M,188.37M,0.0
2003-03,3.079B,3.079B,2.403B,676.20M,192.40M,,,,,,414.20M,262.00M,,,,,,223.40M,60.70M,162.70M,,,,162.70M,162.70M,491.80M,226.50M,265.30M,0.93,0.0,,0.93,0.93,0.93,0.0,,0.93,0.93,175.38M,175.40M,0.0
2002-12,2.794B,2.794B,2.248B,545.10M,167.60M,,,,,,362.90M,182.20M,,,,,,147.60M,41.90M,105.70M,,,,105.70M,105.70M,391.00M,208.80M,182.20M,0.62,0.0,,0.62,0.62,0.61,0.0,,0.61,0.61,170.48M,173.28M,0.0
2002-09,2.720B,2.720B,2.185B,535.00M,174.30M,,,,,,371.80M,163.20M,,,,,,129.50M,36.60M,92.90M,,,,92.90M,92.90M,379.00M,215.80M,163.20M,0.54,0.0,,0.54,0.54,0.54,0.0,,0.54,0.54,171.62M,172.28M,0.0
2002-06,2.765B,2.765B,2.233B,532.10M,181.60M,,,,,,388.30M,143.80M,,,,,,111.20M,32.20M,79.00M,,,,79.00M,79.00M,350.50M,206.40M,143.80M,0.46,0.0,,0.46,0.46,0.46,0.0,,0.46,0.46,171.74M,171.74M,0.0
2002-03,3.035B,3.035B,2.384B,650.60M,193.90M,,,,,,412.80M,237.80M,,,,,,203.90M,62.80M,141.10M,,,,141.10M,141.10M,469.00M,213.80M,250.10M,0.82,0.0,,0.82,0.82,0.82,0.0,,0.82,0.82,170.95M,172.67M,0.0
2001-12,2.894B,2.894B,2.345B,548.70M,184.00M,,,,,,388.20M,160.50M,,,,,,125.60M,38.50M,87.10M,,,,87.10M,87.10M,379.40M,218.90M,160.50M,0.51,0.0,,0.51,0.51,0.51,0.0,,0.51,0.51,170.48M,171.75M,0.0
2001-09,2.765B,2.765B,2.228B,537.50M,182.80M,,,,,,399.50M,138.00M,,,,,,98.40M,30.20M,68.20M,,,,68.20M,68.20M,354.70M,215.40M,138.00M,0.4,0.0,,0.4,0.4,0.4,0.0,,0.4,0.4,170.50M,170.50M,0.0
2001-06,2.714B,2.714B,2.239B,474.60M,172.30M,,,,,,371.60M,103.00M,,,,,,68.90M,21.20M,47.70M,,,,47.70M,47.70M,312.50M,209.50M,103.00M,0.28,0.0,,0.28,0.28,0.28,0.0,,0.28,0.28,170.36M,170.36M,0.0
2001-03,2.897B,2.897B,2.395B,502.40M,216.20M,-148.70M,,,,,395.70M,106.70M,,,,-148.70M,,-76.90M,-39.50M,-37.40M,,,,-37.40M,51.82M,69.60M,179.50M,-109.90M,-0.22,0.0,,0.3085,-0.22,-0.22,0.0,,0.3071,-0.22,168.82M,169.27M,0.0
2000-12,2.665B,2.665B,2.087B,577.60M,206.00M,-84.20M,,,,,371.60M,206.00M,,,,-84.20M,,99.10M,33.50M,65.60M,,,,65.60M,121.34M,371.60M,165.60M,206.00M,0.39,0.0,,0.7214,0.39,0.38,0.0,,0.7029,0.38,168.21M,172.63M,0.0
2000-09,2.499B,2.499B,1.979B,520.30M,181.20M,,,,,,338.50M,181.80M,,,,,,162.60M,53.60M,109.00M,,,,109.00M,109.00M,343.20M,161.40M,181.80M,0.65,0.0,,0.65,0.65,0.64,0.0,,0.64,0.64,168.18M,170.85M,0.0
2000-06,2.463B,2.463B,1.969B,494.50M,193.20M,,,,,,336.00M,158.50M,,,,,,145.50M,49.50M,96.00M,,,,96.00M,96.00M,301.30M,142.80M,158.50M,0.57,0.0,,0.57,0.57,0.56,0.0,,0.56,0.56,167.79M,171.14M,0.0
2000-03,2.575B,2.575B,2.000B,574.75M,197.57M,0.035M,,,,,347.89M,226.86M,,,,0.035M,,215.37M,72.50M,142.87M,,,,142.87M,142.85M,377.18M,150.32M,226.86M,0.85,0.0,,0.8499,0.85,0.83,0.0,,0.8299,0.83,167.99M,171.91M,0.0
1999-12,2.360B,2.360B,1.844B,515.60M,192.60M,-41.10M,,,,,336.60M,179.00M,,,,-41.10M,,127.80M,45.50M,82.30M,,,,82.30M,108.77M,323.00M,144.00M,179.00M,0.49,0.0,,0.6476,0.49,0.48,0.0,,0.6344,0.48,167.96M,171.46M,0.0
1999-09,2.232B,2.232B,1.763B,468.90M,188.50M,,,,,,318.20M,150.70M,,,,,,140.50M,47.40M,93.10M,,,,93.10M,93.10M,283.30M,132.60M,150.70M,0.56,0.0,,0.56,0.56,0.55,0.0,,0.55,0.55,166.25M,169.27M,0.0
1999-06,2.203B,2.203B,1.748B,455.90M,200.60M,,,,,,319.40M,136.50M,,,,,,127.80M,43.20M,84.60M,,,,84.60M,84.60M,255.30M,118.80M,136.50M,0.51,0.0,,0.51,0.51,0.5,0.0,,0.5,0.5,165.88M,169.20M,0.0
1999-03,2.255B,2.255B,1.749B,506.40M,189.40M,,,,,,314.90M,191.50M,,,,,,183.30M,61.50M,121.80M,,,,121.80M,121.80M,317.00M,125.50M,191.50M,0.73,0.0,,0.73,0.73,0.72,0.0,,0.72,0.72,168.05M,169.55M,0.0
