,NetIncome,NetForeignCurrencyExchangeGain/Loss,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-03,-277.50M,,,,226.50M,226.50M,,,,,,166.50M,269.80M,,116.20M,676.00M,-484.50M,-73.60M,-310.40M,,-75.10M,,130.20M,-503.00M,,,-47.50M,-20.80M,,-20.80M,,,,2.30M,-40.40M,161.00M,132.60M,6.00M,299.60M,-20.80M,,,
2002-12,105.60M,,,,208.80M,208.80M,,,,,,-103.80M,4.00M,,-99.80M,214.60M,-98.80M,0.00,-98.80M,,0.00,,-31.90M,-130.70M,,,-61.60M,2.20M,,2.20M,,,,-2.00M,-61.40M,132.20M,22.50M,6.30M,161.00M,2.20M,,,
2002-09,92.90M,,,,215.80M,215.80M,,,,,,10.10M,-82.90M,,-72.80M,235.90M,-127.30M,0.00,-127.30M,,-0.20M,,-37.40M,-164.90M,,,-65.40M,3.60M,,3.60M,,,,-1.90M,-63.70M,123.30M,7.30M,1.60M,132.20M,3.60M,,,
2002-06,79.00M,,,,206.40M,206.40M,,,,,,-72.80M,-190.90M,,-263.70M,21.70M,-175.60M,73.60M,-102.00M,,-7.50M,,-85.90M,-195.40M,,,129.10M,15.00M,,15.00M,,,,1.20M,145.30M,149.10M,-28.40M,2.60M,123.30M,15.00M,,,
2002-03,-203.00M,,,,213.80M,213.80M,,,,,,322.10M,-18.50M,,241.80M,762.20M,-726.90M,,-196.40M,,8.70M,,274.40M,-443.80M,,,-312.70M,-71.70M,,-71.70M,,,,3.10M,-293.50M,124.20M,24.90M,0.00,149.10M,-71.70M,,,
2001-12,87.10M,,,,218.90M,218.90M,,,,,,51.20M,-0.70M,,50.50M,356.50M,-117.10M,,-117.10M,,-0.10M,,-78.10M,-195.30M,,,-171.40M,23.60M,,23.60M,,,,0.30M,-147.50M,112.30M,13.70M,-1.80M,124.20M,23.60M,,,
2001-09,68.20M,,,,215.40M,215.40M,,,,,,-56.60M,70.70M,,14.10M,297.70M,-142.20M,,-142.20M,,-3.40M,,-99.70M,-245.30M,,,-52.70M,26.70M,,26.70M,,,,-0.40M,-26.40M,85.60M,26.00M,0.70M,112.30M,26.70M,,,
2001-06,47.70M,,,,209.50M,209.50M,,,,,,-316.70M,-51.50M,,-368.20M,-111.00M,-215.80M,,-215.80M,,-38.10M,,-67.40M,-321.30M,,,310.00M,21.40M,,21.40M,,,,2.10M,333.50M,184.70M,-98.80M,-0.30M,85.60M,21.40M,,,
2001-03,-270.60M,,,-42.90M,179.50M,179.50M,,,,,,650.50M,-217.60M,,218.30M,503.80M,-995.30M,,-318.10M,,-6.90M,,373.00M,-629.20M,,,132.10M,-31.60M,,-31.60M,,,,8.70M,145.60M,171.30M,20.20M,-6.80M,184.70M,-31.60M,,,
2000-12,65.60M,,,42.90M,165.60M,165.60M,,,,,,-223.50M,244.60M,,21.10M,295.20M,-258.70M,,-258.70M,,-566.10M,,-76.40M,-901.20M,,,611.00M,6.40M,,6.40M,,,,24.40M,641.80M,135.10M,35.80M,0.40M,171.30M,6.40M,,,
2000-09,109.00M,,,0.70M,161.40M,161.40M,,,,,,-160.60M,40.40M,,-120.20M,150.90M,-188.00M,,-188.00M,,9.90M,,-101.90M,-280.00M,,,142.10M,0.90M,,0.90M,,,,0.70M,143.70M,121.20M,14.60M,-0.70M,135.10M,0.90M,,,
2000-06,96.00M,,,-0.70M,142.80M,142.80M,,,,,,-266.40M,-67.40M,,-333.80M,-95.70M,-132.40M,,-132.40M,,-131.90M,,-168.70M,-433.00M,,,381.40M,24.30M,,24.30M,,,,-15.30M,390.40M,260.40M,-138.30M,-0.90M,121.20M,24.30M,,,
2000-03,142.87M,,,3.884M,150.32M,150.32M,,,,-0.10M,,230.30M,-14.74M,,87.30M,453.07M,-176.29M,,-146.42M,,-101.14M,,-123.30M,-370.86M,,,-69.75M,14.28M,,14.28M,,,,-5.58M,-61.05M,239.40M,21.16M,-0.117M,260.40M,14.28M,,,
1999-12,82.30M,,,19.20M,144.00M,144.00M,,,,0.10M,,-74.70M,101.50M,,26.80M,272.40M,-186.80M,,-186.80M,,-98.90M,,-70.90M,-356.60M,,,83.50M,10.30M,,10.30M,,,,-38.10M,55.70M,271.30M,-28.50M,-3.40M,239.40M,10.30M,,,
1999-09,93.10M,,,2.00M,132.60M,132.60M,,,,,,-6.70M,-49.50M,,-56.20M,171.50M,-84.00M,,-84.00M,,-33.10M,,-62.00M,-179.10M,,,-11.20M,11.50M,,11.50M,,,,27.70M,28.00M,251.40M,20.40M,-0.50M,271.30M,11.50M,,,
1999-06,84.60M,,,-2.00M,118.80M,118.80M,,,,,,-148.90M,-3.20M,,-152.10M,49.30M,-138.50M,,-138.50M,,-61.10M,,-70.40M,-270.00M,,,-155.20M,21.00M,,21.00M,,,,0.20M,-134.00M,605.80M,-354.70M,0.30M,251.40M,21.00M,,,
1999-03,121.80M,,,3.60M,125.50M,125.50M,,,,0.10M,,425.00M,-68.80M,,185.90M,526.30M,37.50M,0.00,37.50M,,,,-53.30M,-200.10M,,,101.60M,10.10M,,10.10M,,,,-0.10M,111.60M,186.00M,437.80M,-5.80M,617.90M,10.10M,,,
1998-12,96.30M,,,0.60M,122.00M,122.00M,,,,0.10M,,-219.30M,136.60M,,-82.70M,136.30M,-258.00M,0.00,-258.00M,,,,-36.60M,-294.60M,,,80.10M,8.10M,,8.10M,,,,2.00M,90.20M,0.00,-68.10M,0.70M,186.00M,8.10M,,,
1998-09,73.10M,,,5.90M,105.30M,105.30M,,,,,,-87.80M,45.80M,,-42.00M,142.30M,-103.80M,0.00,-103.80M,,,,-14.30M,-118.10M,,,-4.50M,17.00M,,17.00M,,,,0.60M,13.10M,0.00,37.30M,4.80M,0.00,17.00M,,,
1998-06,64.30M,,,-0.90M,104.10M,104.10M,,,,,,-126.60M,1.60M,,-125.00M,42.50M,-114.60M,37.90M,-76.70M,,,,-53.30M,-130.00M,,,-2.40M,14.50M,,14.50M,,,,0.70M,12.80M,274.70M,-74.70M,,0.00,14.50M,,,
