,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-07,109.99M,,109.99M,377.93M,377.93M,362.49M,,431.83M,,794.32M,34.85M,54.61M,9.514M,1.381B,0.0,52.33M,656.58M,1.254B,88.16M,2.051B,-1.077B,973.38M,621.02M,150.49M,771.51M,,62.09M,369.92M,2.177B,3.558B,297.63M,,,,297.63M,141.13M,438.76M,75.00M,,75.00M,75.00M,,,123.44M,637.20M,350.00M,350.00M,,,,,548.06M,898.06M,1.535B,7.903M,2.080B,,,,,-65.32M,2.023B
2008-04,107.16M,,107.16M,351.56M,351.56M,223.70M,,392.85M,133.93M,750.48M,28.08M,48.00M,15.69M,1.301B,0.0,51.84M,646.80M,1.226B,99.11M,2.023B,-1.052B,971.46M,604.50M,153.38M,757.88M,,63.77M,377.06M,2.170B,3.471B,252.25M,,,,252.25M,157.19M,409.44M,25.00M,,25.00M,25.00M,,,118.68M,553.12M,350.00M,350.00M,,,,,539.25M,889.25M,1.442B,7.956M,2.085B,,,,,-63.82M,2.029B
2008-01,144.23M,47.80M,192.03M,345.48M,345.48M,130.04M,201.12M,338.44M,,669.59M,19.55M,52.70M,,1.279B,0.0,48.72M,627.77M,1.212B,107.36M,1.996B,-1.028B,967.46M,599.42M,156.18M,755.60M,100.22M,63.89M,164.84M,2.152B,3.431B,265.43M,25.16M,36.88M,,327.47M,146.83M,474.30M,0.00,,0.00,0.00,,,,582.58M,350.00M,350.00M,,,440.74M,,89.09M,879.83M,1.462B,7.954M,2.033B,0.612M,,,,-72.80M,1.969B
2007-10,149.75M,,149.75M,366.62M,366.62M,123.48M,187.63M,335.86M,,646.97M,15.80M,52.58M,,1.232B,0.0,48.66M,615.24M,1.192B,114.42M,1.971B,-1.004B,966.60M,595.76M,162.24M,757.99M,102.06M,66.22M,170.05M,2.162B,3.394B,290.92M,20.74M,11.38M,,323.04M,133.26M,456.30M,70.00M,0.049M,70.05M,70.05M,,,,664.78M,350.00M,350.00M,,,440.81M,,53.28M,844.09M,1.509B,7.951M,1.979B,0.00,,,,-101.81M,1.885B
2007-07,104.50M,,104.50M,323.52M,323.52M,308.91M,,350.31M,,659.22M,14.69M,51.56M,4.141M,1.158B,0.0,48.08M,594.06M,1.152B,129.69M,1.924B,-987.50M,936.80M,550.06M,142.21M,692.27M,,11.48M,326.00M,1.967B,3.124B,261.80M,,,,261.80M,136.80M,398.60M,10.00M,0.06M,10.06M,10.06M,2.622M,2.622M,116.92M,528.20M,350.01M,350.01M,,,,,322.39M,672.40M,1.201B,8.011M,1.933B,,,,,-17.91M,1.924B
2007-04,94.00M,13.78M,107.77M,322.63M,322.63M,294.47M,,342.95M,,637.42M,18.38M,52.65M,,1.139B,0.0,48.95M,571.62M,1.153B,151.46M,1.925B,-980.73M,943.82M,550.06M,145.06M,695.12M,,10.72M,320.90M,1.971B,3.109B,234.48M,,,,234.48M,143.66M,378.13M,,,0.071M,0.071M,,,137.44M,515.65M,350.02M,350.02M,,,,,326.08M,676.10M,1.192B,8.064M,1.923B,6.037M,,,,-19.70M,1.918B
2007-01,115.00M,23.82M,138.83M,327.61M,327.61M,282.75M,,301.37M,,584.11M,8.38M,50.18M,,1.109B,0.0,48.70M,569.93M,1.129B,145.97M,1.894B,-956.60M,937.42M,550.64M,149.60M,700.24M,,8.765M,328.05M,1.974B,3.084B,237.27M,,,,237.27M,139.38M,376.65M,,,6.342M,6.342M,,,143.40M,526.40M,350.04M,350.04M,,,,,325.75M,675.79M,1.202B,8.078M,1.876B,13.54M,0.997M,,,-15.22M,1.881B
2006-10,172.48M,,172.48M,341.92M,341.92M,109.23M,153.19M,308.51M,,570.93M,7.803M,48.54M,,1.142B,0.0,46.85M,562.95M,1.110B,123.61M,1.844B,-932.92M,910.81M,550.71M,147.98M,698.68M,76.68M,7.387M,158.98M,1.919B,3.060B,271.36M,19.36M,63.10M,,353.82M,95.61M,449.42M,0.00,0.366M,0.366M,0.366M,,,,585.01M,350.05M,350.05M,,,271.24M,,51.09M,672.38M,1.257B,8.066M,1.821B,2.507M,10.87M,,,-18.00M,1.803B
2006-07,132.19M,7.11M,139.30M,291.07M,291.07M,256.67M,,323.23M,,579.90M,27.14M,45.38M,,1.083B,0.0,46.36M,561.39M,1.102B,112.68M,1.822B,-913.40M,908.74M,541.55M,152.51M,694.06M,,2.46M,291.13M,1.896B,2.979B,232.44M,,,,232.44M,136.97M,369.42M,40.00M,11.08M,51.08M,51.08M,,,152.08M,572.58M,350.07M,350.07M,,,,,313.06M,663.13M,1.236B,8.085M,1.751B,12.75M,,,,-27.89M,1.743B
2006-04,120.64M,,120.64M,275.63M,275.63M,268.81M,,311.89M,,580.70M,47.69M,38.70M,,1.063B,0.0,46.03M,557.68M,1.096B,85.78M,1.786B,-892.47M,893.21M,563.28M,134.63M,697.91M,,6.078M,271.06M,1.868B,2.932B,220.95M,,,,220.95M,137.00M,357.95M,35.00M,11.08M,46.08M,46.08M,,,159.82M,563.85M,350.09M,350.09M,,,,,315.21M,665.30M,1.229B,8.078M,1.710B,9.371M,0.001M,,,-25.25M,1.702B
2006-01,111.67M,18.80M,130.47M,273.79M,273.79M,150.48M,,276.39M,108.02M,534.88M,66.37M,39.55M,,1.045B,0.0,45.76M,553.00M,1.072B,72.14M,1.743B,-868.90M,874.16M,,639.29M,639.29M,,7.302M,270.96M,1.792B,2.837B,241.75M,,,,241.75M,125.36M,367.11M,,,11.09M,11.09M,,,138.35M,516.55M,350.40M,350.40M,,,,,315.32M,665.72M,1.182B,8.082M,1.662B,10.62M,0.858M,,,-25.62M,1.655B
2005-10,131.05M,38.50M,169.55M,301.00M,301.00M,250.23M,,284.34M,,534.57M,20.69M,39.43M,,1.065B,0.0,49.28M,548.04M,1.059B,66.33M,1.723B,-845.30M,877.68M,502.11M,139.58M,641.69M,,1.253M,260.71M,1.781B,2.847B,255.14M,,,,255.14M,122.53M,377.67M,,,11.08M,11.08M,,,194.42M,583.17M,350.43M,350.43M,,,,,314.23M,664.66M,1.248B,8.078M,1.612B,3.26M,,,,-24.92M,1.599B
2005-07,134.89M,,134.89M,268.08M,268.08M,145.50M,,302.08M,98.95M,508.74M,16.43M,30.86M,,959.00M,0.0,49.25M,535.24M,1.057B,65.49M,1.707B,-824.52M,882.39M,,611.59M,611.59M,,,281.79M,1.776B,2.735B,214.68M,,,,214.68M,125.74M,340.42M,60.00M,11.08M,71.08M,71.08M,,,133.94M,545.43M,361.16M,361.16M,5.959M,5.959M,,,306.02M,673.14M,1.219B,8.07M,1.524B,,,,,-16.13M,1.516B
2005-04,92.16M,,92.16M,288.23M,288.23M,138.39M,,307.53M,101.76M,510.41M,18.56M,30.47M,,939.82M,0.0,49.18M,541.74M,1.046B,48.29M,1.686B,-802.57M,882.94M,,615.03M,615.03M,,,287.12M,1.785B,2.725B,209.33M,,,,209.33M,209.32M,418.65M,90.00M,15.78M,105.78M,105.78M,,,38.26M,562.68M,361.18M,361.18M,1.85M,1.85M,,,305.63M,668.65M,1.231B,8.10M,1.499B,5.664M,,,,-19.36M,1.494B
2005-01,145.20M,,145.20M,282.36M,282.36M,134.02M,,288.80M,87.05M,472.86M,14.09M,28.81M,,943.33M,0.0,36.21M,509.66M,1.010B,47.37M,1.603B,-785.28M,817.75M,,552.23M,552.23M,,2.973M,289.12M,1.662B,2.605B,219.60M,,,,219.60M,125.29M,344.89M,,,15.76M,15.76M,,,127.78M,488.42M,361.50M,361.50M,,,,,304.92M,666.42M,1.155B,8.10M,1.461B,5.968M,1.376M,,,-23.24M,1.451B
2004-10,288.88M,,288.88M,272.74M,272.74M,126.14M,,258.94M,77.33M,425.66M,12.88M,29.25M,,1.029B,0.0,25.87M,455.86M,948.24M,44.67M,1.475B,-770.40M,704.24M,,512.94M,512.94M,,,287.39M,1.505B,2.534B,203.56M,,,,203.56M,103.29M,306.85M,,,15.76M,15.76M,,,141.75M,464.37M,361.51M,361.51M,4.324M,4.324M,,,304.52M,670.35M,1.135B,8.079M,1.415B,,,,,-23.53M,1.399B
2004-07,240.36M,3.25M,243.60M,258.23M,258.23M,139.58M,,263.68M,80.49M,448.40M,26.64M,20.93M,,997.81M,0.0,25.94M,442.95M,931.64M,47.46M,1.448B,-756.54M,691.45M,,508.20M,508.20M,,,305.82M,1.505B,2.503B,192.24M,,,,192.24M,109.01M,301.25M,,,15.76M,15.76M,,,137.61M,454.62M,372.24M,372.24M,3.858M,3.858M,,,302.99M,679.09M,1.134B,8.131M,1.381B,2.884M,,,,-22.16M,1.370B
2004-04,192.24M,3.25M,195.49M,253.16M,253.16M,147.16M,,235.71M,87.04M,434.59M,46.28M,20.07M,,949.59M,0.0,26.11M,443.09M,928.27M,40.75M,1.438B,-746.22M,692.00M,,509.94M,509.94M,,,312.55M,1.514B,2.464B,194.37M,,,,194.37M,101.65M,296.02M,,,11.06M,11.06M,43.35M,43.35M,102.35M,452.78M,376.95M,376.95M,7.629M,7.629M,,,292.88M,677.46M,1.130B,8.133M,1.340B,4.766M,,,,-19.05M,1.334B
2004-01,81.94M,3.25M,85.19M,266.37M,266.37M,141.17M,,216.61M,80.54M,404.09M,60.71M,10.86M,,827.21M,0.0,26.12M,439.05M,916.24M,41.75M,1.423B,-727.86M,695.29M,,511.67M,511.67M,,,382.21M,1.589B,2.416B,202.58M,,,,202.58M,106.79M,309.37M,,,11.96M,11.96M,3.812M,3.812M,94.51M,419.65M,395.26M,395.26M,10.34M,10.34M,,,291.95M,697.55M,1.117B,8.128M,1.302B,5.268M,7.113M,,,-9.01M,1.299B
2003-10,97.98M,,97.98M,291.48M,291.48M,130.84M,,229.53M,76.56M,403.21M,16.57M,14.73M,,823.97M,0.0,26.16M,436.66M,902.65M,46.06M,1.412B,-710.18M,701.34M,,509.99M,509.99M,,,357.82M,1.569B,2.393B,195.83M,,,,195.83M,96.80M,292.62M,,,14.30M,14.30M,,,135.07M,441.99M,395.27M,395.27M,10.96M,10.96M,,,292.16M,698.40M,1.140B,8.122M,1.266B,4.073M,,,,-25.14M,1.253B
2003-07,138.78M,,138.78M,264.48M,264.48M,117.38M,,232.57M,76.05M,391.12M,25.07M,7.924M,,827.38M,0.0,25.81M,415.45M,875.83M,47.98M,1.365B,-694.85M,670.22M,,445.77M,445.77M,,,355.56M,1.472B,2.299B,171.08M,,,,171.08M,105.45M,276.54M,,,13.79M,13.79M,,,109.17M,399.49M,407.03M,407.03M,2.168M,2.168M,,,288.73M,697.93M,1.097B,8.118M,1.210B,1.506M,,,,-17.99M,1.202B
2003-04,156.98M,,156.98M,242.78M,242.78M,114.77M,,226.56M,74.75M,382.10M,42.02M,7.759M,,831.64M,0.0,23.68M,404.65M,885.78M,46.45M,1.361B,-683.84M,676.72M,,455.30M,455.30M,,,303.75M,1.436B,2.267B,154.76M,,,,154.76M,94.49M,249.24M,,,13.81M,13.81M,,,122.72M,385.78M,408.02M,408.02M,6.957M,6.957M,,,288.26M,703.24M,1.089B,8.112M,1.190B,0.168M,2.002M,,,-18.03M,1.178B
2003-01,133.08M,,133.08M,251.10M,251.10M,115.40M,,212.19M,75.34M,369.53M,50.36M,7.595M,,811.66M,0.0,23.68M,403.30M,882.29M,40.80M,1.350B,-668.60M,681.47M,,437.63M,437.63M,,,300.19M,1.419B,2.231B,170.88M,,,,170.88M,89.73M,260.61M,,,13.81M,13.81M,,,107.10M,381.52M,408.73M,408.73M,,,,,288.41M,697.13M,1.079B,8.112M,1.171B,,0.116M,,,-26.79M,1.152B
2002-10,309.56M,,309.56M,275.46M,275.46M,106.23M,,212.87M,69.26M,355.64M,14.08M,7.431M,,962.17M,0.0,21.71M,382.57M,852.40M,46.47M,1.303B,-650.47M,652.68M,,366.30M,366.30M,,6.583M,232.47M,1.258B,2.220B,174.07M,,,,174.07M,86.24M,260.30M,,,13.82M,13.82M,,,135.99M,410.11M,409.65M,409.65M,,,,,285.18M,694.83M,1.105B,8.111M,1.140B,,,,,-32.96M,1.115B
2002-07,267.47M,10.00M,277.47M,251.02M,251.02M,108.85M,,206.10M,71.06M,351.66M,21.05M,9.723M,,910.92M,0.0,22.04M,384.98M,861.54M,30.34M,1.299B,-645.11M,653.80M,310.98M,56.50M,367.48M,,15.78M,231.68M,1.269B,2.180B,149.27M,,,,149.27M,100.99M,250.26M,,,25.48M,25.48M,,,121.54M,397.29M,420.84M,420.84M,,,,,284.96M,705.80M,1.103B,8.136M,1.091B,4.22M,3.768M,,,-23.28M,1.077B
2002-04,293.96M,5.00M,298.96M,242.89M,242.89M,102.96M,,208.65M,68.69M,346.36M,35.84M,8.807M,,932.86M,0.0,21.97M,383.44M,856.15M,30.26M,1.292B,-629.83M,661.99M,,367.75M,367.75M,,15.60M,225.71M,1.271B,2.204B,147.55M,,,,147.55M,94.47M,242.02M,,,77.94M,77.94M,28.59M,28.59M,96.36M,444.91M,420.50M,420.50M,,,,,283.81M,704.31M,1.149B,8.136M,1.067B,4.315M,,,,-24.29M,1.055B
2002-01,216.24M,10.00M,226.24M,260.37M,260.37M,107.62M,,214.74M,71.38M,360.14M,43.35M,9.009M,,899.11M,0.0,21.97M,378.48M,845.29M,35.72M,1.281B,-611.91M,669.54M,,367.40M,367.40M,,10.87M,227.38M,1.275B,2.174B,161.75M,,,,161.75M,87.05M,248.80M,,,41.46M,41.46M,18.00M,18.00M,87.20M,395.47M,459.04M,459.04M,,,,,283.46M,742.50M,1.138B,8.133M,1.047B,4.208M,,,,-23.35M,1.036B
2001-10,186.28M,,186.28M,308.12M,308.12M,102.80M,,217.13M,68.45M,355.11M,26.44M,7.341M,,883.28M,0.0,21.97M,377.22M,837.50M,37.42M,1.274B,-594.17M,679.93M,,378.68M,378.68M,,,220.81M,1.279B,2.163B,171.18M,,,,171.18M,83.62M,254.79M,,,39.03M,39.03M,20.55M,20.55M,105.82M,420.20M,462.41M,462.41M,0.46M,0.46M,,,283.75M,746.61M,1.167B,8.126M,1.010B,3.143M,,-16.91M,-8.953M,-25.86M,995.88M
2001-07,149.75M,,149.75M,305.56M,305.56M,185.56M,,184.28M,0.001M,330.73M,17.75M,5.783M,,809.57M,0.0,17.30M,360.46M,789.02M,91.88M,1.259B,-578.75M,679.91M,,385.47M,385.47M,,,246.65M,1.312B,2.122B,149.15M,,,,149.15M,97.67M,246.82M,38.60M,,38.60M,38.60M,24.39M,24.39M,90.11M,399.93M,487.90M,487.90M,3.765M,3.765M,,,282.00M,773.66M,1.174B,8.139M,960.68M,3.364M,,,,-24.18M,948.01M
2001-04,69.38M,,69.38M,298.35M,298.35M,189.72M,,170.17M,-0.001M,321.99M,27.37M,9.462M,,726.55M,0.0,17.31M,352.78M,760.66M,133.05M,1.264B,-567.88M,695.91M,,384.72M,384.72M,,,244.30M,1.325B,2.051B,151.84M,,,,151.84M,78.87M,230.71M,35.68M,,35.68M,35.68M,32.39M,32.39M,79.88M,378.67M,457.93M,457.93M,7.962M,7.962M,,,281.93M,747.82M,1.126B,8.128M,939.00M,2.817M,0.101M,,,-24.84M,925.00M
2001-01,138.58M,,138.58M,256.79M,256.79M,,,,,277.12M,39.96M,6.487M,,718.94M,0.0,13.29M,301.28M,710.31M,77.78M,1.103B,-552.57M,550.09M,,93.82M,93.82M,,59.77M,237.51M,941.18M,1.660B,140.01M,,,,140.01M,74.45M,214.46M,39.61M,,39.61M,39.61M,17.22M,17.22M,65.14M,336.43M,147.27M,147.27M,,,,,280.18M,427.45M,763.88M,8.12M,914.68M,,0.30M,,,-26.25M,896.24M
2000-10,100.65M,5.964M,106.61M,307.73M,307.73M,,,,,281.40M,,,15.36M,711.11M,,,,,,1.082B,-540.06M,541.55M,,92.63M,92.63M,,,296.65M,930.83M,1.642B,154.89M,,,,154.89M,,154.89M,,,38.44M,38.44M,,,149.29M,342.62M,145.93M,145.93M,,,,,279.51M,425.44M,768.06M,8.12M,886.67M,,,,,-20.92M,873.88M
2000-07,109.69M,5.869M,115.56M,,252.65M,,,,,300.18M,,,18.19M,686.58M,,,,,,1.056B,-527.02M,529.39M,,94.10M,94.10M,,,298.81M,922.29M,1.609B,136.30M,,,,136.30M,,136.30M,,,37.74M,37.74M,,,141.91M,315.95M,166.28M,166.28M,,,,,276.90M,443.18M,759.13M,8.053M,852.26M,,,,,-10.57M,849.74M
2000-04,125.99M,22.89M,148.88M,,251.39M,,,,,292.00M,,,32.00M,724.27M,,,,,,1.041B,-519.13M,521.95M,,95.56M,95.56M,,,290.10M,907.61M,1.632B,131.14M,,,,131.14M,,131.14M,,,38.78M,38.78M,,,161.03M,330.95M,175.23M,175.23M,,,,,277.15M,452.38M,783.34M,8.146M,849.23M,,,,,-8.839M,848.54M
2000-01,150.40M,67.60M,218.00M,,232.60M,,,,,267.20M,,,47.00M,764.80M,,,,,,1.020B,-507.50M,512.70M,,97.00M,97.00M,,,289.20M,898.90M,1.664B,164.70M,,,,164.70M,,164.70M,,,39.30M,39.30M,,,158.30M,362.30M,177.10M,177.10M,,,,,277.50M,454.60M,816.90M,8.30M,845.70M,,,,,-7.20M,846.80M
1999-10,188.30M,60.30M,248.60M,,266.10M,,,,,270.20M,,,15.20M,800.10M,,,,,,1.002B,-496.60M,505.60M,,98.50M,98.50M,,,281.40M,885.50M,1.686B,162.60M,,,,162.60M,,162.60M,,,41.20M,41.20M,,,181.60M,385.40M,184.70M,184.70M,,,,,274.40M,459.10M,844.50M,8.40M,839.10M,,,,,-6.30M,841.10M
1999-07,189.60M,46.40M,236.00M,,221.70M,,,,,262.20M,,,14.40M,734.30M,,,,,,981.90M,-486.00M,495.90M,,100.10M,100.10M,,,280.80M,876.80M,1.611B,118.00M,,,,118.00M,,118.00M,,,18.00M,18.00M,,,158.10M,294.10M,209.20M,209.20M,,,,,268.70M,477.90M,772.00M,8.50M,837.00M,,,,,-6.30M,839.10M
1999-04,193.30M,,193.30M,,199.50M,,,,,257.60M,,,73.40M,723.80M,,,,,,961.00M,-475.10M,485.90M,,101.80M,101.80M,,,276.70M,864.40M,1.588B,102.90M,,,,102.90M,,102.90M,,,13.70M,13.70M,,,141.30M,257.90M,218.80M,218.80M,,,,,270.10M,488.90M,746.80M,,836.90M,,,,,,841.40M
1999-01,213.00M,,213.00M,,209.10M,,,,,245.60M,,,77.30M,745.00M,,,,,,947.90M,-464.50M,483.40M,,103.50M,103.50M,,,279.30M,866.20M,1.611B,107.40M,,,,107.40M,,107.40M,,,12.40M,12.40M,,,158.50M,278.30M,221.20M,221.20M,,,,,270.00M,491.20M,769.50M,,837.00M,,,,,,841.70M
1998-10,203.90M,34.10M,238.00M,,222.90M,,,,,239.50M,,,17.00M,717.40M,,,,,,938.60M,-451.70M,486.90M,,105.20M,105.20M,,,246.40M,838.50M,1.556B,119.80M,,,,119.80M,,119.80M,,,6.10M,6.10M,,,141.80M,267.70M,204.90M,204.90M,,,,,270.00M,474.90M,742.60M,,810.30M,,,,,,813.30M
1998-07,141.70M,,141.70M,,208.70M,,,,,258.70M,,,53.40M,662.50M,,,,,,911.30M,-440.50M,470.80M,,125.90M,125.90M,,,249.10M,845.80M,1.508B,106.60M,,,,106.60M,,106.60M,,,2.80M,2.80M,,,133.30M,242.70M,210.10M,210.10M,,,,,270.10M,480.20M,722.90M,,776.80M,,,,,,785.40M
