,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2006-09,67.28M,284.44M,351.72M,505.90M,,505.90M,27.21M,31.26M,,,916.08M,,,,,,,570.82M,-291.80M,279.02M,388.16M,,388.16M,43.16M,710.35M,1.626B,263.73M,,263.73M,,263.73M,,,35.25M,,35.25M,,,,,298.98M,413.75M,,413.75M,155.15M,155.15M,,,,568.90M,867.88M,0.00,-321.18M,1.102B,22.55M,,,758.55M
2006-06,309.52M,,309.52M,450.53M,45.26M,495.79M,27.53M,29.68M,,,862.52M,,,,,,,578.39M,-291.80M,286.59M,388.23M,,388.23M,43.50M,718.32M,1.581B,229.27M,,229.27M,,229.27M,,,0.922M,,0.922M,,,,18.38M,248.58M,447.02M,,447.02M,149.91M,149.91M,,,,596.94M,845.51M,0.00,-343.60M,1.101B,22.50M,,,735.32M
2006-03,284.76M,,284.76M,447.10M,47.02M,494.12M,28.14M,28.74M,,,835.76M,,,,,,,578.33M,-291.76M,286.56M,388.29M,,388.29M,49.87M,724.73M,1.560B,236.34M,,236.34M,,236.34M,,,2.242M,,2.242M,,,,17.29M,255.86M,447.05M,,447.05M,144.13M,144.13M,,,,591.18M,847.04M,0.00,-361.26M,1.097B,22.40M,,,713.45M
2005-12,304.27M,,304.27M,431.58M,38.05M,469.64M,25.72M,31.39M,,,831.01M,0.00,3.234M,15.00M,560.17M,,,578.40M,-291.80M,286.61M,388.36M,,388.36M,48.81M,723.78M,1.555B,241.81M,,241.81M,,241.81M,,,2.252M,,2.252M,,,,14.01M,258.07M,450.09M,,450.09M,142.88M,142.88M,,,,592.98M,851.05M,0.00,-369.12M,1.097B,17.49M,,-6.448M,703.74M
2005-09,223.64M,,223.64M,456.08M,51.25M,507.33M,23.49M,43.53M,,,797.98M,,,,,,,584.70M,-277.48M,307.22M,,388.42M,388.42M,50.35M,745.99M,1.544B,244.82M,,244.82M,,244.82M,,,1.593M,,1.593M,,,,14.29M,260.70M,458.98M,,458.98M,142.61M,142.61M,,,0.001M,601.58M,862.28M,0.00,-387.58M,1.095B,17.44M,,-8.019M,681.69M
2005-06,240.74M,,240.74M,363.07M,57.76M,420.83M,23.75M,23.31M,,,708.63M,,,,,,,590.70M,-277.48M,313.22M,,388.49M,388.49M,58.80M,760.51M,1.469B,219.00M,,219.00M,,219.00M,,,1.838M,,1.838M,,,,12.06M,232.89M,459.07M,,459.07M,112.70M,112.70M,,,,571.77M,804.67M,0.00,-400.46M,1.092B,17.41M,,-9.51M,664.48M
2005-03,254.00M,,254.00M,330.98M,50.96M,381.94M,22.99M,27.94M,,,686.87M,,,,,,,589.83M,-277.48M,312.35M,,388.55M,388.55M,56.96M,757.86M,1.445B,206.47M,,206.47M,,206.47M,,,5.363M,,5.363M,,,,11.22M,223.06M,453.84M,,453.84M,107.84M,107.84M,,,,561.68M,784.74M,0.00,-403.81M,1.092B,17.34M,,-10.61M,659.99M
2004-12,265.56M,,265.56M,348.83M,42.09M,390.92M,18.85M,24.71M,,,700.04M,0.00,3.597M,15.24M,573.62M,,,592.46M,-277.48M,314.98M,,388.62M,388.62M,56.36M,759.96M,1.460B,203.66M,,203.66M,,203.66M,,,6.236M,,6.236M,,,,11.17M,221.06M,464.36M,,464.36M,111.33M,111.33M,,,,575.69M,796.75M,0.00,-398.68M,1.084B,14.65M,,-7.217M,663.25M
2004-09,217.74M,,217.74M,394.22M,52.24M,446.46M,25.42M,27.71M,,,717.34M,,,,,,,557.79M,-233.02M,324.77M,,388.68M,388.68M,43.35M,756.81M,1.474B,216.59M,,216.59M,,216.59M,,,4.084M,,4.084M,,,,16.50M,237.18M,470.31M,,470.31M,107.27M,107.27M,,,,577.58M,814.76M,0.00,-400.52M,1.083B,14.63M,,-8.558M,659.39M
2004-06,197.32M,,197.32M,322.03M,61.94M,383.97M,26.52M,52.36M,,,660.18M,,,,,,,562.72M,-233.02M,329.70M,,388.75M,388.75M,66.04M,784.50M,1.445B,183.85M,,183.85M,,183.85M,,,2.923M,,2.923M,,,,17.18M,203.95M,489.15M,,489.15M,99.47M,99.47M,,,,588.62M,792.57M,1.081B,-404.67M,,14.62M,,-10.01M,652.10M
2004-03,195.68M,,195.68M,319.06M,,319.06M,26.04M,57.86M,,55.69M,654.33M,,,,,,,570.81M,-233.02M,337.79M,,388.82M,388.82M,59.43M,786.03M,1.440B,184.22M,,184.22M,,184.22M,,,3.612M,,3.612M,,,,17.61M,205.44M,489.46M,,489.46M,91.41M,91.41M,,,,580.87M,786.31M,1.081B,-401.18M,,14.60M,,-11.37M,654.05M
2003-12,179.63M,,179.63M,364.84M,,364.84M,23.81M,56.93M,5.414M,45.47M,676.09M,0.00,3.75M,14.42M,556.39M,,,574.56M,-233.02M,341.54M,,388.88M,388.88M,59.92M,790.34M,1.466B,76.44M,,76.44M,80.96M,157.39M,,,5.034M,,5.034M,,,,36.96M,199.39M,500.45M,0.104M,500.55M,103.36M,103.36M,,,,603.91M,803.30M,0.00,-389.48M,1.072B,11.72M,,-7.359M,663.13M
2003-09,77.83M,,77.83M,388.63M,53.46M,442.09M,25.66M,33.37M,6.779M,,585.73M,,,,,,,528.27M,-182.25M,346.02M,,395.40M,395.40M,60.12M,801.54M,1.387B,188.77M,,188.77M,,188.77M,,,5.144M,,5.144M,,,,19.99M,213.91M,384.04M,,384.04M,102.52M,102.52M,,,,486.55M,700.46M,1.070B,-363.78M,,11.72M,,-8.142M,686.80M
2003-06,86.12M,,86.12M,352.02M,55.49M,407.51M,26.84M,25.15M,4.91M,,550.53M,,,,,,,532.95M,-182.25M,350.71M,,395.46M,395.46M,63.97M,810.14M,1.361B,178.40M,,178.40M,,178.40M,,,6.261M,,6.261M,,,,15.30M,199.96M,384.45M,,384.45M,97.45M,97.45M,,,,481.90M,681.85M,1.069B,-369.17M,,11.72M,,-9.118M,678.82M
2003-03,61.43M,,61.43M,322.44M,53.08M,375.52M,27.20M,26.41M,30.32M,,520.88M,,,,,,,541.21M,-182.25M,358.97M,,395.53M,395.53M,69.58M,824.07M,1.345B,163.31M,,163.31M,,163.31M,,,6.26M,,6.26M,,,,17.26M,186.83M,385.01M,,385.01M,88.97M,88.97M,,,,473.98M,660.81M,1.064B,-359.34M,,11.72M,,-9.012M,684.14M
2002-12,27.90M,,27.90M,367.06M,,367.06M,25.65M,25.18M,28.97M,54.75M,529.50M,0.00,4.003M,14.11M,533.70M,,,551.82M,-182.25M,369.57M,,395.60M,395.60M,70.15M,835.32M,1.365B,189.08M,,189.08M,,189.08M,,,6.652M,,6.652M,,,,16.41M,212.14M,385.67M,,385.67M,82.41M,82.41M,,72.92M,,541.00M,753.14M,980.30M,-356.60M,,11.72M,,-0.302M,611.67M
2002-09,15.36M,,15.36M,391.87M,,391.87M,27.18M,11.59M,42.02M,61.38M,549.40M,,,,,,,511.56M,-132.44M,379.12M,,395.66M,395.66M,73.24M,848.02M,1.397B,192.40M,,192.40M,,192.40M,,,6.874M,,6.874M,,,,16.45M,215.72M,518.05M,,518.05M,76.72M,76.72M,,,,594.77M,810.49M,950.13M,-349.92M,,11.69M,,-1.583M,586.93M
2002-06,4.577M,,4.577M,419.10M,59.95M,479.05M,31.13M,40.91M,,,555.67M,,,,,,,522.20M,-132.44M,389.76M,395.72M,,395.72M,65.48M,850.96M,1.407B,214.58M,,214.58M,,214.58M,,,7.59M,,7.59M,,,,20.69M,242.86M,511.19M,,511.19M,60.47M,60.47M,,,,571.66M,814.52M,0.00,-341.37M,946.92M,11.80M,,-1.644M,592.10M
2002-03,6.309M,,6.309M,414.32M,63.98M,478.30M,30.10M,34.40M,,,549.10M,,,,,,,519.97M,-132.44M,387.52M,,1.038B,1.038B,45.06M,1.470B,2.019B,202.06M,,202.06M,,202.06M,,,7.252M,,7.252M,,,,23.17M,232.49M,462.63M,,462.63M,101.68M,101.68M,,,,564.31M,796.80M,0.00,281.48M,1.075B,,,-133.52M,1.223B
2001-12,6.287M,,6.287M,451.87M,,451.87M,25.05M,14.41M,22.06M,57.43M,577.12M,,,,,,,517.92M,-132.44M,385.48M,,1.037B,1.037B,43.32M,1.466B,2.043B,202.33M,,202.33M,,202.33M,,,8.063M,,8.063M,,,,31.14M,241.53M,500.27M,,500.27M,94.35M,94.35M,,,,594.62M,836.15M,952.38M,271.45M,,15.31M,,-1.77M,1.207B
2001-09,2.779M,,2.779M,522.11M,74.71M,596.82M,23.08M,,41.74M,,664.43M,,,,,,,469.17M,-81.78M,387.39M,,1.035B,1.035B,20.41M,1.442B,2.107B,225.73M,,225.73M,,225.73M,,,8.309M,,8.309M,,,,28.03M,262.06M,578.95M,,578.95M,78.23M,78.23M,,,,657.18M,919.24M,0.00,258.22M,944.64M,15.31M,,,1.188B
2001-06,2.772M,,2.772M,485.91M,77.44M,563.35M,25.36M,36.08M,,,627.56M,,,,,,,456.86M,-81.78M,375.08M,,1.002B,1.002B,20.92M,1.398B,2.026B,243.94M,,243.94M,,243.94M,,,7.825M,,7.825M,,,,34.13M,285.89M,513.29M,,513.29M,71.86M,71.86M,,,,585.15M,871.04M,0.00,232.13M,922.41M,,,,1.155B
2001-03,6.562M,,6.562M,465.36M,78.40M,543.75M,22.99M,27.48M,,,600.78M,,,,,,,441.69M,-81.78M,359.91M,,1.004B,1.004B,19.68M,1.383B,1.984B,230.01M,,230.01M,,230.01M,,,8.916M,,8.916M,,,,30.79M,269.72M,516.81M,,516.81M,66.63M,66.63M,,,,583.44M,853.15M,0.00,215.68M,915.08M,,,,1.131B
2000-12,17.31M,,17.31M,,,538.71M,19.87M,,,26.52M,602.41M,,,,,,,422.81M,-81.78M,341.03M,,906.03M,906.03M,24.63M,1.272B,1.874B,215.68M,,215.68M,,215.68M,,,8.772M,,8.772M,,,,27.98M,252.44M,491.10M,,491.10M,61.60M,61.60M,,,,552.70M,805.14M,0.00,186.61M,882.34M,,,,1.069B
2000-09,18.30M,,18.30M,,,477.48M,15.57M,,,22.76M,534.11M,,,,,,,426.84M,-109.42M,317.42M,,846.23M,846.23M,14.74M,1.178B,1.712B,202.27M,,202.27M,,202.27M,,,11.40M,,11.40M,,,,28.30M,241.97M,401.13M,,401.13M,45.95M,45.95M,,,,447.08M,689.05M,0.00,172.45M,850.99M,,,,1.023B
2000-06,2.373M,,2.373M,,,400.82M,11.56M,,,17.42M,432.16M,,,,,,,338.40M,-85.80M,252.60M,,742.80M,742.80M,8.298M,1.004B,1.436B,170.34M,,170.34M,,170.34M,,,9.01M,,9.01M,,,,24.31M,203.66M,251.70M,,251.70M,32.81M,32.81M,,,,284.51M,488.18M,0.00,131.99M,815.69M,,,,947.68M
2000-03,2.21M,,2.21M,,,342.41M,8.274M,,,16.53M,369.42M,,,,,,,286.51M,-62.51M,224.00M,,673.80M,673.80M,10.05M,907.85M,1.277B,151.11M,,151.11M,,151.11M,,,8.456M,,8.456M,,,,21.05M,180.62M,247.38M,,247.38M,31.86M,31.86M,,,,279.24M,459.86M,0.00,101.13M,716.27M,,,,817.41M
1999-12,10.80M,,10.80M,,,299.90M,8.70M,,,15.70M,335.10M,,,,,,,238.20M,-46.30M,191.90M,,624.80M,624.80M,7.80M,824.50M,1.160B,141.00M,,141.00M,,141.00M,,,6.70M,,6.70M,,,,23.20M,170.90M,199.70M,,199.70M,32.10M,32.10M,,,,231.80M,402.70M,0.00,81.80M,675.10M,,,,756.90M
1999-09,12.70M,,12.70M,,,268.00M,9.00M,,,9.00M,298.70M,,,,,,,286.60M,-125.60M,161.00M,,567.30M,567.30M,7.20M,735.50M,1.034B,139.70M,,139.70M,,139.70M,,,6.80M,,6.80M,,,,17.90M,164.40M,146.50M,,146.50M,14.60M,14.60M,,,,161.10M,325.50M,0.00,55.50M,653.20M,,,,708.70M
1999-06,4.20M,,4.20M,,,201.10M,8.90M,,,8.00M,222.20M,,,,,,,231.60M,-105.30M,126.30M,,385.90M,385.90M,7.20M,519.40M,741.60M,94.50M,,94.50M,,94.50M,,,5.60M,,5.60M,,,,11.10M,111.20M,229.50M,,229.50M,9.40M,9.40M,,,-0.10M,238.80M,350.00M,,36.40M,,,,,391.60M
1999-03,5.30M,,5.30M,,,114.10M,6.10M,,,46.90M,172.40M,,,,,,,186.30M,-93.10M,93.20M,,283.10M,283.10M,5.50M,381.80M,554.20M,68.80M,,68.80M,,68.80M,,,3.40M,,3.40M,,,,10.00M,82.20M,134.80M,,134.80M,7.50M,7.50M,,,-0.10M,142.20M,224.40M,,31.60M,,,,,329.80M
1998-12,3.20M,,3.20M,,,98.70M,2.50M,,,4.40M,108.80M,,,,,,,99.60M,-25.40M,74.20M,,150.90M,150.90M,5.20M,230.30M,339.10M,40.30M,,40.30M,,40.30M,,,4.40M,,4.40M,,,,7.00M,51.70M,109.60M,,109.60M,6.30M,6.30M,,,,115.90M,167.60M,0.00,28.10M,145.20M,,,-1.80M,171.50M
1998-09,2.60M,,2.60M,,,114.00M,1.90M,,,3.60M,122.10M,,,,,,,135.10M,-64.90M,70.20M,,134.90M,134.90M,4.10M,209.20M,331.30M,48.60M,,48.60M,,48.60M,,,2.60M,,2.60M,,,,6.30M,57.50M,108.30M,,108.30M,8.50M,8.50M,,,0.10M,116.90M,174.40M,,21.20M,,,,,156.90M
1998-06,1.80M,,1.80M,,,62.10M,1.80M,,,1.10M,66.80M,,,,,,,81.90M,-37.80M,44.10M,,93.80M,93.80M,1.10M,139.00M,205.80M,33.30M,,33.30M,,33.30M,,,3.90M,,3.90M,,,,2.90M,40.10M,33.10M,,33.10M,3.90M,3.90M,,,-0.10M,36.90M,77.00M,,15.20M,,,,,128.80M
