,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-03,395.38M,-0.007M,-20.65M,,,75.04M,75.04M,,,,,-51.34M,,,,,190.57M,589.00M,-34.73M,,-34.73M,-11.46M,-1.026B,-1.268B,-2.340B,-252.46M,2.464B,2.212B,,,-104.38M,,,,,,-192.70M,,1.054B,3.026B,-697.72M,2.328B,,,-252.46M,,,
2004-12,416.51M,473.08M,458.65M,,,183.88M,183.88M,,,,,-524.25M,,,,,-226.63M,308.16M,-8.514M,,-8.514M,,-408.18M,-1.312B,-1.786B,246.16M,223.45M,469.62M,,,-126.78M,,,,,,-193.38M,,2.099B,2.343B,621.26M,2.904B,,599.24M,-353.08M,,,
2004-09,412.88M,-6.59M,-19.65M,,,71.16M,71.16M,,,,,360.22M,,,,,328.99M,1.154B,-78.12M,,-78.12M,,250.42M,-1.039B,-867.00M,593.66M,232.58M,826.23M,,,-129.94M,,,,,,-194.49M,,-401.88M,2.458B,-115.28M,2.343B,,800.76M,-207.10M,,,
2004-06,400.11M,-0.002M,-28.53M,,,83.31M,83.31M,,,,,916.19M,,,,,-217.60M,1.153B,-64.80M,,-64.80M,,501.29M,-1.527B,-1.091B,-194.10M,400.30M,206.20M,,,-8.498M,,,,,,-177.61M,,16.94M,2.378B,79.78M,2.458B,,0.00,-194.10M,,,
2004-03,328.50M,0.511M,-9.464M,,,63.66M,63.66M,,,,,-405.16M,,,,,296.23M,273.76M,-68.56M,,-68.56M,,-1.812B,-1.551B,-3.431B,-205.72M,-1.586B,-1.792B,,,-95.78M,,,,,,-173.52M,,2.714B,2.822B,-443.76M,2.378B,,1.897B,-2.103B,,,
2003-12,305.03M,7.529M,-6.701M,,,65.42M,65.42M,,,,,810.08M,,,,,1.022B,2.196B,-68.02M,,-68.02M,,299.89M,-1.910B,-1.678B,952.07M,1.040B,1.992B,,,-285.22M,,,,,,-174.93M,0.44M,-413.25M,2.717B,104.90M,2.822B,,1.000B,-47.97M,,,
2003-09,115.89M,61.35M,-4.993M,,,42.83M,42.83M,,,,,1.739B,,-7.72M,,-467.56M,-805.80M,1.086B,-5.856M,,-5.856M,-3.782M,2.820B,-761.09M,2.050B,-3.021B,1.086B,-1.935B,,,-415.90M,,,,,,-179.42M,,-3.016B,2.597B,120.10M,2.717B,,0.00,-3.021B,,,
2003-06,316.24M,-117.42M,-260.23M,,,56.82M,56.82M,,,,,-737.68M,,7.72M,,467.56M,-135.50M,-760.36M,-84.88M,,-84.88M,3.782M,864.11M,-427.95M,355.06M,-742.98M,396.30M,-346.69M,,,-59.78M,,,,,,-138.22M,65.46M,635.50M,2.367B,230.20M,2.597B,,3.20B,-3.943B,,,
2003-03,327.75M,-58.54M,-58.20M,,,42.72M,42.72M,,,,,361.75M,,,,,610.78M,1.285B,-54.46M,,-54.46M,,945.84M,-347.11M,544.27M,-23.91M,-1.282B,-1.306B,,,12.17M,,,,,,-135.55M,-65.46M,-1.835B,2.372B,-5.452M,2.367B,,0.70M,-24.61M,,,
2002-12,337.26M,-1.508M,-130.35M,,,31.38M,31.38M,,,,,-116.79M,,,,,-408.54M,-287.05M,-61.48M,,-61.48M,,-1.088B,-362.25M,-1.512B,203.02M,596.76M,799.78M,,,-392.84M,,,,,,-139.41M,,1.736B,2.435B,-62.88M,2.372B,,550.96M,-347.95M,,,
2002-09,328.16M,-100.89M,-78.22M,,,47.18M,47.18M,,,,,-973.58M,,,,,-125.98M,-802.44M,-52.76M,,-52.76M,,1.979B,-234.44M,1.691B,2.111B,-157.44M,1.953B,,,-124.00M,,,,,,-138.10M,,-459.91M,2.006B,429.06M,2.435B,,2.359B,-248.10M,,,
2002-06,327.95M,-7.995M,-49.58M,,,41.65M,41.65M,,,,,487.43M,,,,,106.58M,914.04M,-16.72M,,-16.72M,,-323.36M,-840.84M,-1.181B,-477.67M,-1.115B,-1.593B,,,-250.01M,,,,,,-126.08M,,468.75M,1.804B,201.88M,2.006B,,25.14M,-502.81M,,,
2002-03,309.64M,-59.71M,-64.65M,,,38.77M,38.77M,,,,,611.32M,,,,,96.82M,991.90M,-53.00M,,-53.00M,,-518.92M,294.84M,-277.08M,-276.98M,-1.309B,-1.586B,,,26.27M,,,,,,-118.30M,,-1.143B,2.232B,-428.06M,1.804B,,18.56M,-295.55M,,,
2001-12,277.94M,-31.42M,-76.68M,,,95.65M,95.65M,,,,,-92.77M,,,,,25.66M,229.80M,-63.25M,,-63.25M,,39.08M,83.72M,59.56M,310.74M,724.13M,1.035B,,,-48.59M,,,,,,-118.34M,-1.197M,-42.58M,1.985B,246.78M,2.232B,,322.99M,-12.25M,,,
2001-09,221.97M,21.24M,1.435M,,,35.40M,35.40M,,,,,156.08M,,,,,-928.11M,-513.23M,-26.74M,,-26.74M,,-698.67M,417.72M,-307.69M,489.12M,180.22M,669.34M,,,-172.57M,,,,,,-110.50M,,690.59M,2.133B,-130.32M,1.985B,,808.23M,-319.11M,,,
2001-06,237.23M,50.19M,62.13M,,,53.72M,53.72M,,,,,-363.98M,,,,,601.43M,590.53M,-44.60M,,-44.60M,,133.71M,-1.019B,-929.76M,-12.31M,-245.08M,-257.39M,,,-36.07M,,,,,,-101.09M,-0.096M,278.03M,2.191B,-61.20M,2.133B,,33.56M,-45.87M,,,
2001-03,236.50M,-163.18M,-175.12M,,,51.42M,51.42M,,,,,-381.43M,,,,,55.46M,-213.18M,-55.38M,,-55.38M,,580.04M,-398.57M,126.10M,2.232B,-1.322B,910.50M,,,-191.72M,,,,,,-103.64M,0.096M,157.42M,2.121B,70.34M,2.191B,,2.577B,-345.10M,,,
2000-12,231.72M,-3.744M,26.79M,,,71.82M,71.82M,,,,,-323.89M,,,,,-68.71M,-62.27M,-75.53M,,-75.53M,,167.10M,-950.00M,-858.42M,-32.69M,169.69M,137.00M,,,-79.94M,,,,,,-102.53M,0.002M,1.044B,1.941B,123.51M,2.107B,,502.39M,-535.08M,,,
2000-09,97.81M,297.17M,255.23M,,,38.41M,38.41M,,,,,-189.58M,,,,,-263.43M,-61.58M,-35.54M,,-35.54M,,-376.06M,-980.19M,-1.392B,1.050B,423.59M,1.474B,,,-95.30M,,,,,,-113.96M,6.112M,1.263B,1.935B,-189.95M,1.941B,,1.577B,-527.06M,,,
2000-06,179.12M,-75.36M,-73.24M,,,38.56M,38.56M,,,,,58.24M,,,,,206.67M,409.35M,-26.03M,,-26.03M,,374.71M,-1.626B,-1.277B,599.54M,-1.137B,-537.45M,,,-4.504M,,,,,,-78.23M,-5.703M,931.58M,1.793B,64.07M,1.935B,,2.287B,-1.687B,,,
2000-03,189.84M,0.104M,0.599M,,,43.93M,43.93M,,,,,98.86M,,,,,-318.92M,14.31M,-33.36M,,-33.36M,,-32.63M,-1.124B,-1.190B,674.25M,-460.64M,213.61M,,,7.021M,,,,,,-79.87M,-0.43M,911.52M,2.057B,-263.77M,1.793B,,2.284B,-1.610B,,,
1999-12,239.92M,-23.34M,-56.19M,,,65.69M,65.69M,,,,,241.61M,,,,,-203.40M,287.64M,-65.57M,,-65.57M,,750.18M,-1.623B,-937.90M,-792.45M,960.44M,167.99M,,,-5.893M,,,,,,-115.48M,-1.234M,545.43M,1.931B,-104.85M,2.373B,,939.87M,-1.732B,,,
1999-09,214.37M,27.48M,27.48M,,,53.68M,53.68M,,,,,290.81M,,,,,171.01M,757.35M,-13.56M,,-13.56M,,47.52M,-1.278B,-1.244B,1.210B,-525.83M,684.06M,,,-81.70M,,,,,,-88.95M,-4.506M,317.36M,1.892B,-169.66M,1.931B,,1.180B,30.06M,,,
1999-06,170.42M,-23.28M,-9.879M,,,45.01M,45.01M,,,,,223.64M,,,,,-78.71M,350.48M,-32.79M,,-32.79M,,-706.20M,-737.61M,-1.477B,44.02M,1.699B,1.743B,,,-107.24M,,,,,,-61.77M,4.88M,1.446B,1.441B,320.30M,1.892B,,538.30M,-494.27M,,,
1999-03,154.01M,,-13.40M,,,35.51M,35.51M,,,,,397.85M,,,,,14.10M,588.08M,-44.35M,,-44.35M,,-1.097B,-462.95M,-1.604B,152.08M,892.71M,1.045B,,,-154.36M,,,,,,-58.08M,,1.001B,1.456B,-15.54M,1.441B,,567.38M,-415.29M,,,
1998-12,259.34M,-5.255M,2.201M,,,69.91M,69.91M,,,,,-423.28M,,,,,-47.62M,-139.44M,-35.09M,,-35.09M,,391.06M,-1.041B,-684.96M,346.48M,-524.48M,-178.00M,,,1.167M,,,,,,-100.86M,-0.455M,1.059B,1.102B,234.34M,1.796B,,869.99M,-523.51M,,,
1998-09,143.90M,2.20M,2.20M,,,26.50M,26.50M,,,,,291.20M,,,,,151.80M,615.60M,-62.20M,,-62.20M,,-451.50M,-411.80M,-925.50M,296.20M,330.60M,626.80M,,,-122.50M,,,,,,-54.10M,0.00,241.10M,0.00,-68.80M,1.102B,,1.425B,-1.129B,,,
1998-06,128.10M,-4.60M,-4.60M,,,28.70M,28.70M,,,,,11.50M,,,,,-126.60M,37.10M,-26.10M,,-26.10M,,406.70M,-374.90M,5.70M,497.20M,-804.20M,-307.00M,,,-127.50M,,,,,,-45.80M,0.00,-171.30M,0.00,-128.60M,0.00,,612.40M,-115.20M,,,
