,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2002-09,,2.067B,,2.067B,,,,,2.435B,,,,,,,,,1.057B,,,1.699B,53.06B,723.69M,,52.34B,16.59B,75.75B,78.19B,,2.658B,2.658B,,4.798B,4.798B,4.798B,7.456B,13.38B,13.38B,49.81B,,63.20B,70.65B,2.402B,3.711B,1.109B,,312.88M,7.535B
2002-06,,1.758B,,1.758B,,,,,2.006B,,,,,,,,,1.034B,,,1.457B,50.53B,706.45M,,49.82B,18.26B,74.33B,76.33B,,2.386B,2.386B,,4.930B,4.930B,4.930B,7.316B,10.98B,10.98B,50.91B,,61.89B,69.21B,2.378B,3.523B,953.67M,,274.28M,7.128B
2002-03,,1.534B,,1.534B,,,,,1.804B,,,,,,,,,1.049B,,,1.568B,50.16B,705.90M,,49.45B,17.70B,73.15B,74.95B,,1.936B,1.936B,,6.043B,6.043B,6.043B,7.979B,11.44B,11.44B,48.47B,,59.92B,67.89B,2.406B,3.334B,1.146B,,169.38M,7.055B
2001-12,,1.986B,,1.986B,,,,,2.232B,,,,,,,,,989.61M,,,,47.44B,644.42M,,46.80B,16.76B,68.64B,70.87B,,1.616B,1.616B,,6.649B,6.649B,6.649B,8.265B,11.72B,11.72B,44.73B,,56.45B,64.72B,2.278B,3.149B,418.56M,,304.73M,6.150B
2001-09,,1.721B,,1.721B,,,,,1.985B,,,,,,,,,971.34M,,,,45.45B,634.55M,,44.81B,16.83B,68.32B,70.31B,,1.793B,1.793B,,5.923B,5.923B,5.923B,7.717B,11.41B,11.41B,45.21B,,56.62B,64.34B,2.265B,2.990B,332.78M,,382.52M,5.970B
2001-06,,1.565B,,1.565B,,,,,1.758B,,,,,,,,,875.85M,,,,44.55B,588.93M,,43.97B,14.65B,62.98B,64.73B,,1.489B,1.489B,,5.554B,5.554B,5.554B,7.043B,10.86B,10.86B,41.38B,,52.25B,59.29B,2.125B,2.655B,421.07M,,240.38M,5.442B
2001-03,,1.460B,,1.460B,,,,,1.634B,,,,,,,,,827.07M,,,,42.55B,555.53M,,41.99B,14.49B,60.49B,62.12B,,1.378B,1.378B,,5.737B,5.737B,5.737B,7.115B,10.91B,10.91B,39.05B,,49.96B,57.07B,2.048B,2.430B,349.49M,,219.38M,5.047B
2000-12,,1.777B,,1.777B,,,,,2.107B,,,,,,,,,928.96M,,,,43.92B,578.11M,,43.34B,15.95B,64.45B,66.55B,,1.300B,1.300B,,7.310B,7.310B,7.310B,8.610B,8.646B,8.646B,43.88B,,52.52B,61.13B,2.267B,2.633B,423.40M,,97.23M,5.420B
2000-09,,1.311B,,1.311B,,,,,1.621B,,,,,,,,,723.61M,,,,38.42B,505.58M,,37.91B,13.33B,55.05B,56.67B,,1.263B,1.263B,,6.693B,6.693B,6.693B,7.956B,8.343B,8.343B,36.04B,,44.38B,52.33B,1.989B,2.147B,335.79M,,-134.85M,4.337B
2000-06,,1.267B,,1.267B,,,,,1.627B,,,,,,,,,620.88M,,,,33.18B,436.84M,,32.75B,11.38B,47.17B,48.80B,,851.14M,851.14M,,5.569B,5.569B,5.569B,6.421B,6.866B,6.866B,31.83B,,38.69B,45.11B,1.784B,1.938B,264.65M,,-301.75M,3.685B
2000-03,,1.096B,,1.096B,,,,,1.335B,,,,,,,,,579.74M,,,,31.47B,417.24M,,31.05B,11.28B,45.29B,46.63B,,679.04M,679.04M,,6.862B,6.862B,6.862B,7.541B,6.146B,6.146B,29.46B,,35.61B,43.15B,1.742B,1.784B,261.69M,,-305.99M,3.482B
1999-12,,1.548B,,1.548B,,,,,1.981B,,,,,,,,,713.09M,,,,35.76B,477.30M,,35.28B,12.76B,51.02B,53.00B,,743.20M,743.20M,,7.972B,7.972B,7.972B,8.715B,6.073B,6.073B,34.15B,,40.22B,48.94B,1.994B,2.012B,379.36M,,-321.08M,4.064B
1999-09,,1.031B,,1.031B,,,,,1.522B,,,,,,,,,523.20M,,,,27.36B,369.30M,,26.99B,10.81B,40.13B,41.65B,,635.00M,635.00M,,5.894B,5.894B,5.894B,6.529B,6.322B,6.322B,25.70B,,32.03B,38.56B,,1.467B,,,,3.094B
1999-06,,1.603B,,1.603B,,,,,1.603B,,,,,,,,,489.30M,,,,25.38B,343.90M,,25.04B,10.34B,37.58B,39.18B,,576.60M,576.60M,,6.343B,6.343B,6.343B,6.92B,5.163B,5.163B,24.27B,,29.43B,36.35B,,1.323B,,,,2.832B
1999-03,,1.116B,,1.116B,,,,,1.116B,,,,,,,,,486.00M,,,,24.98B,338.00M,,24.64B,10.02B,36.68B,37.79B,,572.40M,572.40M,,4.669B,4.669B,4.669B,5.241B,5.188B,5.188B,24.41B,,29.60B,34.84B,,1.234B,,,,2.948B
1998-12,,1.120B,,1.120B,,,,,1.243B,,,,,,,,,525.20M,,,,26.60B,361.90M,,26.24B,9.920B,38.23B,39.47B,,550.80M,550.80M,,3.886B,3.886B,3.886B,4.436B,5.413B,5.413B,26.45B,,31.86B,36.30B,1.645B,1.273B,189.00M,,64.60M,3.171B
1998-09,,951.30M,,951.30M,,,,,951.30M,,,,,,,,,433.20M,,,,23.14B,313.80M,,22.82B,8.271B,32.92B,33.88B,,565.70M,565.70M,,4.088B,4.088B,4.088B,4.654B,4.386B,4.386B,22.10B,,26.48B,31.14B,,1.006B,,,92.50M,2.738B
1998-06,,922.80M,,922.80M,,,,,922.80M,,,,,,,,,430.50M,,,,21.97B,289.30M,,21.68B,7.335B,30.62B,31.54B,,491.10M,491.10M,,3.355B,3.355B,3.355B,3.846B,4.146B,4.146B,21.13B,,25.28B,29.12B,,920.10M,,,49.20M,2.421B
1998-03,,961.70M,,961.70M,,,,,961.70M,,,,,,,,,425.60M,,,,21.53B,282.40M,,21.25B,7.780B,30.57B,31.54B,,492.10M,492.10M,,4.040B,4.040B,4.040B,4.532B,3.769B,3.769B,20.79B,,24.56B,29.10B,,1.550B,,,,2.44B
