,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-06,3.696B,355.34M,4.051B,479.09M,,1.685B,2.164B,,,,305.23M,6.520B,,,,,,,,2.436B,-1.311B,1.125B,6.523B,554.63M,7.077B,,,,299.31M,8.501B,2008-06,127.84M,,,127.84M,908.00M,1.036B,,,,,,,186.48M,186.48M,,1.784B,3.006B,,,,590.81M,,,52.53M,643.34M,3.650B,1.464M,5.111B,9.283B,4.753B,,,,1.730B,11.37B,,2008-06,,
2008-03,3.565B,422.70M,3.988B,496.94M,,1.731B,2.228B,,,,242.28M,6.458B,,,,,,,,2.447B,-1.311B,1.136B,6.545B,615.25M,7.160B,,,,292.34M,8.588B,2008-03,169.17M,,,169.17M,863.88M,1.033B,,,,,,,182.35M,182.35M,,1.865B,3.080B,,,,551.83M,,,52.84M,604.67M,3.685B,1.46M,4.650B,9.104B,4.186B,,,,1.791B,11.36B,,2008-03,,Restated
2007-12,4.221B,658.85M,4.880B,480.56M,,427.34M,907.89M,70.19M,17.41M,,1.247B,7.123B,0.00,399.95M,237.82M,1.794B,,,,2.432B,-1.311B,1.120B,6.257B,596.04M,6.853B,,,,269.89M,8.244B,2007-12,156.61M,,,156.61M,781.73M,938.34M,,,,,,,166.50M,316.58M,150.08M,1.845B,3.100B,,,,510.56M,,,51.30M,561.86M,3.661B,1.458M,4.191B,8.996B,3.185B,,1.342B,359.62M,1.701B,11.70B,,2007-12,,
2007-09,3.913B,76.11M,3.989B,411.17M,,565.44M,976.61M,223.13M,17.80M,40.87M,1.115B,6.362B,,,,,,,,2.008B,-947.89M,1.060B,6.180B,642.47M,6.823B,,,,542.57M,8.425B,2007-09,98.71M,,,98.71M,1.114B,1.212B,,,,,,,156.18M,156.18M,,1.904B,3.273B,,,,592.39M,,,48.86M,641.25M,3.914B,1.451M,3.660B,8.750B,2.870B,,,,1.331B,10.87B,,2007-09,,
2007-06,3.418B,181.98M,3.600B,379.85M,,502.04M,881.89M,74.86M,17.21M,55.67M,850.42M,5.480B,,,,,,,,1.981B,-947.89M,1.033B,6.917B,681.24M,7.599B,,,,249.60M,8.881B,2007-06,94.49M,,,94.49M,725.97M,820.46M,,,,,,,145.24M,145.24M,,1.363B,2.329B,,,,447.79M,,,45.20M,492.98M,2.822B,1.441M,4.595B,8.430B,2.347B,,,,859.56M,11.54B,,2007-06,,
2007-03,2.967B,317.28M,3.284B,380.47M,,425.02M,805.49M,83.64M,14.93M,71.86M,839.40M,5.100B,,,,,,,,1.984B,-947.89M,1.036B,6.803B,717.89M,7.521B,,,,263.73M,8.820B,2007-03,122.54M,,,122.54M,690.79M,813.33M,,,,,,,143.14M,143.14M,,1.294B,2.251B,,,,410.50M,,,42.80M,453.29M,2.704B,1.436M,4.219B,8.234B,2.003B,,,,764.09M,11.22B,,2007-03,,
2006-12,2.663B,542.10M,3.205B,393.20M,,399.30M,792.49M,64.00M,12.74M,67.88M,828.58M,4.971B,0.00,355.22M,197.84M,1.393B,,,,1.946B,-947.89M,998.20M,6.544B,682.98M,7.227B,,,,297.97M,8.523B,2006-12,83.39M,,,83.39M,518.78M,602.17M,,,,,,,128.96M,128.96M,,1.787B,2.518B,,,,31.78M,,,39.20M,70.98M,2.589B,1.431M,3.842B,8.034B,1.669B,,696.46M,-0.261M,696.20M,10.90B,,2006-12,,
2006-09,2.482B,741.66M,3.224B,673.78M,,,673.78M,48.64M,33.08M,78.75M,716.52M,4.775B,,,,,,,,1.654B,-654.62M,999.21M,6.408B,719.30M,7.127B,,,,561.95M,8.688B,2006-09,1.096B,,,1.096B,620.08M,1.716B,,,,,,,117.79M,117.79M,,386.99M,2.221B,,,,102.12M,,,37.44M,139.57M,2.360B,1.426M,3.496B,7.811B,666.82M,,,,461.57M,11.10B,,2006-09,,
2006-06,2.634B,720.12M,3.354B,310.04M,,219.86M,529.90M,,33.42M,,628.41M,4.546B,,,,,,,,1.597B,-654.62M,942.44M,6.355B,758.52M,7.114B,,,,647.60M,8.704B,2006-06,134.19M,,,134.19M,608.37M,742.56M,,,,,,,106.08M,106.08M,,870.76M,1.719B,,,,206.82M,,,40.55M,247.37M,1.967B,1.415M,3.215B,7.681B,,,,,386.70M,11.28B,,2006-06,,
2006-03,1.876B,828.05M,2.704B,318.88M,,225.30M,544.17M,,30.76M,,620.83M,3.900B,,,,,,,,1.515B,-654.62M,860.49M,,6.987B,6.987B,,,,820.74M,8.668B,2006-03,101.16M,,,101.16M,589.66M,690.82M,,,,,,,90.96M,90.96M,,899.72M,1.682B,,,,220.43M,,,39.80M,260.23M,1.942B,1.409M,2.965B,7.429B,,,,,231.22M,10.63B,,2006-03,,
2005-12,1.314B,774.65M,2.088B,578.07M,,,578.07M,44.61M,29.70M,59.27M,383.35M,3.183B,0.00,342.69M,121.31M,992.22M,,,,1.456B,-654.62M,801.60M,,6.943B,6.943B,,,,860.79M,8.606B,2005-12,642.34M,,,642.34M,578.56M,1.221B,,,,,,,81.94M,81.94M,,182.10M,1.485B,,,,215.68M,,,40.39M,256.07M,1.741B,1.412M,2.717B,7.273B,0.274M,,,,57.59M,10.05B,,2005-12,,
2005-09,2.181B,888.78M,3.069B,274.24M,,210.59M,484.83M,,33.26M,,403.52M,3.991B,,,,,,,,1.189B,-426.57M,762.41M,,4.020B,4.020B,,,,852.50M,5.635B,2005-09,42.73M,,,42.73M,523.58M,566.31M,,,,,,,44.22M,44.22M,,656.26M,1.267B,,,,298.20M,,,33.69M,331.89M,1.599B,1.36M,2.437B,5.454B,,,,,135.09M,8.027B,,2005-09,,
2005-06,1.856B,896.95M,2.753B,269.64M,,200.17M,469.81M,,32.08M,,435.34M,3.690B,,,,,,,,1.172B,-426.57M,745.26M,,3.507B,3.507B,,,,1.091B,5.343B,2005-06,41.69M,,,41.69M,454.19M,495.87M,,,,,,,42.08M,42.08M,,648.87M,1.187B,,,,242.70M,,,34.49M,277.18M,1.464B,1.354M,2.182B,5.225B,,,,,160.92M,7.569B,,2005-06,,
2005-03,1.217B,799.04M,2.016B,270.44M,,209.38M,479.81M,,30.55M,,421.88M,2.948B,,,,,,,,1.120B,-426.57M,693.46M,,3.481B,3.481B,,,,1.467B,5.641B,2005-03,543.39M,,,543.39M,440.22M,983.61M,,,,,,,42.81M,42.81M,,122.69M,1.149B,,,,170.43M,,0.051M,34.76M,205.20M,1.354B,1.349M,1.891B,5.121B,,,,,221.59M,7.235B,,2005-03,,
2004-12,1.330B,682.00M,2.012B,240.86M,,123.42M,364.28M,,155.40M,,379.42M,2.911B,0.00,278.71M,99.62M,758.01M,,,,1.136B,-426.57M,709.77M,,3.073B,3.073B,,,,1.297B,5.080B,2004-12,37.96M,,,37.96M,421.97M,459.93M,,,,456.08M,,456.08M,50.44M,50.44M,,118.43M,1.085B,0.075M,,0.075M,135.97M,,4.096M,37.70M,173.74M,1.259B,1.339M,1.634B,4.856B,,,,,236.82M,6.728B,,2004-12,,
2004-09,1.436B,641.71M,2.078B,306.67M,,156.36M,463.03M,,,,388.38M,2.929B,0.00,278.77M,76.51M,704.26M,,,,1.060B,-377.52M,682.02M,,2.623B,2.623B,,,,1.008B,4.313B,2004-09,80.01M,,,80.01M,381.62M,461.63M,,,,124.27M,,124.27M,43.38M,43.38M,,347.14M,976.42M,0.443M,,0.443M,133.51M,,4.40M,36.52M,170.48M,1.147B,0.663M,1.429B,4.557B,,,,,103.64M,6.090B,,2004-09,,
2004-06,1.589B,548.92M,2.138B,242.29M,,143.30M,385.58M,,,,364.85M,2.888B,0.00,278.77M,66.13M,625.41M,,,,970.30M,-331.16M,639.14M,,2.109B,2.109B,,,,1.196B,3.944B,2004-06,68.19M,,,68.19M,329.83M,398.03M,,,,124.27M,,124.27M,39.64M,39.64M,,335.10M,897.04M,0.887M,,0.887M,62.40M,,43.73M,32.36M,95.64M,992.68M,0.661M,1.247B,4.453B,,,,,95.24M,5.796B,,2004-06,,
2004-03,1.502B,418.68M,1.920B,225.05M,,142.66M,367.70M,,141.21M,,229.06M,2.658B,0.00,293.24M,62.49M,563.10M,,,,918.82M,-290.74M,628.09M,,1.982B,1.982B,,,,1.190B,3.800B,2004-03,107.48M,,,107.48M,344.67M,452.15M,,,,124.84M,,124.84M,36.89M,36.89M,,343.29M,957.16M,1.33M,,1.33M,84.74M,,41.47M,18.90M,104.97M,1.062B,0.655M,1.056B,4.188B,,,,,109.60M,5.355B,,2004-03,,
2003-12,1.382B,340.58M,1.722B,225.87M,,79.89M,305.76M,,,,118.03M,2.146B,0.00,293.24M,49.64M,528.55M,,,,871.43M,-269.65M,601.78M,,1.993B,1.993B,,,,1.079B,3.674B,2003-12,64.63M,,,64.63M,356.49M,421.12M,,,,2.84M,,2.84M,28.87M,28.87M,,194.44M,647.28M,124.48M,,124.48M,79.24M,,39.41M,33.49M,237.21M,884.48M,0.649M,856.24M,3.937B,,,,,102.19M,4.896B,,2003-12,,
2003-09,1.584B,163.76M,1.748B,169.05M,,84.66M,253.71M,,,,109.66M,2.111B,0.00,292.53M,32.02M,449.56M,,,,774.11M,-239.48M,534.62M,,1.915B,1.915B,,,63.55M,876.82M,3.390B,2003-09,54.58M,,,54.58M,335.99M,390.57M,,,,3.586M,,3.586M,25.25M,25.25M,,188.42M,607.83M,133.95M,,133.95M,101.17M,,49.53M,15.86M,250.98M,858.81M,0.645M,713.78M,3.780B,,,,,98.09M,4.592B,,2003-09,,
2003-06,1.392B,271.34M,1.663B,164.62M,,83.06M,247.68M,,,,92.94M,2.004B,0.00,167.36M,27.80M,411.53M,,,,606.68M,-203.39M,403.30M,,1.745B,1.745B,,,75.87M,815.38M,3.039B,2003-06,64.67M,,,64.67M,253.05M,317.72M,,,,3.586M,,3.586M,21.48M,21.48M,,189.70M,532.49M,12.38M,,12.38M,102.03M,,44.02M,19.25M,133.66M,666.16M,0.641M,610.53M,3.640B,,,,,81.81M,4.333B,,2003-06,,
2003-03,1.554B,122.28M,1.677B,157.26M,,83.88M,241.15M,,,,95.82M,2.014B,0.00,41.91M,22.46M,359.53M,,,,423.90M,-182.10M,241.80M,,1.739B,1.739B,,,76.86M,502.03M,2.559B,2003-03,54.04M,,,54.04M,218.02M,272.06M,,,,3.34M,,3.34M,20.54M,20.54M,,168.92M,464.86M,13.12M,,13.12M,106.68M,,42.44M,20.69M,140.49M,605.35M,0.316M,518.67M,3.363B,,,,,43.69M,3.925B,,2003-03,,
2002-12,1.109B,89.69M,1.199B,131.45M,,41.01M,172.47M,,,,96.99M,1.468B,0.00,31.93M,18.92M,328.84M,0.103M,,,379.79M,-161.76M,218.03M,,1.735B,1.735B,,,,618.25M,2.572B,2002-12,47.42M,,,47.42M,199.32M,246.75M,,,,2.97M,,2.97M,18.85M,18.85M,,117.66M,386.22M,13.80M,,13.80M,27.62M,,33.23M,22.87M,64.30M,450.52M,0.623M,414.47M,3.108B,,,,,33.24M,3.556B,,2002-12,,
2002-09,748.62M,97.43M,846.05M,138.38M,,,138.38M,,,,59.73M,1.044B,0.00,35.72M,14.26M,263.31M,,,,313.29M,-148.30M,164.99M,,259.44M,259.44M,,,18.10M,593.88M,1.036B,2002-09,32.70M,,,32.70M,128.24M,160.94M,,,,0.108M,,0.108M,16.77M,16.77M,,17.72M,195.54M,9.363M,,9.363M,,,31.23M,21.08M,30.44M,225.98M,0.283M,327.48M,1.476B,,,,,19.79M,1.823B,,2002-09,,
2002-06,616.87M,121.65M,738.52M,128.77M,,,128.77M,,,,70.30M,937.59M,0.00,68.78M,,214.48M,51.04M,,,334.30M,-147.24M,187.06M,,263.98M,263.98M,,,23.52M,557.88M,1.032B,2002-06,36.53M,,,36.53M,116.02M,152.56M,,,,14.97M,,14.97M,22.37M,22.37M,,23.32M,213.22M,9.808M,,9.808M,,,30.47M,20.42M,30.23M,243.45M,0.282M,266.48M,1.406B,,,,,23.26M,1.696B,,2002-06,,
2002-03,576.85M,152.94M,729.79M,120.91M,,,120.91M,,,,59.97M,910.67M,,,,,,,,264.07M,-121.68M,142.39M,,232.20M,232.20M,,,23.03M,480.73M,878.34M,2002-03,33.62M,,,33.62M,114.36M,147.98M,,,,15.05M,,15.05M,16.28M,16.28M,,22.99M,202.30M,9.774M,,9.774M,,,30.33M,19.00M,28.78M,231.08M,0.28M,212.17M,1.332B,,,,,-16.67M,1.528B,,2002-03,,
2001-12,523.97M,199.45M,723.42M,101.70M,,,101.70M,,,,58.68M,883.80M,0.00,60.72M,12.35M,190.96M,,,,264.03M,-121.68M,142.35M,,198.64M,198.64M,,,21.54M,432.20M,794.72M,2001-12,33.24M,,,33.24M,94.59M,127.83M,,,,16.11M,,16.11M,15.58M,15.58M,,20.62M,180.14M,12.01M,,12.01M,,,37.75M,19.49M,31.50M,211.64M,0.277M,164.63M,1.275B,,,,,-11.01M,1.429B,,2001-12,,
2001-09,423.73M,227.32M,651.05M,97.93M,,,97.93M,,,,61.49M,810.48M,,,,,,,,211.86M,-69.02M,142.84M,,212.93M,212.93M,,,10.57M,371.78M,738.13M,2001-09,30.74M,,,30.74M,94.89M,125.63M,,,,15.96M,,15.96M,15.54M,15.54M,,10.98M,168.10M,12.05M,,12.05M,,,39.72M,17.97M,30.01M,198.12M,0.275M,138.64M,1.179B,,,,,-7.085M,1.311B,,2001-09,,
2001-06,439.76M,246.47M,686.24M,103.72M,,,103.72M,,,,62.65M,852.61M,,,,,,,,210.76M,-69.02M,141.75M,,213.42M,213.42M,,,9.843M,258.04M,623.05M,2001-06,40.11M,,,40.11M,93.26M,133.38M,,,,15.14M,,15.14M,18.12M,18.12M,,10.94M,177.58M,11.34M,,11.34M,,,44.13M,14.12M,25.46M,203.04M,0.273M,119.11M,1.120B,,,,,-10.91M,1.228B,,2001-06,,
2001-03,314.26M,273.84M,588.10M,75.49M,,,75.49M,,15.90M,,59.84M,739.34M,,,,,,,,202.30M,-69.02M,133.28M,,111.55M,111.55M,,,10.94M,261.93M,517.69M,2001-03,21.40M,,,21.40M,69.66M,91.05M,,,,30.25M,,30.25M,12.08M,12.08M,,11.00M,144.38M,11.34M,,11.34M,,,43.32M,13.72M,25.06M,169.44M,0.269M,95.42M,960.79M,,,,,-12.21M,1.044B,,2001-03,,
2000-12,201.87M,354.17M,556.04M,67.16M,,,67.16M,,,,52.26M,675.46M,,,,,,,,194.18M,-69.02M,125.16M,,23.30M,23.30M,,,,358.48M,506.94M,2000-12,31.72M,,,31.72M,,31.72M,,,,15.27M,,15.27M,,,,90.44M,137.44M,11.40M,,11.40M,,,13.25M,6.549M,17.95M,155.40M,0.269M,74.50M,941.28M,,,,,-2.298M,1.014B,,2000-12,,
2000-09,130.56M,302.54M,433.10M,49.23M,,,49.23M,,,,40.42M,522.74M,,,,,,,,180.45M,-58.40M,122.05M,,14.58M,14.58M,,,,454.77M,591.40M,2000-09,18.80M,,,18.80M,,18.80M,,,,8.965M,,8.965M,,,,74.00M,101.76M,22.89M,,22.89M,,,14.74M,5.881M,28.77M,130.53M,0.267M,50.73M,920.66M,,,,,-2.77M,968.88M,,2000-09,,
2000-06,135.62M,146.53M,282.15M,46.31M,,,46.31M,,,,40.70M,369.15M,,,,,,,,172.49M,-49.03M,123.46M,,12.56M,12.56M,,,,566.44M,702.46M,2000-06,25.94M,,,25.94M,,25.94M,,,,15.58M,,15.58M,,,,69.48M,111.00M,14.74M,,14.74M,,,14.77M,5.885M,20.63M,131.64M,0.263M,45.51M,882.24M,,,,,-2.802M,925.21M,,2000-06,,
2000-03,278.33M,66.52M,344.85M,34.85M,,,34.85M,,,,37.01M,416.71M,,,,,,,,165.41M,-40.09M,125.31M,,11.19M,11.19M,,,,482.75M,619.25M,2000-03,26.35M,,,26.35M,,26.35M,,,,13.30M,,13.30M,,,,53.82M,93.48M,14.83M,,14.83M,,,15.36M,5.90M,20.73M,114.20M,0.261M,33.91M,869.79M,,,,,2.427M,906.39M,,2000-03,,
1999-12,221.80M,181.09M,402.89M,36.54M,,,36.54M,,,,25.88M,465.31M,,,,,,,,144.40M,-32.20M,112.20M,,12.69M,12.69M,,,,379.63M,504.52M,1999-12,32.13M,,,32.13M,,32.13M,,,,15.78M,,15.78M,,,,45.13M,93.04M,15.02M,,15.02M,,,1.732M,5.90M,20.92M,113.96M,0.263M,26.37M,831.12M,,,,,-3.621M,854.13M,,1999-12,,
1999-09,246.50M,139.40M,385.90M,27.60M,,,27.60M,,,,25.70M,439.20M,,,,,,,,105.30M,-23.20M,82.10M,,9.30M,9.30M,,,,379.00M,470.40M,1999-09,22.80M,,,22.80M,,22.80M,,,,12.40M,,12.40M,,,,37.20M,72.40M,5.90M,,5.90M,,,,6.00M,11.90M,84.30M,0.129M,19.80M,807.20M,,,,,-1.90M,825.30M,,1999-09,,
1999-06,347.60M,,347.60M,23.90M,,,23.90M,,,,101.40M,472.90M,,,,,,,,90.70M,-18.40M,72.30M,,7.10M,7.10M,,,,369.90M,449.30M,1999-06,31.60M,,,31.60M,,31.60M,,,,13.30M,,13.30M,,,,27.50M,72.40M,5.50M,,5.50M,,,,6.10M,11.60M,84.00M,,18.50M,,,,,,,838.20M,,1999-06,,
1999-03,24.90M,,24.90M,12.10M,,,12.10M,,,,55.70M,92.70M,,,,,,,,19.20M,-3.00M,16.20M,,0.80M,0.80M,,,,,17.00M,1999-03,3.70M,,,3.70M,,3.70M,,,,1.00M,,1.00M,,,,13.40M,18.10M,,,,,,,,,18.10M,,9.20M,,,,,,,91.60M,,1999-03,,
1998-12,37.30M,,37.30M,12.40M,,,12.40M,,,,47.90M,97.60M,,,,,,,,57.80M,-13.70M,44.10M,,7.90M,7.90M,,,,-0.10M,51.90M,1998-12,10.00M,,,10.00M,,10.00M,,,,4.00M,,4.00M,,,,10.70M,24.70M,18.40M,,18.40M,,,,5.90M,24.30M,49.00M,,17.90M,,,,,,,100.50M,,1998-12,,
1998-09,74.50M,,74.50M,,,,4.00M,,,,3.60M,82.10M,,,,,,,,6.70M,-1.00M,5.70M,,1.70M,1.70M,,,,,7.40M,1998-09,3.40M,,,3.40M,,3.40M,,,,0.30M,,0.30M,,,,3.60M,7.30M,0.10M,,0.10M,0.20M,,,-0.10M,0.20M,7.50M,,1.80M,,,,,,,82.00M,,1998-09,,
1998-06,10.70M,,10.70M,,,,2.80M,,,,0.50M,14.00M,,,,,,,,4.10M,-0.50M,3.60M,,2.20M,2.20M,,,,,5.80M,1998-06,1.80M,,,1.80M,,1.80M,,,,0.30M,,0.30M,,,,3.10M,5.20M,0.20M,,0.20M,0.20M,,,-0.10M,0.30M,5.50M,5.20M,1.10M,,,5.20M,,,,14.30M,,1998-06,,
