,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-06,76.84M,,7.554M,13.39M,3.78M,17.17M,17.17M,-3.477M,,,,,,18.86M,3.726M,-3.576M,13.26M,-12.50M,35.66M,,55.43M,153.52M,-15.01M,-15.01M,,-3.287M,-11.38M,-29.67M,,,13.16M,-64.70M,-51.54M,,-24.56M,,,-76.09M,449.39M,47.76M,497.15M,13.16M,,,-64.70M,,
2005-03,67.20M,,17.27M,5.212M,10.95M,16.17M,16.17M,50.67M,,,,,,-60.46M,31.01M,1.231M,-19.70M,-54.07M,-33.93M,,-168.04M,-16.73M,-17.40M,-17.40M,-0.21M,67.71M,50.00M,100.10M,,,37.63M,-31.57M,6.057M,,-17.48M,,,-11.43M,377.44M,71.94M,449.39M,37.63M,,,-31.57M,,
2004-12,64.06M,,23.58M,21.03M,-5.237M,15.79M,15.79M,5.617M,,,,,,49.20M,-28.32M,-6.958M,-9.176M,1.282M,-42.33M,,-36.30M,72.74M,-14.56M,-14.56M,0.413M,121.43M,-50.00M,57.28M,,,13.44M,-36.13M,-22.69M,,-17.42M,,,-40.12M,287.55M,89.90M,377.44M,13.44M,,,-36.13M,,
2004-09,86.21M,,6.274M,10.53M,5.454M,15.99M,15.99M,6.169M,,,,,,5.807M,-45.58M,9.722M,6.557M,-0.527M,-21.78M,,-45.81M,68.83M,-12.61M,-12.61M,0.00,4.07M,,-8.539M,,,23.89M,-35.59M,-11.71M,,-17.40M,,,-29.10M,256.36M,31.19M,287.55M,23.89M,,,-35.59M,,
2004-06,95.25M,,14.52M,15.15M,0.474M,15.62M,15.62M,-2.906M,,,,,,40.94M,-40.38M,0.514M,6.952M,0.082M,20.04M,,28.15M,150.64M,-16.80M,-16.80M,-18.64M,-158.49M,,-193.93M,,,10.11M,-30.46M,-20.35M,,-17.35M,,,-37.70M,337.34M,-80.99M,256.36M,10.11M,,,-30.46M,,
2004-03,130.89M,,82.83M,14.31M,0.546M,14.85M,14.85M,53.77M,,,,,,-79.37M,-9.408M,-0.338M,26.63M,-1.635M,-138.91M,,-203.03M,79.31M,-11.20M,20.85M,,-85.63M,,-84.78M,,,48.86M,-18.80M,30.06M,,,,,30.06M,312.76M,24.58M,337.34M,48.86M,,,-18.80M,,
2003-12,69.45M,,14.29M,16.69M,0.922M,17.61M,17.61M,-1.473M,,,,,,-0.457M,17.46M,-0.361M,3.166M,1.286M,45.22M,,66.31M,166.19M,-12.53M,-12.53M,,-198.98M,,-211.51M,,,18.98M,-20.01M,-1.032M,,,,,-1.032M,359.11M,-46.35M,312.76M,18.98M,,,-20.01M,,
2003-09,56.41M,,7.59M,18.35M,1.168M,19.51M,19.51M,0.214M,,,,,,-31.01M,5.401M,7.621M,-2.307M,2.512M,-10.41M,,-28.20M,55.53M,-8.702M,-8.702M,,-43.67M,,-52.37M,,,26.72M,-14.13M,12.59M,,,,,12.59M,343.36M,15.75M,359.11M,26.72M,,,-14.13M,,
2003-06,46.24M,,14.62M,18.58M,1.131M,19.71M,19.71M,-3.24M,,,,,,60.68M,-3.834M,-16.96M,8.382M,4.071M,1.791M,,54.13M,131.47M,-8.604M,-8.604M,,2.468M,,-6.136M,,,13.41M,-9.383M,4.03M,,,,,4.03M,214.00M,129.36M,343.36M,13.41M,,,-9.383M,,
2003-03,49.41M,,2.554M,17.81M,1.336M,19.14M,19.14M,-19.58M,,,,,,-73.09M,25.66M,-0.234M,1.749M,16.24M,54.94M,,25.26M,76.79M,-10.81M,-4.348M,,-100.77M,,-105.12M,,,24.04M,-9.264M,14.77M,,,,,14.77M,227.55M,-13.56M,214.00M,24.04M,,,-9.264M,,
2002-12,-3.43M,,65.34M,17.79M,1.386M,19.17M,19.17M,-0.106M,,,,,,50.65M,-6.031M,52.45M,-22.82M,-0.011M,-25.39M,,48.85M,129.83M,-11.02M,-11.02M,,-33.62M,,-44.64M,,,5.832M,-9.413M,-3.581M,,,,,-3.581M,145.95M,81.61M,227.55M,5.832M,,,-9.413M,,
2002-09,38.72M,,9.426M,18.17M,1.584M,19.76M,19.76M,-1.665M,,,,,,-7.424M,-32.61M,23.39M,-15.93M,0.33M,30.14M,,-2.097M,64.14M,-13.34M,-13.34M,,-121.35M,,-134.69M,,,15.37M,-14.20M,1.17M,,,,,1.17M,215.33M,-69.38M,145.95M,15.37M,,,-14.20M,,
2002-06,41.01M,,-1.071M,18.68M,2.084M,20.77M,20.77M,-3.067M,,,,,,-19.39M,-1.878M,-30.22M,42.00M,-0.673M,26.77M,,16.61M,74.24M,-10.88M,-10.88M,,-59.81M,,-70.69M,,,9.401M,-27.97M,-18.57M,,,,,-18.57M,230.34M,-15.01M,215.33M,9.401M,,,-27.97M,,
2002-03,34.28M,,-3.907M,,,20.14M,20.14M,-17.50M,,,,,,-73.93M,50.21M,,5.396M,-11.07M,137.99M,,69.04M,102.06M,-28.03M,-28.03M,,-48.67M,,-76.70M,,,25.26M,-24.73M,0.538M,,,,,0.538M,204.44M,25.90M,230.34M,25.26M,,,-24.73M,,
2001-12,9.657M,,-0.476M,,,31.70M,31.70M,-23.37M,,,,,,15.72M,35.85M,,2.425M,33.38M,-4.181M,,83.19M,100.70M,-11.94M,-11.94M,,-73.68M,,-85.61M,,,15.70M,-27.87M,-12.17M,,,,,-12.17M,201.52M,2.921M,204.44M,15.70M,,,-27.87M,,
2001-09,-176.02M,,216.92M,,,32.01M,32.01M,26.57M,,,,,,31.71M,138.22M,,-13.43M,-26.10M,-143.66M,,-13.26M,86.21M,-20.15M,-20.15M,,-7.929M,,-28.08M,,,21.12M,-38.27M,-17.14M,,,,,-17.14M,160.52M,40.99M,201.52M,21.12M,,,-38.27M,,
2001-06,18.48M,,-0.602M,,,33.23M,33.23M,23.80M,,,,,,50.84M,21.66M,,-62.33M,-16.28M,-76.87M,,-82.99M,-8.075M,-34.77M,-34.77M,,7.426M,,-27.34M,,,21.96M,-34.72M,-12.75M,,,,,-12.75M,208.69M,-48.17M,160.52M,21.96M,,,-34.72M,,
2001-03,-162.12M,,211.00M,,,33.99M,33.99M,26.98M,,,,,,49.50M,-74.54M,1.222M,-33.55M,-18.66M,-33.18M,,-109.21M,0.654M,-45.22M,-45.22M,,143.79M,0.00,98.57M,,,31.36M,-19.85M,11.51M,,,,,11.51M,97.96M,110.74M,208.69M,31.36M,,,-19.85M,,
2000-12,-10.51M,,234.41M,,,28.57M,28.57M,-3.979M,,,,,,21.59M,-77.82M,,33.51M,-10.04M,-115.24M,,-148.00M,100.49M,-31.89M,-31.89M,,103.39M,4.243M,75.74M,,,17.67M,-258.45M,-240.78M,,,,,-240.78M,162.51M,-64.55M,97.96M,17.67M,,,-258.45M,,
2000-09,114.06M,,,,,17.22M,17.22M,-30.13M,,,,,,-25.55M,-23.76M,-0.953M,23.45M,-21.00M,101.42M,,53.61M,154.75M,-123.62M,-123.62M,,22.56M,,-101.06M,,,30.14M,-70.66M,-40.52M,,,,,-40.52M,149.34M,13.17M,162.51M,30.14M,,,-70.66M,,
2000-06,93.83M,,,,,13.67M,13.67M,-1.883M,,,,,,-83.26M,-10.60M,0.953M,20.83M,-4.344M,92.18M,,15.76M,121.38M,-21.94M,-21.94M,,-6.65M,,-28.59M,,,24.84M,-53.83M,-28.99M,,,,,-28.99M,85.55M,63.79M,149.34M,24.84M,,,-53.83M,,
2000-03,476.36M,,-676.10M,,,12.97M,12.97M,288.19M,,,,,,-45.72M,-12.29M,1.942M,5.874M,-15.24M,81.30M,,15.86M,117.27M,-52.22M,-52.22M,0.00,-92.85M,,-145.07M,,,32.80M,0.00,32.80M,,,,,32.80M,80.55M,5.00M,85.55M,32.80M,,,0.00,,
1999-12,68.50M,,-2.902M,,,12.75M,12.75M,2.069M,,,,,,13.25M,5.551M,-33.14M,18.45M,16.50M,1.338M,,21.94M,102.36M,-61.50M,-61.50M,0.00,-54.21M,,-115.71M,,,17.99M,0.00,17.99M,,,,,17.99M,75.90M,4.644M,80.55M,17.99M,,,0.00,,
1999-09,55.97M,,3.306M,,,10.06M,10.06M,-8.662M,,,,,,-23.61M,3.775M,,-31.57M,-16.50M,44.98M,,-22.92M,37.77M,-20.14M,-20.14M,-22.75M,-58.80M,,-101.69M,,,28.93M,0.00,28.93M,,,,,28.93M,110.90M,-34.99M,75.90M,28.93M,,,0.00,,
1999-06,51.62M,,-0.654M,,,8.409M,8.409M,-4.615M,,,,,,-12.50M,5.125M,,40.28M,,-3.95M,,28.96M,83.71M,-9.88M,-9.88M,,-25.86M,,-35.74M,,,14.64M,-5.289M,9.348M,,,,,9.348M,53.58M,57.31M,110.90M,14.64M,,,-5.289M,,
1999-03,39.25M,,3.115M,,,7.469M,7.469M,-9.335M,,,,,,10.68M,12.78M,3.35M,3.501M,,7.573M,,36.93M,77.43M,-12.52M,-12.52M,,-125.06M,0.00,-144.35M,,,13.99M,-5.17M,8.82M,,,,,8.82M,111.68M,-58.10M,53.58M,13.99M,,,-5.17M,,
1998-12,36.11M,,0.727M,,,9.457M,9.457M,1.332M,,,,,,-6.664M,19.28M,-3.905M,-19.46M,,24.54M,,13.79M,61.41M,-11.12M,-11.12M,,-27.52M,0.11M,-38.52M,,,22.11M,-3.208M,18.90M,,,,,18.90M,69.89M,41.79M,111.68M,22.11M,,,-3.208M,,
1998-09,27.87M,,2.381M,,,7.034M,7.034M,3.472M,,,,,,3.799M,11.88M,-4.001M,8.093M,,-1.632M,,18.14M,58.89M,-9.513M,-9.513M,,-60.65M,-5.558M,-75.72M,,,4.256M,-51.77M,-47.51M,,,,,-47.51M,134.23M,-64.34M,69.89M,4.256M,,,-51.77M,,
1998-06,-0.635M,,29.26M,,,8.152M,8.152M,-3.913M,,,,,,-16.96M,14.39M,,5.463M,,10.14M,,13.03M,45.89M,-7.774M,-7.774M,,-32.21M,,-39.98M,,,15.12M,-53.66M,-38.54M,,,,,-38.54M,166.86M,-32.63M,134.23M,15.12M,,,-53.66M,,
