,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-03,273.50M,273.50M,115.32M,158.18M,55.68M,52.21M,10.75M,0.00,,,,0.00,118.64M,39.54M,,,,0.00,,45.04M,10.76M,34.28M,,34.28M,34.28M,59.68M,20.14M,39.54M,0.1,0.0,,0.1,0.1,0.1,0.0,,0.1,0.1,334.56M,334.56M,
2001-12,228.11M,228.11M,101.87M,126.24M,52.38M,49.13M,10.75M,,,,,,112.26M,13.99M,,,,,,18.46M,8.807M,9.657M,,9.657M,9.657M,45.69M,31.70M,13.99M,0.03,0.0,,0.03,0.03,0.03,0.0,,0.03,0.03,334.36M,350.69M,
2001-09,224.64M,224.64M,199.75M,24.89M,55.31M,49.14M,10.09M,-197.79M,,,,25.34M,139.87M,-114.98M,,,,-197.79M,,-282.12M,-106.10M,-176.02M,,-176.02M,-52.62M,-82.97M,32.01M,-114.98M,-0.53,0.0,,-0.1601,-0.53,-0.53,0.0,,-0.1601,-0.53,333.65M,333.65M,
2001-06,289.33M,289.33M,140.95M,148.38M,65.40M,54.94M,10.75M,,,,,,131.08M,17.30M,,,,,,25.67M,7.187M,18.48M,,18.48M,18.48M,50.52M,33.23M,17.30M,0.06,0.0,,0.06,0.06,0.05,0.0,,0.05,0.05,332.64M,352.70M,
2001-03,407.02M,407.02M,194.95M,212.07M,69.10M,59.42M,11.08M,-362.12M,,,,,139.60M,72.47M,,,,-362.12M,,-279.20M,-117.08M,-162.12M,,-162.12M,55.16M,106.46M,33.99M,72.47M,-0.49,0.0,,0.1692,-0.49,-0.49,0.0,,0.1276,-0.49,329.62M,351.79M,
2000-12,450.10M,450.10M,179.20M,270.90M,71.08M,59.15M,6.834M,-90.70M,,,,,137.06M,133.84M,,,,-90.70M,,51.58M,62.08M,-10.51M,,-10.51M,43.91M,162.41M,28.57M,133.84M,-0.03,0.0,,0.1351,-0.03,-0.03,0.0,,0.1351,-0.03,329.64M,329.64M,
2000-09,437.36M,437.36M,168.32M,269.04M,70.51M,51.43M,,,,,,,121.95M,147.09M,,,,,,158.41M,44.36M,114.06M,,114.06M,114.06M,164.30M,17.22M,147.09M,0.35,0.0,,0.35,0.35,0.32,0.0,,0.32,0.32,329.65M,356.05M,
2000-06,364.88M,364.88M,136.93M,227.95M,63.40M,43.19M,,,,,,,106.59M,121.35M,,,,,,130.31M,36.49M,93.83M,,93.83M,93.83M,135.03M,13.67M,121.35M,0.29,0.0,,0.29,0.29,0.27,0.0,,0.27,0.27,326.03M,353.45M,
2000-03,306.57M,306.57M,114.50M,192.07M,55.23M,36.64M,,674.73M,,,,,91.87M,100.20M,,,,676.10M,,784.40M,308.05M,476.36M,,476.36M,66.60M,113.17M,12.97M,100.20M,1.5,0.0,,0.219,1.5,1.38,0.0,,0.2117,1.38,319.86M,350.71M,
1999-12,264.26M,264.26M,99.58M,164.68M,47.95M,31.59M,,,,,,,79.54M,85.14M,,,,2.902M,,95.30M,26.80M,68.50M,,68.50M,68.50M,97.89M,12.75M,85.14M,0.21,0.0,,0.21,0.21,0.2,0.0,,0.2,0.2,319.89M,346.16M,
1999-09,238.76M,238.76M,90.20M,148.56M,43.90M,29.34M,,-4.56M,,,,,73.25M,75.31M,,,,-3.306M,,78.32M,22.35M,55.97M,,55.97M,59.23M,85.37M,10.06M,75.31M,0.18,0.0,,0.1903,0.18,0.1634,0.0,,0.1729,0.1634,317.53M,343.01M,
1999-06,211.40M,211.40M,79.76M,131.64M,39.54M,26.01M,,,,,,,65.55M,66.10M,,,,0.654M,,72.43M,20.82M,51.62M,,51.62M,51.62M,74.51M,8.409M,66.10M,0.17,0.0,,0.17,0.17,0.16,0.0,,0.16,0.16,313.87M,336.83M,
1999-03,184.31M,184.31M,69.09M,115.22M,36.51M,24.49M,,,,,,,61.00M,54.21M,,,,-3.115M,,55.09M,15.83M,39.25M,0.00,39.25M,39.25M,61.68M,7.469M,54.21M,0.13,0.0,0.0,0.13,0.13,0.12,0.0,0.0012,0.12,0.12,304.71M,325.28M,
1998-12,171.63M,171.63M,67.12M,104.52M,33.86M,23.04M,,,,,,,56.89M,47.62M,,,,-0.727M,,48.75M,12.64M,36.11M,,36.11M,36.11M,57.08M,9.457M,47.62M,0.12,0.0,,0.12,0.12,0.12,0.0,,0.12,0.12,287.64M,302.32M,
1998-09,156.52M,156.52M,58.84M,97.68M,32.45M,22.56M,,,,,,,55.01M,42.67M,,,,-2.381M,,41.46M,13.59M,27.87M,,27.87M,27.87M,49.71M,7.034M,42.67M,0.1,0.0,,0.1,0.1,0.1,0.0,,0.1,0.1,287.65M,299.52M,
1998-06,149.52M,149.52M,56.22M,93.30M,31.43M,20.80M,,,,,,,52.24M,41.07M,,,,-2.613M,,38.87M,12.86M,26.01M,-26.65M,-0.635M,26.01M,49.22M,8.152M,41.07M,0.09,-0.09,0.0,0.09,0.0,0.09,-0.09,-0.0914,0.09,0.0,291.37M,307.35M,
